date,open,close,high,low,volume_lots
2026-04-10,255.49,265.09,268.32,255.24,534767.0
2026-04-13,261.0,262.14,269.84,260.9,412421.0
2026-04-14,269.5,280.01,281.23,266.39,466205.0
2026-04-15,285.0,274.0,287.65,271.98,396973.0
2026-04-16,270.1,286.73,287.0,268.59,409337.0
2026-04-17,284.0,288.96,295.66,282.9,406321.0
2026-04-20,293.0,290.54,295.96,287.12,325643.0
2026-04-21,290.8,306.27,309.0,288.25,425834.0
2026-04-22,303.5,313.98,314.58,302.51,341662.0
2026-04-23,326.01,304.8,326.02,301.9,441997.0
2026-04-24,305.0,297.7,310.0,292.81,349105.0
2026-04-27,301.59,303.42,309.58,297.75,316355.0
2026-04-28,305.0,307.5,319.33,302.02,367943.0
2026-04-29,303.01,308.89,311.66,297.0,419200.0
2026-04-30,320.0,312.99,321.0,306.48,587965.0
2026-05-06,330.0,344.29,344.29,330.0,423426.0
2026-05-07,347.0,350.16,357.36,339.0,523879.0
2026-05-08,341.0,334.1,343.3,331.8,440833.0
2026-05-11,350.1,362.13,367.51,347.01,575079.0
2026-05-12,362.14,353.55,362.2,349.2,405596.0
2026-05-13,344.0,365.0,366.71,339.33,484983.0
2026-05-14,365.05,356.19,373.5,354.99,408365.0
2026-05-15,353.0,375.34,384.0,345.48,624368.0
2026-05-18,408.58,400.0,412.87,396.34,687984.0
2026-05-19,390.0,404.56,410.0,380.02,553101.0
2026-05-20,408.0,445.02,445.02,407.8,610126.0
2026-05-21,445.02,431.9,464.83,427.33,632398.0
2026-05-22,448.0,468.74,472.99,439.0,637969.0
2026-05-25,478.11,515.6,515.61,461.0,593614.0
2026-05-26,510.0,526.22,538.02,491.2,643384.0
2026-05-27,541.0,514.18,552.82,500.0,667260.0
2026-05-28,495.0,483.0,499.5,470.0,623792.0
2026-05-29,492.66,467.01,496.0,464.91,558125.0
2026-06-01,476.0,468.0,489.96,455.0,521586.0
2026-06-02,471.0,474.69,480.66,448.11,490193.0
2026-06-03,478.89,492.23,510.0,477.0,581930.0
2026-06-04,487.05,529.31,538.0,485.01,563351.0
2026-06-05,507.0,488.0,519.8,484.9,547135.0
2026-06-08,461.11,474.01,490.7,451.0,434475.0
2026-06-09,493.0,500.5,502.88,477.03,419683.0
2026-06-10,489.11,480.84,497.26,475.65,329972.0
2026-06-11,480.52,483.5,486.0,471.0,296991.0
2026-06-12,508.0,481.47,510.0,481.0,407085.0
2026-06-15,494.97,518.0,519.0,476.66,475784.0
2026-06-16,526.0,532.76,542.84,517.71,427785.0
2026-06-17,521.0,586.04,586.04,521.0,568000.0
2026-06-18,594.0,629.0,644.64,586.6,591573.0
2026-06-22,643.0,689.7,689.7,635.0,525831.0
2026-06-23,680.0,640.99,688.8,636.0,592914.0
2026-06-24,641.0,705.09,705.09,630.93,598219.0
2026-06-25,740.0,775.21,775.39,735.0,508678.0
2026-06-26,753.0,770.0,779.0,732.52,493926.0
2026-06-29,779.0,840.0,846.66,750.0,541209.0
2026-06-30,810.0,815.0,833.0,781.11,449647.0
2026-07-01,803.0,772.01,843.38,753.0,539702.0
2026-07-02,721.0,694.81,731.99,694.81,452436.0
2026-07-03,672.54,677.77,717.66,642.35,623522.0
2026-07-06,690.0,654.29,694.99,630.0,601502.0
2026-07-07,625.0,620.0,646.2,607.0,515651.0
2026-07-08,630.0,603.17,641.0,589.0,575108.0
2026-07-09,633.0,663.49,663.49,630.0,590920.0
2026-07-10,688.0,612.0,707.97,607.18,887457.0
2026-07-13,580.0,550.8,600.0,550.8,663107.0
2026-07-14,551.0,583.99,587.2,534.58,679490.0
2026-07-15,600.0,571.79,608.07,565.29,553704.0
2026-07-16,543.26,514.61,548.0,514.61,545542.0
2026-07-17,500.0,463.15,509.88,463.15,672083.0
2026-07-20,479.0,432.3,485.87,416.88,712622.0
2026-07-21,446.0,475.53,475.53,401.0,743902.0
2026-07-22,479.94,470.0,501.26,460.0,759061.0
2026-07-23,480.0,451.96,483.16,444.22,471340.0
2026-07-24,444.0,457.0,462.5,438.5,505543.0
2026-07-27,446.0,434.03,446.1,411.3,628783.0
2026-07-28,400.22,390.63,408.25,390.63,443896.0
2026-07-29,373.15,364.03,378.0,351.57,903890.0
2026-07-30,356.75,371.1,392.07,342.0,971239.0
2026-07-31,408.21,378.6,408.21,378.0,856922.0
2026-08-03,365.55,340.74,370.0,340.74,657009.0
2026-08-04,341.99,356.02,360.76,337.1,632232.0
2026-08-05,358.0,385.44,390.12,358.0,694690.0
2026-08-06,363.0,385.0,394.94,363.0,618612.0
2026-08-07,384.0,417.05,422.48,383.8,747518.0
2026-08-10,415.43,403.03,422.3,391.14,636006.0
2026-08-11,397.0,402.29,414.78,396.58,436502.0
2026-08-12,408.02,413.17,419.95,401.68,456116.0
2026-08-13,425.26,404.5,431.91,402.8,544439.0
2026-08-14,419.0,417.48,421.18,406.55,475007.0
2026-08-17,423.95,444.0,444.0,420.23,588826.0
2026-08-18,449.97,436.74,455.81,429.06,607573.0
2026-08-19,417.0,403.71,420.0,393.1,662806.0
2026-08-20,410.0,403.5,410.59,397.83,361764.0
2026-08-21,405.0,409.06,411.0,400.1,340767.0
2026-08-24,404.97,381.66,405.51,377.98,448627.0
2026-08-25,367.0,395.51,398.5,367.0,396495.0
2026-08-26,399.0,392.5,399.0,384.88,284629.0
2026-08-27,397.01,411.2,412.0,394.58,407430.0
2026-08-28,406.95,396.82,410.53,396.5,352520.0
2026-08-31,387.06,406.0,406.61,387.06,317220.0
2026-09-01,406.0,393.0,406.01,391.54,256551.0
2026-09-02,388.0,388.86,395.95,387.45,209513.0
2026-09-03,393.11,383.2,393.89,380.19,238566.0
2026-09-04,387.58,371.88,388.97,368.77,299691.0
2026-09-07,382.81,385.44,386.26,380.3,349656.0
2026-09-08,385.82,385.96,398.0,381.96,374698.0
2026-09-09,390.0,381.87,392.87,380.0,229047.0
2026-09-10,380.83,380.64,387.5,379.01,215208.0
2026-09-11,371.8,371.32,373.99,363.0,292309.0
2026-09-14,360.0,356.88,365.88,355.55,264365.0
2026-09-15,356.87,363.11,371.66,356.0,293180.0
