name,year,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
annual.vol.raw,2025,243,119,0.4897119341563786,0.49948118428334254,0.48028500276701713,0.2800347191444178,0.7603453292307889,0.5720164609053497,0.43209876543209874,0.46392720905118273,0.12467784792051105,0.1764221403257427,0.7656423673145474
annual.vol.raw,2026,166,101,0.608433734939759,0.5979020979020979,0.5671620046620046,0.2584670976657107,0.7176310191659608,0.5301204819277109,0.6807228915662651,0.5486848090522208,0.11039438117375733,0.32356088880230266,0.8117745987186301
annual.vol.platt,2023,242,134,0.5537190082644629,0.5444604910253765,0.5514751392613988,0.2526032009782261,0.6995559868802749,0.45867768595041325,0.384297520661157,0.49111381765192474,0.09303947188497455,0.30874289416789397,0.7738868914730576
annual.vol.platt,2024,242,134,0.5537190082644629,0.5541666666666667,0.5448770491803279,0.2543968052324933,0.7032334759758208,0.49586776859504134,0.5537190082644629,0.5166841839854344,0.10183827270616759,0.30284743638516154,0.7325385668783841
annual.vol.platt,2025,243,134,0.551440329218107,0.5098574986164914,0.5383231876037632,0.25371168991623344,0.7027816632609165,0.5720164609053497,0.7901234567901234,0.532232661067781,0.0780041606762254,0.26409021142799477,0.7656423673145474
annual.vol.platt,2026,166,101,0.608433734939759,0.5979020979020979,0.5671620046620046,0.2584670976657107,0.7176310191659608,0.5301204819277109,0.6807228915662651,0.5486848090522208,0.11039438117375733,0.32356088880230266,0.8117745987186301
annual.vol.shrink,2023,242,134,0.5537190082644629,0.5444604910253765,0.5514751392613988,0.2526032009782261,0.6995559868802749,0.45867768595041325,0.384297520661157,0.49111381765192474,0.09303947188497455,0.30874289416789397,0.7738868914730576
annual.vol.shrink,2024,242,134,0.5537190082644629,0.5543032786885246,0.5437158469945356,0.2547669145624495,0.7039861606992804,0.49586776859504134,0.5702479338842975,0.5179433337435428,0.10282518472330525,0.30284743638516154,0.7325385668783841
annual.vol.shrink,2025,243,138,0.5679012345679012,0.5242459878251244,0.5392916436081904,0.2554074658609208,0.7062178451392165,0.5720164609053497,0.8065843621399177,0.5219085506655149,0.07503142235876929,0.26409021142799477,0.7656423673145474
annual.vol.shrink,2026,166,101,0.608433734939759,0.5979020979020979,0.5671620046620046,0.2584670976657107,0.7176310191659608,0.5301204819277109,0.6807228915662651,0.5486848090522208,0.11039438117375733,0.32356088880230266,0.8117745987186301
annual.cal_frequency.raw,2023,242,131,0.5413223140495868,0.5,0.5,0.24975474101713185,0.6926566564995986,0.45867768595041325,0.0,0.4969173859432799,0.0,0.4969173859432799,0.4969173859432799
annual.cal_frequency.raw,2024,242,122,0.5041322314049587,0.5,0.5633196721311475,0.2483764687907089,0.6898922812764795,0.49586776859504134,0.0,0.4835598527892562,0.015724149126304886,0.4603174603174603,0.498046875
annual.cal_frequency.raw,2025,243,130,0.5349794238683128,0.5329966795794134,0.5313364692861096,0.2490867783996107,0.6913183333087446,0.5720164609053497,0.5185185185185185,0.5004203385405631,0.025689732809304644,0.46825396825396826,0.5357142857142857
