method,row_index,date,metric,uniform_loss,intercept_loss,slopes_loss,weighted_loss,total,intercept_at_uniform_slopes,slopes_at_uniform_intercept,intercept_at_weighted_slopes,slopes_at_weighted_intercept,interaction,symmetric_intercept,symmetric_slopes
learned_vol_interaction,3457,2025-04-25,brier,0.2683877835759105,0.28859243247791466,0.33567213593385836,0.3570627525603122,0.08867496898440175,0.020204648902004185,0.06728435235794789,0.021390616626453862,0.06847032008239756,0.001185967724449677,0.020797632764229024,0.06787733622017272
learned_vol_interaction,3464,2025-05-09,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3464,2025-05-09,brier,0.47837467759708263,0.5005878285892826,0.4550079318755304,0.4772748180120914,-0.0010998595849912585,0.022213150992200004,-0.02336674572155223,0.02226688613656097,-0.023313010577191262,5.3735144360966824e-05,0.022240018564380487,-0.023339878149371746
learned_vol_interaction,3469,2025-05-16,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3469,2025-05-16,brier,0.0685773052614722,0.06145330509450481,0.059724710492016254,0.05353076891597637,-0.015046536345495826,-0.007124000166967383,-0.008852594769455942,-0.006193941576039884,-0.007922536178528443,0.0009300585909274989,-0.006658970871503633,-0.008387565473992192
learned_vol_interaction,3474,2025-05-23,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3474,2025-05-23,brier,0.10397031430457168,0.09412104273877597,0.12705469026711724,0.11547828595246674,0.011507971647895063,-0.009849271565795709,0.02308437596254556,-0.011576404314650499,0.02135724321369077,-0.00172713274885479,-0.010712837940223104,0.022220809588118166
learned_vol_interaction,3479,2025-05-30,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3479,2025-05-30,brier,0.5499121740535465,0.5703437299554687,0.5810896968247892,0.6010926447555253,0.05118047070197873,0.020431555901922138,0.03117752277124264,0.020002947930736092,0.030748914800056593,-0.00042860797118604577,0.020217251916329115,0.030963218785649615
learned_vol_interaction,3483,2025-06-06,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3483,2025-06-06,brier,0.193858934954331,0.17793776226833477,0.20089332182140746,0.1848761946629473,-0.008982740291383712,-0.015921172685996243,0.007034386867076442,-0.016017127158460154,0.0069384323946125315,-9.595447246391053e-05,-0.0159691499222282,0.006986409630844487
learned_vol_interaction,3488,2025-06-13,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3488,2025-06-13,brier,0.1471238918155131,0.13392989326808255,0.12992700532953025,0.11792030339811228,-0.029203588417400825,-0.013193998547430558,-0.01719688648598286,-0.012006701931417965,-0.016009589869970267,0.0011872966160125786,-0.012600350239424261,-0.016603238177976563
learned_vol_interaction,3493,2025-06-20,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_vol_interaction,3493,2025-06-20,brier,0.2904843042314041,0.3111458684302187,0.3046620702952141,0.32559052845042774,0.03510622421902365,0.020661564198814597,0.014177766063809993,0.02092845815521366,0.014444660020209055,0.00026689395639906133,0.020795011177014128,0.014311213042009524
