period,method,metric,n,total,intercept_at_uniform_slopes,slopes_at_uniform_intercept,intercept_at_weighted_slopes,slopes_at_weighted_intercept,interaction,symmetric_intercept,symmetric_slopes
recent_2024_2026,learned_vol_interaction,direction_error,125,0.016,-0.032,-0.024,0.04,0.048,0.072,0.004,0.012
pooled_2021_2026,learned_market,brier,272,-0.0009948674859167604,0.0004250219905170148,-0.001597035882794452,0.0006021683968776912,-0.0014198894764337752,0.00017714640636067627,0.0005135951936973528,-0.0015084626796141138
pooled_2021_2026,learned_market,direction_error,272,-0.014705882352941176,-0.022058823529411766,-0.01838235294117647,0.003676470588235294,0.007352941176470588,0.025735294117647058,-0.009191176470588236,-0.0055147058823529415
pooled_2021_2026,learned_order_extension,brier,272,-0.000616345521101082,0.00029701552966597685,-0.0011395743756421768,0.0005232288545410945,-0.0009133610507670591,0.0002262133248751173,0.0004101221921035357,-0.0010264677132046183
pooled_2021_2026,learned_order_extension,direction_error,272,0.01838235294117647,0.003676470588235294,0.007352941176470588,0.011029411764705883,0.014705882352941176,0.007352941176470588,0.007352941176470588,0.011029411764705883
pooled_2021_2026,learned_order_offset,brier,272,-0.00041373822765013044,0.000320791218867964,-0.0009738897170874748,0.0005601514894373441,-0.0007345294465180951,0.0002393602705693799,0.000440471354152654,-0.0008542095818027844
pooled_2021_2026,learned_order_offset,direction_error,272,0.014705882352941176,0.003676470588235294,0.0,0.014705882352941176,0.011029411764705883,0.011029411764705883,0.009191176470588236,0.0055147058823529415
pooled_2021_2026,learned_vol_interaction,brier,272,-0.0003004704044689832,0.0003917977838926626,-0.0009026319346600715,0.0006021615301910887,-0.0006922681883616453,0.000210363746298427,0.0004969796570418757,-0.0007974500615108583
pooled_2021_2026,learned_vol_interaction,direction_error,272,0.011029411764705883,-0.01838235294117647,-0.003676470588235294,0.014705882352941176,0.029411764705882353,0.03308823529411765,-0.001838235294117647,0.012867647058823529
year_2021,learned_market,brier,50,-0.0006775010381657797,0.0005136756595214018,-0.0011825167192769145,0.0005050156811111348,-0.0011911766976871816,-8.659978410266444e-06,0.0005093456703162682,-0.0011868467084820478
year_2021,learned_market,direction_error,50,0.02,0.0,0.0,0.02,0.02,0.02,0.01,0.01
year_2021,learned_order_extension,brier,50,-0.0017043542740828093,0.00031037433692424635,-0.0020129355165048567,0.00030858124242204727,-0.0020147286110070556,-1.7930945021990553e-06,0.0003094777896731468,-0.0020138320637559564
year_2021,learned_order_extension,direction_error,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
year_2021,learned_order_offset,brier,50,-0.0015889428801568544,0.0004038005029137351,-0.0019967523863406405,0.0004078095061837861,-0.0019927433830705895,4.009003270050715e-06,0.0004058050045487606,-0.0019947478847056155
year_2021,learned_order_offset,direction_error,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
year_2021,learned_vol_interaction,brier,50,-0.0013299473757631256,0.00041910068834597565,-0.0017445183698316605,0.0004145709940685349,-0.0017490480641091013,-4.529694277441293e-06,0.0004168358412072553,-0.0017467832169703807
year_2021,learned_vol_interaction,direction_error,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
year_2022,learned_market,brier,49,-0.006341261865280946,-0.0021063669127819595,-0.004197732817084223,-0.0021435290481967226,-0.004234894952498986,-3.716213541476234e-05,-0.002124947980489341,-0.004216313884791604
year_2022,learned_market,direction_error,49,-0.04081632653061224,-0.061224489795918366,-0.061224489795918366,0.02040816326530612,0.02040816326530612,0.08163265306122448,-0.02040816326530612,-0.02040816326530612
year_2022,learned_order_extension,brier,49,-0.007856942919748878,-0.0021039047628282122,-0.00572210532206651,-0.0021348375976823677,-0.005753038156920665,-3.093283485415515e-05,-0.00211937118025529,-0.0057375717394935865
year_2022,learned_order_extension,direction_error,49,-0.02040816326530612,-0.02040816326530612,-0.02040816326530612,0.0,0.0,0.02040816326530612,-0.01020408163265306,-0.01020408163265306
year_2022,learned_order_offset,brier,49,-0.008122656520667883,-0.002110360176956962,-0.005978188804728428,-0.002144467715939454,-0.00601229634371092,-3.4107538982492485e-05,-0.0021274139464482083,-0.005995242574219675
year_2022,learned_order_offset,direction_error,49,-0.02040816326530612,0.0,-0.02040816326530612,0.0,-0.02040816326530612,0.0,0.0,-0.02040816326530612
year_2022,learned_vol_interaction,brier,49,-0.006291578698159657,-0.0021328299693281864,-0.0041081351206987814,-0.0021834435774608757,-0.00415874872883147,-5.061360813268857e-05,-0.0021581367733945313,-0.0041334419247651254
year_2022,learned_vol_interaction,direction_error,49,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.0,-0.02040816326530612,0.01020408163265306,0.01020408163265306
year_2023,learned_market,brier,48,-0.009188212812493228,-0.002505340252760365,-0.007182283019306371,-0.0020059297931868557,-0.006682872559732863,0.0004994104595735065,-0.00225563502297361,-0.006932577789519618
year_2023,learned_market,direction_error,48,-0.041666666666666664,-0.0625,0.020833333333333332,-0.0625,0.020833333333333332,0.0,-0.0625,0.020833333333333332
year_2023,learned_order_extension,brier,48,-0.009238074448109335,-0.0027180451893968178,-0.006972673723175306,-0.00226540072493403,-0.006520029258712517,0.00045264446446278565,-0.0024917229571654238,-0.006746351490943911
year_2023,learned_order_extension,direction_error,48,-0.041666666666666664,-0.041666666666666664,-0.020833333333333332,-0.020833333333333332,0.0,0.020833333333333332,-0.03125,-0.010416666666666666
year_2023,learned_order_offset,brier,48,-0.008074900459980536,-0.0028226015530788497,-0.005798256160528359,-0.002276644299452178,-0.0052522989069016856,0.000545957253626674,-0.0025496229262655136,-0.005525277533715023
year_2023,learned_order_offset,direction_error,48,-0.020833333333333332,-0.041666666666666664,-0.020833333333333332,0.0,0.020833333333333332,0.041666666666666664,-0.020833333333333332,0.0
year_2023,learned_vol_interaction,brier,48,-0.00749981457566045,-0.0026297460231012398,-0.005404103156398936,-0.0020957114192615136,-0.004870068552559209,0.0005340346038397269,-0.0023627287211813765,-0.005137085854479073
year_2023,learned_vol_interaction,direction_error,48,0.0,-0.041666666666666664,0.020833333333333332,-0.020833333333333332,0.041666666666666664,0.020833333333333332,-0.03125,0.03125
year_2024,learned_market,brier,47,-0.0005839734257689384,-0.00020530229537861223,-0.000619735738695634,3.576231292669584e-05,-0.00037867113039032594,0.00024106460830530807,-8.47699912259579e-05,-0.0004992034345429801
year_2024,learned_market,direction_error,47,0.0425531914893617,0.0,0.0,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.02127659574468085
year_2024,learned_order_extension,brier,47,0.0038203860829577703,0.00014182909690932773,0.0033162157475354562,0.0005041703354223137,0.0036785569860484416,0.0003623412385129866,0.0003229997161658206,0.0034973863667919487
year_2024,learned_order_extension,direction_error,47,0.0851063829787234,0.0,0.02127659574468085,0.06382978723404255,0.0851063829787234,0.06382978723404255,0.031914893617021274,0.05319148936170213
year_2024,learned_order_offset,brier,47,0.004093550907758891,0.00015822744690657337,0.0036017091270308665,0.0004918417807280238,0.003935323460852318,0.0003336143338214505,0.0003250346138172986,0.0037685162939415907
year_2024,learned_order_offset,direction_error,47,0.0425531914893617,-0.02127659574468085,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.0425531914893617,0.0,0.0425531914893617
year_2024,learned_vol_interaction,brier,47,0.0018289318455930322,-6.879706134461839e-05,0.0014969327703635244,0.00033199907522950826,0.001897728906937651,0.0004007961365741287,0.00013160100694244466,0.0016973308386505877
year_2024,learned_vol_interaction,direction_error,47,0.06382978723404255,0.0,0.0,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.031914893617021274,0.031914893617021274
year_2025,learned_market,brier,48,0.011579291267129074,0.005981498988086613,0.005420877092950311,0.0061584141741787635,0.00559779227904246,0.00017691518609215095,0.0060699565811326885,0.005509334685996386
year_2025,learned_market,direction_error,48,-0.0625,-0.041666666666666664,-0.041666666666666664,-0.020833333333333332,-0.020833333333333332,0.020833333333333332,-0.03125,-0.03125
year_2025,learned_order_extension,brier,48,0.011735858531205073,0.005502097543406179,0.0059660376981645405,0.005769820833040532,0.0062337609877988935,0.0002677232896343539,0.005635959188223356,0.0060998993429817175
year_2025,learned_order_extension,direction_error,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
year_2025,learned_order_offset,brier,48,0.011640846115006405,0.005641360328002533,0.00572680130440185,0.005914044810604556,0.005999485787003873,0.0002726844826020213,0.005777702569303544,0.005863143545702862
year_2025,learned_order_offset,direction_error,48,0.0,0.0,-0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.010416666666666666,-0.010416666666666666
year_2025,learned_vol_interaction,brier,48,0.01156345823503076,0.005860831137817169,0.00552858848609325,0.00603486974893751,0.00570262709721359,0.0001740386111203403,0.005947850443377339,0.005615607791653421
year_2025,learned_vol_interaction,direction_error,48,0.0,-0.041666666666666664,-0.020833333333333332,0.020833333333333332,0.041666666666666664,0.0625,-0.010416666666666666,0.010416666666666666
year_2026,learned_market,brier,30,-0.00044440292245613946,0.0011975921919336265,-0.0018634650645110837,0.0014190621420549442,-0.001641995114389766,0.00022146995012131964,0.0013083271669942853,-0.0017527300894504248
year_2026,learned_market,direction_error,30,0.0,0.06666666666666667,-0.03333333333333333,0.03333333333333333,-0.06666666666666667,-0.03333333333333333,0.05,-0.05
year_2026,learned_order_extension,brier,30,0.00010367177149101515,0.0009353453351442683,-0.001215930150060668,0.001319601921551683,-0.0008316735636532531,0.00038425658640741284,0.0011274736283479756,-0.0010238018568569606
year_2026,learned_order_extension,direction_error,30,0.13333333333333333,0.13333333333333333,0.1,0.03333333333333333,0.0,-0.1,0.08333333333333333,0.05
year_2026,learned_order_offset,brier,30,4.527438312745917e-05,0.0009245241285448291,-0.001265987605848217,0.001311261988975676,-0.00087924974541737,0.000386737860430846,0.0011178930587602525,-0.0010726186756327934
year_2026,learned_order_offset,direction_error,30,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,-0.06666666666666667,0.1,0.03333333333333333
year_2026,learned_vol_interaction,brier,30,0.00040140275299229236,0.0012754669225139663,-0.0011107494284709621,0.0015121521814632545,-0.0008740641695216739,0.00023668525894928922,0.0013938095519886104,-0.000992406798996318
year_2026,learned_vol_interaction,direction_error,30,-0.03333333333333333,-0.06666666666666667,-0.06666666666666667,0.03333333333333333,0.03333333333333333,0.1,-0.016666666666666666,-0.016666666666666666
