origin_id,event_id,source_cutoff,method,state,row_index,date,joint_completed,arrival_rank,signal_precedes_or_equals_source,maturity_age_days
2022-11-30:learned_vol_interaction:negative_high,2022-11-30:negative_high,2022-11-30,learned_vol_interaction,negative_high,2873,2022-11-25,2022-12-05,1,True,5
2022-11-30:learned_vol_interaction:negative_high,2022-11-30:negative_high,2022-11-30,learned_vol_interaction,negative_high,2878,2022-12-02,2022-12-12,2,False,12
2022-11-30:learned_vol_interaction:negative_high,2022-11-30:negative_high,2022-11-30,learned_vol_interaction,negative_high,2883,2022-12-09,2022-12-19,3,False,19
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3076,2023-09-22,2023-10-16,1,True,16
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3085,2023-10-13,2023-10-23,2,False,23
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3090,2023-10-20,2023-10-30,3,False,30
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3095,2023-10-27,2023-11-06,4,False,37
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3100,2023-11-03,2023-11-13,5,False,44
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3105,2023-11-10,2023-11-20,6,False,51
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3110,2023-11-17,2023-11-27,7,False,58
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3115,2023-11-24,2023-12-04,8,False,65
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3120,2023-12-01,2023-12-11,9,False,72
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3125,2023-12-08,2023-12-18,10,False,79
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,3130,2023-12-15,2023-12-25,11,False,86
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3076,2023-09-22,2023-10-16,1,True,16
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3085,2023-10-13,2023-10-23,2,False,23
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3090,2023-10-20,2023-10-30,3,False,30
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3095,2023-10-27,2023-11-06,4,False,37
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3100,2023-11-03,2023-11-13,5,False,44
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3105,2023-11-10,2023-11-20,6,False,51
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3110,2023-11-17,2023-11-27,7,False,58
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3115,2023-11-24,2023-12-04,8,False,65
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3120,2023-12-01,2023-12-11,9,False,72
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3125,2023-12-08,2023-12-18,10,False,79
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,3130,2023-12-15,2023-12-25,11,False,86
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3076,2023-09-22,2023-10-16,1,True,16
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3085,2023-10-13,2023-10-23,2,False,23
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3090,2023-10-20,2023-10-30,3,False,30
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3095,2023-10-27,2023-11-06,4,False,37
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3100,2023-11-03,2023-11-13,5,False,44
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3105,2023-11-10,2023-11-20,6,False,51
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3110,2023-11-17,2023-11-27,7,False,58
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3115,2023-11-24,2023-12-04,8,False,65
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3120,2023-12-01,2023-12-11,9,False,72
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3125,2023-12-08,2023-12-18,10,False,79
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,3130,2023-12-15,2023-12-25,11,False,86
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3076,2023-09-22,2023-10-16,1,True,16
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3085,2023-10-13,2023-10-23,2,False,23
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3090,2023-10-20,2023-10-30,3,False,30
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3095,2023-10-27,2023-11-06,4,False,37
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3100,2023-11-03,2023-11-13,5,False,44
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3105,2023-11-10,2023-11-20,6,False,51
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3110,2023-11-17,2023-11-27,7,False,58
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3115,2023-11-24,2023-12-04,8,False,65
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3120,2023-12-01,2023-12-11,9,False,72
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3125,2023-12-08,2023-12-18,10,False,79
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,3130,2023-12-15,2023-12-25,11,False,86
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,3095,2023-10-27,2023-11-06,1,True,6
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,3100,2023-11-03,2023-11-13,2,False,13
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,3105,2023-11-10,2023-11-20,3,False,20
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,3110,2023-11-17,2023-11-27,4,False,27
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,3115,2023-11-24,2023-12-04,5,False,34
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,3120,2023-12-01,2023-12-11,6,False,41
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,3125,2023-12-08,2023-12-18,7,False,48
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,3130,2023-12-15,2023-12-25,8,False,55
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,3095,2023-10-27,2023-11-06,1,True,6
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,3100,2023-11-03,2023-11-13,2,False,13
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,3105,2023-11-10,2023-11-20,3,False,20
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,3110,2023-11-17,2023-11-27,4,False,27
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,3115,2023-11-24,2023-12-04,5,False,34
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,3120,2023-12-01,2023-12-11,6,False,41
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,3125,2023-12-08,2023-12-18,7,False,48
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,3130,2023-12-15,2023-12-25,8,False,55
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,3095,2023-10-27,2023-11-06,1,True,6
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,3100,2023-11-03,2023-11-13,2,False,13
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,3105,2023-11-10,2023-11-20,3,False,20
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,3110,2023-11-17,2023-11-27,4,False,27
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,3115,2023-11-24,2023-12-04,5,False,34
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,3120,2023-12-01,2023-12-11,6,False,41
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,3125,2023-12-08,2023-12-18,7,False,48
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,3130,2023-12-15,2023-12-25,8,False,55
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,3095,2023-10-27,2023-11-06,1,True,6
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,3100,2023-11-03,2023-11-13,2,False,13
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,3105,2023-11-10,2023-11-20,3,False,20
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,3110,2023-11-17,2023-11-27,4,False,27
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,3115,2023-11-24,2023-12-04,5,False,34
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,3120,2023-12-01,2023-12-11,6,False,41
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,3125,2023-12-08,2023-12-18,7,False,48
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,3130,2023-12-15,2023-12-25,8,False,55
2023-11-30:learned_market:negative_low,2023-11-30:negative_low,2023-11-30,learned_market,negative_low,3115,2023-11-24,2023-12-04,1,True,4
2023-11-30:learned_market:negative_low,2023-11-30:negative_low,2023-11-30,learned_market,negative_low,3120,2023-12-01,2023-12-11,2,False,11
2023-11-30:learned_market:negative_low,2023-11-30:negative_low,2023-11-30,learned_market,negative_low,3125,2023-12-08,2023-12-18,3,False,18
2023-11-30:learned_market:negative_low,2023-11-30:negative_low,2023-11-30,learned_market,negative_low,3130,2023-12-15,2023-12-25,4,False,25
2023-11-30:learned_order_extension:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_extension,negative_low,3115,2023-11-24,2023-12-04,1,True,4
2023-11-30:learned_order_extension:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_extension,negative_low,3120,2023-12-01,2023-12-11,2,False,11
2023-11-30:learned_order_extension:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_extension,negative_low,3125,2023-12-08,2023-12-18,3,False,18
2023-11-30:learned_order_extension:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_extension,negative_low,3130,2023-12-15,2023-12-25,4,False,25
2023-11-30:learned_order_offset:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_offset,negative_low,3115,2023-11-24,2023-12-04,1,True,4
2023-11-30:learned_order_offset:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_offset,negative_low,3120,2023-12-01,2023-12-11,2,False,11
2023-11-30:learned_order_offset:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_offset,negative_low,3125,2023-12-08,2023-12-18,3,False,18
2023-11-30:learned_order_offset:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_offset,negative_low,3130,2023-12-15,2023-12-25,4,False,25
2023-11-30:learned_vol_interaction:negative_low,2023-11-30:negative_low,2023-11-30,learned_vol_interaction,negative_low,3115,2023-11-24,2023-12-04,1,True,4
2023-11-30:learned_vol_interaction:negative_low,2023-11-30:negative_low,2023-11-30,learned_vol_interaction,negative_low,3120,2023-12-01,2023-12-11,2,False,11
2023-11-30:learned_vol_interaction:negative_low,2023-11-30:negative_low,2023-11-30,learned_vol_interaction,negative_low,3125,2023-12-08,2023-12-18,3,False,18
2023-11-30:learned_vol_interaction:negative_low,2023-11-30:negative_low,2023-11-30,learned_vol_interaction,negative_low,3130,2023-12-15,2023-12-25,4,False,25
2024-03-31:learned_market:negative_low,2024-03-31:negative_low,2024-03-31,learned_market,negative_low,3247,2024-06-14,2024-06-24,1,False,85
2024-03-31:learned_order_extension:negative_low,2024-03-31:negative_low,2024-03-31,learned_order_extension,negative_low,3247,2024-06-14,2024-06-24,1,False,85
2024-03-31:learned_order_offset:negative_low,2024-03-31:negative_low,2024-03-31,learned_order_offset,negative_low,3247,2024-06-14,2024-06-24,1,False,85
2024-03-31:learned_vol_interaction:negative_low,2024-03-31:negative_low,2024-03-31,learned_vol_interaction,negative_low,3247,2024-06-14,2024-06-24,1,False,85
2024-05-31:learned_market:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_market,nonnegative_low,3233,2024-05-24,2024-06-03,1,True,3
2024-05-31:learned_market:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_market,nonnegative_low,3238,2024-05-31,2024-06-11,2,True,11
2024-05-31:learned_market:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_market,nonnegative_low,3243,2024-06-07,2024-06-17,3,False,17
2024-05-31:learned_order_extension:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_extension,nonnegative_low,3233,2024-05-24,2024-06-03,1,True,3
2024-05-31:learned_order_extension:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_extension,nonnegative_low,3238,2024-05-31,2024-06-11,2,True,11
2024-05-31:learned_order_extension:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_extension,nonnegative_low,3243,2024-06-07,2024-06-17,3,False,17
2024-05-31:learned_order_offset:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_offset,nonnegative_low,3233,2024-05-24,2024-06-03,1,True,3
2024-05-31:learned_order_offset:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_offset,nonnegative_low,3238,2024-05-31,2024-06-11,2,True,11
2024-05-31:learned_order_offset:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_offset,nonnegative_low,3243,2024-06-07,2024-06-17,3,False,17
2024-05-31:learned_vol_interaction:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_vol_interaction,nonnegative_low,3233,2024-05-24,2024-06-03,1,True,3
2024-05-31:learned_vol_interaction:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_vol_interaction,nonnegative_low,3238,2024-05-31,2024-06-11,2,True,11
2024-05-31:learned_vol_interaction:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_vol_interaction,nonnegative_low,3243,2024-06-07,2024-06-17,3,False,17
2024-06-30:learned_market:nonnegative_low,2024-06-30:nonnegative_low,2024-06-30,learned_market,nonnegative_low,3272,2024-07-19,2024-07-29,1,False,29
2024-06-30:learned_vol_interaction:nonnegative_low,2024-06-30:nonnegative_low,2024-06-30,learned_vol_interaction,nonnegative_low,3272,2024-07-19,2024-07-29,1,False,29
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,3277,2024-07-26,2024-08-05,1,True,5
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,3282,2024-08-02,2024-08-12,2,False,12
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,3287,2024-08-09,2024-08-19,3,False,19
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,3292,2024-08-16,2024-08-26,4,False,26
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,3297,2024-08-23,2024-09-02,5,False,33
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,3302,2024-08-30,2024-09-09,6,False,40
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,3307,2024-09-06,2024-09-18,7,False,49
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,3312,2024-09-13,2024-09-24,8,False,55
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,3315,2024-09-20,2024-09-30,9,False,61
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,3277,2024-07-26,2024-08-05,1,True,5
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,3282,2024-08-02,2024-08-12,2,False,12
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,3287,2024-08-09,2024-08-19,3,False,19
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,3292,2024-08-16,2024-08-26,4,False,26
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,3297,2024-08-23,2024-09-02,5,False,33
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,3302,2024-08-30,2024-09-09,6,False,40
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,3307,2024-09-06,2024-09-18,7,False,49
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,3312,2024-09-13,2024-09-24,8,False,55
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,3315,2024-09-20,2024-09-30,9,False,61
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,3277,2024-07-26,2024-08-05,1,True,5
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,3282,2024-08-02,2024-08-12,2,False,12
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,3287,2024-08-09,2024-08-19,3,False,19
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,3292,2024-08-16,2024-08-26,4,False,26
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,3297,2024-08-23,2024-09-02,5,False,33
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,3302,2024-08-30,2024-09-09,6,False,40
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,3307,2024-09-06,2024-09-18,7,False,49
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,3312,2024-09-13,2024-09-24,8,False,55
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,3315,2024-09-20,2024-09-30,9,False,61
2024-08-31:learned_order_extension:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_extension,negative_low,3297,2024-08-23,2024-09-02,1,True,2
2024-08-31:learned_order_extension:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_extension,negative_low,3302,2024-08-30,2024-09-09,2,True,9
2024-08-31:learned_order_extension:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_extension,negative_low,3307,2024-09-06,2024-09-18,3,False,18
2024-08-31:learned_order_extension:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_extension,negative_low,3312,2024-09-13,2024-09-24,4,False,24
2024-08-31:learned_order_extension:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_extension,negative_low,3315,2024-09-20,2024-09-30,5,False,30
2024-08-31:learned_order_offset:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_offset,negative_low,3297,2024-08-23,2024-09-02,1,True,2
2024-08-31:learned_order_offset:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_offset,negative_low,3302,2024-08-30,2024-09-09,2,True,9
2024-08-31:learned_order_offset:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_offset,negative_low,3307,2024-09-06,2024-09-18,3,False,18
2024-08-31:learned_order_offset:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_offset,negative_low,3312,2024-09-13,2024-09-24,4,False,24
2024-08-31:learned_order_offset:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_offset,negative_low,3315,2024-09-20,2024-09-30,5,False,30
2024-08-31:learned_vol_interaction:negative_low,2024-08-31:negative_low,2024-08-31,learned_vol_interaction,negative_low,3297,2024-08-23,2024-09-02,1,True,2
2024-08-31:learned_vol_interaction:negative_low,2024-08-31:negative_low,2024-08-31,learned_vol_interaction,negative_low,3302,2024-08-30,2024-09-09,2,True,9
2024-08-31:learned_vol_interaction:negative_low,2024-08-31:negative_low,2024-08-31,learned_vol_interaction,negative_low,3307,2024-09-06,2024-09-18,3,False,18
2024-08-31:learned_vol_interaction:negative_low,2024-08-31:negative_low,2024-08-31,learned_vol_interaction,negative_low,3312,2024-09-13,2024-09-24,4,False,24
2024-08-31:learned_vol_interaction:negative_low,2024-08-31:negative_low,2024-08-31,learned_vol_interaction,negative_low,3315,2024-09-20,2024-09-30,5,False,30
2025-04-30:learned_market:negative_low,2025-04-30:negative_low,2025-04-30,learned_market,negative_low,3464,2025-05-09,2025-05-19,1,False,19
2025-04-30:learned_market:negative_low,2025-04-30:negative_low,2025-04-30,learned_market,negative_low,3469,2025-05-16,2025-05-26,2,False,26
2025-04-30:learned_market:negative_low,2025-04-30:negative_low,2025-04-30,learned_market,negative_low,3474,2025-05-23,2025-06-03,3,False,34
2025-04-30:learned_market:negative_low,2025-04-30:negative_low,2025-04-30,learned_market,negative_low,3479,2025-05-30,2025-06-09,4,False,40
2025-04-30:learned_market:negative_low,2025-04-30:negative_low,2025-04-30,learned_market,negative_low,3483,2025-06-06,2025-06-16,5,False,47
2025-04-30:learned_market:negative_low,2025-04-30:negative_low,2025-04-30,learned_market,negative_low,3488,2025-06-13,2025-06-23,6,False,54
2025-04-30:learned_market:negative_low,2025-04-30:negative_low,2025-04-30,learned_market,negative_low,3493,2025-06-20,2025-06-30,7,False,61
2025-04-30:learned_order_extension:negative_low,2025-04-30:negative_low,2025-04-30,learned_order_extension,negative_low,3464,2025-05-09,2025-05-19,1,False,19
2025-04-30:learned_order_extension:negative_low,2025-04-30:negative_low,2025-04-30,learned_order_extension,negative_low,3469,2025-05-16,2025-05-26,2,False,26
2025-04-30:learned_order_extension:negative_low,2025-04-30:negative_low,2025-04-30,learned_order_extension,negative_low,3474,2025-05-23,2025-06-03,3,False,34
2025-04-30:learned_order_extension:negative_low,2025-04-30:negative_low,2025-04-30,learned_order_extension,negative_low,3479,2025-05-30,2025-06-09,4,False,40
2025-04-30:learned_order_extension:negative_low,2025-04-30:negative_low,2025-04-30,learned_order_extension,negative_low,3483,2025-06-06,2025-06-16,5,False,47
2025-04-30:learned_order_extension:negative_low,2025-04-30:negative_low,2025-04-30,learned_order_extension,negative_low,3488,2025-06-13,2025-06-23,6,False,54
2025-04-30:learned_order_extension:negative_low,2025-04-30:negative_low,2025-04-30,learned_order_extension,negative_low,3493,2025-06-20,2025-06-30,7,False,61
