origin_id,event_id,source_cutoff,method,state,expiry,source_year,source_training_n,source_validation_n,horizon_days,planned_checkpoints,planned_preexpiry_checkpoints,view,classification,first_ready_decision,first_preexpiry_ready_decision,fifth_maturity_date,days_until_preexpiry_ready,days_remaining_at_preexpiry_ready,horizon_complete,observed_checkpoints,observed_preexpiry_checkpoints,last_observed_checkpoint,last_observed_n,expiry_n,observed_followup_all_state_weeks,observed_followup_same_state_weeks,followup_observation_censored
2022-06-30:learned_order_offset:negative_high,2022-06-30:negative_high,2022-06-30,learned_order_offset,negative_high,2022-09-30,2022,21,12,92,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2022-09-30,0,0.0,0,0,False
2022-06-30:learned_order_offset:negative_high,2022-06-30:negative_high,2022-06-30,learned_order_offset,negative_high,2022-09-30,2022,21,12,92,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2022-09-30,0,0.0,0,0,False
2022-06-30:learned_vol_interaction:negative_high,2022-06-30:negative_high,2022-06-30,learned_vol_interaction,negative_high,2022-09-30,2022,21,12,92,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2022-09-30,0,0.0,0,0,False
2022-06-30:learned_vol_interaction:negative_high,2022-06-30:negative_high,2022-06-30,learned_vol_interaction,negative_high,2022-09-30,2022,21,12,92,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2022-09-30,0,0.0,0,0,False
2022-10-31:learned_market:negative_low,2022-10-31:negative_low,2022-10-31,learned_market,negative_low,2022-12-31,2022,12,5,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2022-12-31,0,0.0,0,0,False
2022-10-31:learned_market:negative_low,2022-10-31:negative_low,2022-10-31,learned_market,negative_low,2022-12-31,2022,12,5,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2022-12-31,0,0.0,0,0,False
2022-10-31:learned_order_extension:negative_low,2022-10-31:negative_low,2022-10-31,learned_order_extension,negative_low,2022-12-31,2022,12,5,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2022-12-31,0,0.0,0,0,False
2022-10-31:learned_order_extension:negative_low,2022-10-31:negative_low,2022-10-31,learned_order_extension,negative_low,2022-12-31,2022,12,5,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2022-12-31,0,0.0,0,0,False
2022-10-31:learned_order_offset:negative_low,2022-10-31:negative_low,2022-10-31,learned_order_offset,negative_low,2022-12-31,2022,12,5,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2022-12-31,0,0.0,0,0,False
2022-10-31:learned_order_offset:negative_low,2022-10-31:negative_low,2022-10-31,learned_order_offset,negative_low,2022-12-31,2022,12,5,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2022-12-31,0,0.0,0,0,False
2022-10-31:learned_vol_interaction:negative_low,2022-10-31:negative_low,2022-10-31,learned_vol_interaction,negative_low,2022-12-31,2022,12,5,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2022-12-31,0,0.0,0,0,False
2022-10-31:learned_vol_interaction:negative_low,2022-10-31:negative_low,2022-10-31,learned_vol_interaction,negative_low,2022-12-31,2022,12,5,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2022-12-31,0,0.0,0,0,False
2022-11-30:learned_market:negative_high,2022-11-30:negative_high,2022-11-30,learned_market,negative_high,2022-12-31,2022,25,6,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,3,3.0,0,0,False
2022-11-30:learned_market:negative_high,2022-11-30:negative_high,2022-11-30,learned_market,negative_high,2022-12-31,2022,25,6,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,3,3.0,0,0,False
2022-11-30:learned_market:negative_low,2022-11-30:negative_low,2022-11-30,learned_market,negative_low,2022-12-31,2022,12,5,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,0,0.0,0,0,False
2022-11-30:learned_market:negative_low,2022-11-30:negative_low,2022-11-30,learned_market,negative_low,2022-12-31,2022,12,5,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,0,0.0,0,0,False
2022-11-30:learned_order_extension:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_extension,negative_high,2022-12-31,2022,25,6,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,3,3.0,0,0,False
2022-11-30:learned_order_extension:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_extension,negative_high,2022-12-31,2022,25,6,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,3,3.0,0,0,False
2022-11-30:learned_order_extension:negative_low,2022-11-30:negative_low,2022-11-30,learned_order_extension,negative_low,2022-12-31,2022,12,5,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,0,0.0,0,0,False
2022-11-30:learned_order_extension:negative_low,2022-11-30:negative_low,2022-11-30,learned_order_extension,negative_low,2022-12-31,2022,12,5,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,0,0.0,0,0,False
2022-11-30:learned_order_offset:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_offset,negative_high,2022-12-31,2022,25,6,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,3,3.0,0,0,False
2022-11-30:learned_order_offset:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_offset,negative_high,2022-12-31,2022,25,6,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,3,3.0,0,0,False
2022-11-30:learned_order_offset:negative_low,2022-11-30:negative_low,2022-11-30,learned_order_offset,negative_low,2022-12-31,2022,12,5,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,0,0.0,0,0,False
2022-11-30:learned_order_offset:negative_low,2022-11-30:negative_low,2022-11-30,learned_order_offset,negative_low,2022-12-31,2022,12,5,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,0,0.0,0,0,False
2022-11-30:learned_vol_interaction:negative_high,2022-11-30:negative_high,2022-11-30,learned_vol_interaction,negative_high,2022-12-31,2022,25,6,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,3,3.0,0,0,False
2022-11-30:learned_vol_interaction:negative_high,2022-11-30:negative_high,2022-11-30,learned_vol_interaction,negative_high,2022-12-31,2022,25,6,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,3,3.0,0,0,False
2022-11-30:learned_vol_interaction:negative_low,2022-11-30:negative_low,2022-11-30,learned_vol_interaction,negative_low,2022-12-31,2022,12,5,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,0,0.0,0,0,False
2022-11-30:learned_vol_interaction:negative_low,2022-11-30:negative_low,2022-11-30,learned_vol_interaction,negative_low,2022-12-31,2022,12,5,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-12-31,0,0.0,0,0,False
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,2023-12-31,2023,12,9,92,3,2,cumulative,reached_before_expiry,2023-11-30,2023-11-30,2023-11-13,61.0,31.0,True,3,2,2023-12-31,11,11.0,5,5,False
2023-09-30:learned_market:negative_low,2023-09-30:negative_low,2023-09-30,learned_market,negative_low,2023-12-31,2023,12,9,92,3,2,rolling13,reached_before_expiry,2023-11-30,2023-11-30,,61.0,31.0,True,3,2,2023-12-31,11,11.0,5,5,False
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,2023-12-31,2023,12,9,92,3,2,cumulative,reached_before_expiry,2023-11-30,2023-11-30,2023-11-13,61.0,31.0,True,3,2,2023-12-31,11,11.0,5,5,False
2023-09-30:learned_order_extension:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_extension,negative_low,2023-12-31,2023,12,9,92,3,2,rolling13,reached_before_expiry,2023-11-30,2023-11-30,,61.0,31.0,True,3,2,2023-12-31,11,11.0,5,5,False
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,2023-12-31,2023,12,9,92,3,2,cumulative,reached_before_expiry,2023-11-30,2023-11-30,2023-11-13,61.0,31.0,True,3,2,2023-12-31,11,11.0,5,5,False
2023-09-30:learned_order_offset:negative_low,2023-09-30:negative_low,2023-09-30,learned_order_offset,negative_low,2023-12-31,2023,12,9,92,3,2,rolling13,reached_before_expiry,2023-11-30,2023-11-30,,61.0,31.0,True,3,2,2023-12-31,11,11.0,5,5,False
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,2023-12-31,2023,12,9,92,3,2,cumulative,reached_before_expiry,2023-11-30,2023-11-30,2023-11-13,61.0,31.0,True,3,2,2023-12-31,11,11.0,5,5,False
2023-09-30:learned_vol_interaction:negative_low,2023-09-30:negative_low,2023-09-30,learned_vol_interaction,negative_low,2023-12-31,2023,12,9,92,3,2,rolling13,reached_before_expiry,2023-11-30,2023-11-30,,61.0,31.0,True,3,2,2023-12-31,11,11.0,5,5,False
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,2023-12-31,2023,14,10,61,2,1,cumulative,reached_only_at_expiry,2023-12-31,,2023-12-04,,,True,2,1,2023-12-31,8,8.0,0,0,False
2023-10-31:learned_market:negative_low,2023-10-31:negative_low,2023-10-31,learned_market,negative_low,2023-12-31,2023,14,10,61,2,1,rolling13,reached_only_at_expiry,2023-12-31,,,,,True,2,1,2023-12-31,8,8.0,0,0,False
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,2023-12-31,2023,14,10,61,2,1,cumulative,reached_only_at_expiry,2023-12-31,,2023-12-04,,,True,2,1,2023-12-31,8,8.0,0,0,False
2023-10-31:learned_order_extension:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_extension,negative_low,2023-12-31,2023,14,10,61,2,1,rolling13,reached_only_at_expiry,2023-12-31,,,,,True,2,1,2023-12-31,8,8.0,0,0,False
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,2023-12-31,2023,14,10,61,2,1,cumulative,reached_only_at_expiry,2023-12-31,,2023-12-04,,,True,2,1,2023-12-31,8,8.0,0,0,False
2023-10-31:learned_order_offset:negative_low,2023-10-31:negative_low,2023-10-31,learned_order_offset,negative_low,2023-12-31,2023,14,10,61,2,1,rolling13,reached_only_at_expiry,2023-12-31,,,,,True,2,1,2023-12-31,8,8.0,0,0,False
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,2023-12-31,2023,14,10,61,2,1,cumulative,reached_only_at_expiry,2023-12-31,,2023-12-04,,,True,2,1,2023-12-31,8,8.0,0,0,False
2023-10-31:learned_vol_interaction:negative_low,2023-10-31:negative_low,2023-10-31,learned_vol_interaction,negative_low,2023-12-31,2023,14,10,61,2,1,rolling13,reached_only_at_expiry,2023-12-31,,,,,True,2,1,2023-12-31,8,8.0,0,0,False
2023-11-30:learned_market:negative_low,2023-11-30:negative_low,2023-11-30,learned_market,negative_low,2023-12-31,2023,18,11,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2023-12-31,4,4.0,0,0,False
2023-11-30:learned_market:negative_low,2023-11-30:negative_low,2023-11-30,learned_market,negative_low,2023-12-31,2023,18,11,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2023-12-31,4,4.0,0,0,False
2023-11-30:learned_order_extension:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_extension,negative_low,2023-12-31,2023,18,11,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2023-12-31,4,4.0,0,0,False
2023-11-30:learned_order_extension:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_extension,negative_low,2023-12-31,2023,18,11,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2023-12-31,4,4.0,0,0,False
2023-11-30:learned_order_offset:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_offset,negative_low,2023-12-31,2023,18,11,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2023-12-31,4,4.0,0,0,False
2023-11-30:learned_order_offset:negative_low,2023-11-30:negative_low,2023-11-30,learned_order_offset,negative_low,2023-12-31,2023,18,11,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2023-12-31,4,4.0,0,0,False
2023-11-30:learned_vol_interaction:negative_low,2023-11-30:negative_low,2023-11-30,learned_vol_interaction,negative_low,2023-12-31,2023,18,11,31,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2023-12-31,4,4.0,0,0,False
2023-11-30:learned_vol_interaction:negative_low,2023-11-30:negative_low,2023-11-30,learned_vol_interaction,negative_low,2023-12-31,2023,18,11,31,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2023-12-31,4,4.0,0,0,False
2024-03-31:learned_market:negative_low,2024-03-31:negative_low,2024-03-31,learned_market,negative_low,2024-06-30,2024,25,7,91,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2024-06-30,1,1.0,0,0,False
2024-03-31:learned_market:negative_low,2024-03-31:negative_low,2024-03-31,learned_market,negative_low,2024-06-30,2024,25,7,91,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2024-06-30,1,1.0,0,0,False
2024-03-31:learned_order_extension:negative_low,2024-03-31:negative_low,2024-03-31,learned_order_extension,negative_low,2024-06-30,2024,25,7,91,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2024-06-30,1,1.0,0,0,False
2024-03-31:learned_order_extension:negative_low,2024-03-31:negative_low,2024-03-31,learned_order_extension,negative_low,2024-06-30,2024,25,7,91,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2024-06-30,1,1.0,0,0,False
2024-03-31:learned_order_offset:negative_low,2024-03-31:negative_low,2024-03-31,learned_order_offset,negative_low,2024-06-30,2024,25,7,91,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2024-06-30,1,1.0,0,0,False
2024-03-31:learned_order_offset:negative_low,2024-03-31:negative_low,2024-03-31,learned_order_offset,negative_low,2024-06-30,2024,25,7,91,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2024-06-30,1,1.0,0,0,False
2024-03-31:learned_vol_interaction:negative_low,2024-03-31:negative_low,2024-03-31,learned_vol_interaction,negative_low,2024-06-30,2024,25,7,91,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2024-06-30,1,1.0,0,0,False
2024-03-31:learned_vol_interaction:negative_low,2024-03-31:negative_low,2024-03-31,learned_vol_interaction,negative_low,2024-06-30,2024,25,7,91,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2024-06-30,1,1.0,0,0,False
2024-05-31:learned_market:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_market,nonnegative_low,2024-06-30,2024,18,8,30,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2024-06-30,3,3.0,0,0,False
2024-05-31:learned_market:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_market,nonnegative_low,2024-06-30,2024,18,8,30,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2024-06-30,3,3.0,0,0,False
2024-05-31:learned_order_extension:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_extension,nonnegative_low,2024-06-30,2024,18,8,30,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2024-06-30,3,3.0,0,0,False
2024-05-31:learned_order_extension:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_extension,nonnegative_low,2024-06-30,2024,18,8,30,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2024-06-30,3,3.0,0,0,False
2024-05-31:learned_order_offset:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_offset,nonnegative_low,2024-06-30,2024,18,8,30,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2024-06-30,3,3.0,0,0,False
2024-05-31:learned_order_offset:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_order_offset,nonnegative_low,2024-06-30,2024,18,8,30,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2024-06-30,3,3.0,0,0,False
2024-05-31:learned_vol_interaction:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_vol_interaction,nonnegative_low,2024-06-30,2024,18,8,30,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2024-06-30,3,3.0,0,0,False
2024-05-31:learned_vol_interaction:nonnegative_low,2024-05-31:nonnegative_low,2024-05-31,learned_vol_interaction,nonnegative_low,2024-06-30,2024,18,8,30,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2024-06-30,3,3.0,0,0,False
2024-06-30:learned_market:nonnegative_low,2024-06-30:nonnegative_low,2024-06-30,learned_market,nonnegative_low,2024-09-30,2024,15,11,92,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2024-09-30,1,1.0,0,0,False
2024-06-30:learned_market:nonnegative_low,2024-06-30:nonnegative_low,2024-06-30,learned_market,nonnegative_low,2024-09-30,2024,15,11,92,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2024-09-30,1,1.0,0,0,False
2024-06-30:learned_vol_interaction:nonnegative_low,2024-06-30:nonnegative_low,2024-06-30,learned_vol_interaction,nonnegative_low,2024-09-30,2024,15,11,92,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2024-09-30,1,1.0,0,0,False
2024-06-30:learned_vol_interaction:nonnegative_low,2024-06-30:nonnegative_low,2024-06-30,learned_vol_interaction,nonnegative_low,2024-09-30,2024,15,11,92,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2024-09-30,1,1.0,0,0,False
2024-07-31:learned_market:nonnegative_low,2024-07-31:nonnegative_low,2024-07-31,learned_market,nonnegative_low,2024-09-30,2024,13,8,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2024-09-30,0,0.0,0,0,False
2024-07-31:learned_market:nonnegative_low,2024-07-31:nonnegative_low,2024-07-31,learned_market,nonnegative_low,2024-09-30,2024,13,8,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2024-09-30,0,0.0,0,0,False
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,2024-09-30,2024,33,5,61,2,1,cumulative,reached_only_at_expiry,2024-09-30,,2024-09-02,,,True,2,1,2024-09-30,9,9.0,0,0,False
2024-07-31:learned_order_extension:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_extension,negative_low,2024-09-30,2024,33,5,61,2,1,rolling13,reached_only_at_expiry,2024-09-30,,,,,True,2,1,2024-09-30,9,9.0,0,0,False
2024-07-31:learned_order_extension:nonnegative_low,2024-07-31:nonnegative_low,2024-07-31,learned_order_extension,nonnegative_low,2024-09-30,2024,13,8,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2024-09-30,0,0.0,0,0,False
2024-07-31:learned_order_extension:nonnegative_low,2024-07-31:nonnegative_low,2024-07-31,learned_order_extension,nonnegative_low,2024-09-30,2024,13,8,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2024-09-30,0,0.0,0,0,False
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,2024-09-30,2024,33,5,61,2,1,cumulative,reached_only_at_expiry,2024-09-30,,2024-09-02,,,True,2,1,2024-09-30,9,9.0,0,0,False
2024-07-31:learned_order_offset:negative_low,2024-07-31:negative_low,2024-07-31,learned_order_offset,negative_low,2024-09-30,2024,33,5,61,2,1,rolling13,reached_only_at_expiry,2024-09-30,,,,,True,2,1,2024-09-30,9,9.0,0,0,False
2024-07-31:learned_order_offset:nonnegative_low,2024-07-31:nonnegative_low,2024-07-31,learned_order_offset,nonnegative_low,2024-09-30,2024,13,8,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2024-09-30,0,0.0,0,0,False
2024-07-31:learned_order_offset:nonnegative_low,2024-07-31:nonnegative_low,2024-07-31,learned_order_offset,nonnegative_low,2024-09-30,2024,13,8,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2024-09-30,0,0.0,0,0,False
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,2024-09-30,2024,33,5,61,2,1,cumulative,reached_only_at_expiry,2024-09-30,,2024-09-02,,,True,2,1,2024-09-30,9,9.0,0,0,False
2024-07-31:learned_vol_interaction:negative_low,2024-07-31:negative_low,2024-07-31,learned_vol_interaction,negative_low,2024-09-30,2024,33,5,61,2,1,rolling13,reached_only_at_expiry,2024-09-30,,,,,True,2,1,2024-09-30,9,9.0,0,0,False
2024-07-31:learned_vol_interaction:nonnegative_low,2024-07-31:nonnegative_low,2024-07-31,learned_vol_interaction,nonnegative_low,2024-09-30,2024,13,8,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2024-09-30,0,0.0,0,0,False
2024-07-31:learned_vol_interaction:nonnegative_low,2024-07-31:nonnegative_low,2024-07-31,learned_vol_interaction,nonnegative_low,2024-09-30,2024,13,8,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2024-09-30,0,0.0,0,0,False
2024-08-31:learned_order_extension:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_extension,negative_low,2024-09-30,2024,33,9,30,1,0,cumulative,reached_only_at_expiry,2024-09-30,,2024-09-30,,,True,1,0,2024-09-30,5,5.0,0,0,False
2024-08-31:learned_order_extension:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_extension,negative_low,2024-09-30,2024,33,9,30,1,0,rolling13,reached_only_at_expiry,2024-09-30,,,,,True,1,0,2024-09-30,5,5.0,0,0,False
2024-08-31:learned_order_offset:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_offset,negative_low,2024-09-30,2024,33,9,30,1,0,cumulative,reached_only_at_expiry,2024-09-30,,2024-09-30,,,True,1,0,2024-09-30,5,5.0,0,0,False
2024-08-31:learned_order_offset:negative_low,2024-08-31:negative_low,2024-08-31,learned_order_offset,negative_low,2024-09-30,2024,33,9,30,1,0,rolling13,reached_only_at_expiry,2024-09-30,,,,,True,1,0,2024-09-30,5,5.0,0,0,False
2024-08-31:learned_vol_interaction:negative_low,2024-08-31:negative_low,2024-08-31,learned_vol_interaction,negative_low,2024-09-30,2024,33,9,30,1,0,cumulative,reached_only_at_expiry,2024-09-30,,2024-09-30,,,True,1,0,2024-09-30,5,5.0,0,0,False
2024-08-31:learned_vol_interaction:negative_low,2024-08-31:negative_low,2024-08-31,learned_vol_interaction,negative_low,2024-09-30,2024,33,9,30,1,0,rolling13,reached_only_at_expiry,2024-09-30,,,,,True,1,0,2024-09-30,5,5.0,0,0,False
2024-09-30:learned_order_extension:negative_low,2024-09-30:negative_low,2024-09-30,learned_order_extension,negative_low,2024-12-31,2024,32,12,92,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2024-12-31,0,0.0,0,0,False
2024-09-30:learned_order_extension:negative_low,2024-09-30:negative_low,2024-09-30,learned_order_extension,negative_low,2024-12-31,2024,32,12,92,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2024-12-31,0,0.0,0,0,False
2024-09-30:learned_order_offset:negative_low,2024-09-30:negative_low,2024-09-30,learned_order_offset,negative_low,2024-12-31,2024,32,12,92,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2024-12-31,0,0.0,0,0,False
2024-09-30:learned_order_offset:negative_low,2024-09-30:negative_low,2024-09-30,learned_order_offset,negative_low,2024-12-31,2024,32,12,92,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2024-12-31,0,0.0,0,0,False
2024-10-31:learned_market:negative_low,2024-10-31:negative_low,2024-10-31,learned_market,negative_low,2024-12-31,2024,32,9,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2024-12-31,0,0.0,0,0,False
2024-10-31:learned_market:negative_low,2024-10-31:negative_low,2024-10-31,learned_market,negative_low,2024-12-31,2024,32,9,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2024-12-31,0,0.0,0,0,False
2024-10-31:learned_order_extension:negative_low,2024-10-31:negative_low,2024-10-31,learned_order_extension,negative_low,2024-12-31,2024,32,9,61,2,1,cumulative,not_reached_by_expiry,,,,,,True,2,1,2024-12-31,0,0.0,0,0,False
2024-10-31:learned_order_extension:negative_low,2024-10-31:negative_low,2024-10-31,learned_order_extension,negative_low,2024-12-31,2024,32,9,61,2,1,rolling13,not_reached_by_expiry,,,,,,True,2,1,2024-12-31,0,0.0,0,0,False
