job,method,cutoff,seed,train_n,base_design_rank,augmented_design_rank,projection_rank,base_design_condition,product_std,residual_mean,residual_raw_sd,residual_sd,sd_floored,product_linear_r2,orthogonality_inf,interaction_coefficient,raw_product_coefficient
learned_vol_interaction_2018-12-31_20260910,learned_vol_interaction,2018-12-31,20260910,1921,30,31,30,146.8613630585351,0.7569087157655595,3.8467696261869036e-16,0.6862276305795384,0.6862276305795384,False,0.1780424497470786,3.4880421762208263e-15,0.030378846321141868,0.0442693429518221
learned_vol_interaction_2018-12-31_20260911,learned_vol_interaction,2018-12-31,20260911,1921,30,31,30,154.2774760989966,0.6506040902326043,-1.2529742412219363e-16,0.6125998311601057,0.6125998311601057,False,0.11341543337205207,2.2795115323927863e-15,-0.021336409915014246,-0.03482927815146243
learned_vol_interaction_2018-12-31_20260912,learned_vol_interaction,2018-12-31,20260912,1921,30,31,30,90.42433868673291,0.613549366267237,-1.0356687455118587e-16,0.5761467422992451,0.5761467422992451,False,0.11820588213625638,1.6680526616970738e-15,-0.0756645065343399,-0.13132853313095794
learned_vol_interaction_2019-12-31_20260910,learned_vol_interaction,2019-12-31,20260910,2165,30,31,30,114.51273687612003,0.5657925959584514,8.204881475289841e-17,0.5231062931972756,0.5231062931972756,False,0.1451983146026612,2.7707884742053793e-15,-0.049102013670969655,-0.09386622625174983
learned_vol_interaction_2019-12-31_20260911,learned_vol_interaction,2019-12-31,20260911,2165,30,31,30,160.59981329394708,0.6351423202586995,3.2819525901159363e-16,0.605178623807592,0.605178623807592,False,0.09212709215300796,6.88697238832141e-16,-0.04212577872850956,-0.06960883460071263
learned_vol_interaction_2019-12-31_20260912,learned_vol_interaction,2019-12-31,20260912,2165,30,31,30,147.43902911335263,0.5486514568505215,4.10244073764492e-16,0.512224091441463,0.512224091441463,False,0.1283805194027987,2.242996653180055e-15,0.01857824397273338,0.03626975826234933
raw_vol_interaction_2014-12-31_-1,raw_vol_interaction,2014-12-31,-1,1077,27,28,27,38.08138429005703,0.6793094004693079,5.08001770227741e-16,0.5202751017297653,0.5202751017297653,False,0.4134151574038022,7.488078041668651e-16,0.032712780092514764,0.06287592849197311
raw_vol_interaction_2015-12-31_-1,raw_vol_interaction,2015-12-31,-1,1190,27,28,27,66.89212122320328,0.5745156093456241,2.8287363114819113e-16,0.4345021158019336,0.4345021158019336,False,0.42802094537530067,1.3807815768447325e-15,0.0713187329704232,0.16413897741048886
raw_vol_interaction_2016-12-31_-1,raw_vol_interaction,2016-12-31,-1,1434,27,28,27,41.38902902323549,0.6414817661504187,-4.917807986345184e-16,0.43525921239713294,0.43525921239713294,False,0.539608484751506,9.87897196249442e-16,0.042093150798506604,0.09670823637869513
raw_vol_interaction_2017-12-31_-1,raw_vol_interaction,2017-12-31,-1,1678,27,28,27,47.970794724457754,0.42745591019754353,-1.0956670612510484e-16,0.30142207528284887,0.30142207528284887,False,0.5027583959009346,1.2612742263664695e-15,0.06122591391772731,0.20312352325314612
raw_vol_interaction_2018-12-31_-1,raw_vol_interaction,2018-12-31,-1,1921,27,28,27,46.30166220514938,0.4548066896413351,-3.2364648297245583e-17,0.3319747208280994,0.3319747208280994,False,0.4672096616336917,1.087163212713369e-15,0.007918740413037069,0.023853444001049374
raw_vol_interaction_2019-12-31_-1,raw_vol_interaction,2019-12-31,-1,2165,27,28,27,43.73903017374587,0.40621378090649285,1.9445569096436921e-16,0.2922082469857851,0.2922082469857851,False,0.48254137285138865,9.245363007375034e-16,-0.03394007555714344,-0.1161503000248809
