candidate,reference,cutoff,seed,mode,return_mse_candidate,return_mse_reference,return_mse_difference,auxiliary_mse_candidate,auxiliary_mse_reference,auxiliary_mse_difference,joint_mse_candidate,joint_mse_reference,joint_mse_difference
decay40,prefix20,2017-12-31,20260911,eval,0.8993873342770974,0.9383147261743836,-0.03892739189728622,0.9927899420119298,1.0268788914483693,-0.034088949436439475,0.9986663284782904,1.0410026153192204,-0.04233628684093005
decay40,prefix20,2017-12-31,20260911,dropout,0.9209159454575401,0.9491028362325543,-0.02818689077501424,1.0081196624388267,1.034583736452495,-0.02646407401366835,1.0217279117014226,1.0525612098778039,-0.030833298176381252
decay40,prefix20,2017-12-31,20260912,eval,0.8249416233182681,0.8647827002667409,-0.03984107694847272,1.0450377907510735,1.0581026276411474,-0.013064836890073872,0.9294454023933756,0.9705929630308556,-0.04114756063748004
decay40,prefix20,2017-12-31,20260912,dropout,0.8760082959010274,0.9040725119644053,-0.028064216063377945,1.0533416148916739,1.067162339053593,-0.01382072416191904,0.9813424573901947,1.0107887458697644,-0.02944628847956976
decay40,prefix20,2018-12-31,20260910,eval,0.8095241609531505,0.8408978699111447,-0.031373708957994184,0.9612897223929202,0.978892420167913,-0.017602697774992793,0.9056531331924426,0.938787111927936,-0.0331339787354934
decay40,prefix20,2018-12-31,20260910,dropout,0.861220445304143,0.8891595404771073,-0.027939095172964334,0.980250621628053,0.9960187141221639,-0.01576809249411093,0.9592455074669484,0.9887614118893238,-0.029515904422375394
decay40,prefix20,2018-12-31,20260911,eval,0.8254735146200953,0.8820400550238803,-0.05656654040378495,0.97888102031612,1.0100207789425333,-0.031139758626413272,0.9233616166517074,0.9830421329181336,-0.05968051626642623
decay40,prefix20,2018-12-31,20260911,dropout,0.8742761106726358,0.9147553698589785,-0.040479259186342764,0.9944433077628289,1.0198916013290518,-0.025448293566222913,0.9737204414489187,1.0167445299918838,-0.04302408854296513
decay40,prefix20,2018-12-31,20260912,eval,0.8451892867590695,0.9068090927422244,-0.061619805983154974,1.0390488639268356,1.0478992922108412,-0.008850428284005618,0.949094173151753,1.0115990219633086,-0.0625048488115556
decay40,prefix20,2018-12-31,20260912,dropout,0.8904043474458837,0.9325272357414409,-0.042122888295557215,1.0375881559993125,1.0482933637429124,-0.010705207743599843,0.9941631630458149,1.037356572115732,-0.0431934090699172
decay40,prefix20,2019-12-31,20260910,eval,0.8422515280715615,0.9083641118845436,-0.06611258381298213,1.0068921334095144,1.013135403589137,-0.006243270179622451,0.9429407414125128,1.0096776522434574,-0.06673691083094457
decay40,prefix20,2019-12-31,20260910,dropout,0.8814804102262145,0.9296237419058506,-0.04814333167963614,1.0121459223274099,1.0179009574228859,-0.005755035095476035,0.9826950024589555,1.0314138376481392,-0.04871883518918374
decay40,prefix20,2019-12-31,20260911,eval,0.847972558157336,0.882861090183672,-0.03488853202633602,0.9594582498667216,0.977236361170992,-0.017778111304270428,0.943918383144008,0.9805847263007712,-0.036666343156763204
decay40,prefix20,2019-12-31,20260911,dropout,0.8993633860485246,0.9218434359624514,-0.022480049913926825,0.9803205733125122,0.9948030152766778,-0.014482441964165593,0.9973954433797757,1.0213237374901194,-0.023928294110343695
decay40,prefix20,2019-12-31,20260912,eval,0.8576051218788528,0.9001538581460073,-0.0425487362671545,1.0331417317943128,1.039286982510712,-0.006145250716399264,0.960919295058284,1.0040825563970786,-0.043163261338794556
decay40,prefix20,2019-12-31,20260912,dropout,0.8914686891817023,0.9246408928886951,-0.03317220370699281,1.0336014976881995,1.0396378361146819,-0.006036338426482324,0.9948288389505223,1.028604676500163,-0.03377583754964075
decay40,constant40,2017-12-31,20260910,eval,0.8512454428034503,0.7029378729107485,0.14830756989270177,1.022605452020525,0.95555514561654,0.06705030640398502,0.9535059880055028,0.7984933874724025,0.1550126005331003
decay40,constant40,2017-12-31,20260910,dropout,0.898263010975864,0.7891906115060885,0.10907239946977554,1.0264379435789988,0.9717663028177552,0.054671640761243534,1.000906805333764,0.8863672417878641,0.11453956354589989
decay40,constant40,2017-12-31,20260911,eval,0.8993873342770974,0.7154675459928985,0.18391978828419886,0.9927899420119298,0.9070784575544536,0.08571148445747623,0.9986663284782904,0.8061753917483439,0.19249093672994655
decay40,constant40,2017-12-31,20260911,dropout,0.9209159454575401,0.7849480291173837,0.13596791634015637,1.0081196624388267,0.9350409698078722,0.07307869263095446,1.0217279117014226,0.878452126098171,0.1432757856032516
