schedule,cutoff,seed,epoch,return_mse,auxiliary_mse,joint_mse
constant40,2018-12-31,20260912,30,0.7960437284951011,1.0126567903648187,0.897309407531583
constant40,2018-12-31,20260912,35,0.7637286141755625,1.0069046498027585,0.8644190791558384
constant40,2018-12-31,20260912,40,0.7371632399250132,1.0067130745849624,0.8378345473835095
decay40,2018-12-31,20260912,25,0.8709804371596274,1.0462693416400541,0.9756073713236328
decay40,2018-12-31,20260912,30,0.8600996014641579,1.0458096175773077,0.9646805632218887
decay40,2018-12-31,20260912,35,0.8522266644083955,1.043063242095079,0.9565329886179034
decay40,2018-12-31,20260912,40,0.8451892867590695,1.0390488639268356,0.949094173151753
constant40,2019-12-31,20260910,25,0.8128220117441612,1.0014548393701983,0.9129674956811811
constant40,2019-12-31,20260910,30,0.7686069906606219,0.9774467933415403,0.866351669994776
constant40,2019-12-31,20260910,35,0.7335788062057266,0.951262721095845,0.828705078315311
constant40,2019-12-31,20260910,40,0.7108909996325387,0.9228597116628641,0.8031769707988251
decay40,2019-12-31,20260910,25,0.8713730858258537,1.0106227426998335,0.9724353600958371
decay40,2019-12-31,20260910,30,0.860547410407033,1.010120712146679,0.9615594816217009
decay40,2019-12-31,20260910,35,0.8513768285045129,1.0085117631933844,0.9522280048238514
decay40,2019-12-31,20260910,40,0.8422515280715615,1.0068921334095144,0.9429407414125129
constant40,2019-12-31,20260911,25,0.8424156037049166,0.9480931231790753,0.9372249160228242
constant40,2019-12-31,20260911,30,0.797928082227315,0.9225063484394385,0.890178717071259
constant40,2019-12-31,20260911,35,0.7681842144757604,0.9027636139001912,0.8584605758657795
constant40,2019-12-31,20260911,40,0.7244897830807426,0.8816943349398448,0.8126592165747271
decay40,2019-12-31,20260911,25,0.8634583674854174,0.9695912048857289,0.9604174879739903
decay40,2019-12-31,20260911,30,0.8572550430600369,0.9655488349703801,0.9538099265570749
decay40,2019-12-31,20260911,35,0.8527469447173016,0.9614851388383407,0.9488954586011357
decay40,2019-12-31,20260911,40,0.847972558157336,0.9594582498667216,0.9439183831440081
constant40,2019-12-31,20260912,25,0.8348906327245836,1.0156991311243582,0.9364605458370194
constant40,2019-12-31,20260912,30,0.7950903312645097,1.003517836564614,0.895442114920971
constant40,2019-12-31,20260912,35,0.7494406758635332,0.9953337305653454,0.8489740489200678
constant40,2019-12-31,20260912,40,0.7086578012724616,0.9870995094418938,0.8073677522166509
decay40,2019-12-31,20260912,25,0.8750616195394976,1.0434430188191819,0.9794059214214158
decay40,2019-12-31,20260912,30,0.8684055292616056,1.0393546925440396,0.9723409985160096
decay40,2019-12-31,20260912,35,0.8630946002641113,1.0356094074837743,0.9666555410124887
decay40,2019-12-31,20260912,40,0.8576051218788528,1.0331417317943128,0.9609192950582841
