schedule,cutoff,seed,mode,draws,return_mse,return_mse_draw_sd,auxiliary_mse,auxiliary_mse_draw_sd,joint_mse,joint_mse_draw_sd
constant40,2017-12-31,20260910,dropout,8,0.7891906115060885,0.010821340753212023,0.9717663028177552,0.0025467713092004562,0.8863672417878641,0.010958486422729249
decay40,2017-12-31,20260910,eval,1,0.8512454428034503,0.0,1.022605452020525,0.0,0.9535059880055028,0.0
decay40,2017-12-31,20260910,dropout,8,0.898263010975864,0.01080435118853781,1.0264379435789988,0.0009691697687064074,1.000906805333764,0.010838906258131348
constant40,2017-12-31,20260911,eval,1,0.7154675459928985,0.0,0.9070784575544536,0.0,0.8061753917483439,0.0
constant40,2017-12-31,20260911,dropout,8,0.7849480291173837,0.007257753081160507,0.9350409698078722,0.002500770539489699,0.878452126098171,0.007292765200569096
decay40,2017-12-31,20260911,eval,1,0.8993873342770974,0.0,0.9927899420119298,0.0,0.9986663284782904,0.0
decay40,2017-12-31,20260911,dropout,8,0.9209159454575401,0.005722775945566254,1.0081196624388267,0.003150953287307747,1.0217279117014226,0.006028070674212398
constant40,2017-12-31,20260912,eval,1,0.6947967927825345,0.0,0.949723186248889,0.0,0.7897691114074233,0.0
constant40,2017-12-31,20260912,dropout,8,0.7679174981483208,0.005904873082613171,0.9656734098666442,0.003260916773558746,0.8644848391349851,0.006126080142625803
decay40,2017-12-31,20260912,eval,1,0.8249416233182681,0.0,1.0450377907510735,0.0,0.9294454023933756,0.0
decay40,2017-12-31,20260912,dropout,8,0.8760082959010274,0.005195800170370552,1.0533416148916739,0.0015610790204188354,0.9813424573901947,0.005225525072501348
constant40,2018-12-31,20260910,eval,1,0.701669870406377,0.0,0.8807623924426676,0.0,0.7897461096506437,0.0
constant40,2018-12-31,20260910,dropout,8,0.7662927288465914,0.00952164563089429,0.909870271307728,0.0040740052709679845,0.8572797559773642,0.00974876199092876
decay40,2018-12-31,20260910,eval,1,0.8095241609531505,0.0,0.9612897223929202,0.0,0.9056531331924426,0.0
decay40,2018-12-31,20260910,dropout,8,0.861220445304143,0.0069543257028318655,0.980250621628053,0.002374219186721481,0.9592455074669484,0.00707259773803832
constant40,2018-12-31,20260911,eval,1,0.7413527703845463,0.0,0.8986098929068373,0.0,0.83121375967523,0.0
constant40,2018-12-31,20260911,dropout,8,0.8128606452824219,0.00813968991719272,0.9303267785151166,0.004278528785315763,0.9058933231339336,0.008463373366930807
decay40,2018-12-31,20260911,eval,1,0.8254735146200953,0.0,0.97888102031612,0.0,0.9233616166517074,0.0
decay40,2018-12-31,20260911,dropout,8,0.8742761106726358,0.006980192455218063,0.9944433077628289,0.002930817538901046,0.9737204414489187,0.007119873710208155
constant40,2018-12-31,20260912,eval,1,0.7371632399250132,0.0,1.0067130745849624,0.0,0.8378345473835095,0.0
constant40,2018-12-31,20260912,dropout,8,0.8017764622150665,0.005065664581700938,1.0086933765528876,0.0003439813647533073,0.9026457998703553,0.005066020923312188
decay40,2018-12-31,20260912,eval,1,0.8451892867590695,0.0,1.0390488639268356,0.0,0.949094173151753,0.0
decay40,2018-12-31,20260912,dropout,8,0.8904043474458837,0.007554556953603113,1.0375881559993125,0.0009702744229133131,0.9941631630458149,0.0075302831575898765
constant40,2019-12-31,20260910,eval,1,0.7108909996325387,0.0,0.922859711662864,0.0,0.8031769707988251,0.0
constant40,2019-12-31,20260910,dropout,8,0.7798234759560759,0.0022523441314074313,0.9409375073331221,0.0013272040803278139,0.8739172266893881,0.0022203950425434653
decay40,2019-12-31,20260910,eval,1,0.8422515280715615,0.0,1.0068921334095144,0.0,0.9429407414125128,0.0
decay40,2019-12-31,20260910,dropout,8,0.8814804102262145,0.004382882752876132,1.0121459223274099,0.0006619152620179783,0.9826950024589555,0.004388035067957091
