method,year,n,accuracy,wilson_low,wilson_high,balanced_accuracy,true_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,correlation,ohlc_invalid_fraction
fixed_20,2026,30,0.43333333333333335,0.273774855764669,0.6080269299918595,0.4861111111111111,0.4,0.7666666666666667,0.020909747164151244,-0.009102458802068059,0.10317061644348151,0.0
adaptive_raw,2021,50,0.54,0.4039887139915783,0.6703034780777533,0.54,0.5,0.56,0.02692336860323546,-0.1711990358254767,0.11460735218626569,0.0
adaptive_raw,2022,49,0.4489795918367347,0.31852841068686966,0.5868489178050174,0.45833333333333337,0.42857142857142855,0.5714285714285714,0.030136913801135045,-0.487767643024958,-0.0474166199178632,0.0
adaptive_raw,2023,48,0.5208333333333334,0.3832923230334315,0.6552868382304804,0.5127041742286751,0.3958333333333333,0.4583333333333333,0.02304713417001742,-0.32273657109340115,-0.029854879660123523,0.008333333333333333
adaptive_raw,2024,47,0.48936170212765956,0.35275555033682504,0.6275754625177281,0.510989010989011,0.44680851063829785,0.7021276595744681,0.03623177586286142,-0.17304642331918219,-0.10094750916732873,0.0
adaptive_raw,2025,48,0.5625,0.42275017419828137,0.6929873095934544,0.5815939278937381,0.6458333333333334,0.4583333333333333,0.025264384664371864,-0.5282494930073898,-0.26252472439144253,0.0
adaptive_raw,2026,30,0.4,0.24590628116802207,0.5767963974667707,0.4444444444444444,0.4,0.7333333333333333,0.023819932537177825,-0.30953996147188745,-0.1363826727247194,0.0
adaptive_normalized,2021,50,0.66,0.52153826050233,0.7756305077749965,0.66,0.5,0.64,0.02519354522366665,-0.025534991109528393,0.24549050151975854,0.0
adaptive_normalized,2022,49,0.5102040816326531,0.3746756374046839,0.6442488968969388,0.5119047619047619,0.42857142857142855,0.5102040816326531,0.026993812684448785,-0.1936198075673503,0.08873946382019815,0.0
adaptive_normalized,2023,48,0.5416666666666666,0.40291074545650174,0.6742475770713221,0.5934664246823956,0.3958333333333333,0.7291666666666666,0.023543766149552846,-0.3803568406037774,0.0815592913645707,0.0125
adaptive_normalized,2024,47,0.425531914893617,0.29513628343680287,0.5671808065450684,0.42124542124542125,0.44680851063829785,0.46808510638297873,0.0371814051397749,-0.23534298758911154,-0.16644927943158236,0.0
adaptive_normalized,2025,48,0.4791666666666667,0.34471316176951966,0.6167076769665685,0.5037950664136622,0.6458333333333334,0.4166666666666667,0.024305426974100198,-0.4144360595417804,0.007877074560154471,0.0
adaptive_normalized,2026,30,0.43333333333333335,0.273774855764669,0.6080269299918595,0.4444444444444444,0.4,0.5666666666666667,0.023735432639919108,-0.3002653995886624,-0.057308051018960096,0.0
random_partition,2021,50,0.52,0.38511744890044963,0.6520286471342163,0.52,0.5,0.62,0.025823896632700183,-0.07749549070861472,0.12574996833766683,0.004
random_partition,2022,49,0.40816326530612246,0.28215238520387176,0.5475268060815248,0.42857142857142855,0.42857142857142855,0.6530612244897959,0.026975000803577065,-0.19195672945716669,-0.021442837594874517,0.0
random_partition,2023,48,0.4583333333333333,0.3257524229286779,0.5970892545434983,0.4791288566243194,0.3958333333333333,0.6041666666666666,0.027952573395079207,-0.9457323243571762,-0.2907348860636591,0.04166666666666667
random_partition,2024,47,0.3404255319148936,0.22167443843771886,0.48329075438057667,0.3489010989010989,0.44680851063829785,0.5957446808510638,0.035493880825359,-0.12575252859042463,-0.17207919493447252,0.0
random_partition,2025,48,0.4166666666666667,0.2884966777841188,0.5571866771602335,0.40227703984819735,0.6458333333333334,0.5208333333333334,0.02148794772805608,-0.10552021405582312,0.038239201058000445,0.004166666666666667
random_partition,2026,30,0.43333333333333335,0.273774855764669,0.6080269299918595,0.4444444444444444,0.4,0.5666666666666667,0.02146743806311474,-0.06364851622824363,0.030515884814490885,0.0
shuffled_labels,2021,50,0.6,0.4618143774758974,0.7239161026974317,0.6,0.5,0.78,0.04834844253666361,-2.7769122004251874,0.2892537330097495,
shuffled_labels,2022,49,0.46938775510204084,0.3370350369317549,0.6061913601633775,0.5357142857142857,0.42857142857142855,0.9591836734693877,0.0924945472313822,-13.014248655957052,0.24914906547929588,
shuffled_labels,2023,48,0.4791666666666667,0.34471316176951966,0.6167076769665685,0.5054446460980035,0.3958333333333333,0.625,0.056569410296305106,-6.968981230219427,0.055744048084607284,
shuffled_labels,2024,47,0.46808510638297873,0.3333168707656108,0.6076761677980483,0.4597069597069597,0.44680851063829785,0.425531914893617,0.06898144256222136,-3.2520709449682643,0.21133001040628221,
shuffled_labels,2025,48,0.4166666666666667,0.2884966777841188,0.5571866771602335,0.50853889943074,0.6458333333333334,0.1875,0.06726777202877254,-9.834051546975209,0.04414613980494601,
shuffled_labels,2026,30,0.5,0.33154125640534177,0.6684587435946583,0.4583333333333333,0.4,0.3,0.033591528884253145,-1.60433737152352,0.19974985044274476,
training_mean,2021,50,0.5,0.36644514316828924,0.6335548568317108,0.5,0.5,1.0,0.025177965724087543,-0.024267016976276645,,
training_mean,2022,49,0.42857142857142855,0.3002331907888191,0.5672950690998226,0.5,0.42857142857142855,1.0,0.025083173208651506,-0.030629363117189,,
training_mean,2023,48,0.3958333333333333,0.2702082786059167,0.5368959150745236,0.5,0.3958333333333333,1.0,0.020363124240589607,-0.03259097027975866,,
training_mean,2024,47,0.44680851063829785,0.31410966265495616,0.587545401617809,0.5,0.44680851063829785,1.0,0.03334667437287898,0.006332661451574295,,
training_mean,2025,48,0.6458333333333334,0.5043905701034349,0.7656635587439488,0.5,0.6458333333333334,1.0,0.020206720867989306,0.02238356349117343,,
training_mean,2026,30,0.4,0.24590628116802207,0.5767963974667707,0.5,0.4,1.0,0.020819910021773233,-0.00045002176920250214,,
always_up,2021,50,0.5,0.36644514316828924,0.6335548568317108,0.5,0.5,1.0,0.02487791877818471,-7.347901398446766e-09,,
always_up,2022,49,0.42857142857142855,0.3002331907888191,0.5672950690998226,0.5,0.42857142857142855,1.0,0.024707637674482336,-1.2178318797850807e-08,,
always_up,2023,48,0.3958333333333333,0.2702082786059167,0.5368959150745236,0.5,0.3958333333333333,1.0,0.020039194184417422,-1.9198318712554396e-08,,
always_up,2024,47,0.44680851063829785,0.31410966265495616,0.587545401617809,0.5,0.44680851063829785,1.0,0.03345276500539855,6.6646932417313565e-09,,
always_up,2025,48,0.6458333333333334,0.5043905701034349,0.7656635587439488,0.5,0.6458333333333334,1.0,0.020436738623773664,2.0034539138791274e-08,,
always_up,2026,30,0.4,0.24590628116802207,0.5767963974667707,0.5,0.4,1.0,0.02081522686396404,3.075636190175146e-09,,
zero_return,2021,50,0.5,0.36644514316828924,0.6335548568317108,0.5,0.5,0.0,0.024877918686784465,0.0,,
zero_return,2022,49,0.5714285714285714,0.4327049309001773,0.6997668092111808,0.5,0.42857142857142855,0.0,0.024707637524033595,0.0,,
zero_return,2023,48,0.6041666666666666,0.46310408492547633,0.7297917213940832,0.5,0.3958333333333333,0.0,0.020039193992058005,0.0,,
zero_return,2024,47,0.5531914893617021,0.41245459838219095,0.6858903373450438,0.5,0.44680851063829785,0.0,0.03345276511687476,0.0,,
zero_return,2025,48,0.3541666666666667,0.23433644125605135,0.4956094298965652,0.5,0.6458333333333334,0.0,0.020436738828493988,0.0,,
zero_return,2026,30,0.6,0.4232036025332294,0.754093718831978,0.5,0.4,0.0,0.02081522689597407,0.0,,
momentum_20,2021,50,0.4,0.27608389730256844,0.5381856225241026,0.4,0.5,0.46,0.05370869286125536,-3.6608065506142298,-0.19809879626709206,
momentum_20,2022,49,0.5918367346938775,0.45247319391847507,0.7178476147961282,0.5654761904761905,0.42857142857142855,0.30612244897959184,0.0552268903192341,-3.9961875999514893,0.07262053970485578,
momentum_20,2023,48,0.4583333333333333,0.3257524229286779,0.5970892545434983,0.41560798548094374,0.3958333333333333,0.3125,0.04273777035925973,-3.548447887203559,-0.17751833504695186,
momentum_20,2024,47,0.5957446808510638,0.45342122950111335,0.7235996548079093,0.5888278388278388,0.44680851063829785,0.425531914893617,0.07731587748556627,-4.341624264055224,-0.0571735913105594,
momentum_20,2025,48,0.5,0.36389330502679734,0.6361066949732026,0.4402277039848197,0.6458333333333334,0.6875,0.04518360023437846,-3.888081916672445,-0.09836737211362721,
momentum_20,2026,30,0.4666666666666667,0.3023238890770015,0.6385770038012628,0.4444444444444444,0.4,0.4,0.04625538488973265,-3.938127506543654,-0.24009830590576586,
