method,cost_bps,start,end,total_return,cagr,sharpe_zero_cash,max_drawdown,exposure,one_way_turnover,observations
random_partition,20,2021-01-11,2026-08-31,-0.4674630522031319,-0.10580329892001183,-0.8443390205065372,-0.5092895741139307,0.5900439238653001,114,1366
shuffled_labels,0,2021-01-11,2026-08-31,-0.007604268465180586,-0.001353831610670042,0.05709131599516235,-0.2837461273105384,0.5622254758418741,28,1366
shuffled_labels,5,2021-01-11,2026-08-31,-0.021404432429174447,-0.0038327005091638444,0.03806979994545926,-0.2866061340348318,0.5622254758418741,28,1366
shuffled_labels,10,2021-01-11,2026-08-31,-0.03501945422791042,-0.006306652034602678,0.01905393444440639,-0.2894561432437385,0.5622254758418741,28,1366
shuffled_labels,20,2021-01-11,2026-08-31,-0.06170361378080702,-0.011239832162510344,-0.018945242142799204,-0.29712070743988805,0.5622254758418741,28,1366
training_mean,0,2021-01-11,2026-08-31,-0.1711862128104904,-0.03277415065574596,-0.07801062709316563,-0.4666020496211638,1.0,2,1366
training_mean,5,2021-01-11,2026-08-31,-0.17201481939423235,-0.032945839784627284,-0.07892757856497594,-0.46660204962116236,1.0,2,1366
training_mean,10,2021-01-11,2026-08-31,-0.17284301157108228,-0.033117584323650195,-0.07984422904247555,-0.46660204962116425,1.0,2,1366
training_mean,20,2021-01-11,2026-08-31,-0.17449815270409885,-0.033461239814696175,-0.08167660213886653,-0.4666020496211635,1.0,2,1366
always_up,0,2021-01-11,2026-08-31,-0.1711862128104904,-0.03277415065574596,-0.07801062709316563,-0.4666020496211638,1.0,2,1366
always_up,5,2021-01-11,2026-08-31,-0.17201481939423235,-0.032945839784627284,-0.07892757856497594,-0.46660204962116236,1.0,2,1366
always_up,10,2021-01-11,2026-08-31,-0.17284301157108228,-0.033117584323650195,-0.07984422904247555,-0.46660204962116425,1.0,2,1366
always_up,20,2021-01-11,2026-08-31,-0.17449815270409885,-0.033461239814696175,-0.08167660213886653,-0.4666020496211635,1.0,2,1366
zero_return,0,2021-01-11,2026-08-31,0.0,0.0,0.0,0.0,0.0,0,1366
zero_return,5,2021-01-11,2026-08-31,0.0,0.0,0.0,0.0,0.0,0,1366
zero_return,10,2021-01-11,2026-08-31,0.0,0.0,0.0,0.0,0.0,0,1366
zero_return,20,2021-01-11,2026-08-31,0.0,0.0,0.0,0.0,0.0,0,1366
momentum_20,0,2021-01-11,2026-08-31,-0.22746392234944224,-0.04476982623763959,-0.27427821600298463,-0.32477234756922846,0.43997071742313326,64,1366
momentum_20,5,2021-01-11,2026-08-31,-0.25179971152400216,-0.05018083817914354,-0.3169517349951467,-0.3407888486961542,0.43997071742313326,64,1366
momentum_20,10,2021-01-11,2026-08-31,-0.27538050051155805,-0.05556388337306195,-0.3596159143971357,-0.356433166593602,0.43997071742313326,64,1366
momentum_20,20,2021-01-11,2026-08-31,-0.32036863612992494,-0.06624659559999935,-0.44484115422900306,-0.38663893923611237,0.43997071742313326,64,1366
