job,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf,alternate_success,alternate_iterations,alternate_message
learned_order_extension_2019-12-31_20260912,2.220446049250313e-15,6.519549589079077e-08,5.9687330607530176e-09,True,72,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_extension_2014-12-31_-1,3.4416913763379853e-15,9.334334560850976e-08,7.960099102361352e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_extension_2015-12-31_-1,4.3298697960381105e-15,1.2656522652143565e-07,7.649207847855444e-09,True,64,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_extension_2016-12-31_-1,1.4432899320127035e-15,7.758544540159562e-08,7.122914590345763e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_extension_2017-12-31_-1,5.773159728050814e-15,1.7300330013014786e-07,2.706855102953612e-08,True,69,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_extension_2018-12-31_-1,2.3314683517128287e-15,9.77527101486686e-08,7.133260617169651e-09,True,73,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_order_extension_2019-12-31_-1,9.992007221626409e-16,5.890701493260764e-08,7.451702423676414e-09,True,73,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
order_only_2014-12-31_0,1.1102230246251565e-16,3.8259925227990266e-09,1.840197705554071e-09,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
order_only_2015-12-31_0,1.1102230246251565e-16,5.610545361633967e-10,4.962126037797424e-10,True,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
order_only_2016-12-31_0,1.1102230246251565e-16,1.2049465869523601e-09,9.004507463541788e-10,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
order_only_2017-12-31_0,0.0,3.2565616869817404e-10,3.514116081460017e-15,True,5,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
order_only_2018-12-31_0,1.1102230246251565e-16,6.278955133609543e-11,3.209238430557093e-16,True,5,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
order_only_2019-12-31_0,2.220446049250313e-16,3.9101610838088163e-11,6.379887991601191e-12,True,4,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
