window,partition,state,method,sparse,sample_share,error_share,brier_difference_vs_frequency,accuracy_difference_vs_native,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
early_2015_2017,trend_volatility,high_trend__high_vol,raw25_clip,True,0.10833333333333334,0.1044776119402985,0.040127646794992866,-0.07692307692307687,13,0.46153846153846156,0.5384615384615384,6,0.48809523809523814,0.15384615384615385,0.5384615384615384,1,5,1,6,0.5714285714285714,0.2907970345831182,0.7863578606088996,0.35525559042211785,0.14010350825468804,-0.18320594803942059,0.0
early_2015_2017,trend_volatility,high_trend__high_vol,training_frequency,True,0.10833333333333334,0.12280701754385964,0.0,-0.07692307692307687,13,0.46153846153846156,0.5384615384615384,6,0.5,0.0,0.5384615384615384,0,6,0,7,0.5,0.2506693877881253,0.6944860725136917,0.4921077065923863,0.0,-0.04635383186915215,0.0
early_2015_2017,trend_volatility,high_trend__high_vol,neutral_50,True,0.10833333333333334,0.1044776119402985,-0.0006693877881253085,-0.07692307692307687,13,0.46153846153846156,0.5384615384615384,6,0.5,0.0,0.5384615384615384,0,6,0,7,0.5,0.25,0.6931471805599453,0.5,0.0,-0.038461538461538436,0.0
early_2015_2017,volatility,low_vol,native_mse,False,0.7333333333333333,0.7049180327868853,,0.0,88,0.5113636363636364,0.48863636363636365,45,0.5036630036630036,0.5681818181818182,0.5568181818181818,28,17,22,21,0.522239665096808,,,,,,
early_2015_2017,volatility,low_vol,learned_probe,False,0.7333333333333333,0.7017543859649122,0.003028438627232094,0.03409090909090906,88,0.5454545454545454,0.45454545454545453,48,0.5368916797488226,0.5795454545454546,0.5568181818181818,30,18,21,19,0.5395081109366824,0.2525611554349238,0.6982931171360254,0.5048441210908773,0.11853928975879276,-0.05197406072730448,0.0
early_2015_2017,volatility,low_vol,learned_clip,False,0.7333333333333333,0.7017543859649122,0.003565221291707138,0.03409090909090906,88,0.5454545454545454,0.45454545454545453,48,0.5368916797488226,0.5795454545454546,0.5568181818181818,30,18,21,19,0.5379382522239665,0.25309793809939884,0.6993960221908179,0.5039509106682435,0.11901163390179226,-0.05286727114993828,0.0
early_2015_2017,volatility,low_vol,raw25_probe,False,0.7333333333333333,0.7313432835820896,0.03659914511282866,-0.06818181818181818,88,0.4431818181818182,0.5568181818181818,39,0.4947671376242805,0.045454545454545456,0.5568181818181818,2,37,2,47,0.46467817896389324,0.28613186192052037,0.7714298344228564,0.3863255603709167,0.08023340652477312,-0.17049262144726507,0.0
early_2015_2017,volatility,low_vol,raw25_clip,False,0.7333333333333333,0.7313432835820896,0.03289441366246229,-0.06818181818181818,88,0.4431818181818182,0.5568181818181818,39,0.4947671376242805,0.045454545454545456,0.5568181818181818,2,37,2,47,0.46886446886446886,0.282427130470154,0.762380316415454,0.39416463074810526,0.07947903510404616,-0.1626535510700765,0.0
early_2015_2017,volatility,low_vol,training_frequency,False,0.7333333333333333,0.7017543859649122,0.0,0.03409090909090906,88,0.5454545454545454,0.45454545454545453,48,0.4897959183673469,0.9886363636363636,0.5568181818181818,48,0,39,1,0.49921507064364207,0.2495327168076917,0.692212569722943,0.5052858237427164,0.0022691342826603204,-0.05153235807546541,0.0
early_2015_2017,volatility,low_vol,neutral_50,False,0.7333333333333333,0.7313432835820896,0.0004672831923082932,-0.06818181818181818,88,0.4431818181818182,0.5568181818181818,39,0.5,0.0,0.5568181818181818,0,39,0,49,0.5,0.25,0.6931471805599453,0.5,0.0,-0.05681818181818177,0.0
early_2015_2017,volatility,high_vol,native_mse,False,0.26666666666666666,0.29508196721311475,,0.0,32,0.4375,0.5625,14,0.42063492063492064,0.625,0.5625,10,4,10,8,0.3611111111111111,,,,,,
early_2015_2017,volatility,high_vol,learned_probe,False,0.26666666666666666,0.2982456140350877,0.03777664810458564,0.03125,32,0.46875,0.53125,15,0.4801587301587301,0.40625,0.5625,7,8,6,11,0.3412698412698413,0.28845626919499245,0.7725855345233432,0.4717528688227586,0.09003628997135442,-0.09074713117724142,0.0
early_2015_2017,volatility,high_vol,learned_clip,False,0.26666666666666666,0.2982456140350877,0.03818974086426796,0.03125,32,0.46875,0.53125,15,0.4801587301587301,0.40625,0.5625,7,8,6,11,0.34523809523809523,0.2888693619546748,0.7734718023762959,0.47217383570344384,0.09057068009572589,-0.09032616429655616,0.0
early_2015_2017,volatility,high_vol,raw25_probe,False,0.26666666666666666,0.26865671641791045,0.05780283719211138,0.0,32,0.4375,0.5625,14,0.46825396825396826,0.25,0.5625,4,10,4,14,0.48412698412698413,0.3084824582825182,0.8373610331651604,0.4132607222791492,0.19523141993794896,-0.14923927772085083,0.0
early_2015_2017,volatility,high_vol,raw25_clip,False,0.26666666666666666,0.26865671641791045,0.03642803572097414,0.0,32,0.4375,0.5625,14,0.4365079365079365,0.5,0.5625,8,6,8,10,0.4523809523809524,0.28710765681138095,0.7745910242329692,0.46952513486630276,0.1625733703442761,-0.09297486513369724,0.0
early_2015_2017,volatility,high_vol,training_frequency,False,0.26666666666666666,0.2982456140350877,0.0,0.03125,32,0.46875,0.53125,15,0.48809523809523814,0.34375,0.5625,6,9,5,12,0.4880952380952381,0.2506796210904068,0.6945065528553267,0.49597614463612744,0.005345015272225333,-0.06652385536387256,0.0
early_2015_2017,volatility,high_vol,neutral_50,False,0.26666666666666666,0.26865671641791045,-0.0006796210904068123,0.0,32,0.4375,0.5625,14,0.5,0.0,0.5625,0,14,0,18,0.5,0.25,0.6931471805599453,0.5,0.0,-0.0625,0.0
early_2015_2017,range,low_range,native_mse,False,0.7166666666666667,0.6885245901639344,,0.0,86,0.5116279069767442,0.4883720930232558,44,0.5051827605019095,0.5697674418604651,0.5465116279069767,27,17,22,20,0.524822695035461,,,,,,
early_2015_2017,range,low_range,learned_probe,False,0.7166666666666667,0.6842105263157895,0.002083570011611663,0.03488372093023251,86,0.5465116279069767,0.45348837209302323,47,0.5392798690671031,0.5813953488372093,0.5465116279069767,29,18,21,18,0.5455537370430987,0.25155187865434114,0.6962335539265001,0.5058920950758338,0.11930682990478465,-0.040619532831142946,0.0
early_2015_2017,range,low_range,learned_clip,False,0.7166666666666667,0.6842105263157895,0.0026481593484206367,0.03488372093023251,86,0.5465116279069767,0.45348837209302323,47,0.5392798690671031,0.5813953488372093,0.5465116279069767,29,18,21,18,0.5439170758319695,0.2521164679911501,0.697389225079879,0.5049524689722085,0.11975293826605489,-0.04155915893476825,0.0
early_2015_2017,range,low_range,raw25_probe,False,0.7166666666666667,0.7014925373134329,0.030714400411619686,-0.05813953488372098,86,0.45348837209302323,0.5465116279069767,39,0.49563557010365517,0.046511627906976744,0.5465116279069767,2,37,2,45,0.4795417348608838,0.28018270905434917,0.7580267495480635,0.38912234741719387,0.07852763594826612,-0.15738928048978285,0.0
early_2015_2017,range,low_range,raw25_clip,False,0.7166666666666667,0.7014925373134329,0.02729021939442597,-0.05813953488372098,86,0.45348837209302323,0.5465116279069767,39,0.49563557010365517,0.046511627906976744,0.5465116279069767,2,37,2,45,0.4849972722313148,0.27675852803715545,0.7499138845985045,0.39692123398110146,0.07807288825548142,-0.14959039392587525,0.0
early_2015_2017,range,low_range,training_frequency,False,0.7166666666666667,0.6842105263157895,0.0,0.03488372093023251,86,0.5465116279069767,0.45348837209302323,47,0.5,1.0,0.5465116279069767,47,0,39,0,0.5158210583742499,0.24946830864272948,0.6920837381048677,0.5054614353282423,0.0017819861268222542,-0.041050192578734435,0.0
