history,method,date,year,actual_up,annual_probability,candidate_probability,case
fixed_transform_step50,learned_vol_interaction,2024-08-02,2024,0,0.5014632579052075,0.4820913409356131,recovery
fixed_transform_step50,learned_vol_interaction,2024-08-09,2024,1,0.5008717807058894,0.4833118948965108,regression
fixed_transform_step50,learned_vol_interaction,2024-11-15,2024,0,0.4886110263241541,0.5012640003235201,regression
fixed_transform_step50,learned_vol_interaction,2024-12-06,2024,0,0.49520297386965,0.5084812364403863,regression
fixed_transform_step50,learned_vol_interaction,2026-08-14,2026,0,0.4863994421459692,0.5227834912776185,regression
fixed_transform_step50,learned_order_extension,2022-07-01,2022,0,0.4830304702855306,0.5092662479494762,regression
fixed_transform_step50,learned_order_extension,2022-12-02,2022,1,0.5019286374845816,0.4650950924467394,regression
fixed_transform_step50,learned_order_extension,2022-12-23,2022,1,0.5144819130605144,0.4718645418123207,regression
fixed_transform_step50,learned_order_extension,2023-07-07,2023,1,0.47537052027496984,0.518276519402607,recovery
fixed_transform_step50,learned_order_extension,2023-12-15,2023,1,0.49297399221381855,0.5234713034713073,recovery
fixed_transform_step50,learned_order_extension,2023-12-29,2023,0,0.4895851897009074,0.506676165901433,regression
fixed_transform_step50,learned_order_extension,2026-05-08,2026,0,0.49801198787078843,0.500177458078239,regression
fixed_transform_step50,learned_order_extension,2026-05-22,2026,1,0.5050517409494192,0.4979163352684117,regression
fixed_transform_step50,learned_order_extension,2026-07-03,2026,0,0.49019228952696475,0.5360805062187303,regression
fixed_transform_step50,learned_order_extension,2026-07-10,2026,0,0.4838752558028981,0.5297222884460234,regression
fixed_transform_step50,learned_order_extension,2026-07-17,2026,1,0.48324475733931876,0.5132272669518145,recovery
fixed_transform_step50,learned_order_extension,2026-07-24,2026,0,0.486574276555423,0.5289070583338917,regression
fixed_transform_step50,learned_order_extension,2026-08-14,2026,0,0.47911008879014627,0.5113584731175858,regression
fixed_transform_step50,learned_order_offset,2022-07-01,2022,0,0.4828574086822266,0.5100976072052378,regression
fixed_transform_step50,learned_order_offset,2022-12-02,2022,1,0.5013991701283729,0.46814688736504,regression
fixed_transform_step50,learned_order_offset,2022-12-23,2022,1,0.5143062955847914,0.47387483834196814,regression
fixed_transform_step50,learned_order_offset,2023-07-07,2023,1,0.4766170918708079,0.5206676699533054,recovery
fixed_transform_step50,learned_order_offset,2023-12-15,2023,1,0.4941851974930236,0.5252128494167317,recovery
fixed_transform_step50,learned_order_offset,2023-12-29,2023,0,0.49118300041686286,0.5076808339848684,regression
fixed_transform_step50,learned_order_offset,2024-11-22,2024,1,0.4997742215811063,0.5153391112712173,recovery
fixed_transform_step50,learned_order_offset,2026-05-22,2026,1,0.5050438655177666,0.4977923404134135,regression
fixed_transform_step50,learned_order_offset,2026-07-03,2026,0,0.4899947842704179,0.5369930959555105,regression
fixed_transform_step50,learned_order_offset,2026-07-10,2026,0,0.48332989719207314,0.5298831332176305,regression
fixed_transform_step50,learned_order_offset,2026-07-17,2026,1,0.4828431648821933,0.5147201561925926,recovery
fixed_transform_step50,learned_order_offset,2026-07-24,2026,0,0.48604553906921294,0.5300626912240078,regression
fixed_transform_step50,learned_order_offset,2026-08-14,2026,0,0.4792330760731214,0.5124338203508462,regression
fixed_transform_step100,learned_market,2021-05-14,2021,1,0.5300139783759729,0.49928267973729623,regression
fixed_transform_step100,learned_market,2021-05-28,2021,0,0.5499439655342768,0.47429782710398855,recovery
fixed_transform_step100,learned_market,2021-07-23,2021,0,0.47917206557692377,0.5388271764887461,regression
fixed_transform_step100,learned_market,2022-04-29,2022,0,0.5023319608025917,0.49410114240023956,recovery
fixed_transform_step100,learned_market,2022-07-01,2022,0,0.49633439488206865,0.5261433151413799,regression
fixed_transform_step100,learned_market,2022-07-22,2022,0,0.47899863601678566,0.5112655754494605,regression
fixed_transform_step100,learned_market,2022-12-02,2022,1,0.5211543827116397,0.47331042614968116,regression
fixed_transform_step100,learned_market,2022-12-16,2022,0,0.5623433034730375,0.4968781948857828,recovery
fixed_transform_step100,learned_market,2022-12-23,2022,1,0.5238621504900975,0.4192202670356006,regression
fixed_transform_step100,learned_market,2023-05-26,2023,0,0.49788297412809596,0.519494187497587,regression
fixed_transform_step100,learned_market,2023-07-07,2023,1,0.46486168201210815,0.5406845628102946,recovery
fixed_transform_step100,learned_market,2023-07-28,2023,0,0.46601968623152207,0.524128028671739,regression
fixed_transform_step100,learned_market,2023-08-04,2023,0,0.48315939615600567,0.5234254143635017,regression
fixed_transform_step100,learned_market,2023-08-18,2023,1,0.4990632713040057,0.5182612862205818,recovery
fixed_transform_step100,learned_market,2023-12-15,2023,1,0.47065036969970947,0.508271693763918,recovery
fixed_transform_step100,learned_market,2024-06-28,2024,0,0.4931675128202729,0.5066391647531069,regression
fixed_transform_step100,learned_market,2024-07-05,2024,1,0.528650719554156,0.49077138894649125,regression
fixed_transform_step100,learned_market,2024-07-12,2024,1,0.5216586711971275,0.48059145652912094,regression
fixed_transform_step100,learned_market,2024-07-26,2024,0,0.5339836500163383,0.47227259719041287,recovery
fixed_transform_step100,learned_market,2024-11-08,2024,0,0.48607613010448364,0.5125084255943492,regression
fixed_transform_step100,learned_market,2024-11-15,2024,0,0.4913187263432179,0.5201725466917152,regression
fixed_transform_step100,learned_market,2025-04-11,2025,0,0.5411752851500489,0.4793482970519238,recovery
fixed_transform_step100,learned_market,2025-07-18,2025,1,0.518575190291754,0.4836211798861721,regression
fixed_transform_step100,learned_market,2025-08-29,2025,0,0.5089157664667425,0.4659447911345227,recovery
fixed_transform_step100,learned_market,2026-07-03,2026,0,0.48961299180420353,0.534278680631713,regression
fixed_transform_step100,learned_market,2026-07-17,2026,1,0.48034056980630435,0.5262401036649315,recovery
fixed_transform_step100,learned_market,2026-07-24,2026,0,0.4855896136257898,0.5504630694990905,regression
fixed_transform_step100,learned_market,2026-08-07,2026,0,0.4499577215063888,0.5078856812645399,regression
fixed_transform_step100,learned_market,2026-08-14,2026,0,0.48837964453678734,0.5589591274773172,regression
fixed_transform_step100,learned_vol_interaction,2021-05-28,2021,0,0.5496184120327744,0.4656200451711223,recovery
fixed_transform_step100,learned_vol_interaction,2021-07-23,2021,0,0.47403532351160904,0.525525131193221,regression
fixed_transform_step100,learned_vol_interaction,2022-04-29,2022,0,0.5121820307195798,0.4975615553937043,recovery
fixed_transform_step100,learned_vol_interaction,2022-05-06,2022,1,0.50030474991922,0.4848159786652661,regression
fixed_transform_step100,learned_vol_interaction,2022-07-01,2022,0,0.4866788057856351,0.5293676673020217,regression
fixed_transform_step100,learned_vol_interaction,2022-07-08,2022,0,0.49920494025306567,0.5260371741890845,regression
fixed_transform_step100,learned_vol_interaction,2022-07-22,2022,0,0.4805619191563751,0.5133901755684174,regression
fixed_transform_step100,learned_vol_interaction,2022-11-04,2022,1,0.45737864151269214,0.5016396206312236,recovery
fixed_transform_step100,learned_vol_interaction,2022-11-11,2022,0,0.49804434583176854,0.5575894003293196,regression
fixed_transform_step100,learned_vol_interaction,2022-12-02,2022,1,0.5192089197639946,0.47526593065385114,regression
fixed_transform_step100,learned_vol_interaction,2022-12-16,2022,0,0.5642656801045604,0.4944410839870755,recovery
fixed_transform_step100,learned_vol_interaction,2022-12-23,2022,1,0.5180072104704162,0.42226220312321266,regression
fixed_transform_step100,learned_vol_interaction,2023-07-07,2023,1,0.4727214101000084,0.5548726137103185,recovery
fixed_transform_step100,learned_vol_interaction,2023-07-28,2023,0,0.4659806736970172,0.5319525789970606,regression
fixed_transform_step100,learned_vol_interaction,2023-08-04,2023,0,0.4862940553693331,0.5389537696789889,regression
fixed_transform_step100,learned_vol_interaction,2023-10-20,2023,1,0.43396193370793035,0.5116710864894483,recovery
fixed_transform_step100,learned_vol_interaction,2023-12-15,2023,1,0.4859739920213066,0.5380525188499291,recovery
fixed_transform_step100,learned_vol_interaction,2024-07-12,2024,1,0.5287742828671521,0.4830410912934262,regression
fixed_transform_step100,learned_vol_interaction,2024-07-26,2024,0,0.5405317975384868,0.4795639067993743,recovery
fixed_transform_step100,learned_vol_interaction,2024-08-02,2024,0,0.5014632579052075,0.46267822762257005,recovery
fixed_transform_step100,learned_vol_interaction,2024-08-09,2024,1,0.5008717807058894,0.465827141272155,regression
fixed_transform_step100,learned_vol_interaction,2024-11-15,2024,0,0.4886110263241541,0.5140799709268121,regression
fixed_transform_step100,learned_vol_interaction,2024-12-06,2024,0,0.49520297386965,0.5210684251763661,regression
fixed_transform_step100,learned_vol_interaction,2025-04-11,2025,0,0.5444967387470734,0.47714106185916316,recovery
fixed_transform_step100,learned_vol_interaction,2025-07-18,2025,1,0.5216782004400581,0.48865877959493903,regression
fixed_transform_step100,learned_vol_interaction,2025-09-12,2025,0,0.5296384968969021,0.4948367847423894,recovery
fixed_transform_step100,learned_vol_interaction,2026-08-07,2026,0,0.45100630203211517,0.5321562193008322,regression
fixed_transform_step100,learned_vol_interaction,2026-08-14,2026,0,0.4863994421459692,0.5588266693321708,regression
fixed_transform_step100,learned_order_extension,2021-05-14,2021,1,0.5283838628629494,0.48987839705693365,regression
fixed_transform_step100,learned_order_extension,2021-05-28,2021,0,0.5495391527897491,0.4628895056803188,recovery
fixed_transform_step100,learned_order_extension,2021-07-23,2021,0,0.45273974162825154,0.5120918776413543,regression
fixed_transform_step100,learned_order_extension,2022-05-27,2022,1,0.5250947021938372,0.49709707272432385,regression
fixed_transform_step100,learned_order_extension,2022-07-01,2022,0,0.4830304702855306,0.5363058485836005,regression
fixed_transform_step100,learned_order_extension,2022-07-29,2022,0,0.6440533630056325,0.4907735316788737,recovery
fixed_transform_step100,learned_order_extension,2022-09-09,2022,0,0.6857558850479704,0.4050283865575333,recovery
fixed_transform_step100,learned_order_extension,2022-11-04,2022,1,0.4473337045458345,0.5076717422319427,recovery
fixed_transform_step100,learned_order_extension,2022-12-02,2022,1,0.5019286374845816,0.4287867780601727,regression
fixed_transform_step100,learned_order_extension,2022-12-23,2022,1,0.5144819130605144,0.42960713315761395,regression
fixed_transform_step100,learned_order_extension,2023-07-07,2023,1,0.47537052027496984,0.5611435086261275,recovery
fixed_transform_step100,learned_order_extension,2023-07-21,2023,1,0.4287429476237537,0.5318159869250026,recovery
fixed_transform_step100,learned_order_extension,2023-07-28,2023,0,0.45914274944616124,0.5223301979953633,regression
fixed_transform_step100,learned_order_extension,2023-08-04,2023,0,0.47569641344031427,0.5248994908610704,regression
fixed_transform_step100,learned_order_extension,2023-08-25,2023,0,0.4031010842075402,0.5137271602994105,regression
fixed_transform_step100,learned_order_extension,2023-09-01,2023,0,0.40738866786287903,0.5182949072311125,regression
fixed_transform_step100,learned_order_extension,2023-09-22,2023,0,0.4399719673326727,0.504422216129525,regression
fixed_transform_step100,learned_order_extension,2023-10-20,2023,1,0.4389040019696182,0.5221960138863407,recovery
fixed_transform_step100,learned_order_extension,2023-11-17,2023,0,0.4190423782812694,0.5224683563385288,regression
fixed_transform_step100,learned_order_extension,2023-12-15,2023,1,0.49297399221381855,0.5537688652180516,recovery
fixed_transform_step100,learned_order_extension,2023-12-29,2023,0,0.4895851897009074,0.5252543453974551,regression
fixed_transform_step100,learned_order_extension,2024-07-12,2024,1,0.5412117229921707,0.4950857947260114,regression
fixed_transform_step100,learned_order_extension,2024-07-26,2024,0,0.5578500912341646,0.49471466727714847,recovery
fixed_transform_step100,learned_order_extension,2024-08-02,2024,0,0.5248830506826679,0.4802676449504732,recovery
fixed_transform_step100,learned_order_extension,2024-08-09,2024,1,0.5243420762659885,0.4814772772896661,regression
fixed_transform_step100,learned_order_extension,2024-12-06,2024,0,0.47981973199484634,0.5027328487272126,regression
fixed_transform_step100,learned_order_extension,2025-04-11,2025,0,0.5452504102332817,0.4760243445844971,recovery
fixed_transform_step100,learned_order_extension,2025-06-27,2025,1,0.5022999333189899,0.4999896693193088,regression
fixed_transform_step100,learned_order_extension,2025-07-18,2025,1,0.5213316336407349,0.48926927523674957,regression
fixed_transform_step100,learned_order_extension,2025-09-12,2025,0,0.5292587508650948,0.4957247707451245,recovery
fixed_transform_step100,learned_order_extension,2026-05-08,2026,0,0.49801198787078843,0.5021533775120163,regression
fixed_transform_step100,learned_order_extension,2026-05-22,2026,1,0.5050517409494192,0.49080932836323327,regression
fixed_transform_step100,learned_order_extension,2026-07-03,2026,0,0.49019228952696475,0.5814474209380494,regression
fixed_transform_step100,learned_order_extension,2026-07-10,2026,0,0.4838752558028981,0.5757978224530517,regression
fixed_transform_step100,learned_order_extension,2026-07-17,2026,1,0.48324475733931876,0.5431614725219555,recovery
fixed_transform_step100,learned_order_extension,2026-07-24,2026,0,0.486574276555423,0.5707855771407592,regression
fixed_transform_step100,learned_order_extension,2026-08-07,2026,0,0.4240773181549858,0.5282070763250396,regression
fixed_transform_step100,learned_order_extension,2026-08-14,2026,0,0.47911008879014627,0.5433653158218155,regression
fixed_transform_step100,learned_order_offset,2021-05-14,2021,1,0.527861151299173,0.4921392069542976,regression
fixed_transform_step100,learned_order_offset,2021-05-28,2021,0,0.5490272722755067,0.46465296435401315,recovery
fixed_transform_step100,learned_order_offset,2021-07-23,2021,0,0.4528278558035155,0.5127216841592377,regression
fixed_transform_step100,learned_order_offset,2022-05-06,2022,1,0.5063431632155339,0.49588146653285375,regression
fixed_transform_step100,learned_order_offset,2022-05-27,2022,1,0.5248644479428664,0.49560057923261985,regression
fixed_transform_step100,learned_order_offset,2022-07-01,2022,0,0.4828574086822266,0.5381411901448995,regression
fixed_transform_step100,learned_order_offset,2022-07-29,2022,0,0.6441127498609464,0.4900699547167095,recovery
fixed_transform_step100,learned_order_offset,2022-09-09,2022,0,0.6856748981683136,0.40145771595765517,recovery
fixed_transform_step100,learned_order_offset,2022-11-04,2022,1,0.44696260317172176,0.5125051373470481,recovery
fixed_transform_step100,learned_order_offset,2022-12-02,2022,1,0.5013991701283729,0.43539445407645855,regression
fixed_transform_step100,learned_order_offset,2022-12-23,2022,1,0.5143062955847914,0.4336976352637436,regression
fixed_transform_step100,learned_order_offset,2023-07-07,2023,1,0.4766170918708079,0.5646190879575785,recovery
fixed_transform_step100,learned_order_offset,2023-07-21,2023,1,0.43074922436263674,0.5377194765234045,recovery
fixed_transform_step100,learned_order_offset,2023-07-28,2023,0,0.45926559969722386,0.5225602586394107,regression
fixed_transform_step100,learned_order_offset,2023-08-04,2023,0,0.4754561206221502,0.5255180944278471,regression
fixed_transform_step100,learned_order_offset,2023-08-25,2023,0,0.4034958189851272,0.5179820768376353,regression
fixed_transform_step100,learned_order_offset,2023-09-01,2023,0,0.40834264309640705,0.5247538112098077,regression
fixed_transform_step100,learned_order_offset,2023-09-22,2023,0,0.4408345486757846,0.5102926002310464,regression
fixed_transform_step100,learned_order_offset,2023-10-20,2023,1,0.440352501032015,0.5211047855009195,recovery
fixed_transform_step100,learned_order_offset,2023-11-17,2023,0,0.4219777807396774,0.5371113150086828,regression
fixed_transform_step100,learned_order_offset,2023-12-15,2023,1,0.4941851974930236,0.5559771751803584,recovery
fixed_transform_step100,learned_order_offset,2023-12-22,2023,1,0.3938197258813348,0.506265168960926,recovery
fixed_transform_step100,learned_order_offset,2023-12-29,2023,0,0.49118300041686286,0.525691022695677,regression
fixed_transform_step100,learned_order_offset,2024-07-12,2024,1,0.5406939809009969,0.49159988061417703,regression
fixed_transform_step100,learned_order_offset,2024-07-26,2024,0,0.5578469144462107,0.49156090574054795,recovery
fixed_transform_step100,learned_order_offset,2024-08-02,2024,0,0.525039113551289,0.47880240978103955,recovery
fixed_transform_step100,learned_order_offset,2024-08-09,2024,1,0.5251926957875112,0.47990736309478427,regression
fixed_transform_step100,learned_order_offset,2024-11-22,2024,1,0.4997742215811063,0.5299977983112859,recovery
fixed_transform_step100,learned_order_offset,2024-12-06,2024,0,0.47894298530664253,0.5060268840689183,regression
fixed_transform_step100,learned_order_offset,2025-04-11,2025,0,0.5434830297024787,0.4755228602449941,recovery
fixed_transform_step100,learned_order_offset,2025-07-18,2025,1,0.518953486789172,0.48693215042002364,regression
fixed_transform_step100,learned_order_offset,2025-09-12,2025,0,0.5296691377370191,0.49538181826202415,recovery
fixed_transform_step100,learned_order_offset,2026-05-08,2026,0,0.49762210857388967,0.5013795111573759,regression
fixed_transform_step100,learned_order_offset,2026-05-22,2026,1,0.5050438655177666,0.4905594569400615,regression
fixed_transform_step100,learned_order_offset,2026-07-03,2026,0,0.4899947842704179,0.5834131298394063,regression
fixed_transform_step100,learned_order_offset,2026-07-10,2026,0,0.48332989719207314,0.5766364686230562,regression
fixed_transform_step100,learned_order_offset,2026-07-17,2026,1,0.4828431648821933,0.5465206396388221,recovery
fixed_transform_step100,learned_order_offset,2026-07-24,2026,0,0.48604553906921294,0.5735621531004286,regression
fixed_transform_step100,learned_order_offset,2026-07-31,2026,1,0.4256339199295458,0.5064514471163372,recovery
fixed_transform_step100,learned_order_offset,2026-08-07,2026,0,0.423905703819994,0.5322778088602488,regression
fixed_transform_step100,learned_order_offset,2026-08-14,2026,0,0.4792330760731214,0.5453737526767297,regression
