cutoff,grouping,period,rows,sample_share,mean_loss_share,fitted_loss_share,fitted_auxiliary_loss_share,mean_return,return_sd,fitted_mse,fitted_ensemble_mse
2017-12-31,quarter,2016Q1,59,0.035160905840286055,0.07529665576568409,0.07038803909907634,0.07383366079611699,-0.003508578883228999,0.04302097721064115,0.0015876423380809912,0.0015703679863480636
2017-12-31,quarter,2016Q2,61,0.03635280095351609,0.019711105078000238,0.018278299399641096,0.024601051347765895,-0.0008159721083841154,0.02163415206991281,0.0003987601665159108,0.00039085665012691457
2017-12-31,quarter,2016Q3,64,0.03814064362336114,0.014417468058323089,0.018029788942640845,0.023488924273171227,0.0028701981135584205,0.018212800694349454,0.0003749009023906351,0.00035517376624855036
2017-12-31,quarter,2016Q4,60,0.03575685339690107,0.011801772801976664,0.013294952182131508,0.019814231578562116,0.0015648047482986114,0.017024263430093965,0.0002948773032557465,0.00026525277199733157
2017-12-31,quarter,2017Q1,59,0.035160905840286055,0.0041630149765500895,0.006216339509584115,0.011583798530896713,0.003894120761941555,0.010045234948949286,0.0001402130805122951,0.00011533840457037916
2017-12-31,quarter,2017Q2,60,0.03575685339690107,0.009825876697593543,0.008032516120098325,0.012829701160190658,0.0031459566546339565,0.015507680585728642,0.00017815834607034744,0.00016800563911916318
2017-12-31,quarter,2017Q3,65,0.03873659117997616,0.005545678254140724,0.008130667536055092,0.013583542867636876,0.005384726684243806,0.010730651915164854,0.00016646336262570092,0.00015012153254822464
2017-12-31,quarter,2017Q4,54,0.03218116805721097,0.00933964441010296,0.009830320009846762,0.015602804074051442,0.0031569827343171375,0.01593810363987371,0.00024225888433560997,0.00022243706100432363
2017-12-31,index_block,0,336,0.20023837902264602,0.23296195248006674,0.23842557040555995,0.22841352547632882,-0.0009185528774864886,0.031835195394414185,0.0009443203956721136,0.0009198770998679424
2017-12-31,index_block,1,336,0.20023837902264602,0.1846122665323358,0.19219567579588961,0.1830387137081049,0.00027153878858053197,0.028408306511834368,0.0007612199325153062,0.0007364092970951077
2017-12-31,index_block,2,336,0.20023837902264602,0.1769444023102092,0.17539299930024202,0.1780675379046659,-0.00013301696299837634,0.02777978384876706,0.0006946704005597754,0.0006735953960024027
2017-12-31,index_block,3,335,0.199642431466031,0.3567996929115089,0.33838892784527064,0.32196499050727934,0.008207799576727936,0.03916441212598086,0.00134424105191729,0.0013295591027779068
2017-12-31,index_block,4,335,0.199642431466031,0.048681685765879355,0.05559682665303786,0.08851523240362107,0.0031636336880965232,0.014602851416578331,0.00022085692111509003,0.00020081346250737906
2018-12-31,year,2010,113,0.058823529411764705,0.09632562658666004,0.09992705828538362,0.08688307798024514,0.006305594806622824,0.03764632697027564,0.0013129859257767788,0.001276433284272567
2018-12-31,year,2011,244,0.12701717855283706,0.11965037287911875,0.11325236864056634,0.12050157499069844,-0.0057620099162216,0.027979715571685056,0.000689148601712574,0.0006600648401080102
2018-12-31,year,2012,243,0.12649661634565332,0.1080291222490504,0.10936179527980258,0.11274864813376814,0.002014422590285939,0.02742718524759224,0.0006682127670127967,0.0006382233558968654
2018-12-31,year,2013,238,0.12389380530973451,0.13821040474402257,0.13870063963990367,0.13135402483047715,-0.0018482816269202256,0.031219384683022298,0.0008652805040076133,0.0008317542346169747
2018-12-31,year,2014,245,0.12753774076002083,0.14923760158287766,0.14145417922124537,0.12770243867068876,0.00996529634962806,0.030886530714989813,0.0008572452955377493,0.000826274623788564
2018-12-31,year,2015,113,0.058823529411764705,0.12938677030163045,0.12639151885479422,0.11707165352888066,0.006989657619375303,0.043649584869582626,0.0016607142073566752,0.0016361343391308408
2018-12-31,year,2016,244,0.12701717855283706,0.10513651088654437,0.10670829872728195,0.12377760606843981,8.524799772013811e-05,0.026994664514631957,0.0006493274775773047,0.0006172858608001172
2018-12-31,year,2017,244,0.12701717855283706,0.027512720924871736,0.03638987774775838,0.04916656390696911,0.004335128084728082,0.013446935623272649,0.00022143495687891858,0.0001813634205720008
2018-12-31,year,2018,237,0.12337324310255075,0.126510869845224,0.12781426360326387,0.13079441188983276,-0.006176819399149564,0.02916374792560588,0.0008007305308141084,0.0007651804695663686
2018-12-31,quarter,2010Q3,52,0.02706923477355544,0.04174647320138553,0.04562337255249936,0.03175489883660526,0.013115756289552376,0.03487903472458859,0.0013026851245991956,0.001258795224024639
2018-12-31,quarter,2010Q4,61,0.031754294638209266,0.0545791533852745,0.054303685732884265,0.055128179143639884,0.0005002112474041898,0.03892422663030598,0.0013217669366166857,0.001291469007762604
2018-12-31,quarter,2011Q1,58,0.03019260801665799,0.026675098257118057,0.028694378121824782,0.02696888741476457,0.004544989910882386,0.02770298484431519,0.0007345548576639531,0.0007157907330167212
