cutoff,row_index,date,joint_completed
2022-03-31,2843,2022-10-14,2022-10-24
2022-03-31,2848,2022-10-21,2022-10-31
2022-03-31,2853,2022-10-28,2022-11-07
2022-03-31,2858,2022-11-04,2022-11-14
2022-03-31,2863,2022-11-11,2022-11-21
2022-03-31,2868,2022-11-18,2022-11-28
2022-03-31,2873,2022-11-25,2022-12-05
2022-03-31,2878,2022-12-02,2022-12-12
2022-03-31,2883,2022-12-09,2022-12-19
2022-03-31,2888,2022-12-16,2022-12-26
2022-03-31,2893,2022-12-23,2023-01-03
2022-03-31,2898,2022-12-30,2023-01-09
2022-06-30,2843,2022-10-14,2022-10-24
2022-06-30,2848,2022-10-21,2022-10-31
2022-06-30,2853,2022-10-28,2022-11-07
2022-06-30,2858,2022-11-04,2022-11-14
2022-06-30,2863,2022-11-11,2022-11-21
2022-06-30,2868,2022-11-18,2022-11-28
2022-06-30,2873,2022-11-25,2022-12-05
2022-06-30,2878,2022-12-02,2022-12-12
2022-06-30,2883,2022-12-09,2022-12-19
2022-06-30,2888,2022-12-16,2022-12-26
2022-06-30,2893,2022-12-23,2023-01-03
2022-06-30,2898,2022-12-30,2023-01-09
2023-03-31,3021,2023-07-07,2023-07-17
2023-03-31,3026,2023-07-14,2023-07-24
2023-03-31,3031,2023-07-21,2023-07-31
2023-03-31,3036,2023-07-28,2023-08-07
2023-03-31,3041,2023-08-04,2023-08-14
2023-03-31,3046,2023-08-11,2023-08-21
2023-03-31,3051,2023-08-18,2023-08-28
2023-03-31,3056,2023-08-25,2023-09-04
2023-03-31,3061,2023-09-01,2023-09-11
2023-03-31,3066,2023-09-08,2023-09-18
2023-03-31,3071,2023-09-15,2023-09-25
2023-03-31,3076,2023-09-22,2023-10-16
2023-03-31,3085,2023-10-13,2023-10-23
2023-03-31,3090,2023-10-20,2023-10-30
2023-03-31,3095,2023-10-27,2023-11-06
2023-03-31,3100,2023-11-03,2023-11-13
2023-03-31,3105,2023-11-10,2023-11-20
2023-03-31,3110,2023-11-17,2023-11-27
2023-03-31,3115,2023-11-24,2023-12-04
2023-03-31,3120,2023-12-01,2023-12-11
2023-03-31,3125,2023-12-08,2023-12-18
2023-03-31,3130,2023-12-15,2023-12-25
2023-03-31,3135,2023-12-22,2024-01-02
2023-03-31,3140,2023-12-29,2024-01-08
2023-06-30,3085,2023-10-13,2023-10-23
2023-06-30,3090,2023-10-20,2023-10-30
2023-06-30,3095,2023-10-27,2023-11-06
2023-06-30,3100,2023-11-03,2023-11-13
2023-06-30,3105,2023-11-10,2023-11-20
2023-06-30,3110,2023-11-17,2023-11-27
2023-06-30,3115,2023-11-24,2023-12-04
2023-06-30,3120,2023-12-01,2023-12-11
2023-06-30,3125,2023-12-08,2023-12-18
2023-06-30,3130,2023-12-15,2023-12-25
2023-06-30,3135,2023-12-22,2024-01-02
2023-06-30,3140,2023-12-29,2024-01-08
2024-03-31,3262,2024-07-05,2024-07-15
2024-03-31,3267,2024-07-12,2024-07-22
2024-03-31,3272,2024-07-19,2024-07-29
2024-03-31,3277,2024-07-26,2024-08-05
2024-03-31,3282,2024-08-02,2024-08-12
2024-03-31,3287,2024-08-09,2024-08-19
2024-03-31,3292,2024-08-16,2024-08-26
2024-03-31,3297,2024-08-23,2024-09-02
2024-03-31,3302,2024-08-30,2024-09-09
2024-03-31,3307,2024-09-06,2024-09-18
2024-03-31,3312,2024-09-13,2024-09-24
2024-03-31,3315,2024-09-20,2024-09-30
2024-03-31,3320,2024-09-27,2024-10-14
2024-03-31,3325,2024-10-11,2024-10-21
2024-03-31,3330,2024-10-18,2024-10-28
2024-03-31,3335,2024-10-25,2024-11-04
2024-03-31,3340,2024-11-01,2024-11-11
2024-03-31,3345,2024-11-08,2024-11-18
2024-03-31,3350,2024-11-15,2024-11-25
2024-03-31,3355,2024-11-22,2024-12-02
2024-03-31,3360,2024-11-29,2024-12-09
2024-03-31,3365,2024-12-06,2024-12-16
2024-03-31,3370,2024-12-13,2024-12-23
2024-03-31,3375,2024-12-20,2024-12-30
2024-03-31,3380,2024-12-27,2025-01-06
2024-06-30,3325,2024-10-11,2024-10-21
2024-06-30,3330,2024-10-18,2024-10-28
2024-06-30,3335,2024-10-25,2024-11-04
2024-06-30,3340,2024-11-01,2024-11-11
2024-06-30,3345,2024-11-08,2024-11-18
2024-06-30,3350,2024-11-15,2024-11-25
2024-06-30,3355,2024-11-22,2024-12-02
2024-06-30,3360,2024-11-29,2024-12-09
2024-06-30,3365,2024-12-06,2024-12-16
2024-06-30,3370,2024-12-13,2024-12-23
2024-06-30,3375,2024-12-20,2024-12-30
2024-06-30,3380,2024-12-27,2025-01-06
2025-03-31,3567,2025-10-10,2025-10-20
2025-03-31,3572,2025-10-17,2025-10-27
2025-03-31,3577,2025-10-24,2025-11-03
2025-03-31,3582,2025-10-31,2025-11-10
2025-03-31,3587,2025-11-07,2025-11-17
2025-03-31,3592,2025-11-14,2025-11-24
2025-03-31,3597,2025-11-21,2025-12-01
2025-03-31,3602,2025-11-28,2025-12-08
2025-03-31,3607,2025-12-05,2025-12-15
2025-03-31,3612,2025-12-12,2025-12-22
2025-03-31,3617,2025-12-19,2025-12-29
2025-03-31,3622,2025-12-26,2026-01-12
2025-06-30,3567,2025-10-10,2025-10-20
2025-06-30,3572,2025-10-17,2025-10-27
2025-06-30,3577,2025-10-24,2025-11-03
2025-06-30,3582,2025-10-31,2025-11-10
2025-06-30,3587,2025-11-07,2025-11-17
2025-06-30,3592,2025-11-14,2025-11-24
2025-06-30,3597,2025-11-21,2025-12-01
2025-06-30,3602,2025-11-28,2025-12-08
2025-06-30,3607,2025-12-05,2025-12-15
2025-06-30,3612,2025-12-12,2025-12-22
2025-06-30,3617,2025-12-19,2025-12-29
2025-06-30,3622,2025-12-26,2026-01-12
2026-03-31,3744,2026-07-03,2026-07-13
2026-03-31,3749,2026-07-10,2026-07-20
2026-03-31,3754,2026-07-17,2026-07-27
2026-03-31,3759,2026-07-24,2026-08-03
2026-03-31,3764,2026-07-31,2026-08-10
2026-03-31,3769,2026-08-07,2026-08-17
2026-03-31,3774,2026-08-14,2026-08-24
2026-03-31,3779,2026-08-21,2026-08-31
