job,method,cutoff,seed,train_n,objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std
raw_order_shrink4_2015-12-31_-1,raw_order_shrink4,2015-12-31,-1,1190,0.6646376992261628,0.6607934908753311,0.23423649058704413,0.6050420168067226,0.6422237852709959,0.5033613445378143,0.1095396445367048
raw_order_shrink4_2016-12-31_-1,raw_order_shrink4,2016-12-31,-1,1434,0.6701684282976167,0.6662137133954557,0.23689083548108117,0.5920502092050209,0.6307586349124203,0.50697350069735,0.09618738603146004
raw_order_shrink4_2017-12-31_-1,raw_order_shrink4,2017-12-31,-1,1678,0.6780186191986243,0.6751797943637705,0.24116815905418,0.5804529201430274,0.6071289833728202,0.5202622169249106,0.07487719891155371
raw_order_shrink4_2018-12-31_-1,raw_order_shrink4,2018-12-31,-1,1921,0.6782957192168123,0.675376204107986,0.24122987864468637,0.5783446121811556,0.6074853215168019,0.5111920874072846,0.07578345450841342
raw_order_shrink4_2019-12-31_-1,raw_order_shrink4,2019-12-31,-1,2165,0.6816554910535324,0.6792097008185253,0.24310136470112395,0.5778290993071593,0.5972261645423735,0.521478060045357,0.06336848904892253
raw_order_shrink16_2014-12-31_-1,raw_order_shrink16,2014-12-31,-1,1077,0.6543639759177736,0.6495587168174215,0.22867618458287883,0.6118848653667596,0.6719982063398986,0.4921077065922237,0.12775676603449104
raw_order_shrink16_2015-12-31_-1,raw_order_shrink16,2015-12-31,-1,1190,0.6646926480531183,0.6608276663133273,0.2342599606382763,0.6033613445378151,0.641709674047835,0.5033613445378146,0.10938946233792829
raw_order_shrink16_2016-12-31_-1,raw_order_shrink16,2016-12-31,-1,1434,0.6702491753783951,0.6662600095124277,0.2369173615453772,0.5864714086471409,0.6303578481251544,0.50697350069735,0.09590918786394749
raw_order_shrink16_2017-12-31_-1,raw_order_shrink16,2017-12-31,-1,1678,0.6783170505138472,0.6753536482747677,0.2412554138621187,0.5846245530393326,0.6063008260229238,0.5202622169249106,0.07353902295815332
raw_order_shrink16_2018-12-31_-1,raw_order_shrink16,2018-12-31,-1,1921,0.678493455376402,0.6754918435310193,0.241288849903965,0.5809474232170745,0.607492912900798,0.511192087427866,0.07491651468972732
raw_order_shrink16_2019-12-31_-1,raw_order_shrink16,2019-12-31,-1,2165,0.6816765997876943,0.6792219525967155,0.24310828290791095,0.576905311778291,0.5973330346669585,0.5214780600455612,0.06325728674540913
