window,history,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
extension_2021_2023,rolling5,native_mse,147,0.40816326530612246,0.5918367346938775,60,0.4227703984819734,0.6054421768707483,0.4217687074829932,32,28,57,30,0.43263757115749524,,,,,,
extension_2021_2023,rolling5,training_frequency,147,0.4217687074829932,0.5782312925170068,62,0.5,1.0,0.4217687074829932,62,0,85,0,0.5294117647058824,0.25641189804346043,0.7060220596781893,0.5358667437764589,0.023474273760546654,0.11409803629346571,0.0
recent_2024_2026,full,learned_market,125,0.488,0.512,61,0.48908577298407807,0.48,0.528,31,30,29,35,0.5028248587570622,0.25581800569347823,0.7052504348003882,0.4987120918998505,0.07964559143643991,-0.02928790810014953,0.0
recent_2024_2026,full,learned_order_extension,125,0.48,0.52,60,0.48240883410374935,0.456,0.528,29,31,28,37,0.4956343091936312,0.25646160711561333,0.7065069672412573,0.4980268387272317,0.07806929183844682,-0.029973161272768334,0.0
recent_2024_2026,full,learned_order_offset,125,0.472,0.528,59,0.47393425783256293,0.464,0.528,29,30,29,37,0.4953775038520801,0.2564697487598113,0.7065228068649254,0.4979603870695723,0.07796958171569443,-0.030039612930427728,0.0
recent_2024_2026,full,learned_vol_interaction,125,0.48,0.52,60,0.4815100154083205,0.472,0.528,30,30,29,36,0.4943502824858757,0.25696472403903914,0.7076305047920608,0.49944300693785115,0.08105843473908554,-0.028556993062148872,0.0
recent_2024_2026,full,native_mse,125,0.504,0.496,63,0.5042372881355932,0.496,0.528,33,30,29,33,0.4915254237288136,,,,,,
recent_2024_2026,full,training_frequency,125,0.528,0.472,66,0.5,1.0,0.528,66,0,59,0,0.42501284026707753,0.25002075146461744,0.6931888336398168,0.5081832134886433,0.003324448761732256,-0.019816786511356765,0.0
recent_2024_2026,rolling3,learned_market,125,0.488,0.512,61,0.4980739599383667,0.32,0.528,21,40,19,45,0.5130970724191063,0.3041959977156036,0.8499483544239295,0.4112371246736503,0.22498144182856128,-0.11676287532634971,0.0
recent_2024_2026,rolling3,learned_order_extension,125,0.48,0.52,60,0.48959938366718025,0.328,0.528,21,39,20,45,0.5066769388803287,0.3088060898859349,0.8583509790448993,0.41190712016437403,0.2283764563257907,-0.116092879835626,0.0
recent_2024_2026,rolling3,learned_order_offset,125,0.464,0.536,58,0.4726502311248074,0.344,0.528,21,37,22,45,0.5053929121725732,0.30907412195372613,0.8585665404292286,0.4124318727492231,0.22842005798469436,-0.11556812725077692,0.0
recent_2024_2026,rolling3,learned_vol_interaction,125,0.472,0.528,59,0.48112480739599384,0.336,0.528,21,38,21,45,0.5115562403697997,0.3063290538171226,0.8551976727163737,0.41108503092215126,0.2275076021893892,-0.11691496907784876,0.0
recent_2024_2026,rolling3,native_mse,125,0.512,0.488,64,0.5208012326656395,0.344,0.528,24,40,19,42,0.529532614278377,,,,,,
recent_2024_2026,rolling3,training_frequency,125,0.456,0.544,57,0.470467385721623,0.24,0.528,14,43,16,52,0.42501284026707753,0.2587692220990364,0.7108200674615743,0.4502043458159962,0.03306249479226601,-0.0777956541840038,0.0
recent_2024_2026,rolling5,learned_market,125,0.568,0.432,71,0.5720338983050848,0.432,0.528,33,38,21,33,0.593733949666153,0.25569460053466986,0.709329529809109,0.47380676148778117,0.18424092077646015,-0.054193238512218855,0.0
recent_2024_2026,rolling5,learned_order_extension,125,0.576,0.424,72,0.5787108371854135,0.456,0.528,35,37,22,31,0.5875706214689266,0.25750889942048993,0.7145405599814191,0.4753598165534009,0.18747869972673736,-0.0526401834465991,0.0
recent_2024_2026,rolling5,learned_order_offset,125,0.584,0.416,73,0.5871854134565999,0.448,0.528,35,38,21,31,0.5873138161273754,0.2576259467469286,0.7145627798719557,0.47499687497252424,0.1861435806213086,-0.053003125027475784,0.0
recent_2024_2026,rolling5,learned_vol_interaction,125,0.56,0.44,70,0.5635593220338984,0.44,0.528,33,37,22,33,0.5947611710323575,0.25538531208871956,0.7086070912579662,0.4741703992816682,0.18524113615442434,-0.053829600718331816,0.0
recent_2024_2026,rolling5,native_mse,125,0.552,0.448,69,0.5559835644581408,0.432,0.528,32,37,22,34,0.5793528505392912,,,,,,
recent_2024_2026,rolling5,training_frequency,125,0.448,0.552,56,0.4548022598870056,0.376,0.528,22,34,25,44,0.42552645095017977,0.2527477627357879,0.6986486212886102,0.4854511877697606,0.013464822181128341,-0.04254881223023943,0.0
pooled_2021_2026,full,learned_market,272,0.47058823529411764,0.5294117647058824,128,0.47395833333333337,0.5588235294117647,0.47058823529411764,68,60,84,60,0.4691840277777778,0.26128735229124395,0.7166073604362161,0.5124052085782909,0.0805107618260235,0.04181697328417322,0.0
pooled_2021_2026,full,learned_order_extension,272,0.45955882352941174,0.5404411764705882,125,0.4626736111111111,0.5551470588235294,0.47058823529411764,66,59,85,62,0.4647352430555556,0.2616561312629216,0.7172943463327207,0.5121461198468525,0.07785668175348605,0.0415578845527349,0.0
pooled_2021_2026,full,learned_order_offset,272,0.45588235294117646,0.5441176470588235,124,0.4592013888888889,0.5588235294117647,0.47058823529411764,66,58,86,62,0.4647352430555556,0.26163544033984276,0.7172492754087341,0.512101268515531,0.07774370298353668,0.04151303322141331,0.0
pooled_2021_2026,full,learned_vol_interaction,272,0.45955882352941174,0.5404411764705882,125,0.4631076388888889,0.5625,0.47058823529411764,67,58,86,61,0.4668511284722222,0.261730481554102,0.7175777050073532,0.5125424295105427,0.08045328599328856,0.0419541942164251,0.0
pooled_2021_2026,full,native_mse,272,0.48161764705882354,0.5183823529411765,131,0.48697916666666663,0.5919117647058824,0.47058823529411764,74,57,87,54,0.4658203125,,,,,,
