job,history,method,cutoff,seed,train_n,iterations,objective,gradient_inf,hessian_min,reduced_objective
rolling5_learned_order_offset_2024-12-31_20260912,rolling5,learned_order_offset,2024-12-31,20260912,1206,3,0.5473575039821883,1.951563910473908e-18,0.09204951959765928,0.5432713965578524
rolling5_learned_market_2025-12-31_20260910,rolling5,learned_market,2025-12-31,20260910,1206,5,0.503485236507446,1.3366131118575098e-12,0.010154111097667501,
rolling5_learned_vol_interaction_2025-12-31_20260910,rolling5,learned_vol_interaction,2025-12-31,20260910,1206,5,0.5033170116589336,1.3461202638676006e-12,0.010153874462180825,
rolling5_learned_order_extension_2025-12-31_20260910,rolling5,learned_order_extension,2025-12-31,20260910,1206,5,0.5021801196626184,1.8001156121272288e-12,0.010151569761747376,
rolling5_learned_order_offset_2025-12-31_20260910,rolling5,learned_order_offset,2025-12-31,20260910,1206,3,0.5022075801010073,1.3227266504323154e-17,0.1030438532494383,0.49859794682518466
rolling5_learned_market_2025-12-31_20260911,rolling5,learned_market,2025-12-31,20260911,1206,5,0.5174795660066187,2.5610264646827585e-10,0.010221965233694879,
rolling5_learned_vol_interaction_2025-12-31_20260911,rolling5,learned_vol_interaction,2025-12-31,20260911,1206,5,0.5155856452705533,6.22036311348495e-10,0.010218625617222206,
rolling5_learned_order_extension_2025-12-31_20260911,rolling5,learned_order_extension,2025-12-31,20260911,1206,5,0.5135844519738043,7.140151230683456e-10,0.010214510550327393,
rolling5_learned_order_offset_2025-12-31_20260911,rolling5,learned_order_offset,2025-12-31,20260911,1206,3,0.5137652940698014,1.4259426972529354e-15,0.08700330600874076,0.5083629376198815
rolling5_learned_market_2025-12-31_20260912,rolling5,learned_market,2025-12-31,20260912,1206,5,0.5412067531957913,4.399670124749511e-11,0.01008072354854226,
rolling5_learned_vol_interaction_2025-12-31_20260912,rolling5,learned_vol_interaction,2025-12-31,20260912,1206,5,0.541163254426341,4.8913275339790285e-11,0.010080517053127314,
rolling5_learned_order_extension_2025-12-31_20260912,rolling5,learned_order_extension,2025-12-31,20260912,1206,5,0.540830847808314,5.905621651425275e-11,0.010080083222074775,
rolling5_learned_order_offset_2025-12-31_20260912,rolling5,learned_order_offset,2025-12-31,20260912,1206,3,0.5408546063288195,2.0925101928970236e-17,0.09846134829521036,0.5354822357781823
rolling3_learned_market_2020-12-31_20260910,rolling3,learned_market,2020-12-31,20260910,724,5,0.56910955637403,1.0776969594505914e-16,0.010108888108272734,
rolling3_learned_vol_interaction_2020-12-31_20260910,rolling3,learned_vol_interaction,2020-12-31,20260910,724,5,0.5688698457386654,9.84455572616838e-17,0.01010882058695932,
rolling3_learned_order_extension_2020-12-31_20260910,rolling3,learned_order_extension,2020-12-31,20260910,724,5,0.566812569990165,2.5422372540440108e-15,0.010108114239563908,
rolling3_learned_order_offset_2020-12-31_20260910,rolling3,learned_order_offset,2020-12-31,20260910,724,2,0.566862947808339,4.312770908627972e-11,0.15699296714774155,0.5613955771719509
rolling3_learned_market_2020-12-31_20260911,rolling3,learned_market,2020-12-31,20260911,724,5,0.5335895794349144,1.7658244658158573e-12,0.01002819764294118,
rolling3_learned_vol_interaction_2020-12-31_20260911,rolling3,learned_vol_interaction,2020-12-31,20260911,724,5,0.5325913721761966,6.769614382950984e-12,0.010028263167814574,
rolling3_learned_order_extension_2020-12-31_20260911,rolling3,learned_order_extension,2020-12-31,20260911,724,5,0.5325545162735146,7.080496985164414e-11,0.010028254318325781,
rolling3_learned_order_offset_2020-12-31_20260911,rolling3,learned_order_offset,2020-12-31,20260911,724,3,0.532557989379643,1.0299920638612292e-18,0.12217170081733034,0.5249199978683146
rolling3_learned_market_2020-12-31_20260912,rolling3,learned_market,2020-12-31,20260912,724,5,0.4777389092624453,1.7661690946552122e-10,0.010124288307049685,
rolling3_learned_vol_interaction_2020-12-31_20260912,rolling3,learned_vol_interaction,2020-12-31,20260912,724,5,0.4751594616170086,5.980390657515933e-10,0.010123131038312439,
rolling3_learned_order_extension_2020-12-31_20260912,rolling3,learned_order_extension,2020-12-31,20260912,724,6,0.47512157202024535,2.949029909160572e-16,0.010122807921275026,
rolling3_learned_order_offset_2020-12-31_20260912,rolling3,learned_order_offset,2020-12-31,20260912,724,3,0.4751277729476261,4.336808689942018e-18,0.09798562981254956,0.46903453828164354
rolling3_learned_market_2021-12-31_20260910,rolling3,learned_market,2021-12-31,20260910,724,6,0.4873677080764286,3.67544536472586e-17,0.010083022238249114,
rolling3_learned_vol_interaction_2021-12-31_20260910,rolling3,learned_vol_interaction,2021-12-31,20260910,724,6,0.4852092392219852,6.591949208711867e-17,0.010081953044538232,
rolling3_learned_order_extension_2021-12-31_20260910,rolling3,learned_order_extension,2021-12-31,20260910,724,6,0.4806069873447545,8.847089727481716e-17,0.010080386470744607,
rolling3_learned_order_offset_2021-12-31_20260910,rolling3,learned_order_offset,2021-12-31,20260910,724,3,0.48079339694932194,2.59689839077204e-13,0.08739450362811456,0.4713624123605278
rolling3_learned_market_2021-12-31_20260911,rolling3,learned_market,2021-12-31,20260911,724,5,0.4758193437778557,4.214575693647915e-10,0.010112515924633516,
rolling3_learned_vol_interaction_2021-12-31_20260911,rolling3,learned_vol_interaction,2021-12-31,20260911,724,6,0.47319644726104887,3.469446951953614e-17,0.01011074056249666,
