history,method,date,year,actual_up,up_seed_count,unanimous,mean_probability,ensemble_up,opposes_majority,seed_probability_variance,probability_seed_1,probability_seed_2,probability_seed_3
full,learned_market,2022-05-06,2022,1,1,False,0.45855151508398456,False,False,0.0015452114960137827,0.4449922067106538,0.512020848123137,0.4186414904181631
full,learned_market,2022-05-13,2022,1,0,True,0.41818420331132544,False,False,0.006486507084391854,0.308269086724245,0.4990021750939066,0.44728134811582465
full,learned_market,2022-05-20,2022,0,2,False,0.5089864891174976,True,False,0.011265294141283863,0.35907477915994207,0.577400125426197,0.5904845627663535
full,learned_market,2022-05-27,2022,1,1,False,0.4367861650517952,False,False,0.008878014581264903,0.30366608456307476,0.508475045311676,0.4982173652806347
full,learned_market,2022-06-10,2022,1,2,False,0.4821304885815763,False,True,0.0006890400769584827,0.4450136866148205,0.5001255297703333,0.5012522493595752
full,learned_market,2022-06-17,2022,1,1,False,0.4357794139749977,False,False,0.00451810611495225,0.34648287263430155,0.4522008365947681,0.5086545326959232
full,learned_market,2022-06-24,2022,1,2,False,0.4779735510058348,False,True,0.015256101517244517,0.3065487647412993,0.5346289438372195,0.5927429444389856
full,learned_market,2022-07-01,2022,0,0,True,0.4523747878233058,False,False,0.00035512407313949995,0.4260163978598623,0.46896170471424053,0.46214626089581456
full,learned_market,2022-07-08,2022,0,0,True,0.35133384741546986,False,False,0.0022158382201791188,0.29249810739175125,0.3537790627162199,0.40772437213843843
full,learned_market,2022-07-15,2022,0,1,False,0.49113299434980123,False,False,0.00046615696587585707,0.4668953642291208,0.5193340484773111,0.4871695703429716
full,learned_market,2022-07-22,2022,0,0,True,0.45191124387256915,False,False,0.00041551369717733757,0.47702208969489923,0.4270939038057803,0.4516177381170278
full,learned_market,2022-07-29,2022,0,3,True,0.6190541545185402,True,False,0.0006650819947347887,0.6505063334519778,0.6193184785035258,0.587337651600117
full,learned_market,2022-08-05,2022,1,3,True,0.6491516830169616,True,False,0.0026858081285608417,0.587169192805829,0.646270514962828,0.7140153412822277
full,learned_market,2022-08-12,2022,0,2,False,0.4595499428526608,False,True,0.005876819010422675,0.5259510612450587,0.5005679603257369,0.35213080698718663
full,learned_market,2022-08-19,2022,0,1,False,0.4885189843557676,False,False,0.011236313580849993,0.4551138687185796,0.6317819785604004,0.3786611057883229
full,learned_market,2022-08-26,2022,0,1,False,0.4410641325122733,False,False,0.006485763511139167,0.4663634960725325,0.5245841024903418,0.3322447989739454
full,learned_market,2022-09-02,2022,1,1,False,0.42384657173990464,False,False,0.008285177282322993,0.3281686645732434,0.5462648085300368,0.39710624211643386
full,learned_market,2022-09-09,2022,0,2,False,0.5486293140536,True,False,0.004089831876597657,0.5773323371955573,0.46000230072207665,0.6085533042431661
full,learned_market,2022-09-16,2022,0,3,True,0.596615586918515,True,False,0.003518510552273211,0.5193792344614201,0.606884596973216,0.6635829293209091
full,learned_market,2022-09-23,2022,0,3,True,0.7369666011594344,True,False,0.0024309339049935785,0.8051374979788822,0.690194645050012,0.7155676604494086
full,learned_market,2022-09-30,2022,1,2,False,0.5982927531957699,True,False,0.012964724097093197,0.6854322702884701,0.437453584459558,0.6719924048392815
full,learned_market,2022-10-14,2022,0,1,False,0.4874285611187729,False,False,0.011190238166258968,0.44122702371942973,0.3873042483380849,0.6337544112988042
full,learned_market,2022-10-21,2022,0,2,False,0.47719880059765457,False,True,0.012435248551676653,0.32573983878474455,0.5909810079823999,0.5148755550258192
full,learned_market,2022-10-28,2022,1,1,False,0.48825783141483803,False,False,0.01246668776531853,0.6418423792735256,0.44322829732732266,0.3797028176436658
full,learned_market,2022-11-04,2022,1,1,False,0.5371685159877037,True,True,0.030222740046128783,0.7828611457799558,0.4220977279881064,0.40654667419504853
full,learned_market,2022-11-11,2022,0,1,False,0.48964006967565465,False,False,0.003955580361753221,0.4803179617319262,0.5709052636808352,0.4176969836142025
full,learned_market,2022-11-18,2022,0,1,False,0.5038245124312958,True,True,0.001914683734884744,0.5629175427529426,0.4901851003342235,0.45837089420672095
full,learned_market,2022-11-25,2022,1,2,False,0.4891264943460481,False,True,0.006478209230994743,0.3758154180879095,0.5551502684034467,0.5364137965467881
full,learned_market,2022-12-02,2022,1,2,False,0.5308041236807957,True,False,0.02346533983714594,0.34097764982240686,0.7161189210090603,0.5353158002109201
full,learned_market,2022-12-09,2022,0,1,False,0.531421036691405,True,True,0.009368939879309824,0.44393050372632076,0.6663390227784366,0.4839935835694575
full,learned_market,2022-12-16,2022,0,1,False,0.5135164145221466,True,True,0.014265107976026285,0.41095094632459717,0.6810226639442092,0.4485756332976334
full,learned_market,2022-12-23,2022,1,1,False,0.5399368644259493,True,True,0.014982637281952519,0.42386295052990836,0.7091902356641708,0.48675740708376874
full,learned_market,2022-12-30,2022,1,0,True,0.38371617554811843,False,False,0.002230919487903348,0.32836881851472066,0.37900340961782353,0.44377629851181116
full,learned_market,2023-01-06,2023,1,0,True,0.3354137628141547,False,False,0.002517646735231313,0.37488085048403863,0.3667510702154144,0.2646093677430111
full,learned_market,2023-01-13,2023,1,0,True,0.40098928879120654,False,False,0.0016401012190134254,0.34536398997174195,0.4169900193494526,0.44061385705242495
full,learned_market,2023-01-20,2023,0,3,True,0.5724213983204072,True,False,5.2519004144327984e-05,0.5774120098307557,0.5621737475147933,0.5776784376156724
full,learned_market,2023-02-03,2023,0,3,True,0.6151418404617824,True,False,0.007594382447622963,0.7382838115676617,0.5492563577708734,0.5578853520468121
full,learned_market,2023-02-10,2023,0,2,False,0.6004987738012871,True,False,0.00867552203850485,0.6925932244653873,0.47289026981683063,0.6360128271216436
full,learned_market,2023-02-17,2023,1,1,False,0.44868051071140985,False,False,0.0032594203210585056,0.3724194233309261,0.5097744033570507,0.4638477054462528
full,learned_market,2023-02-24,2023,1,1,False,0.47630290951406323,False,False,0.004756937746722875,0.3835661522134989,0.548850039168098,0.49649253716059283
full,learned_market,2023-03-03,2023,0,2,False,0.5621160450883774,True,False,0.005467668342750212,0.4886838011475935,0.5343551814244267,0.663309152693112
full,learned_market,2023-03-10,2023,1,2,False,0.5721000590585327,True,False,0.004529464936966428,0.6407515050391658,0.48068290388241613,0.5948657682540163
full,learned_market,2023-03-17,2023,1,3,True,0.5545883370526451,True,False,0.001287803212077827,0.5135562206306608,0.5492397691390191,0.6009690213882555
full,learned_market,2023-03-24,2023,1,1,False,0.5308653196080414,True,True,0.0075573591465677055,0.45747923711767907,0.48213646148081424,0.6529802602256309
full,learned_market,2023-03-31,2023,1,0,True,0.4320562407077788,False,False,0.0020936324816312447,0.3735047133840194,0.4851907073622388,0.4374733013770783
full,learned_market,2023-04-07,2023,0,1,False,0.4506201312987395,False,False,0.003911315009336853,0.43405699441219503,0.5341427748696538,0.3836606246143697
full,learned_market,2023-04-14,2023,0,2,False,0.5223969107140862,True,False,0.0010508035636234328,0.48712660039428907,0.5146704954791126,0.565393636268857
full,learned_market,2023-04-21,2023,0,1,False,0.4970171745371861,False,False,0.009247781770826243,0.4239405990580234,0.4342250377160214,0.6328858868375133
full,learned_market,2023-04-28,2023,1,0,True,0.42466159649483726,False,False,0.006006903630532409,0.3155679376077217,0.47002770490108703,0.48838914697570307
full,learned_market,2023-05-05,2023,0,0,True,0.47029838259421103,False,False,0.0006141429525642561,0.43930194989926175,0.49996100147010153,0.47163219641326976
full,learned_market,2023-05-12,2023,1,1,False,0.5152364891885036,True,True,0.00064549611791899,0.4969291303295354,0.5511646832837143,0.4976156539522613
full,learned_market,2023-05-19,2023,0,1,False,0.510706505430607,True,True,0.00507415620360185,0.44272649659575564,0.4803127144914919,0.6090803052045735
full,learned_market,2023-05-26,2023,0,2,False,0.550904238143931,True,False,0.0042401811287732525,0.47179483538517875,0.54963555787106,0.6312823211755542
full,learned_market,2023-06-02,2023,0,2,False,0.5198314157999627,True,False,0.004601369985109756,0.5166846825890845,0.43837088251963635,0.604438682291167
full,learned_market,2023-06-09,2023,1,2,False,0.48936490642904323,False,True,0.015425608832047735,0.630901937774497,0.5086733845810918,0.3285193969315409
full,learned_market,2023-06-16,2023,0,2,False,0.5005131511955497,True,False,0.00693051150933066,0.580778037025005,0.3857889638241842,0.5349724527374602
full,learned_market,2023-06-30,2023,0,2,False,0.5687225760082723,True,False,0.017925038721402414,0.679776578780446,0.3803881409698775,0.6460030082744931
full,learned_market,2023-07-07,2023,1,2,False,0.5666792394193665,True,False,0.00940843780046399,0.6094679482337204,0.432415484822429,0.65815428520195
full,learned_market,2023-07-14,2023,0,3,True,0.6589219329411257,True,False,0.00026865942245686,0.6397316997499373,0.6797771714826025,0.6572569275908372
full,learned_market,2023-07-21,2023,1,1,False,0.49848565462423977,False,False,0.007814537379588878,0.4258203099700457,0.6229183657373595,0.44671828816531395
full,learned_market,2023-07-28,2023,0,1,False,0.4892336237369823,False,False,0.007850942353504748,0.39560372460680443,0.6081699641782299,0.4639271824259126
full,learned_market,2023-08-04,2023,0,3,True,0.5451421619147042,True,False,0.002071943708346871,0.5237673690935836,0.5032438736153464,0.6084152430351829
full,learned_market,2023-08-11,2023,0,2,False,0.5675627283485859,True,False,0.005351170418688811,0.47077082587469193,0.5843319292047812,0.6475854299662844
full,learned_market,2023-08-18,2023,1,2,False,0.5039965701394198,True,False,0.00016408839602369708,0.5162074930988716,0.5094800091422373,0.4863022081771505
full,learned_market,2023-08-25,2023,0,0,True,0.28953220371012756,False,False,0.0023487979134465225,0.22131555037439074,0.3293905761103111,0.3178904846456808
full,learned_market,2023-09-01,2023,0,0,True,0.3947970297637724,False,False,0.00025899590528764604,0.3888515631440744,0.3787439272723482,0.4167955988748947
full,learned_market,2023-09-08,2023,0,0,True,0.4386314653866361,False,False,0.0030034958685361116,0.3649631789685036,0.45460939884977375,0.4963218183416309
full,learned_market,2023-09-15,2023,1,3,True,0.5808199451225755,True,False,0.0002515263479307579,0.5593523233980057,0.585928328444289,0.5971791835254319
full,learned_market,2023-09-22,2023,0,2,False,0.559898416964515,True,False,0.022717729466697315,0.7167297534255956,0.35646457754306554,0.6065009199248839
full,learned_market,2023-10-13,2023,0,2,False,0.507155031750464,True,False,0.012352095384642636,0.35344811815898225,0.6124475745476843,0.5555694025447251
full,learned_market,2023-10-20,2023,1,3,True,0.7051974355756275,True,False,0.007051583625890386,0.8062209579160919,0.6006203307064985,0.708751018104292
full,learned_market,2023-10-27,2023,1,3,True,0.7005642041876525,True,False,0.002164130125803359,0.7661817501720845,0.6718722786471593,0.6636385837437138
full,learned_market,2023-11-03,2023,0,2,False,0.5557943900613617,True,False,0.0022094072341579778,0.49834755371337647,0.5555521976524092,0.6134834188182994
full,learned_market,2023-11-10,2023,0,1,False,0.5018735433855221,True,True,0.014693631784692518,0.4085476184620597,0.42400477703919426,0.6730682346553124
full,learned_market,2023-11-17,2023,0,1,False,0.47591509840146146,False,False,0.008134198459716626,0.35667997002285956,0.49630848879476386,0.5747568363867608
full,learned_market,2023-11-24,2023,0,1,False,0.4866436510403617,False,False,0.004258512207187101,0.446508778602553,0.43474121632995805,0.5786809581885742
full,learned_market,2023-12-01,2023,0,2,False,0.564326658881504,True,False,0.01589971651991693,0.7400102894687953,0.45000803793410704,0.5029616492416097
full,learned_market,2023-12-08,2023,0,2,False,0.5504093272322029,True,False,0.0037543438038425674,0.6340859173975233,0.48907265017839946,0.5280694141206859
full,learned_market,2023-12-15,2023,1,2,False,0.4900116381435093,False,True,0.006958165575313972,0.5566878018468017,0.37239446482589045,0.5409526477578356
full,learned_market,2023-12-22,2023,1,1,False,0.46246242558045525,False,False,0.0014024647102463938,0.44536123144931844,0.42760381930345515,0.5144222259885923
full,learned_market,2023-12-29,2023,0,3,True,0.582507876066763,True,False,0.0037072239357782027,0.6673920469892614,0.5525895300138284,0.5275420511971993
full,learned_market,2024-01-05,2024,0,0,True,0.40895951489145926,False,False,0.0017719627854690001,0.4067698171582433,0.35853399792006724,0.4615747295960673
full,learned_market,2024-01-12,2024,0,1,False,0.48724237176664614,False,False,0.0006729933154969417,0.47217185860232347,0.4658095476742375,0.5237457090233775
full,learned_market,2024-01-19,2024,1,3,True,0.5674529617446896,True,False,0.0017936956861771148,0.5474828960155015,0.626340355343144,0.5285356338754235
full,learned_market,2024-01-26,2024,0,1,False,0.46480523249852146,False,False,0.005660760200687371,0.42991889272673045,0.5693021086468526,0.3951946961219814
full,learned_market,2024-02-02,2024,1,1,False,0.48316039979992925,False,False,0.016080872307575527,0.3247935171023527,0.6352222076908699,0.4894654746065651
full,learned_market,2024-02-23,2024,1,3,True,0.6134526500194324,True,False,0.004590016679862397,0.6294375486746463,0.6872733248286685,0.5236470765549823
full,learned_market,2024-03-01,2024,1,3,True,0.6292589813568574,True,False,0.007512347750818796,0.7181593165361067,0.6578914343414229,0.5117261931930426
full,learned_market,2024-03-08,2024,1,3,True,0.5888397730673355,True,False,0.012341564764675296,0.7458022062525702,0.5044897343236405,0.5162273786257956
full,learned_market,2024-03-15,2024,0,2,False,0.5425821068411482,True,False,0.021127398619693625,0.3578176565283196,0.7129878627750732,0.5569408012200515
full,learned_market,2024-03-22,2024,1,1,False,0.4163677626552373,False,False,0.01060947986008818,0.2903479155317198,0.5426506534965241,0.416104718937468
full,learned_market,2024-03-29,2024,0,0,True,0.34850326113542723,False,False,0.0015995937712886942,0.2991011000748464,0.39705723496697914,0.3493514483644562
full,learned_market,2024-04-12,2024,1,0,True,0.4513251034300776,False,False,0.0004050476994160342,0.45071592110321584,0.4762730146172701,0.42698637456974686
full,learned_market,2024-04-19,2024,1,2,False,0.44590579102510786,False,True,0.01126728116765087,0.29644128976453743,0.532729108550957,0.5085469747598292
full,learned_market,2024-04-26,2024,1,2,False,0.5424962606865006,True,False,0.013356256203726304,0.39408924950260166,0.6759948215460356,0.5574047110108645
full,learned_market,2024-05-10,2024,1,2,False,0.5188591038681328,True,False,0.006989117132227593,0.41045438330528283,0.5321959760439545,0.613926952255161
full,learned_market,2024-05-17,2024,0,2,False,0.5040058739020808,True,False,0.0010890470770483994,0.5300971093291568,0.5244715407206116,0.4574489716564741
full,learned_market,2024-05-24,2024,0,3,True,0.5880461738603129,True,False,0.003088525676524972,0.6507637561770038,0.515667056447179,0.597707708956756
full,learned_market,2024-05-31,2024,0,2,False,0.5055646913406341,True,False,0.003735227058961354,0.5574700094543978,0.5394636743002731,0.4197603902672313
full,learned_market,2024-06-07,2024,0,2,False,0.5468406854133079,True,False,0.0033374679174504665,0.531375954091445,0.48509763499032776,0.624048467158151
full,learned_market,2024-06-14,2024,0,2,False,0.5395111168332037,True,False,0.007294283589022244,0.5304737711200225,0.4397217354927254,0.6483378438868636
full,learned_market,2024-06-21,2024,0,3,True,0.6433345613350954,True,False,0.0005365664737762938,0.6740063421754006,0.6379626613669482,0.6180346804629373
full,learned_market,2024-06-28,2024,0,2,False,0.5189430470444402,True,False,0.013683331040619374,0.5782442358341489,0.3555482067284077,0.6230366985707638
full,learned_market,2024-07-05,2024,1,2,False,0.5200090485880257,True,False,0.0027459549543770987,0.5594064958455401,0.4459521306022153,0.5546685193163218
full,learned_market,2024-07-12,2024,1,0,True,0.46142500112358636,False,False,7.098372419569111e-05,0.4647895403698882,0.46964149369773106,0.4498439693031399
full,learned_market,2024-07-19,2024,0,1,False,0.4632786800300061,False,False,0.0022363475057326477,0.4049998695367,0.520829464057228,0.46400670649609044
full,learned_market,2024-07-26,2024,0,1,False,0.4632545011670179,False,False,0.004894539617120133,0.3754222305284177,0.5466158973110479,0.4677253756615879
full,learned_market,2024-08-02,2024,0,1,False,0.45581381993180187,False,False,0.0011409413658448097,0.4406696863096407,0.5026211191417457,0.4241506543440191
full,learned_market,2024-08-09,2024,1,1,False,0.483054947607936,False,False,0.0006034225940325502,0.517769510128155,0.46455387754687555,0.46684145514877745
full,learned_market,2024-08-16,2024,0,0,True,0.3875416164705154,False,False,0.005800801063641964,0.30793585151048863,0.3645082575423279,0.49018074035872944
full,learned_market,2024-08-23,2024,0,0,True,0.41456340529314034,False,False,0.0025514243433287166,0.41641199550691227,0.35179597353666947,0.47548224683583934
full,learned_market,2024-08-30,2024,0,0,True,0.3281764353074259,False,False,0.006105366771630552,0.27237498663386944,0.2734775294882818,0.43867678980012653
full,learned_market,2024-09-06,2024,0,0,True,0.4105820472781754,False,False,0.0005825069976033272,0.44146092030998885,0.3825476952556506,0.40773752626888676
full,learned_market,2024-09-13,2024,1,0,True,0.3870242524154459,False,False,0.004496785607631354,0.31468130844484876,0.3700915602071776,0.4762998885943114
full,learned_market,2024-09-20,2024,1,0,True,0.3618123632396036,False,False,0.004069552688052488,0.2718568296647072,0.41273407791717437,0.40084618213692935
full,learned_market,2024-09-27,2024,1,1,False,0.4438092806672546,False,False,0.016710899284979368,0.293946112116016,0.6094167821497395,0.4280649477360084
full,learned_market,2024-10-11,2024,1,1,False,0.44442448024261355,False,False,0.006801264685735511,0.4514931719558953,0.3400713750864246,0.5417088936855207
full,learned_market,2024-10-18,2024,1,1,False,0.4643693751091144,False,False,0.002597886787923573,0.41093289780343895,0.4491920608743796,0.5329831666495246
full,learned_market,2024-10-25,2024,0,3,True,0.6823955384457913,True,False,0.009175556536006097,0.6326868512883903,0.8163833765155273,0.5981163875334563
full,learned_market,2024-11-01,2024,1,3,True,0.6524074103497083,True,False,0.004018830011579266,0.65818898945194,0.7269967797083571,0.5720364618888278
full,learned_market,2024-11-08,2024,0,1,False,0.44453971810420345,False,False,0.005928823621579038,0.33722228624700024,0.5141816141622243,0.4822152539033859
full,learned_market,2024-11-15,2024,0,2,False,0.5389861878102026,True,False,0.007809740126399169,0.5039262008229765,0.6604041410197539,0.4526282215878774
full,learned_market,2024-11-22,2024,1,0,True,0.40686561283420364,False,False,0.0029874382584383166,0.3297882775704119,0.4504511289017337,0.4403574320304652
full,learned_market,2024-11-29,2024,1,0,True,0.46008218855042776,False,False,0.00014135831971717758,0.47645199618646933,0.4485716978601373,0.4552228716046766
full,learned_market,2024-12-06,2024,0,1,False,0.4331831337839372,False,False,0.018106684639050075,0.27424297437498213,0.6032818306789417,0.42202459629788786
full,learned_market,2024-12-13,2024,0,1,False,0.4950530348851903,False,False,0.008908584695756056,0.44724506419772897,0.6268860501406839,0.4110279903171581
full,learned_market,2024-12-20,2024,1,0,True,0.3603555237197435,False,False,0.006436605387539628,0.24930573969320924,0.4360265613210509,0.3957342701449704
full,learned_market,2024-12-27,2024,0,0,True,0.43658936385629366,False,False,0.0020594751584548368,0.4389126066602974,0.4909720008869822,0.37988348402160155
full,learned_market,2025-01-03,2025,0,1,False,0.49557099883868555,False,False,0.013410647266806219,0.4781242286438051,0.6453180647756734,0.3632707030965781
full,learned_market,2025-01-10,2025,1,2,False,0.5026464515119683,True,False,0.011318434386149864,0.5564725347844708,0.5974080421902673,0.35405877756116666
full,learned_market,2025-01-17,2025,1,2,False,0.5450599772126874,True,False,0.011772089663685108,0.5586883208200605,0.6706045440076185,0.4058870668103832
full,learned_market,2025-01-24,2025,1,3,True,0.6271386793784305,True,False,0.0035493237958413785,0.6771091295168864,0.6609003800030815,0.5434065286153236
