window,method,year,n,accuracy,balanced_accuracy,actual_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,correlation,mean_forecast,forecast_std,mean_actual,mean_return_held,mean_return_unheld,period_net_return_10bps
common,round3_quarterly_ridge,2024,25,0.56,0.5673076923076923,0.48,0.68,0.045346067565730945,-0.005560821396734417,-0.06671349112228617,0.001590302076147952,0.002776706727577303,0.004880719470259253,0.009708689578278003,-0.005378717009280599,0.14821094841665428
common,round3_quarterly_ridge,2025,48,0.6041666666666666,0.5722222222222222,0.625,0.6458333333333334,0.017600809667441684,0.053837018871424225,0.15193760526925132,0.0012164680767635687,0.002963380799572183,0.0050294812616244544,0.006273626125852804,0.0027607465092080534,0.19733990370104726
common,round3_quarterly_ridge,2026,30,0.4666666666666667,0.48660714285714285,0.4666666666666667,0.8,0.020048800543231868,-0.04103980218646308,-0.05804086277953341,0.001853884229980317,0.0018487237130970224,-0.001290096319502013,-0.002190281351794925,0.002310643809669634,-0.0595464755598869
common,round3_direct_kronos,2024,25,0.52,0.5064102564102564,0.48,0.16,0.04837249938695377,-0.1442637453311273,0.130323605791068,-0.011661346414628147,0.014775824561733505,0.004880719470259253,0.0028538681129481993,0.005266786395461358,0.00407493369754075
common,round3_direct_kronos,2025,48,0.5,0.5333333333333333,0.625,0.375,0.02830992621680688,-1.447812419783129,-0.06171861086856181,-0.005436610012380276,0.01869953053547858,0.0050294812616244544,0.006711487966408188,0.0040202772387542135,0.10288759898143085
common,round3_direct_kronos,2026,30,0.6,0.59375,0.4666666666666667,0.4,0.022329560640916422,-0.29137061420332766,0.03988153535232767,-0.0011207052888140298,0.011494008244487671,-0.001290096319502013,0.0013407561900047507,-0.003043997992506522,0.0017082782562483079
post_release_sensitivity,raw_fixed,2025,18,0.6111111111111112,0.5,0.6111111111111112,1.0,0.01673756594127823,0.02888997605654786,-0.20847398981208715,0.001082534224244528,9.265374617358657e-06,0.00441995703446954,0.00441995703446954,,0.0789328486127494
post_release_sensitivity,raw_fixed,2026,30,0.5,0.5133928571428572,0.4666666666666667,0.7,0.019738949944456075,-0.00911029104759642,0.02563588330402301,0.0009518490825669233,0.0011415913162165037,-0.001290096319502013,-0.00235429128803361,0.001193025273738378,-0.06589432138649165
post_release_sensitivity,raw_adaptive,2025,18,0.5555555555555556,0.5064935064935066,0.6111111111111112,0.7222222222222222,0.016870694152151228,0.013380398815767802,0.010492818731076192,0.0004887995434258998,0.0006737245146903914,0.00441995703446954,0.004398733632560954,0.0044751378794318595,0.05355621668576238
post_release_sensitivity,raw_adaptive,2026,30,0.5333333333333333,0.5535714285714286,0.4666666666666667,0.8,0.020245302349317453,-0.061546634550822654,-0.06742775139286802,0.0023081722146516474,0.00244997872254608,-0.001290096319502013,0.0007536890672122711,-0.009465237866359147,0.004900083216518025
post_release_sensitivity,raw_permuted,2025,18,0.5555555555555556,0.48051948051948057,0.6111111111111112,0.8333333333333334,0.016821399984889584,0.019137546559935714,0.16340115842556177,0.0003894544161944722,0.0004546030740746636,0.00441995703446954,0.004038910478051727,0.006325189816558601,0.054835879343377414
post_release_sensitivity,raw_permuted,2026,30,0.36666666666666664,0.39285714285714285,0.4666666666666667,0.9,0.019815821384397574,-0.01698536132525419,-0.0343928942206958,0.0011114292404796986,0.0010315119805206431,-0.001290096319502013,-0.004127953997052174,0.024250622778449433,-0.11238459552682112
post_release_sensitivity,kronos_fixed,2025,18,0.3888888888888889,0.5,0.6111111111111112,0.0,0.017136235476586086,-0.017922414755281224,0.261339069167235,-0.0005548774586239834,4.9837717529882025e-06,0.00441995703446954,,0.00441995703446954,0.0
post_release_sensitivity,kronos_fixed,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.020041293059846053,-0.04026029164293243,-0.15728441842486315,0.002854953743094837,4.4963054924553154e-06,-0.001290096319502013,-0.001290096319502013,,-0.04544975375761173
post_release_sensitivity,kronos_adaptive,2025,18,0.5,0.512987012987013,0.6111111111111112,0.4444444444444444,0.01690490131715599,0.009375385798808589,0.127160836601532,0.00017966604292083145,0.0002964847547353856,0.00441995703446954,0.004165780445922176,0.004623298305307431,0.022206188370268443
post_release_sensitivity,kronos_adaptive,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.020259378440653,-0.06302328544883018,-0.22924211776080888,0.003749455431803539,6.637574512295524e-05,-0.001290096319502013,-0.001290096319502013,,-0.04544975375761173
post_release_sensitivity,kronos_permuted,2025,18,0.6111111111111112,0.5,0.6111111111111112,1.0,0.016824721948810607,0.01875009825892715,0.12265344240399544,0.0005453956924772056,0.00023361556913162394,0.00441995703446954,0.00441995703446954,,0.0789328486127494
post_release_sensitivity,kronos_permuted,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.020121911891184223,-0.0486463021738095,-0.21663978998466765,0.003178236601917733,5.625845136641754e-05,-0.001290096319502013,-0.001290096319502013,,-0.04449424800561752
post_release_sensitivity,random_tokenizer_adaptive,2025,18,0.3888888888888889,0.44805194805194803,0.6111111111111112,0.2222222222222222,0.01703967983371728,-0.006483583601788023,0.09283520917043724,-0.00032803123027657727,0.00043577141255073777,0.00441995703446954,0.002452444830678977,0.0049821033784097,0.0027222740903716236
post_release_sensitivity,random_tokenizer_adaptive,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.019954146469862145,-0.031233125917231375,-0.061817614682731274,0.0023598619839719933,0.00015564470890208577,-0.001290096319502013,-0.001290096319502013,,-0.04544975375761173
post_release_sensitivity,ridge_matched_schedule,2025,18,0.5555555555555556,0.48051948051948057,0.6111111111111112,0.8333333333333334,0.0166567721084721,0.038242630432037794,0.037830148967084955,0.0016676780250496168,0.0017665317458886224,0.00441995703446954,0.0037244113086644204,0.007897685663495134,0.05205507823293498
post_release_sensitivity,ridge_matched_schedule,2026,30,0.4666666666666667,0.48660714285714285,0.4666666666666667,0.8,0.020045693921161966,-0.04071720267233836,-0.059752497994863915,0.0018221050616115003,0.001840463216855702,-0.001290096319502013,-0.002190281351794925,0.002310643809669634,-0.0595464755598869
post_release_sensitivity,training_mean,2025,18,0.6111111111111112,0.5,0.6111111111111112,1.0,0.01668709120847389,0.03473821118061715,,0.0013353613541964998,2.168404344971009e-19,0.00441995703446954,0.00441995703446954,,0.0789328486127494
post_release_sensitivity,training_mean,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.01980043121752067,-0.01540626993778016,,0.0014690415121069004,4.336808689942018e-19,-0.001290096319502013,-0.001290096319502013,,-0.04449424800561752
post_release_sensitivity,buy_hold,2025,18,0.6111111111111112,0.5,0.6111111111111112,1.0,0.016984707646462777,3.064303866207041e-08,,9.999999999999999e-10,2.0679515313825692e-25,0.00441995703446954,0.00441995703446954,,0.0789328486127494
post_release_sensitivity,buy_hold,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.01964964594896655,-6.682559172688229e-09,,9.999999999999999e-10,2.0679515313825692e-25,-0.001290096319502013,-0.001290096319502013,,-0.04449424800561752
post_release_sensitivity,zero_return_cash,2025,18,0.3888888888888889,0.5,0.6111111111111112,0.0,0.01698470790669431,0.0,,0.0,0.0,0.00441995703446954,,0.00441995703446954,0.0
post_release_sensitivity,zero_return_cash,2026,30,0.5333333333333333,0.5,0.4666666666666667,0.0,0.019649645883311587,0.0,,0.0,0.0,-0.001290096319502013,,-0.001290096319502013,0.0
post_release_sensitivity,round3_quarterly_ridge,2025,18,0.5555555555555556,0.48051948051948057,0.6111111111111112,0.8333333333333334,0.016620078806208426,0.042475285270756946,0.05154045555084344,0.0017141613114765998,0.0016673306923257268,0.00441995703446954,0.004089175915679947,0.006073862628417501,0.0577570250894639
post_release_sensitivity,round3_quarterly_ridge,2026,30,0.4666666666666667,0.48660714285714285,0.4666666666666667,0.8,0.020048800543231868,-0.04103980218646308,-0.05804086277953341,0.001853884229980317,0.0018487237130970224,-0.001290096319502013,-0.002190281351794925,0.002310643809669634,-0.0595464755598869
post_release_sensitivity,round3_direct_kronos,2025,18,0.4444444444444444,0.4935064935064935,0.6111111111111112,0.2777777777777778,0.03507727497609326,-3.2651619827629856,-0.003961254265359761,-0.013077862221262516,0.02553389430865469,0.00441995703446954,0.0033844769545845004,0.004818218603656093,0.012734058794034997
post_release_sensitivity,round3_direct_kronos,2026,30,0.6,0.59375,0.4666666666666667,0.4,0.022329560640916422,-0.29137061420332766,0.03988153535232767,-0.0011207052888140298,0.011494008244487671,-0.001290096319502013,0.0013407561900047507,-0.003043997992506522,0.0017082782562483079
