job,method,cutoff,seed,train_n,dimensions,iterations,objective,gradient_inf,parent_or_constant_objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std,constant_brier,constant_log_loss,constant_accuracy
learned_market_2019-12-31_20260910,learned_market,2019-12-31,20260910,2165,29,4,0.6511690032772487,2.237793284010081e-16,0.6522571000052748,0.6495801206533672,0.22907689490870356,0.6184757505773673,0.6641713205043586,0.5214780600461892,0.1381336119716964,0.24953869293665232,0.6922242824846752,0.5214780600461894
learned_market_2019-12-31_20260911,learned_market,2019-12-31,20260911,2165,29,4,0.6395853737827856,3.704393562731223e-14,0.6405058593184632,0.6379667128435033,0.2236104377802297,0.6323325635103926,0.6857069330497143,0.5214780600461706,0.15632205946101202,0.24953869293665232,0.6922242824846752,0.5214780600461894
learned_market_2019-12-31_20260912,learned_market,2019-12-31,20260912,2165,29,4,0.6561949601070699,1.2851048350470684e-15,0.6582073494768838,0.6546460785727399,0.23141454791047902,0.6124711316397229,0.6553925809904552,0.5214780600461888,0.12887333763125786,0.24953869293665232,0.6922242824846752,0.5214780600461894
market4_2014-12-31_-1,market4,2014-12-31,-1,1077,4,3,0.6776981450381553,5.3562670141241164e-11,0.6930225987958569,0.6772959765232095,0.24216113782357615,0.5673166202414113,0.5978579559173537,0.492107706574846,0.08574969613867353,0.24993771170476817,0.6930225987958569,0.5078922934076138
market4_2015-12-31_-1,market4,2015-12-31,-1,1190,4,3,0.6785397369372155,5.02261145000904e-11,0.693124583115526,0.6781077685307133,0.24255989938861328,0.5680672268907563,0.5978322585019025,0.5033613445205347,0.08354601279185861,0.24998870136289814,0.693124583115526,0.5033613445378151
market4_2016-12-31_-1,market4,2016-12-31,-1,1434,4,3,0.6852088371722919,5.706511652103785e-13,0.6930499179826164,0.6849329672230099,0.24592213853379152,0.5481171548117155,0.5717184609009143,0.5069735006971341,0.061246162363021966,0.24995137028802408,0.6930499179826164,0.50697350069735
market4_2017-12-31_-1,market4,2017-12-31,-1,1678,4,3,0.6908758254938854,6.949735925632083e-17,0.6923258407995493,0.6907540843082206,0.24881374951707744,0.5131108462455304,0.5254886057216851,0.5202622169249106,0.02571910719032939,0.2495894425652879,0.6923258407995493,0.5202622169249106
market4_2018-12-31_-1,market4,2018-12-31,-1,1921,4,3,0.6911752385281722,3.430415673744136e-16,0.6928966339915423,0.690907803224852,0.24888844193785023,0.5065070275897969,0.5287236280742394,0.5111920874544507,0.02690867004444237,0.2498747371784119,0.6928966339915423,0.5111920874544508
market4_2019-12-31_-1,market4,2019-12-31,-1,2165,4,3,0.6910790570823868,2.2551405187698492e-17,0.6922242824846752,0.6908938727118121,0.24887992325840136,0.5085450346420324,0.5245168615407765,0.5214780600461894,0.02186616613840776,0.24953869293665232,0.6922242824846752,0.5214780600461894
raw_trend_2014-12-31_-1,raw_trend,2014-12-31,-1,1077,26,4,0.6546892297944243,1.5026608429780097e-14,0.655657699883531,0.6500029398694915,0.22893021772534866,0.61652739090065,0.6700941671553241,0.4921077065923814,0.12758741468789253,0.24993771170476817,0.6930225987958569,0.5078922934076138
raw_trend_2015-12-31_-1,raw_trend,2015-12-31,-1,1190,26,4,0.665397043419966,2.1033522146218786e-17,0.6664345257899404,0.6616422719344696,0.2346312913923968,0.5974789915966386,0.6402775070690293,0.5033613445378151,0.10831603318855684,0.24998870136289814,0.693124583115526,0.5033613445378151
raw_trend_2016-12-31_-1,raw_trend,2016-12-31,-1,1434,26,3,0.6706336266138795,1.6199500096382435e-10,0.6718104480769999,0.6667554873713665,0.23712730283625724,0.5864714086471409,0.6299006398969628,0.5069735006571563,0.09533907567073834,0.24995137028802408,0.6930499179826164,0.50697350069735
raw_trend_2017-12-31_-1,raw_trend,2017-12-31,-1,1678,26,3,0.6794377651260337,5.066292220815005e-12,0.6800092051148297,0.6768173124180307,0.24197703389271918,0.5637663885578069,0.600233363926775,0.5202622169228593,0.07117825619280087,0.2495894425652879,0.6923258407995493,0.5202622169249106
raw_trend_2018-12-31_-1,raw_trend,2018-12-31,-1,1921,26,3,0.6789535724751734,1.32807661352638e-11,0.6797147724190238,0.6761467151585769,0.24161503720731464,0.584070796460177,0.6067099158657756,0.5111920874493667,0.07411490555909582,0.2498747371784119,0.6928966339915423,0.5111920874544508
raw_trend_2019-12-31_-1,raw_trend,2019-12-31,-1,2165,26,3,0.6818669701431032,1.180640221004614e-12,0.6823197602544896,0.6794305785163636,0.24320171997420595,0.5824480369515012,0.5980135836203152,0.5214780600456117,0.06254730797388573,0.24953869293665232,0.6922242824846752,0.5214780600461894
