seed,epoch,train_n,steps,last_batch,nominal_loss_weight_max_min,permutation_sha256,joint_loss,return_loss,aux_loss,gradient_norm
20260910,18,1028,9,4,32.0,74927963d04b1004ab6bade3cd9f2a3ab225c2c2e234d2f042a29a17bace5f06,1.101891996331716,1.0013949288932267,1.004970593211252,0.453167908850347
20260910,19,1028,9,4,32.0,b59365fcadbffd840f08f3b2459e63def571b62134c7d83b47538573d39f2767,1.101907027370735,1.0015780424793406,1.0032899291598842,0.6656631059683714
20260910,20,1028,9,4,32.0,f17e372b0d79b49b86f877158b5b400f28addfd42255a17524545ca6894f825f,1.1009076743274346,1.0009481433764507,0.9995953092779167,0.43023902804007325
20260911,1,1028,9,4,32.0,1148add6e1f8d673119aab38a4f77329d343b5779258a06a611cdc5c1e76c3ba,1.1297750384891079,1.0010514245422897,1.287236169502429,0.7287687299780344
20260911,2,1028,9,4,32.0,512ec424d1d7f519eabc11be53f3a1dae4c23626737dd57da496d2789a3ca474,1.107689286600291,0.9995934844944727,1.0809578350545832,0.581345303977046
20260911,3,1028,9,4,32.0,084d01605cbab766ccacfceafe418ffa1ee4bb293975db853b7607959be3182e,1.1055063473111462,1.0009446728554217,1.0456166167667404,0.6340938356599919
20260911,4,1028,9,4,32.0,4e319ab986ee399bfaabfe67e3bbf899c745147b124d7db262116e07b480d50f,1.1052861144106676,1.0015819573680715,1.037041739267134,0.5647897033839838
20260911,5,1028,9,4,32.0,a2bf1da33c37e5e06fa9da43b3ea2ec9990c998637e0d8ab42e409c82d4cb89f,1.1026140192835248,1.0005666406006202,1.02047394975614,0.5706229179749693
20260911,6,1028,9,4,32.0,d84c9cd0ccfe419e198f6b7299523aabc65b29500f0b606e9fdfbe2a41db3d5f,1.1027686382546036,1.000042682955701,1.0272596863457202,0.6068262423058892
20260911,7,1028,9,4,32.0,d987b7fa8185cc758ab91b3189969d9847b594eb57f1d1f727331fc180b40f3a,1.1026953305715717,1.000497676055255,1.0219766782879365,0.5851970127120556
20260911,8,1028,9,4,32.0,343bcc90d9f48a7dbb9fba6e527ddaa0cb87d35a475b21190d3d3eb6831a7c03,1.1022923489025132,1.000215999811076,1.0207636910653763,0.6463516398626543
20260911,9,1028,9,4,32.0,e0ddb4b462cb2a88d5708cbc38f836a7f0023b23e88088d503c180960253feb9,1.1022055481890296,1.000246042987252,1.0195951634575884,0.5751043831791859
20260911,10,1028,9,4,32.0,f4844a6e3340015876b44f55def5c705ba351e4ce69f626378ef915b114f5849,1.1024187297672614,1.0011907551539083,1.0122795939909346,0.7165840237984862
20260911,11,1028,9,4,32.0,4618afc091595f33da3f6abc54448cd92c801993bbae11a84b551b2d48171490,1.1034678691556017,1.0017744184468043,1.0169344764739159,0.5413243065548314
20260911,12,1028,9,4,32.0,6b4d68eaf60b752ac0feccf13eed8ae731a848f1d682fba36d9f4fc45f545437,1.1020820604688,1.0009575664765176,1.0112449482721113,0.39809831292712733
20260911,13,1028,9,4,32.0,e1f2d87f122c32a6449b1fd3d83442e7e455cb6859647570f0164be1b291f7ed,1.1021379606964987,1.0006091161576691,1.0152884747267696,0.6413990440071788
20260911,14,1028,9,4,32.0,dbb803689f18b336b6bfa267336d00a10a22f5c876331028860d606b1f210794,1.1006662989404878,0.9996051693240956,1.0106113928765175,0.33727913886192706
20260911,15,1028,9,4,32.0,a23e9227507009c23452f14896884a94acbcfceb06dbc916fa4c47687209762d,1.100692366811552,0.9997163728053468,1.0097597014115478,0.46190927928523795
20260911,16,1028,9,4,32.0,ae9bf217fb72cd4be15c4da9752c08b1ed8868fc174deb173c9a930f7af50a8f,1.1004648964692647,0.9999005757417196,1.0056430957196751,0.3874525239959301
20260911,17,1028,9,4,32.0,18d8b39e5d7e3c0f152f24d04b5f8565df521eff6d8e3359e8076deaf1ba9964,1.1013959980196526,1.000615965531494,1.0078004208984077,0.532813530487773
20260911,18,1028,9,4,32.0,e31ad5068957979f9736265f1810a6f1b244bf5d1fb4ae4f404bc03365319e27,1.1001407673386747,0.9998226949676929,1.003180665728647,0.620999506939246
20260911,19,1028,9,4,32.0,62166684f1ed73abb9f7614d29db0723ed4c0dcdac3bcc3eb892e5764e3f32b2,1.100630302953349,1.0004942660665697,1.0013603241063278,0.6408715517140549
20260911,20,1028,9,4,32.0,fe2c8acd80b520e6f584a5895bbca8426d575d02d2e72ac40cdb440a1f7ac7a5,1.0998424222033312,0.9994633886600747,1.0037903275471254,0.3119112387705406
20260912,1,1028,9,4,32.0,4864dba3efbcc6e17ef5156431f343441706980f8c320eb7c30c604d92bed44e,1.1140640626157767,1.00106048862294,1.1300357232297904,0.6739062298132752
20260912,2,1028,9,4,32.0,92b7be32aeea45164e36f04c140ce64d5fbf122b9346581a82d4e31f6c1c0cd3,1.1066974138239478,1.000586005732243,1.0611141027179674,0.7785726474880709
20260912,3,1028,9,4,32.0,9455370ec3fc3c065bba2440a18de6766ff7c360204ef6841c4f8f100a703acf,1.1061615171599481,1.0020640406627135,1.0409749943458617,1.0178413293704913
20260912,4,1028,9,4,32.0,62008bea3327509994f80b72def09890e047c816d0711dd78d6367f3ce56018e,1.103858711654574,1.0006794799626568,1.0317922127849861,0.9092306668656346
20260912,5,1028,9,4,32.0,f27becc7008e4c24fd2fb704576781853865a6fa3c29e036c3b574cfecac7227,1.1044084085332744,1.0012638335793862,1.0314457571923965,0.9602949846579407
20260912,6,1028,9,4,32.0,96946935df1a18f8c8cd3c1b5b6798cfe004a71a2dddb6845141abaadbd111c4,1.1012807142873682,0.9998322043437439,1.0144849908954903,1.0637779495595494
20260912,7,1028,9,4,32.0,dd1b46835a938bb6708c97461eda732834ec3f79aebdf914109e2c9c88255023,1.1021812815610537,1.0007001653255656,1.0148113038289408,0.773151252984073
20260912,8,1028,9,4,32.0,60eb1ea33035932785b4b4bb71bfeb70d8a980fc00a1b12d32a31e72b624434d,1.1006418123319455,0.9996622258123257,1.0097960048148604,0.31288861300694804
20260912,9,1028,9,4,32.0,96f65fb16423995bb867ca46bceaf244721f1220c0d7d9e9863107a33830d21f,1.1016859377404595,1.0005506587863433,1.0113526582717896,0.7132633224071696
20260912,10,1028,9,4,32.0,672b40328eb678e7a8d98948ffbff00c79125ff8c744187292989f52f10d7a76,1.0994827823880118,0.999346095590276,1.0013667191976703,0.777235440243079
20260912,11,1028,9,4,32.0,7cceebeda04a7a5b052d6fc15fee2d80f0ff80d6b347d798495566f5ea6991bf,1.099977430260599,0.9999244685070988,1.0005296326101059,0.6734838283943295
20260912,12,1028,9,4,32.0,7abb0eb4dc81bf916e389463d411b507cba5f7d3bab23cd38f7933baa7631420,1.10131706662679,1.0009419431018458,1.0037511247373276,0.8686781087274218
20260912,13,1028,9,4,32.0,79e9bba541a8acef10f7a8ac2c20a392d3ec14bf947595f89ead82e04df6a171,1.1005204234141783,1.0002884280356916,1.00232019034805,0.45192531203481473
20260912,14,1028,9,4,32.0,dc0de096737165e973944dda6ec2a913c9c300b8dbc2912ef16a0fdc546fba81,1.1007037315851056,1.0008110021338852,0.9989272140343366,0.7538135561961609
20260912,15,1028,9,4,32.0,4dc8351fffce079c90019957f6f7eb7d263e96657e81420a8ddd00af66d7843a,1.1025172504469578,1.002345472922121,1.0017179496557331,0.914530759655548
20260912,16,1028,9,4,32.0,dbd4521fde244afa05bde50b2dd1fa3ce9cb68b709c9401abf4dea8b69976f95,1.1014262727726294,1.0012854084894351,1.0014086793600818,0.5077707827786991
20260912,17,1028,9,4,32.0,b9e07090b9e09760755748f2d29624e447e715ff072b0cfeb28450f7389b004a,1.100919755864236,1.0008777074718753,1.0004204170713165,0.43334332815867915
20260912,18,1028,9,4,32.0,87c8d7efd78d9d18ad03b60c99c853444bb84df382001f1aa4e846af26a3ae4e,1.099967690293427,0.9999358990313014,1.000317846522721,0.5879293350857984
20260912,19,1028,9,4,32.0,c05186166175415d0e62ade1171c29324432156c49590ed1651a91fd3062356d,1.099643720147211,0.9994746929012848,1.001690383319261,0.7478584222756471
20260912,20,1028,9,4,32.0,66d1838c212a70c23dd9ef5c10be0f6bd5a62f06a545e810a9494e9f17c01a33,1.101791856353849,1.0014518355581083,1.0034002459930538,0.5152282065454624
