cutoff,method,seed,family,component,coefficient_gap,kkt_violation
2022-06-30,learned_vol_interaction,20260912,trend,nonnegative,0.0,4.440892098500626e-16
2022-06-30,learned_vol_interaction,20260912,volatility,low,2.7755575615628914e-17,4.440892098500626e-16
2022-06-30,learned_vol_interaction,20260912,volatility,high,0.0,4.440892098500626e-16
2022-06-30,learned_order_extension,20260910,trend,negative,1.6653345369377348e-15,0.0
2022-06-30,learned_order_extension,20260910,trend,nonnegative,2.7755575615628914e-17,0.0
2022-06-30,learned_order_extension,20260910,volatility,low,1.942890293094024e-16,8.881784197001252e-16
2022-06-30,learned_order_extension,20260910,volatility,high,0.0,4.440892098500626e-16
2022-06-30,learned_order_extension,20260911,trend,negative,1.8596235662471372e-15,8.881784197001252e-16
2022-06-30,learned_order_extension,20260911,trend,nonnegative,5.551115123125783e-17,8.881784197001252e-16
2022-06-30,learned_order_extension,20260911,volatility,low,1.1102230246251565e-16,0.0
2022-06-30,learned_order_extension,20260911,volatility,high,2.7755575615628914e-17,4.440892098500626e-16
2022-06-30,learned_order_extension,20260912,trend,negative,6.38378239159465e-16,4.440892098500626e-16
2022-06-30,learned_order_extension,20260912,trend,nonnegative,2.7755575615628914e-17,8.881784197001252e-16
2022-06-30,learned_order_extension,20260912,volatility,low,2.7755575615628914e-17,1.3322676295501878e-15
2022-06-30,learned_order_extension,20260912,volatility,high,2.7755575615628914e-17,1.3322676295501878e-15
2022-06-30,learned_order_offset,20260910,trend,negative,1.6653345369377348e-15,8.881784197001252e-16
2022-06-30,learned_order_offset,20260910,trend,nonnegative,0.0,8.881784197001252e-16
2022-06-30,learned_order_offset,20260910,volatility,low,2.220446049250313e-16,0.0
2022-06-30,learned_order_offset,20260910,volatility,high,0.0,0.0
2022-06-30,learned_order_offset,20260911,trend,negative,1.8041124150158794e-15,0.0
2022-06-30,learned_order_offset,20260911,trend,nonnegative,2.7755575615628914e-17,4.440892098500626e-16
2022-06-30,learned_order_offset,20260911,volatility,low,1.6653345369377348e-16,8.881784197001252e-16
2022-06-30,learned_order_offset,20260911,volatility,high,2.7755575615628914e-17,0.0
2022-06-30,learned_order_offset,20260912,trend,negative,6.245004513516506e-16,1.3322676295501878e-15
2022-06-30,learned_order_offset,20260912,trend,nonnegative,2.7755575615628914e-17,0.0
2022-06-30,learned_order_offset,20260912,volatility,low,2.7755575615628914e-17,0.0
2022-06-30,learned_order_offset,20260912,volatility,high,0.0,0.0
2022-09-30,learned_market,20260910,trend,negative,1.942890293094024e-16,4.440892098500626e-16
2022-09-30,learned_market,20260910,trend,nonnegative,0.0,4.440892098500626e-16
2022-09-30,learned_market,20260910,volatility,low,1.3877787807814457e-16,0.0
2022-09-30,learned_market,20260910,volatility,high,5.551115123125783e-17,0.0
2022-09-30,learned_market,20260911,trend,negative,2.55351295663786e-15,0.0
2022-09-30,learned_market,20260911,trend,nonnegative,0.0,0.0
2022-09-30,learned_market,20260911,volatility,low,1.942890293094024e-16,8.881784197001252e-16
2022-09-30,learned_market,20260911,volatility,high,2.7755575615628914e-17,0.0
2022-09-30,learned_market,20260912,trend,negative,1.249000902703301e-16,1.1102230246251565e-15
2022-09-30,learned_market,20260912,trend,nonnegative,2.7755575615628914e-17,4.440892098500626e-16
2022-09-30,learned_market,20260912,volatility,low,0.0,4.440892098500626e-16
2022-09-30,learned_market,20260912,volatility,high,0.0,4.440892098500626e-16
2022-09-30,learned_vol_interaction,20260910,trend,negative,2.7755575615628914e-17,4.440892098500626e-16
2022-09-30,learned_vol_interaction,20260910,trend,nonnegative,2.4702462297909733e-15,0.0
2022-09-30,learned_vol_interaction,20260910,volatility,low,1.6653345369377348e-16,8.881784197001252e-16
2022-09-30,learned_vol_interaction,20260910,volatility,high,2.7755575615628914e-17,8.881784197001252e-16
2022-09-30,learned_vol_interaction,20260911,trend,negative,2.3314683517128287e-15,8.881784197001252e-16
2022-09-30,learned_vol_interaction,20260911,trend,nonnegative,2.7755575615628914e-17,8.881784197001252e-16
2022-09-30,learned_vol_interaction,20260911,volatility,low,2.498001805406602e-16,8.881784197001252e-16
2022-09-30,learned_vol_interaction,20260911,volatility,high,2.7755575615628914e-17,8.881784197001252e-16
2022-09-30,learned_vol_interaction,20260912,trend,negative,8.326672684688674e-17,6.661338147750939e-16
2022-09-30,learned_vol_interaction,20260912,trend,nonnegative,2.7755575615628914e-17,8.881784197001252e-16
2022-09-30,learned_vol_interaction,20260912,volatility,low,0.0,0.0
2022-09-30,learned_vol_interaction,20260912,volatility,high,0.0,0.0
2022-09-30,learned_order_extension,20260910,trend,negative,1.1657341758564144e-15,4.440892098500626e-16
2022-09-30,learned_order_extension,20260910,trend,nonnegative,2.7755575615628914e-17,8.881784197001252e-16
2022-09-30,learned_order_extension,20260910,volatility,low,1.1102230246251565e-16,0.0
2022-09-30,learned_order_extension,20260910,volatility,high,2.7755575615628914e-17,0.0
2022-09-30,learned_order_extension,20260911,trend,negative,2.3592239273284576e-15,0.0
2022-09-30,learned_order_extension,20260911,trend,nonnegative,5.551115123125783e-17,1.7763568394002505e-15
2022-09-30,learned_order_extension,20260911,volatility,low,1.1102230246251565e-16,0.0
2022-09-30,learned_order_extension,20260911,volatility,high,0.0,8.881784197001252e-16
2022-09-30,learned_order_extension,20260912,trend,negative,6.938893903907228e-17,2.220446049250313e-16
2022-09-30,learned_order_extension,20260912,trend,nonnegative,0.0,0.0
2022-09-30,learned_order_extension,20260912,volatility,low,0.0,4.440892098500626e-16
2022-09-30,learned_order_extension,20260912,volatility,high,0.0,0.0
2022-09-30,learned_order_offset,20260910,trend,negative,1.2212453270876722e-15,8.881784197001252e-16
2022-09-30,learned_order_offset,20260910,trend,nonnegative,0.0,0.0
2022-09-30,learned_order_offset,20260910,volatility,low,8.326672684688674e-17,8.881784197001252e-16
2022-09-30,learned_order_offset,20260910,volatility,high,1.1102230246251565e-16,1.3322676295501878e-15
2022-09-30,learned_order_offset,20260911,trend,negative,2.220446049250313e-15,2.6645352591003757e-15
2022-09-30,learned_order_offset,20260911,trend,nonnegative,0.0,0.0
2022-09-30,learned_order_offset,20260911,volatility,low,5.551115123125783e-17,8.881784197001252e-16
2022-09-30,learned_order_offset,20260911,volatility,high,0.0,4.440892098500626e-16
2022-09-30,learned_order_offset,20260912,trend,negative,5.551115123125783e-17,2.220446049250313e-16
2022-09-30,learned_order_offset,20260912,trend,nonnegative,0.0,0.0
2022-09-30,learned_order_offset,20260912,volatility,low,0.0,8.881784197001252e-16
2022-09-30,learned_order_offset,20260912,volatility,high,1.3877787807814457e-17,0.0
2023-03-31,learned_market,20260910,trend,negative,6.661338147750939e-16,8.881784197001252e-16
2023-03-31,learned_market,20260910,trend,nonnegative,2.7755575615628914e-17,0.0
2023-03-31,learned_market,20260910,volatility,low,1.1102230246251565e-16,8.881784197001252e-16
2023-03-31,learned_market,20260910,volatility,high,2.220446049250313e-16,8.881784197001252e-16
2023-03-31,learned_market,20260911,trend,negative,1.1102230246251565e-16,0.0
2023-03-31,learned_market,20260911,trend,nonnegative,2.7755575615628914e-17,0.0
2023-03-31,learned_market,20260911,volatility,low,5.551115123125783e-17,8.881784197001252e-16
2023-03-31,learned_market,20260911,volatility,high,0.0,8.881784197001252e-16
2023-03-31,learned_market,20260912,trend,negative,2.7755575615628914e-17,4.440892098500626e-16
2023-03-31,learned_market,20260912,trend,nonnegative,2.7755575615628914e-17,1.3322676295501878e-15
2023-03-31,learned_market,20260912,volatility,low,0.0,0.0
2023-03-31,learned_market,20260912,volatility,high,0.0,2.220446049250313e-16
2023-03-31,learned_vol_interaction,20260910,trend,negative,6.106226635438361e-16,8.881784197001252e-16
2023-03-31,learned_vol_interaction,20260910,trend,nonnegative,5.551115123125783e-17,0.0
2023-03-31,learned_vol_interaction,20260910,volatility,low,1.6653345369377348e-16,8.881784197001252e-16
2023-03-31,learned_vol_interaction,20260910,volatility,high,1.1102230246251565e-16,0.0
2023-03-31,learned_vol_interaction,20260911,trend,negative,5.551115123125783e-17,1.7763568394002505e-15
2023-03-31,learned_vol_interaction,20260911,trend,nonnegative,0.0,4.440892098500626e-16
2023-03-31,learned_vol_interaction,20260911,volatility,low,1.1102230246251565e-16,8.881784197001252e-16
2023-03-31,learned_vol_interaction,20260911,volatility,high,2.7755575615628914e-17,0.0
2023-03-31,learned_vol_interaction,20260912,trend,negative,2.7755575615628914e-17,8.881784197001252e-16
2023-03-31,learned_vol_interaction,20260912,trend,nonnegative,5.551115123125783e-17,1.3322676295501878e-15
2023-03-31,learned_vol_interaction,20260912,volatility,low,5.551115123125783e-17,1.7763568394002505e-15
2023-03-31,learned_vol_interaction,20260912,volatility,high,2.7755575615628914e-17,1.3322676295501878e-15
2023-03-31,learned_order_extension,20260910,trend,negative,4.440892098500626e-16,8.881784197001252e-16
2023-03-31,learned_order_extension,20260910,trend,nonnegative,2.7755575615628914e-17,0.0
2023-03-31,learned_order_extension,20260910,volatility,low,1.1102230246251565e-16,8.881784197001252e-16
2023-03-31,learned_order_extension,20260910,volatility,high,1.3877787807814457e-16,8.881784197001252e-16
2023-03-31,learned_order_extension,20260911,trend,negative,1.1102230246251565e-16,0.0
2023-03-31,learned_order_extension,20260911,trend,nonnegative,2.7755575615628914e-17,8.881784197001252e-16
2023-03-31,learned_order_extension,20260911,volatility,low,0.0,2.6645352591003757e-15
2023-03-31,learned_order_extension,20260911,volatility,high,2.7755575615628914e-17,4.440892098500626e-16
2023-03-31,learned_order_extension,20260912,trend,negative,2.7755575615628914e-17,0.0
2023-03-31,learned_order_extension,20260912,trend,nonnegative,0.0,4.440892098500626e-16
2023-03-31,learned_order_extension,20260912,volatility,low,5.551115123125783e-17,1.7763568394002505e-15
2023-03-31,learned_order_extension,20260912,volatility,high,1.3877787807814457e-17,2.220446049250313e-16
2023-03-31,learned_order_offset,20260910,trend,negative,3.885780586188048e-16,8.881784197001252e-16
2023-03-31,learned_order_offset,20260910,trend,nonnegative,2.7755575615628914e-17,0.0
2023-03-31,learned_order_offset,20260910,volatility,low,5.551115123125783e-17,2.6645352591003757e-15
2023-03-31,learned_order_offset,20260910,volatility,high,1.3877787807814457e-16,8.881784197001252e-16
2023-03-31,learned_order_offset,20260911,trend,negative,8.326672684688674e-17,8.881784197001252e-16
2023-03-31,learned_order_offset,20260911,trend,nonnegative,0.0,0.0
2023-03-31,learned_order_offset,20260911,volatility,low,5.551115123125783e-17,1.7763568394002505e-15
2023-03-31,learned_order_offset,20260911,volatility,high,2.7755575615628914e-17,1.3322676295501878e-15
2023-03-31,learned_order_offset,20260912,trend,negative,0.0,8.881784197001252e-16
2023-03-31,learned_order_offset,20260912,trend,nonnegative,0.0,0.0
2023-03-31,learned_order_offset,20260912,volatility,low,2.7755575615628914e-17,0.0
2023-03-31,learned_order_offset,20260912,volatility,high,1.3877787807814457e-17,4.440892098500626e-16
2023-06-30,learned_market,20260910,trend,negative,3.608224830031759e-16,4.440892098500626e-16
2023-06-30,learned_market,20260910,trend,nonnegative,0.0,4.440892098500626e-16
2023-06-30,learned_market,20260910,volatility,low,0.0,0.0
2023-06-30,learned_market,20260910,volatility,high,2.7755575615628914e-17,1.7763568394002505e-15
2023-06-30,learned_market,20260911,trend,negative,2.7755575615628914e-17,8.881784197001252e-16
2023-06-30,learned_market,20260911,trend,nonnegative,1.3877787807814457e-17,4.440892098500626e-16
2023-06-30,learned_market,20260911,volatility,low,5.551115123125783e-17,1.3322676295501878e-15
2023-06-30,learned_market,20260911,volatility,high,0.0,4.440892098500626e-16
2023-06-30,learned_market,20260912,trend,negative,2.7755575615628914e-17,4.440892098500626e-16
2023-06-30,learned_market,20260912,trend,nonnegative,2.7755575615628914e-17,4.440892098500626e-16
2023-06-30,learned_market,20260912,volatility,low,5.551115123125783e-17,1.7763568394002505e-15
2023-06-30,learned_market,20260912,volatility,high,1.3877787807814457e-17,2.220446049250313e-16
2023-06-30,learned_vol_interaction,20260910,trend,negative,4.163336342344337e-16,1.7763568394002505e-15
2023-06-30,learned_vol_interaction,20260910,trend,nonnegative,0.0,4.440892098500626e-16
2023-06-30,learned_vol_interaction,20260910,volatility,low,5.551115123125783e-17,8.881784197001252e-16
2023-06-30,learned_vol_interaction,20260910,volatility,high,0.0,1.3322676295501878e-15
2023-06-30,learned_vol_interaction,20260911,trend,negative,5.551115123125783e-17,8.881784197001252e-16
2023-06-30,learned_vol_interaction,20260911,trend,nonnegative,0.0,0.0
2023-06-30,learned_vol_interaction,20260911,volatility,low,0.0,4.440892098500626e-16
2023-06-30,learned_vol_interaction,20260911,volatility,high,2.7755575615628914e-17,8.881784197001252e-16
2023-06-30,learned_vol_interaction,20260912,trend,negative,0.0,4.440892098500626e-16
2023-06-30,learned_vol_interaction,20260912,trend,nonnegative,0.0,0.0
2023-06-30,learned_vol_interaction,20260912,volatility,low,0.0,4.440892098500626e-16
2023-06-30,learned_vol_interaction,20260912,volatility,high,2.7755575615628914e-17,6.661338147750939e-16
2023-06-30,learned_order_extension,20260910,trend,negative,1.6653345369377348e-16,0.0
2023-06-30,learned_order_extension,20260910,trend,nonnegative,2.7755575615628914e-17,4.440892098500626e-16
2023-06-30,learned_order_extension,20260910,volatility,low,0.0,0.0
2023-06-30,learned_order_extension,20260910,volatility,high,2.7755575615628914e-17,0.0
2023-06-30,learned_order_extension,20260911,trend,negative,5.551115123125783e-17,1.3322676295501878e-15
2023-06-30,learned_order_extension,20260911,trend,nonnegative,1.3877787807814457e-17,0.0
2023-06-30,learned_order_extension,20260911,volatility,low,0.0,4.440892098500626e-16
2023-06-30,learned_order_extension,20260911,volatility,high,0.0,8.881784197001252e-16
2023-06-30,learned_order_extension,20260912,trend,negative,2.7755575615628914e-17,0.0
2023-06-30,learned_order_extension,20260912,trend,nonnegative,1.3877787807814457e-17,4.440892098500626e-16
2023-06-30,learned_order_extension,20260912,volatility,low,0.0,0.0
2023-06-30,learned_order_extension,20260912,volatility,high,0.0,2.220446049250313e-16
2023-06-30,learned_order_offset,20260910,trend,negative,1.6653345369377348e-16,8.881784197001252e-16
2023-06-30,learned_order_offset,20260910,trend,nonnegative,0.0,0.0
2023-06-30,learned_order_offset,20260910,volatility,low,5.551115123125783e-17,1.3322676295501878e-15
2023-06-30,learned_order_offset,20260910,volatility,high,2.7755575615628914e-17,0.0
2023-06-30,learned_order_offset,20260911,trend,negative,5.551115123125783e-17,8.881784197001252e-16
2023-06-30,learned_order_offset,20260911,trend,nonnegative,1.3877787807814457e-17,4.440892098500626e-16
2023-06-30,learned_order_offset,20260911,volatility,low,2.7755575615628914e-17,0.0
2023-06-30,learned_order_offset,20260911,volatility,high,0.0,0.0
2023-06-30,learned_order_offset,20260912,trend,negative,1.3877787807814457e-17,0.0
2023-06-30,learned_order_offset,20260912,trend,nonnegative,0.0,0.0
2023-06-30,learned_order_offset,20260912,volatility,low,2.7755575615628914e-17,4.440892098500626e-16
2023-06-30,learned_order_offset,20260912,volatility,high,1.3877787807814457e-17,0.0
2023-09-30,learned_market,20260910,trend,negative,1.3877787807814457e-17,4.440892098500626e-16
2023-09-30,learned_market,20260910,trend,nonnegative,0.0,2.220446049250313e-16
2023-09-30,learned_market,20260910,volatility,low,2.7755575615628914e-17,8.881784197001252e-16
2023-09-30,learned_market,20260910,volatility,high,1.3877787807814457e-17,2.220446049250313e-16
2023-09-30,learned_market,20260911,trend,negative,4.163336342344337e-17,2.220446049250313e-16
2023-09-30,learned_market,20260911,trend,nonnegative,4.163336342344337e-17,4.440892098500626e-16
2023-09-30,learned_market,20260911,volatility,low,0.0,4.440892098500626e-16
2023-09-30,learned_market,20260911,volatility,high,5.759281940243e-16,3.3306690738754696e-16
2023-09-30,learned_market,20260912,trend,negative,2.7755575615628914e-17,6.661338147750939e-16
2023-09-30,learned_market,20260912,trend,nonnegative,0.0,0.0
2023-09-30,learned_market,20260912,volatility,low,2.7755575615628914e-17,4.440892098500626e-16
2023-09-30,learned_market,20260912,volatility,high,0.0,1.1102230246251565e-16
2023-09-30,learned_vol_interaction,20260910,trend,negative,1.3877787807814457e-17,4.440892098500626e-16
2023-09-30,learned_vol_interaction,20260910,trend,nonnegative,1.3877787807814457e-17,4.440892098500626e-16
2023-09-30,learned_vol_interaction,20260910,volatility,low,1.3877787807814457e-17,0.0
2023-09-30,learned_vol_interaction,20260910,volatility,high,1.3877787807814457e-17,2.220446049250313e-16
2023-09-30,learned_vol_interaction,20260911,trend,negative,2.7755575615628914e-17,4.440892098500626e-16
2023-09-30,learned_vol_interaction,20260911,trend,nonnegative,1.3877787807814457e-17,2.220446049250313e-16
2023-09-30,learned_vol_interaction,20260911,volatility,low,1.3877787807814457e-17,4.440892098500626e-16
2023-09-30,learned_vol_interaction,20260911,volatility,high,6.938893903907228e-18,0.0
2023-09-30,learned_vol_interaction,20260912,trend,negative,1.3877787807814457e-17,2.220446049250313e-16
2023-09-30,learned_vol_interaction,20260912,trend,nonnegative,6.938893903907228e-18,6.661338147750939e-16
2023-09-30,learned_vol_interaction,20260912,volatility,low,1.3877787807814457e-17,0.0
2023-09-30,learned_vol_interaction,20260912,volatility,high,2.0816681711721685e-17,7.216449660063518e-16
2023-09-30,learned_order_extension,20260910,trend,negative,0.0,4.440892098500626e-16
2023-09-30,learned_order_extension,20260910,trend,nonnegative,2.7755575615628914e-17,0.0
2023-09-30,learned_order_extension,20260910,volatility,low,1.3877787807814457e-17,1.1102230246251565e-15
2023-09-30,learned_order_extension,20260910,volatility,high,1.3877787807814457e-17,4.440892098500626e-16
2023-09-30,learned_order_extension,20260911,trend,negative,1.3877787807814457e-17,0.0
2023-09-30,learned_order_extension,20260911,trend,nonnegative,2.7755575615628914e-17,2.220446049250313e-16
2023-09-30,learned_order_extension,20260911,volatility,low,2.7755575615628914e-17,1.3322676295501878e-15
2023-09-30,learned_order_extension,20260911,volatility,high,1.3877787807814457e-17,0.0
2023-09-30,learned_order_extension,20260912,trend,negative,0.0,4.440892098500626e-16
2023-09-30,learned_order_extension,20260912,trend,nonnegative,1.3877787807814457e-17,4.440892098500626e-16
2023-09-30,learned_order_extension,20260912,volatility,low,2.7755575615628914e-17,1.1102230246251565e-15
2023-09-30,learned_order_extension,20260912,volatility,high,2.7755575615628914e-17,3.885780586188048e-16
2023-09-30,learned_order_offset,20260910,trend,negative,1.3877787807814457e-17,6.661338147750939e-16
2023-09-30,learned_order_offset,20260910,trend,nonnegative,1.3877787807814457e-17,4.440892098500626e-16
2023-09-30,learned_order_offset,20260910,volatility,low,1.3877787807814457e-17,4.440892098500626e-16
2023-09-30,learned_order_offset,20260910,volatility,high,1.3877787807814457e-17,2.220446049250313e-16
2023-09-30,learned_order_offset,20260911,trend,negative,0.0,2.220446049250313e-16
2023-09-30,learned_order_offset,20260911,trend,nonnegative,4.163336342344337e-17,1.1102230246251565e-15
2023-09-30,learned_order_offset,20260911,volatility,low,2.7755575615628914e-17,8.881784197001252e-16
2023-09-30,learned_order_offset,20260911,volatility,high,2.7755575615628914e-17,7.771561172376096e-16
2023-09-30,learned_order_offset,20260912,trend,negative,1.3877787807814457e-17,2.220446049250313e-16
2023-09-30,learned_order_offset,20260912,trend,nonnegative,6.938893903907228e-18,2.220446049250313e-16
2023-09-30,learned_order_offset,20260912,volatility,low,0.0,4.440892098500626e-16
2023-09-30,learned_order_offset,20260912,volatility,high,6.938893903907228e-18,6.106226635438361e-16
2024-03-31,learned_market,20260910,trend,negative,1.3877787807814457e-17,0.0
2024-03-31,learned_market,20260910,trend,nonnegative,6.938893903907228e-18,2.7755575615628914e-16
2024-03-31,learned_market,20260910,volatility,low,1.6653345369377348e-16,8.881784197001252e-16
2024-03-31,learned_market,20260911,trend,negative,5.551115123125783e-17,4.440892098500626e-16
2024-03-31,learned_market,20260911,trend,nonnegative,2.6020852139652106e-17,1.1102230246251565e-16
2024-03-31,learned_market,20260911,volatility,low,5.551115123125783e-17,0.0
2024-03-31,learned_market,20260912,trend,negative,1.3877787807814457e-16,8.881784197001252e-16
2024-03-31,learned_market,20260912,trend,nonnegative,1.214306433183765e-17,3.3306690738754696e-16
2024-03-31,learned_market,20260912,volatility,low,2.220446049250313e-16,4.440892098500626e-16
2024-03-31,learned_vol_interaction,20260910,trend,negative,2.7755575615628914e-17,0.0
2024-03-31,learned_vol_interaction,20260910,trend,nonnegative,1.3010426069826053e-17,2.914335439641036e-16
2024-03-31,learned_vol_interaction,20260910,volatility,low,1.1102230246251565e-16,8.881784197001252e-16
2024-03-31,learned_vol_interaction,20260911,trend,negative,2.7755575615628914e-17,8.881784197001252e-16
2024-03-31,learned_vol_interaction,20260911,trend,nonnegative,1.5612511283791264e-17,6.106226635438361e-16
2024-03-31,learned_vol_interaction,20260911,volatility,low,5.551115123125783e-17,4.440892098500626e-16
2024-03-31,learned_vol_interaction,20260912,trend,negative,8.326672684688674e-17,2.220446049250313e-16
2024-03-31,learned_vol_interaction,20260912,trend,nonnegative,2.2551405187698492e-17,2.498001805406602e-16
2024-03-31,learned_vol_interaction,20260912,volatility,low,1.5265566588595902e-16,0.0
2024-03-31,learned_order_extension,20260910,trend,negative,1.3877787807814457e-17,4.440892098500626e-16
2024-03-31,learned_order_extension,20260910,trend,nonnegative,6.071532165918825e-18,1.1102230246251565e-16
2024-03-31,learned_order_extension,20260910,volatility,low,1.1102230246251565e-16,1.3322676295501878e-15
2024-03-31,learned_order_extension,20260911,trend,negative,2.7755575615628914e-17,8.881784197001252e-16
2024-03-31,learned_order_extension,20260911,trend,nonnegative,1.214306433183765e-17,2.7755575615628914e-16
2024-03-31,learned_order_extension,20260911,volatility,low,2.7755575615628914e-17,4.440892098500626e-16
2024-03-31,learned_order_extension,20260912,trend,negative,1.249000902703301e-16,4.440892098500626e-16
2024-03-31,learned_order_extension,20260912,trend,nonnegative,1.8214596497756474e-17,3.3306690738754696e-16
2024-03-31,learned_order_extension,20260912,volatility,low,2.636779683484747e-16,4.440892098500626e-16
2024-03-31,learned_order_offset,20260910,trend,negative,4.163336342344337e-17,4.440892098500626e-16
2024-03-31,learned_order_offset,20260910,trend,nonnegative,4.336808689942018e-18,8.326672684688674e-17
2024-03-31,learned_order_offset,20260910,volatility,low,1.1102230246251565e-16,4.440892098500626e-16
2024-03-31,learned_order_offset,20260911,trend,negative,1.3877787807814457e-17,1.3322676295501878e-15
2024-03-31,learned_order_offset,20260911,trend,nonnegative,1.734723475976807e-18,5.551115123125783e-17
2024-03-31,learned_order_offset,20260911,volatility,low,2.7755575615628914e-17,8.881784197001252e-16
2024-03-31,learned_order_offset,20260912,trend,negative,1.249000902703301e-16,0.0
2024-03-31,learned_order_offset,20260912,trend,nonnegative,2.0166160408230382e-17,6.938893903907228e-18
2024-03-31,learned_order_offset,20260912,volatility,low,2.636779683484747e-16,4.440892098500626e-16
2024-06-30,learned_market,20260910,trend,negative,5.551115123125783e-17,8.881784197001252e-16
2024-06-30,learned_market,20260910,trend,nonnegative,6.938893903907228e-18,4.440892098500626e-16
2024-06-30,learned_market,20260910,volatility,low,1.3877787807814457e-16,0.0
2024-06-30,learned_market,20260911,trend,negative,2.7755575615628914e-17,8.881784197001252e-16
2024-06-30,learned_market,20260911,trend,nonnegative,0.0,2.220446049250313e-16
2024-06-30,learned_market,20260911,volatility,low,2.7755575615628914e-17,8.881784197001252e-16
2024-06-30,learned_market,20260912,trend,negative,4.3021142204224816e-16,0.0
2024-06-30,learned_market,20260912,trend,nonnegative,2.7755575615628914e-17,4.440892098500626e-16
2024-06-30,learned_market,20260912,volatility,low,7.771561172376096e-16,8.881784197001252e-16
2024-06-30,learned_vol_interaction,20260910,trend,negative,2.7755575615628914e-17,8.881784197001252e-16
2024-06-30,learned_vol_interaction,20260910,trend,nonnegative,0.0,4.440892098500626e-16
2024-06-30,learned_vol_interaction,20260910,volatility,low,1.1102230246251565e-16,0.0
2024-06-30,learned_vol_interaction,20260911,trend,negative,2.7755575615628914e-17,4.440892098500626e-16
2024-06-30,learned_vol_interaction,20260911,trend,nonnegative,1.3877787807814457e-17,0.0
2024-06-30,learned_vol_interaction,20260911,volatility,low,2.7755575615628914e-17,1.7763568394002505e-15
2024-06-30,learned_vol_interaction,20260912,trend,negative,5.134781488891349e-16,8.881784197001252e-16
2024-06-30,learned_vol_interaction,20260912,trend,nonnegative,1.3877787807814457e-17,2.220446049250313e-16
2024-06-30,learned_vol_interaction,20260912,volatility,low,6.938893903907228e-16,4.440892098500626e-16
2024-06-30,learned_order_extension,20260910,trend,negative,2.7755575615628914e-17,8.881784197001252e-16
2024-06-30,learned_order_extension,20260910,trend,nonnegative,2.7755575615628914e-17,0.0
2024-06-30,learned_order_extension,20260910,volatility,low,1.1102230246251565e-16,0.0
2024-06-30,learned_order_extension,20260911,trend,negative,0.0,0.0
2024-06-30,learned_order_extension,20260911,trend,nonnegative,0.0,2.220446049250313e-16
2024-06-30,learned_order_extension,20260911,volatility,low,2.7755575615628914e-17,8.881784197001252e-16
2024-06-30,learned_order_extension,20260912,trend,negative,5.967448757360216e-16,6.661338147750939e-16
2024-06-30,learned_order_extension,20260912,trend,nonnegative,6.938893903907228e-18,0.0
2024-06-30,learned_order_extension,20260912,volatility,low,9.159339953157541e-16,0.0
2024-06-30,learned_order_offset,20260910,trend,negative,2.7755575615628914e-17,4.440892098500626e-16
2024-06-30,learned_order_offset,20260910,trend,nonnegative,2.0816681711721685e-17,2.220446049250313e-16
2024-06-30,learned_order_offset,20260910,volatility,low,1.6653345369377348e-16,8.881784197001252e-16
2024-06-30,learned_order_offset,20260911,trend,negative,0.0,0.0
2024-06-30,learned_order_offset,20260911,trend,nonnegative,2.7755575615628914e-17,8.881784197001252e-16
2024-06-30,learned_order_offset,20260911,volatility,low,5.551115123125783e-17,1.7763568394002505e-15
2024-06-30,learned_order_offset,20260912,trend,negative,5.412337245047638e-16,4.440892098500626e-16
