cutoff,mode,method,family,component,state,training_n,parent_training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference
2022-06-30,ready,learned_market,trend,negative,negative_high,21,35,False,direction_worse,12,4,3,-0.0036818274042498267
2022-06-30,ready,learned_market,trend,nonnegative,nonnegative_low,9,17,False,insufficient_state_train,0,0,0,
2022-06-30,ready,learned_market,trend,nonnegative,nonnegative_high,8,17,False,insufficient_state_train,1,0,0,0.0559723196143847
2022-06-30,ready,learned_market,volatility,low,negative_low,14,23,False,insufficient_validation,0,0,0,
2022-06-30,ready,learned_market,volatility,high,negative_high,21,29,True,accepted,12,4,4,-0.003982668075373938
2022-06-30,ready,learned_market,volatility,low,nonnegative_low,9,23,False,insufficient_state_train,0,0,0,
2022-06-30,ready,learned_market,volatility,high,nonnegative_high,8,29,False,insufficient_state_train,1,0,0,0.04608888557046753
2022-06-30,ready,learned_vol_interaction,trend,negative,negative_low,14,35,False,insufficient_validation,0,0,0,
2022-06-30,ready,learned_vol_interaction,trend,negative,negative_high,21,35,False,direction_worse,12,5,3,-0.003783700792540453
2022-06-30,ready,learned_vol_interaction,trend,nonnegative,nonnegative_low,9,17,False,insufficient_state_train,0,0,0,
2022-06-30,ready,learned_vol_interaction,trend,nonnegative,nonnegative_high,8,17,False,insufficient_state_train,1,0,0,0.05551993739791822
2022-06-30,ready,learned_vol_interaction,volatility,low,negative_low,14,23,False,insufficient_validation,0,0,0,
2022-06-30,ready,learned_vol_interaction,volatility,high,negative_high,21,29,False,direction_worse,12,5,4,-0.004038521038971257
2022-06-30,ready,learned_vol_interaction,volatility,low,nonnegative_low,9,23,False,insufficient_state_train,0,0,0,
2022-06-30,ready,learned_vol_interaction,volatility,high,nonnegative_high,8,29,False,insufficient_state_train,1,0,0,0.04644697024552957
2022-06-30,ready,learned_order_extension,trend,negative,negative_low,14,35,False,insufficient_validation,0,0,0,
2022-06-30,ready,learned_order_extension,trend,negative,negative_high,21,35,False,direction_worse,12,5,4,-0.003919125130439009
2022-06-30,ready,learned_order_extension,trend,nonnegative,nonnegative_low,9,17,False,insufficient_state_train,0,0,0,
2022-06-30,ready,learned_order_extension,trend,nonnegative,nonnegative_high,8,17,False,insufficient_state_train,1,0,0,0.05543582576862527
2022-06-30,ready,learned_order_extension,volatility,low,negative_low,14,23,False,insufficient_validation,0,0,0,
2022-06-30,ready,learned_order_extension,volatility,high,negative_high,21,29,True,accepted,12,5,5,-0.0039619520648801684
2022-06-30,ready,learned_order_extension,volatility,low,nonnegative_low,9,23,False,insufficient_state_train,0,0,0,
2022-06-30,ready,learned_order_extension,volatility,high,nonnegative_high,8,29,False,insufficient_state_train,1,0,0,0.04509394209489931
2022-06-30,ready,learned_order_offset,trend,negative,negative_low,14,35,False,insufficient_validation,0,0,0,
2022-06-30,ready,learned_order_offset,trend,negative,negative_high,21,35,False,direction_worse,12,5,4,-0.003887244635513501
2022-06-30,ready,learned_order_offset,trend,nonnegative,nonnegative_low,9,17,False,insufficient_state_train,0,0,0,
2022-06-30,ready,learned_order_offset,trend,nonnegative,nonnegative_high,8,17,False,insufficient_state_train,1,0,0,0.05543351914385741
2022-06-30,ready,learned_order_offset,volatility,low,negative_low,14,23,False,insufficient_validation,0,0,0,
2022-06-30,ready,learned_order_offset,volatility,high,negative_high,21,29,False,direction_worse,12,5,4,-0.003931537954339187
2022-06-30,ready,learned_order_offset,volatility,low,nonnegative_low,9,23,False,insufficient_state_train,0,0,0,
2022-06-30,ready,learned_order_offset,volatility,high,nonnegative_high,8,29,False,insufficient_state_train,1,0,0,0.04498219452343677
2022-09-30,ready,learned_market,trend,negative,negative_low,12,39,False,insufficient_validation,3,1,1,-0.0204994607749078
2022-09-30,ready,learned_market,trend,negative,negative_high,27,39,False,insufficient_validation,0,0,0,
2022-09-30,ready,learned_market,trend,nonnegative,nonnegative_low,9,13,False,insufficient_state_train,6,2,2,-0.01755887136144042
2022-09-30,ready,learned_market,trend,nonnegative,nonnegative_high,4,13,False,insufficient_state_train,4,2,3,-0.03867220311371068
2022-09-30,ready,learned_market,volatility,low,negative_low,12,21,False,insufficient_validation,3,1,1,-0.023543421731719544
2022-09-30,ready,learned_market,volatility,high,negative_high,27,31,False,insufficient_validation,0,0,0,
2022-09-30,ready,learned_market,volatility,low,nonnegative_low,9,21,False,insufficient_state_train,6,2,2,-0.0180738767418572
2022-09-30,ready,learned_market,volatility,high,nonnegative_high,4,31,False,insufficient_state_train,4,2,3,-0.033410604868508234
2022-09-30,ready,learned_vol_interaction,trend,negative,negative_low,12,39,False,insufficient_validation,3,1,1,-0.020957227880496296
2022-09-30,ready,learned_vol_interaction,trend,negative,negative_high,27,39,False,insufficient_validation,0,0,0,
2022-09-30,ready,learned_vol_interaction,trend,nonnegative,nonnegative_low,9,13,False,insufficient_state_train,6,2,2,-0.017493214262978354
2022-09-30,ready,learned_vol_interaction,trend,nonnegative,nonnegative_high,4,13,False,insufficient_state_train,4,3,3,-0.037770834607099894
2022-09-30,ready,learned_vol_interaction,volatility,low,negative_low,12,21,False,insufficient_validation,3,1,1,-0.024042449075228765
2022-09-30,ready,learned_vol_interaction,volatility,high,negative_high,27,31,False,insufficient_validation,0,0,0,
2022-09-30,ready,learned_vol_interaction,volatility,low,nonnegative_low,9,21,False,insufficient_state_train,6,2,2,-0.018611896195297198
2022-09-30,ready,learned_vol_interaction,volatility,high,nonnegative_high,4,31,False,insufficient_state_train,4,3,3,-0.03265550548785954
2022-09-30,ready,learned_order_extension,trend,negative,negative_low,12,39,False,insufficient_validation,3,1,1,-0.02237575689129517
2022-09-30,ready,learned_order_extension,trend,negative,negative_high,27,39,False,insufficient_validation,0,0,0,
