cutoff,fit_cutoff,mode,family,component,method,training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference,baseline_brier,candidate_brier
2021-08-31,2021-05-27,insufficient_history,state,nonnegative_low,learned_vol_interaction,1,False,insufficient_history,3,2,2,0.0,0.20871332671590545,0.20871332671590545
2021-08-31,2021-05-27,insufficient_history,state,nonnegative_high,learned_vol_interaction,9,False,insufficient_history,4,4,4,0.0,0.17611519989336283,0.17611519989336283
2021-08-31,2021-05-27,insufficient_history,state,negative_low,learned_order_extension,1,False,insufficient_history,0,0,0,,,
2021-08-31,2021-05-27,insufficient_history,state,negative_high,learned_order_extension,7,False,insufficient_history,6,3,3,0.0,0.2795390487183449,0.2795390487183449
2021-08-31,2021-05-27,insufficient_history,state,nonnegative_low,learned_order_extension,1,False,insufficient_history,3,2,2,0.0,0.2067795895532353,0.2067795895532353
2021-08-31,2021-05-27,insufficient_history,state,nonnegative_high,learned_order_extension,9,False,insufficient_history,4,4,4,0.0,0.15602734866437598,0.15602734866437598
2021-08-31,2021-05-27,insufficient_history,state,negative_low,learned_order_offset,1,False,insufficient_history,0,0,0,,,
2021-08-31,2021-05-27,insufficient_history,state,negative_high,learned_order_offset,7,False,insufficient_history,6,3,3,0.0,0.27941553365686606,0.27941553365686606
2021-08-31,2021-05-27,insufficient_history,state,nonnegative_low,learned_order_offset,1,False,insufficient_history,3,2,2,0.0,0.2069820022637903,0.2069820022637903
2021-08-31,2021-05-27,insufficient_history,state,nonnegative_high,learned_order_offset,9,False,insufficient_history,4,4,4,0.0,0.15624576041438065,0.15624576041438065
2021-09-30,2021-06-24,insufficient_history,state,negative_low,learned_market,2,False,insufficient_history,0,0,0,,,
2021-09-30,2021-06-24,insufficient_history,state,negative_high,learned_market,8,False,insufficient_history,9,5,5,0.0,0.2720843248715845,0.2720843248715845
2021-09-30,2021-06-24,insufficient_history,state,nonnegative_low,learned_market,2,False,insufficient_history,1,1,1,0.0,0.1422784400581326,0.1422784400581326
2021-09-30,2021-06-24,insufficient_history,state,nonnegative_high,learned_market,10,False,insufficient_history,3,3,3,0.0,0.18686348461816837,0.18686348461816837
2021-09-30,2021-06-24,insufficient_history,state,negative_low,learned_vol_interaction,2,False,insufficient_history,0,0,0,,,
2021-09-30,2021-06-24,insufficient_history,state,negative_high,learned_vol_interaction,8,False,insufficient_history,9,5,5,0.0,0.2754766873351287,0.2754766873351287
2021-09-30,2021-06-24,insufficient_history,state,nonnegative_low,learned_vol_interaction,2,False,insufficient_history,1,1,1,0.0,0.12976750540307036,0.12976750540307036
2021-09-30,2021-06-24,insufficient_history,state,nonnegative_high,learned_vol_interaction,10,False,insufficient_history,3,3,3,0.0,0.1783337717188234,0.1783337717188234
2021-09-30,2021-06-24,insufficient_history,state,negative_low,learned_order_extension,2,False,insufficient_history,0,0,0,,,
2021-09-30,2021-06-24,insufficient_history,state,negative_high,learned_order_extension,8,False,insufficient_history,9,5,5,0.0,0.2799917268052921,0.2799917268052921
2021-09-30,2021-06-24,insufficient_history,state,nonnegative_low,learned_order_extension,2,False,insufficient_history,1,1,1,0.0,0.12129826291813499,0.12129826291813499
2021-09-30,2021-06-24,insufficient_history,state,nonnegative_high,learned_order_extension,10,False,insufficient_history,3,3,3,0.0,0.15509870756880573,0.15509870756880573
2021-09-30,2021-06-24,insufficient_history,state,negative_low,learned_order_offset,2,False,insufficient_history,0,0,0,,,
2021-09-30,2021-06-24,insufficient_history,state,negative_high,learned_order_offset,8,False,insufficient_history,9,5,5,0.0,0.2797694306078421,0.2797694306078421
2021-09-30,2021-06-24,insufficient_history,state,nonnegative_low,learned_order_offset,2,False,insufficient_history,1,1,1,0.0,0.12174672357407763,0.12174672357407763
2021-09-30,2021-06-24,insufficient_history,state,nonnegative_high,learned_order_offset,10,False,insufficient_history,3,3,3,0.0,0.15526697178315127,0.15526697178315127
2021-10-31,2021-07-15,insufficient_history,state,negative_low,learned_market,2,False,insufficient_history,3,2,2,0.0,0.2766630537959262,0.2766630537959262
2021-10-31,2021-07-15,insufficient_history,state,negative_high,learned_market,9,False,insufficient_history,8,5,5,0.0,0.269304925434206,0.269304925434206
2021-10-31,2021-07-15,insufficient_history,state,nonnegative_low,learned_market,4,False,insufficient_history,0,0,0,,,
2021-10-31,2021-07-15,insufficient_history,state,nonnegative_high,learned_market,10,False,insufficient_history,2,2,2,0.0,0.1932849678409323,0.1932849678409323
2021-10-31,2021-07-15,insufficient_history,state,negative_low,learned_vol_interaction,2,False,insufficient_history,3,2,2,0.0,0.2753430045789167,0.2753430045789167
2021-10-31,2021-07-15,insufficient_history,state,negative_high,learned_vol_interaction,9,False,insufficient_history,8,5,5,0.0,0.2717924985545484,0.2717924985545484
2021-10-31,2021-07-15,insufficient_history,state,nonnegative_low,learned_vol_interaction,4,False,insufficient_history,0,0,0,,,
2021-10-31,2021-07-15,insufficient_history,state,nonnegative_high,learned_vol_interaction,10,False,insufficient_history,2,2,2,0.0,0.18575072219018934,0.18575072219018934
2021-10-31,2021-07-15,insufficient_history,state,negative_low,learned_order_extension,2,False,insufficient_history,3,2,2,0.0,0.27835710661019214,0.27835710661019214
2021-10-31,2021-07-15,insufficient_history,state,negative_high,learned_order_extension,9,False,insufficient_history,8,5,5,0.0,0.2758166105975036,0.2758166105975036
2021-10-31,2021-07-15,insufficient_history,state,nonnegative_low,learned_order_extension,4,False,insufficient_history,0,0,0,,,
2021-10-31,2021-07-15,insufficient_history,state,nonnegative_high,learned_order_extension,10,False,insufficient_history,2,2,2,0.0,0.16298101615210114,0.16298101615210114
2021-10-31,2021-07-15,insufficient_history,state,negative_low,learned_order_offset,2,False,insufficient_history,3,2,2,0.0,0.2785034322317012,0.2785034322317012
2021-10-31,2021-07-15,insufficient_history,state,negative_high,learned_order_offset,9,False,insufficient_history,8,5,5,0.0,0.2756366424507646,0.2756366424507646
2021-10-31,2021-07-15,insufficient_history,state,nonnegative_low,learned_order_offset,4,False,insufficient_history,0,0,0,,,
2021-10-31,2021-07-15,insufficient_history,state,nonnegative_high,learned_order_offset,10,False,insufficient_history,2,2,2,0.0,0.16307881633442994,0.16307881633442994
2021-11-30,2021-08-19,insufficient_history,state,negative_low,learned_market,2,False,insufficient_history,7,4,4,0.0,0.2737191117367012,0.2737191117367012
2021-11-30,2021-08-19,insufficient_history,state,negative_high,learned_market,11,False,insufficient_history,5,3,3,0.0,0.2588462664616952,0.2588462664616952
2021-11-30,2021-08-19,insufficient_history,state,nonnegative_low,learned_market,4,False,insufficient_history,1,0,0,0.0,0.3961923588315719,0.3961923588315719
2021-11-30,2021-08-19,insufficient_history,state,nonnegative_high,learned_market,13,False,insufficient_history,0,0,0,,,
2021-11-30,2021-08-19,insufficient_history,state,negative_low,learned_vol_interaction,2,False,insufficient_history,7,4,4,0.0,0.27597188464840683,0.27597188464840683
2021-11-30,2021-08-19,insufficient_history,state,negative_high,learned_vol_interaction,11,False,insufficient_history,5,3,3,0.0,0.2621675492872115,0.2621675492872115
2021-11-30,2021-08-19,insufficient_history,state,nonnegative_low,learned_vol_interaction,4,False,insufficient_history,1,0,0,0.0,0.396267248242038,0.396267248242038
