cutoff,method,family,component,accepted,history,n,brier_difference,regressions,recoveries
2022-03-31,learned_order_offset,state,nonnegative_high,False,weekly_state_ungated,1,0.0,0,0
2022-03-31,learned_order_offset,global,all,False,weekly_global_validated,12,0.0,0,0
2022-03-31,learned_order_offset,global,all,False,weekly_global_ungated,12,0.0,0,0
2022-06-30,learned_market,state,negative_low,False,weekly_state_validated,5,0.0,0,0
2022-06-30,learned_market,state,negative_low,False,weekly_state_ungated,5,-0.010936271294360162,0,0
2022-06-30,learned_market,state,negative_high,True,weekly_state_validated,0,,0,0
2022-06-30,learned_market,state,negative_high,True,weekly_state_ungated,0,,0,0
2022-06-30,learned_market,state,nonnegative_low,False,weekly_state_validated,5,0.0,0,0
2022-06-30,learned_market,state,nonnegative_low,False,weekly_state_ungated,5,0.0,0,0
2022-06-30,learned_market,state,nonnegative_high,False,weekly_state_validated,4,0.0,0,0
2022-06-30,learned_market,state,nonnegative_high,False,weekly_state_ungated,4,0.0,0,0
2022-06-30,learned_market,global,all,False,weekly_global_validated,14,0.0,0,0
2022-06-30,learned_market,global,all,False,weekly_global_ungated,14,-0.045246900117088706,0,1
2022-06-30,learned_vol_interaction,state,negative_low,False,weekly_state_validated,5,0.0,0,0
2022-06-30,learned_vol_interaction,state,negative_low,False,weekly_state_ungated,5,-0.011405524711257201,0,0
2022-06-30,learned_vol_interaction,state,negative_high,True,weekly_state_validated,0,,0,0
2022-06-30,learned_vol_interaction,state,negative_high,True,weekly_state_ungated,0,,0,0
2022-06-30,learned_vol_interaction,state,nonnegative_low,False,weekly_state_validated,5,0.0,0,0
2022-06-30,learned_vol_interaction,state,nonnegative_low,False,weekly_state_ungated,5,0.0,0,0
2022-06-30,learned_vol_interaction,state,nonnegative_high,False,weekly_state_validated,4,0.0,0,0
2022-06-30,learned_vol_interaction,state,nonnegative_high,False,weekly_state_ungated,4,0.0,0,0
2022-06-30,learned_vol_interaction,global,all,False,weekly_global_validated,14,0.0,0,0
2022-06-30,learned_vol_interaction,global,all,False,weekly_global_ungated,14,-0.04598026094340611,0,0
2022-06-30,learned_order_extension,state,negative_low,False,weekly_state_validated,5,0.0,0,0
2022-06-30,learned_order_extension,state,negative_low,False,weekly_state_ungated,5,-0.012340569272692717,0,0
2022-06-30,learned_order_extension,state,negative_high,True,weekly_state_validated,0,,0,0
2022-06-30,learned_order_extension,state,negative_high,True,weekly_state_ungated,0,,0,0
2022-06-30,learned_order_extension,state,nonnegative_low,False,weekly_state_validated,5,0.0,0,0
2022-06-30,learned_order_extension,state,nonnegative_low,False,weekly_state_ungated,5,0.0,0,0
2022-06-30,learned_order_extension,state,nonnegative_high,False,weekly_state_validated,4,0.0,0,0
2022-06-30,learned_order_extension,state,nonnegative_high,False,weekly_state_ungated,4,0.0,0,0
2022-06-30,learned_order_extension,global,all,False,weekly_global_validated,14,0.0,0,0
2022-06-30,learned_order_extension,global,all,False,weekly_global_ungated,14,-0.046245736888086815,0,1
2022-06-30,learned_order_offset,state,negative_low,False,weekly_state_validated,5,0.0,0,0
2022-06-30,learned_order_offset,state,negative_low,False,weekly_state_ungated,5,-0.012331045932623241,0,0
2022-06-30,learned_order_offset,state,negative_high,True,weekly_state_validated,0,,0,0
2022-06-30,learned_order_offset,state,negative_high,True,weekly_state_ungated,0,,0,0
2022-06-30,learned_order_offset,state,nonnegative_low,False,weekly_state_validated,5,0.0,0,0
2022-06-30,learned_order_offset,state,nonnegative_low,False,weekly_state_ungated,5,0.0,0,0
2022-06-30,learned_order_offset,state,nonnegative_high,False,weekly_state_validated,4,0.0,0,0
2022-06-30,learned_order_offset,state,nonnegative_high,False,weekly_state_ungated,4,0.0,0,0
2022-06-30,learned_order_offset,global,all,False,weekly_global_validated,14,0.0,0,0
2022-06-30,learned_order_offset,global,all,False,weekly_global_ungated,14,-0.04618469488037954,0,1
2022-09-30,learned_market,state,negative_low,False,weekly_state_validated,0,,0,0
2022-09-30,learned_market,state,negative_low,False,weekly_state_ungated,0,,0,0
2022-09-30,learned_market,state,negative_high,False,weekly_state_validated,10,0.0,0,0
2022-09-30,learned_market,state,negative_high,False,weekly_state_ungated,10,-0.00035828120542643894,0,1
2022-09-30,learned_market,state,nonnegative_low,False,weekly_state_validated,2,0.0,0,0
2022-09-30,learned_market,state,nonnegative_low,False,weekly_state_ungated,2,0.0,0,0
2022-09-30,learned_market,state,nonnegative_high,False,weekly_state_validated,0,,0,0
2022-09-30,learned_market,state,nonnegative_high,False,weekly_state_ungated,0,,0,0
2022-09-30,learned_market,global,all,True,weekly_global_validated,12,0.0011249869496187045,3,1
2022-09-30,learned_market,global,all,True,weekly_global_ungated,12,0.0011249869496187045,3,1
2022-09-30,learned_vol_interaction,state,negative_low,False,weekly_state_validated,0,,0,0
2022-09-30,learned_vol_interaction,state,negative_low,False,weekly_state_ungated,0,,0,0
2022-09-30,learned_vol_interaction,state,negative_high,False,weekly_state_validated,10,0.0,0,0
2022-09-30,learned_vol_interaction,state,negative_high,False,weekly_state_ungated,10,-0.00024927047319401875,2,0
2022-09-30,learned_vol_interaction,state,nonnegative_low,False,weekly_state_validated,2,0.0,0,0
2022-09-30,learned_vol_interaction,state,nonnegative_low,False,weekly_state_ungated,2,0.0,0,0
2022-09-30,learned_vol_interaction,state,nonnegative_high,False,weekly_state_validated,0,,0,0
2022-09-30,learned_vol_interaction,state,nonnegative_high,False,weekly_state_ungated,0,,0,0
2022-09-30,learned_vol_interaction,global,all,True,weekly_global_validated,12,0.001487243961777777,3,0
2022-09-30,learned_vol_interaction,global,all,True,weekly_global_ungated,12,0.001487243961777777,3,0
2022-09-30,learned_order_extension,state,negative_low,False,weekly_state_validated,0,,0,0
2022-09-30,learned_order_extension,state,negative_low,False,weekly_state_ungated,0,,0,0
2022-09-30,learned_order_extension,state,negative_high,False,weekly_state_validated,10,0.0,0,0
2022-09-30,learned_order_extension,state,negative_high,False,weekly_state_ungated,10,-0.00018643988618123332,2,1
2022-09-30,learned_order_extension,state,nonnegative_low,False,weekly_state_validated,2,0.0,0,0
2022-09-30,learned_order_extension,state,nonnegative_low,False,weekly_state_ungated,2,0.0,0,0
2022-09-30,learned_order_extension,state,nonnegative_high,False,weekly_state_validated,0,,0,0
2022-09-30,learned_order_extension,state,nonnegative_high,False,weekly_state_ungated,0,,0,0
2022-09-30,learned_order_extension,global,all,True,weekly_global_validated,12,0.001651075396464377,3,1
2022-09-30,learned_order_extension,global,all,True,weekly_global_ungated,12,0.001651075396464377,3,1
2022-09-30,learned_order_offset,state,negative_low,False,weekly_state_validated,0,,0,0
2022-09-30,learned_order_offset,state,negative_low,False,weekly_state_ungated,0,,0,0
2022-09-30,learned_order_offset,state,negative_high,False,weekly_state_validated,10,0.0,0,0
2022-09-30,learned_order_offset,state,negative_high,False,weekly_state_ungated,10,-0.00017453095019041298,2,1
2022-09-30,learned_order_offset,state,nonnegative_low,False,weekly_state_validated,2,0.0,0,0
2022-09-30,learned_order_offset,state,nonnegative_low,False,weekly_state_ungated,2,0.0,0,0
2022-09-30,learned_order_offset,state,nonnegative_high,False,weekly_state_validated,0,,0,0
