cadence,previous_cutoff,cutoff,role,state,previous_mode,mode,both_ready,previous_n,current_n,retained_n,dropped_n,added_n,retained_fraction_current,jaccard,dropped_older_than_current_window,support_dropout
monthly,2021-03-31,2021-04-30,validation,all,insufficient_history,insufficient_history,False,10,13,9,1,4,0.6923076923076923,0.6428571428571429,True,False
monthly,2021-03-31,2021-04-30,validation,negative_low,insufficient_history,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2021-03-31,2021-04-30,validation,negative_high,insufficient_history,insufficient_history,False,1,4,1,0,3,0.25,0.25,True,False
monthly,2021-03-31,2021-04-30,validation,nonnegative_low,insufficient_history,insufficient_history,False,1,0,0,1,0,,0.0,True,False
monthly,2021-03-31,2021-04-30,validation,nonnegative_high,insufficient_history,insufficient_history,False,8,9,8,0,1,0.8888888888888888,0.8888888888888888,True,False
monthly,2021-04-30,2021-05-31,training,all,insufficient_history,insufficient_history,False,0,5,0,0,5,0.0,0.0,True,False
monthly,2021-04-30,2021-05-31,training,negative_low,insufficient_history,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2021-04-30,2021-05-31,training,negative_high,insufficient_history,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2021-04-30,2021-05-31,training,nonnegative_low,insufficient_history,insufficient_history,False,0,1,0,0,1,0.0,0.0,True,False
monthly,2021-04-30,2021-05-31,training,nonnegative_high,insufficient_history,insufficient_history,False,0,4,0,0,4,0.0,0.0,True,False
monthly,2021-04-30,2021-05-31,validation,all,insufficient_history,insufficient_history,False,13,13,8,5,5,0.6153846153846154,0.4444444444444444,True,False
monthly,2021-04-30,2021-05-31,validation,negative_low,insufficient_history,insufficient_history,False,0,2,0,0,2,0.0,0.0,True,False
monthly,2021-04-30,2021-05-31,validation,negative_high,insufficient_history,insufficient_history,False,4,7,4,0,3,0.5714285714285714,0.5714285714285714,True,False
monthly,2021-04-30,2021-05-31,validation,nonnegative_low,insufficient_history,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2021-04-30,2021-05-31,validation,nonnegative_high,insufficient_history,insufficient_history,False,9,4,4,5,0,1.0,0.4444444444444444,True,True
monthly,2021-05-31,2021-06-30,training,all,insufficient_history,insufficient_history,False,5,9,5,0,4,0.5555555555555556,0.5555555555555556,True,False
monthly,2021-05-31,2021-06-30,training,negative_low,insufficient_history,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2021-05-31,2021-06-30,training,negative_high,insufficient_history,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2021-05-31,2021-06-30,training,nonnegative_low,insufficient_history,insufficient_history,False,1,1,1,0,0,1.0,1.0,True,False
monthly,2021-05-31,2021-06-30,training,nonnegative_high,insufficient_history,insufficient_history,False,4,8,4,0,4,0.5,0.5,True,False
monthly,2021-05-31,2021-06-30,validation,all,insufficient_history,insufficient_history,False,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2021-05-31,2021-06-30,validation,negative_low,insufficient_history,insufficient_history,False,2,2,2,0,0,1.0,1.0,True,False
monthly,2021-05-31,2021-06-30,validation,negative_high,insufficient_history,insufficient_history,False,7,7,6,1,1,0.8571428571428571,0.75,True,False
monthly,2021-05-31,2021-06-30,validation,nonnegative_low,insufficient_history,insufficient_history,False,0,2,0,0,2,0.0,0.0,True,False
monthly,2021-05-31,2021-06-30,validation,nonnegative_high,insufficient_history,insufficient_history,False,4,2,1,3,1,0.5,0.2,True,False
monthly,2021-06-30,2021-07-31,training,all,insufficient_history,insufficient_history,False,9,13,9,0,4,0.6923076923076923,0.6923076923076923,True,False
monthly,2021-06-30,2021-07-31,training,negative_low,insufficient_history,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2021-06-30,2021-07-31,training,negative_high,insufficient_history,insufficient_history,False,0,3,0,0,3,0.0,0.0,True,False
monthly,2021-06-30,2021-07-31,training,nonnegative_low,insufficient_history,insufficient_history,False,1,1,1,0,0,1.0,1.0,True,False
monthly,2021-06-30,2021-07-31,training,nonnegative_high,insufficient_history,insufficient_history,False,8,9,8,0,1,0.8888888888888888,0.8888888888888888,True,False
monthly,2021-06-30,2021-07-31,validation,all,insufficient_history,insufficient_history,False,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2021-06-30,2021-07-31,validation,negative_low,insufficient_history,insufficient_history,False,2,2,2,0,0,1.0,1.0,True,False
monthly,2021-06-30,2021-07-31,validation,negative_high,insufficient_history,insufficient_history,False,7,5,4,3,1,0.8,0.5,True,False
monthly,2021-06-30,2021-07-31,validation,nonnegative_low,insufficient_history,insufficient_history,False,2,3,2,0,1,0.6666666666666666,0.6666666666666666,True,False
monthly,2021-06-30,2021-07-31,validation,nonnegative_high,insufficient_history,insufficient_history,False,2,3,1,1,2,0.3333333333333333,0.25,True,False
monthly,2021-07-31,2021-08-31,training,all,insufficient_history,insufficient_history,False,13,18,13,0,5,0.7222222222222222,0.7222222222222222,True,False
monthly,2021-07-31,2021-08-31,training,negative_low,insufficient_history,insufficient_history,False,0,1,0,0,1,0.0,0.0,True,False
monthly,2021-07-31,2021-08-31,training,negative_high,insufficient_history,insufficient_history,False,3,7,3,0,4,0.42857142857142855,0.42857142857142855,True,False
monthly,2021-07-31,2021-08-31,training,nonnegative_low,insufficient_history,insufficient_history,False,1,1,1,0,0,1.0,1.0,True,False
monthly,2021-07-31,2021-08-31,training,nonnegative_high,insufficient_history,insufficient_history,False,9,9,9,0,0,1.0,1.0,True,False
monthly,2021-07-31,2021-08-31,validation,all,insufficient_history,insufficient_history,False,13,13,8,5,5,0.6153846153846154,0.4444444444444444,True,False
monthly,2021-07-31,2021-08-31,validation,negative_low,insufficient_history,insufficient_history,False,2,0,0,2,0,,0.0,True,False
monthly,2021-07-31,2021-08-31,validation,negative_high,insufficient_history,insufficient_history,False,5,6,2,3,4,0.3333333333333333,0.2222222222222222,True,False
monthly,2021-07-31,2021-08-31,validation,nonnegative_low,insufficient_history,insufficient_history,False,3,3,3,0,0,1.0,1.0,True,False
monthly,2021-07-31,2021-08-31,validation,nonnegative_high,insufficient_history,insufficient_history,False,3,4,3,0,1,0.75,0.75,True,False
monthly,2021-08-31,2021-09-30,training,all,insufficient_history,insufficient_history,False,18,22,18,0,4,0.8181818181818182,0.8181818181818182,True,False
monthly,2021-08-31,2021-09-30,training,negative_low,insufficient_history,insufficient_history,False,1,2,1,0,1,0.5,0.5,True,False
monthly,2021-08-31,2021-09-30,training,negative_high,insufficient_history,insufficient_history,False,7,8,7,0,1,0.875,0.875,True,False
monthly,2021-08-31,2021-09-30,training,nonnegative_low,insufficient_history,insufficient_history,False,1,2,1,0,1,0.5,0.5,True,False
monthly,2021-08-31,2021-09-30,training,nonnegative_high,insufficient_history,insufficient_history,False,9,10,9,0,1,0.9,0.9,True,False
monthly,2021-08-31,2021-09-30,validation,all,insufficient_history,insufficient_history,False,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2021-08-31,2021-09-30,validation,negative_low,insufficient_history,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2021-08-31,2021-09-30,validation,negative_high,insufficient_history,insufficient_history,False,6,9,5,1,4,0.5555555555555556,0.5,True,False
monthly,2021-08-31,2021-09-30,validation,nonnegative_low,insufficient_history,insufficient_history,False,3,1,1,2,0,1.0,0.3333333333333333,True,False
monthly,2021-08-31,2021-09-30,validation,nonnegative_high,insufficient_history,insufficient_history,False,4,3,3,1,0,1.0,0.75,True,False
monthly,2021-09-30,2021-10-31,training,all,insufficient_history,insufficient_history,False,22,25,22,0,3,0.88,0.88,True,False
monthly,2021-09-30,2021-10-31,training,negative_low,insufficient_history,insufficient_history,False,2,2,2,0,0,1.0,1.0,True,False
monthly,2021-09-30,2021-10-31,training,negative_high,insufficient_history,insufficient_history,False,8,9,8,0,1,0.8888888888888888,0.8888888888888888,True,False
monthly,2021-09-30,2021-10-31,training,nonnegative_low,insufficient_history,insufficient_history,False,2,4,2,0,2,0.5,0.5,True,False
monthly,2021-09-30,2021-10-31,training,nonnegative_high,insufficient_history,insufficient_history,False,10,10,10,0,0,1.0,1.0,True,False
monthly,2021-09-30,2021-10-31,validation,all,insufficient_history,insufficient_history,False,13,13,10,3,3,0.7692307692307693,0.625,True,False
monthly,2021-09-30,2021-10-31,validation,negative_low,insufficient_history,insufficient_history,False,0,3,0,0,3,0.0,0.0,True,False
monthly,2021-09-30,2021-10-31,validation,negative_high,insufficient_history,insufficient_history,False,9,8,8,1,0,1.0,0.8888888888888888,True,False
monthly,2021-09-30,2021-10-31,validation,nonnegative_low,insufficient_history,insufficient_history,False,1,0,0,1,0,,0.0,True,False
monthly,2021-09-30,2021-10-31,validation,nonnegative_high,insufficient_history,insufficient_history,False,3,2,2,1,0,1.0,0.6666666666666666,True,False
monthly,2021-10-31,2021-11-30,training,all,insufficient_history,insufficient_history,False,25,30,25,0,5,0.8333333333333334,0.8333333333333334,True,False
monthly,2021-10-31,2021-11-30,training,negative_low,insufficient_history,insufficient_history,False,2,2,2,0,0,1.0,1.0,True,False
monthly,2021-10-31,2021-11-30,training,negative_high,insufficient_history,insufficient_history,False,9,11,9,0,2,0.8181818181818182,0.8181818181818182,True,False
monthly,2021-10-31,2021-11-30,training,nonnegative_low,insufficient_history,insufficient_history,False,4,4,4,0,0,1.0,1.0,True,False
monthly,2021-10-31,2021-11-30,training,nonnegative_high,insufficient_history,insufficient_history,False,10,13,10,0,3,0.7692307692307693,0.7692307692307693,True,False
monthly,2021-10-31,2021-11-30,validation,all,insufficient_history,insufficient_history,False,13,13,8,5,5,0.6153846153846154,0.4444444444444444,True,False
monthly,2021-10-31,2021-11-30,validation,negative_low,insufficient_history,insufficient_history,False,3,7,3,0,4,0.42857142857142855,0.42857142857142855,True,False
monthly,2021-10-31,2021-11-30,validation,negative_high,insufficient_history,insufficient_history,False,8,5,5,3,0,1.0,0.625,True,False
monthly,2021-10-31,2021-11-30,validation,nonnegative_low,insufficient_history,insufficient_history,False,0,1,0,0,1,0.0,0.0,True,False
monthly,2021-10-31,2021-11-30,validation,nonnegative_high,insufficient_history,insufficient_history,False,2,0,0,2,0,,0.0,True,False
monthly,2021-11-30,2021-12-31,training,all,insufficient_history,annual_reset,False,30,34,30,0,4,0.8823529411764706,0.8823529411764706,True,False
monthly,2021-11-30,2021-12-31,training,negative_low,insufficient_history,annual_reset,False,2,2,2,0,0,1.0,1.0,True,False
monthly,2021-11-30,2021-12-31,training,negative_high,insufficient_history,annual_reset,False,11,15,11,0,4,0.7333333333333333,0.7333333333333333,True,False
monthly,2021-11-30,2021-12-31,training,nonnegative_low,insufficient_history,annual_reset,False,4,4,4,0,0,1.0,1.0,True,False
monthly,2021-11-30,2021-12-31,training,nonnegative_high,insufficient_history,annual_reset,False,13,13,13,0,0,1.0,1.0,True,False
monthly,2021-11-30,2021-12-31,validation,all,insufficient_history,annual_reset,False,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2021-11-30,2021-12-31,validation,negative_low,insufficient_history,annual_reset,False,7,8,7,0,1,0.875,0.875,True,False
monthly,2021-11-30,2021-12-31,validation,negative_high,insufficient_history,annual_reset,False,5,1,1,4,0,1.0,0.2,True,True
monthly,2021-11-30,2021-12-31,validation,nonnegative_low,insufficient_history,annual_reset,False,1,4,1,0,3,0.25,0.25,True,False
monthly,2021-11-30,2021-12-31,validation,nonnegative_high,insufficient_history,annual_reset,False,0,0,0,0,0,,,True,False
monthly,2021-12-31,2022-01-31,training,all,annual_reset,q1_guard,False,34,38,34,0,4,0.8947368421052632,0.8947368421052632,True,False
monthly,2021-12-31,2022-01-31,training,negative_low,annual_reset,q1_guard,False,2,4,2,0,2,0.5,0.5,True,False
monthly,2021-12-31,2022-01-31,training,negative_high,annual_reset,q1_guard,False,15,17,15,0,2,0.8823529411764706,0.8823529411764706,True,False
monthly,2021-12-31,2022-01-31,training,nonnegative_low,annual_reset,q1_guard,False,4,4,4,0,0,1.0,1.0,True,False
monthly,2021-12-31,2022-01-31,training,nonnegative_high,annual_reset,q1_guard,False,13,13,13,0,0,1.0,1.0,True,False
monthly,2021-12-31,2022-01-31,validation,all,annual_reset,q1_guard,False,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2021-12-31,2022-01-31,validation,negative_low,annual_reset,q1_guard,False,8,7,5,3,2,0.7142857142857143,0.5,True,False
monthly,2021-12-31,2022-01-31,validation,negative_high,annual_reset,q1_guard,False,1,0,0,1,0,,0.0,True,False
monthly,2021-12-31,2022-01-31,validation,nonnegative_low,annual_reset,q1_guard,False,4,6,4,0,2,0.6666666666666666,0.6666666666666666,True,False
monthly,2021-12-31,2022-01-31,validation,nonnegative_high,annual_reset,q1_guard,False,0,0,0,0,0,,,True,False
monthly,2022-01-31,2022-02-28,training,all,q1_guard,q1_guard,False,38,42,38,0,4,0.9047619047619048,0.9047619047619048,True,False
monthly,2022-01-31,2022-02-28,training,negative_low,q1_guard,q1_guard,False,4,7,4,0,3,0.5714285714285714,0.5714285714285714,True,False
monthly,2022-01-31,2022-02-28,training,negative_high,q1_guard,q1_guard,False,17,17,17,0,0,1.0,1.0,True,False
monthly,2022-01-31,2022-02-28,training,nonnegative_low,q1_guard,q1_guard,False,4,5,4,0,1,0.8,0.8,True,False
monthly,2022-01-31,2022-02-28,training,nonnegative_high,q1_guard,q1_guard,False,13,13,13,0,0,1.0,1.0,True,False
monthly,2022-01-31,2022-02-28,validation,all,q1_guard,q1_guard,False,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2022-01-31,2022-02-28,validation,negative_low,q1_guard,q1_guard,False,7,5,4,3,1,0.8,0.5,True,False
monthly,2022-01-31,2022-02-28,validation,negative_high,q1_guard,q1_guard,False,0,3,0,0,3,0.0,0.0,True,False
monthly,2022-01-31,2022-02-28,validation,nonnegative_low,q1_guard,q1_guard,False,6,5,5,1,0,1.0,0.8333333333333334,True,False
monthly,2022-01-31,2022-02-28,validation,nonnegative_high,q1_guard,q1_guard,False,0,0,0,0,0,,,True,False
monthly,2022-02-28,2022-03-31,training,all,q1_guard,insufficient_history,False,42,46,42,0,4,0.9130434782608695,0.9130434782608695,True,False
monthly,2022-02-28,2022-03-31,training,negative_low,q1_guard,insufficient_history,False,7,10,7,0,3,0.7,0.7,True,False
monthly,2022-02-28,2022-03-31,training,negative_high,q1_guard,insufficient_history,False,17,17,17,0,0,1.0,1.0,True,False
monthly,2022-02-28,2022-03-31,training,nonnegative_low,q1_guard,insufficient_history,False,5,6,5,0,1,0.8333333333333334,0.8333333333333334,True,False
monthly,2022-02-28,2022-03-31,training,nonnegative_high,q1_guard,insufficient_history,False,13,13,13,0,0,1.0,1.0,True,False
monthly,2022-02-28,2022-03-31,validation,all,q1_guard,insufficient_history,False,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2022-02-28,2022-03-31,validation,negative_low,q1_guard,insufficient_history,False,5,4,3,2,1,0.75,0.5,True,True
monthly,2022-02-28,2022-03-31,validation,negative_high,q1_guard,insufficient_history,False,3,6,3,0,3,0.5,0.5,True,False
monthly,2022-02-28,2022-03-31,validation,nonnegative_low,q1_guard,insufficient_history,False,5,3,3,2,0,1.0,0.6,True,True
monthly,2022-02-28,2022-03-31,validation,nonnegative_high,q1_guard,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2022-03-31,2022-04-30,training,all,insufficient_history,insufficient_history,False,46,50,46,0,4,0.92,0.92,True,False
monthly,2022-03-31,2022-04-30,training,negative_low,insufficient_history,insufficient_history,False,10,10,10,0,0,1.0,1.0,True,False
monthly,2022-03-31,2022-04-30,training,negative_high,insufficient_history,insufficient_history,False,17,17,17,0,0,1.0,1.0,True,False
monthly,2022-03-31,2022-04-30,training,nonnegative_low,insufficient_history,insufficient_history,False,6,10,6,0,4,0.6,0.6,True,False
monthly,2022-03-31,2022-04-30,training,nonnegative_high,insufficient_history,insufficient_history,False,13,13,13,0,0,1.0,1.0,True,False
monthly,2022-03-31,2022-04-30,validation,all,insufficient_history,insufficient_history,False,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2022-03-31,2022-04-30,validation,negative_low,insufficient_history,insufficient_history,False,4,3,3,1,0,1.0,0.75,True,False
monthly,2022-03-31,2022-04-30,validation,negative_high,insufficient_history,insufficient_history,False,6,10,6,0,4,0.6,0.6,True,False
monthly,2022-03-31,2022-04-30,validation,nonnegative_low,insufficient_history,insufficient_history,False,3,0,0,3,0,,0.0,True,False
monthly,2022-03-31,2022-04-30,validation,nonnegative_high,insufficient_history,insufficient_history,False,0,0,0,0,0,,,True,False
monthly,2022-04-30,2022-05-31,training,all,insufficient_history,ready,False,50,52,47,3,5,0.9038461538461539,0.8545454545454545,True,False
monthly,2022-04-30,2022-05-31,training,negative_low,insufficient_history,ready,False,10,13,10,0,3,0.7692307692307693,0.7692307692307693,True,False
monthly,2022-04-30,2022-05-31,training,negative_high,insufficient_history,ready,False,17,19,17,0,2,0.8947368421052632,0.8947368421052632,True,False
monthly,2022-04-30,2022-05-31,training,nonnegative_low,insufficient_history,ready,False,10,9,9,1,0,1.0,0.9,True,False
monthly,2022-04-30,2022-05-31,training,nonnegative_high,insufficient_history,ready,False,13,11,11,2,0,1.0,0.8461538461538461,True,False
monthly,2022-04-30,2022-05-31,validation,all,insufficient_history,ready,False,13,13,8,5,5,0.6153846153846154,0.4444444444444444,True,False
monthly,2022-04-30,2022-05-31,validation,negative_low,insufficient_history,ready,False,3,1,1,2,0,1.0,0.3333333333333333,True,False
monthly,2022-04-30,2022-05-31,validation,negative_high,insufficient_history,ready,False,10,12,7,3,5,0.5833333333333334,0.4666666666666667,True,False
monthly,2022-04-30,2022-05-31,validation,nonnegative_low,insufficient_history,ready,False,0,0,0,0,0,,,True,False
monthly,2022-04-30,2022-05-31,validation,nonnegative_high,insufficient_history,ready,False,0,0,0,0,0,,,True,False
monthly,2022-05-31,2022-06-30,training,all,ready,ready,True,52,52,49,3,3,0.9423076923076923,0.8909090909090909,True,False
monthly,2022-05-31,2022-06-30,training,negative_low,ready,ready,True,13,14,13,0,1,0.9285714285714286,0.9285714285714286,True,False
monthly,2022-05-31,2022-06-30,training,negative_high,ready,ready,True,19,21,19,0,2,0.9047619047619048,0.9047619047619048,True,False
monthly,2022-05-31,2022-06-30,training,nonnegative_low,ready,ready,True,9,9,9,0,0,1.0,1.0,True,False
monthly,2022-05-31,2022-06-30,training,nonnegative_high,ready,ready,True,11,8,8,3,0,1.0,0.7272727272727273,True,False
monthly,2022-05-31,2022-06-30,validation,all,ready,ready,True,13,13,10,3,3,0.7692307692307693,0.625,True,False
monthly,2022-05-31,2022-06-30,validation,negative_low,ready,ready,True,1,0,0,1,0,,0.0,True,False
monthly,2022-05-31,2022-06-30,validation,negative_high,ready,ready,True,12,12,10,2,2,0.8333333333333334,0.7142857142857143,True,False
monthly,2022-05-31,2022-06-30,validation,nonnegative_low,ready,ready,True,0,0,0,0,0,,,True,False
monthly,2022-05-31,2022-06-30,validation,nonnegative_high,ready,ready,True,0,1,0,0,1,0.0,0.0,True,False
monthly,2022-06-30,2022-07-31,training,all,ready,ready,True,52,52,48,4,4,0.9230769230769231,0.8571428571428571,True,False
monthly,2022-06-30,2022-07-31,training,negative_low,ready,ready,True,14,14,14,0,0,1.0,1.0,True,False
monthly,2022-06-30,2022-07-31,training,negative_high,ready,ready,True,21,24,20,1,4,0.8333333333333334,0.8,True,False
monthly,2022-06-30,2022-07-31,training,nonnegative_low,ready,ready,True,9,9,9,0,0,1.0,1.0,True,False
monthly,2022-06-30,2022-07-31,training,nonnegative_high,ready,ready,True,8,5,5,3,0,1.0,0.625,True,False
monthly,2022-06-30,2022-07-31,validation,all,ready,ready,True,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2022-06-30,2022-07-31,validation,negative_low,ready,ready,True,0,0,0,0,0,,,True,False
monthly,2022-06-30,2022-07-31,validation,negative_high,ready,ready,True,12,8,8,4,0,1.0,0.6666666666666666,True,False
monthly,2022-06-30,2022-07-31,validation,nonnegative_low,ready,ready,True,0,1,0,0,1,0.0,0.0,True,False
monthly,2022-06-30,2022-07-31,validation,nonnegative_high,ready,ready,True,1,4,1,0,3,0.25,0.25,True,False
monthly,2022-07-31,2022-08-31,training,all,ready,ready,True,52,52,47,5,5,0.9038461538461539,0.8245614035087719,True,False
monthly,2022-07-31,2022-08-31,training,negative_low,ready,ready,True,14,14,14,0,0,1.0,1.0,True,False
monthly,2022-07-31,2022-08-31,training,negative_high,ready,ready,True,24,25,20,4,5,0.8,0.6896551724137931,True,False
monthly,2022-07-31,2022-08-31,training,nonnegative_low,ready,ready,True,9,9,9,0,0,1.0,1.0,True,False
monthly,2022-07-31,2022-08-31,training,nonnegative_high,ready,ready,True,5,4,4,1,0,1.0,0.8,True,False
monthly,2022-07-31,2022-08-31,validation,all,ready,ready,True,13,13,8,5,5,0.6153846153846154,0.4444444444444444,True,False
monthly,2022-07-31,2022-08-31,validation,negative_low,ready,ready,True,0,0,0,0,0,,,True,False
monthly,2022-07-31,2022-08-31,validation,negative_high,ready,ready,True,8,3,3,5,0,1.0,0.375,True,True
monthly,2022-07-31,2022-08-31,validation,nonnegative_low,ready,ready,True,1,6,1,0,5,0.16666666666666666,0.16666666666666666,True,False
monthly,2022-07-31,2022-08-31,validation,nonnegative_high,ready,ready,True,4,4,4,0,0,1.0,1.0,True,False
monthly,2022-08-31,2022-09-30,training,all,ready,ready,True,52,52,48,4,4,0.9230769230769231,0.8571428571428571,True,False
monthly,2022-08-31,2022-09-30,training,negative_low,ready,ready,True,14,12,12,2,0,1.0,0.8571428571428571,True,False
monthly,2022-08-31,2022-09-30,training,negative_high,ready,ready,True,25,27,23,2,4,0.8518518518518519,0.7931034482758621,True,False
monthly,2022-08-31,2022-09-30,training,nonnegative_low,ready,ready,True,9,9,9,0,0,1.0,1.0,True,False
monthly,2022-08-31,2022-09-30,training,nonnegative_high,ready,ready,True,4,4,4,0,0,1.0,1.0,True,False
monthly,2022-08-31,2022-09-30,validation,all,ready,ready,True,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2022-08-31,2022-09-30,validation,negative_low,ready,ready,True,0,3,0,0,3,0.0,0.0,True,False
monthly,2022-08-31,2022-09-30,validation,negative_high,ready,ready,True,3,0,0,3,0,,0.0,True,False
monthly,2022-08-31,2022-09-30,validation,nonnegative_low,ready,ready,True,6,6,6,0,0,1.0,1.0,True,False
monthly,2022-08-31,2022-09-30,validation,nonnegative_high,ready,ready,True,4,4,3,1,1,0.75,0.6,True,False
monthly,2022-09-30,2022-10-31,training,all,ready,ready,True,52,52,48,4,4,0.9230769230769231,0.8571428571428571,True,False
monthly,2022-09-30,2022-10-31,training,negative_low,ready,ready,True,12,12,12,0,0,1.0,1.0,True,False
monthly,2022-09-30,2022-10-31,training,negative_high,ready,ready,True,27,26,26,1,0,1.0,0.9629629629629629,True,False
monthly,2022-09-30,2022-10-31,training,nonnegative_low,ready,ready,True,9,8,7,2,1,0.875,0.7,True,False
monthly,2022-09-30,2022-10-31,training,nonnegative_high,ready,ready,True,4,6,3,1,3,0.5,0.42857142857142855,True,False
monthly,2022-09-30,2022-10-31,validation,all,ready,ready,True,13,13,9,4,4,0.6923076923076923,0.5294117647058824,True,False
monthly,2022-09-30,2022-10-31,validation,negative_low,ready,ready,True,3,5,3,0,2,0.6,0.6,True,False
monthly,2022-09-30,2022-10-31,validation,negative_high,ready,ready,True,0,2,0,0,2,0.0,0.0,True,False
