method,year,n,accuracy,balanced_accuracy,true_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,return_correlation,conditional_return_long,conditional_return_cash,logloss,brier
l_logit_5y_quarter,2025,48,0.3541666666666667,0.4611111111111111,0.625,0.0625,0.018386332424554862,-0.03250193635881926,-0.14844781893134867,-0.007464817872765533,0.005862434537250453,0.7221303532266322,0.26441456711042877
l_logit_5y_quarter,2026,30,0.43333333333333335,0.42410714285714285,0.4666666666666667,0.36666666666666664,0.019669419535373177,-0.0020136343829790793,0.00651624301334771,-0.003172640378761518,-0.00020020239045703673,0.6922357129307811,0.24955268553887186
always_up,2021,50,0.46,0.5,0.46,1.0,0.02584963530966768,-7.033462257055589e-09,,-0.002349891954160774,,,
always_up,2022,49,0.40816326530612246,0.5,0.40816326530612246,1.0,0.027477530964563904,-9.012938173569296e-09,,-0.003402449941709995,,,
always_up,2023,48,0.3958333333333333,0.5,0.3958333333333333,1.0,0.022611526209652514,-1.4090203892536124e-08,,-0.0036020270673377715,,,
always_up,2024,47,0.46808510638297873,0.5,0.46808510638297873,1.0,0.0379253290465244,4.707117362556801e-09,,0.0033851961225611236,,,
always_up,2025,48,0.625,0.5,0.625,1.0,0.018094628198259122,3.072230569944878e-08,,0.0050294812616244544,,,
always_up,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.01964964594896655,-6.682559172688229e-09,,-0.001290096319502013,,,
cash,2021,50,0.54,0.5,0.46,0.0,0.025849635218761463,0.0,,,-0.002349891954160774,,
cash,2022,49,0.5918367346938775,0.5,0.40816326530612246,0.0,0.02747753084073726,0.0,,,-0.003402449941709995,,
cash,2023,48,0.6041666666666666,0.5,0.3958333333333333,0.0,0.022611526050352007,0.0,,,-0.0036020270673377715,,
cash,2024,47,0.5319148936170213,0.5,0.46808510638297873,0.0,0.03792532913578389,0.0,,,0.0033851961225611236,,
cash,2025,48,0.375,0.5,0.625,0.0,0.01809462847621348,0.0,,,0.0050294812616244544,,
cash,2026,30,0.5333333333333333,0.5,0.4666666666666667,0.0,0.019649645883311587,0.0,,,-0.001290096319502013,,
v1_adaptive_normalized,2021,50,0.66,0.6723027375201288,0.46,0.64,0.02602011914018765,-0.013233928378550308,0.24911123703371796,0.003423277786934966,-0.012613304827219866,,
v1_adaptive_normalized,2022,49,0.4897959183673469,0.4913793103448276,0.40816326530612246,0.5102040816326531,0.029698749312467312,-0.16820998244863627,0.06687415441231949,-0.006107557940820137,-0.0005846291093035954,,
v1_adaptive_normalized,2023,48,0.5416666666666666,0.5934664246823956,0.3958333333333333,0.7291666666666666,0.0256653650028112,-0.2883537987700113,0.07776014523508208,-0.0023692542469744542,-0.006921030814469777,,
v1_adaptive_normalized,2024,47,0.44680851063829785,0.4445454545454546,0.46808510638297873,0.46808510638297873,0.040896834943819536,-0.16284192242279327,-0.11329587170103687,-0.006059782736135378,0.011696777518214043,,
v1_adaptive_normalized,2025,48,0.5,0.5222222222222223,0.625,0.4166666666666667,0.022114842330377003,-0.4937171033742713,0.03346437089314765,0.005216488644114065,0.00489590455984616,,
v1_adaptive_normalized,2026,30,0.5666666666666667,0.5714285714285714,0.4666666666666667,0.5666666666666667,0.022676758506484387,-0.3318413486529337,-0.03404528345457271,-0.0036188273110449765,0.0017551672848233994,,
v1_fixed_10,2021,50,0.6,0.6006441223832528,0.46,0.5,0.027317725081770324,-0.11681238759787727,0.11034776598424155,0.0005952802607579888,-0.005295064169079536,,
v1_fixed_10,2022,49,0.42857142857142855,0.4241379310344828,0.40816326530612246,0.4897959183673469,0.031354526233495016,-0.30210221587717334,-0.18811002236666774,-0.006221693468963368,-0.0006959761555467564,,
v1_fixed_10,2023,48,0.5833333333333334,0.5916515426497277,0.3958333333333333,0.5208333333333334,0.02354773370043629,-0.08452229356445917,0.06911484413699451,-0.003053730399126109,-0.004198001706698274,,
v1_fixed_10,2024,47,0.44680851063829785,0.45545454545454545,0.46808510638297873,0.6382978723404256,0.03928223576608491,-0.07283684116080091,-0.11227017596029353,-0.0007073764240849568,0.010607382969583619,,
v1_fixed_10,2025,48,0.4791666666666667,0.44999999999999996,0.625,0.6041666666666666,0.020873613900283017,-0.33074839525870603,-0.14338132782919058,0.002617602977870362,0.008710769168407016,,
v1_fixed_10,2026,30,0.5666666666666667,0.5758928571428572,0.4666666666666667,0.6333333333333333,0.02035942939266418,-0.07354869350407855,0.010710329856089234,-0.0006292844937658525,-0.0024314985639553813,,
selected_threshold_10bps,2021,50,0.52,0.5426731078904992,0.46,0.78,0.026176536355561286,-0.02545244232280175,0.043349303097628814,-0.0012096590563306254,-0.006392535864649481,,
selected_threshold_10bps,2022,49,0.4489795918367347,0.4724137931034483,0.40816326530612246,0.6326530612244898,0.027772342130782786,-0.021573469101694664,0.048783537312409024,-0.004746966643499645,-0.001086893399738928,,
selected_threshold_10bps,2023,48,0.4583333333333333,0.4791288566243194,0.3958333333333333,0.6041666666666666,0.022846311637161512,-0.02087471037166644,0.01560684590218227,-0.004160990589868517,-0.002748872217159263,,
selected_threshold_10bps,2024,47,0.5319148936170213,0.5327272727272727,0.46808510638297873,0.5106382978723404,0.03787246437582614,0.0027858909398276177,0.003969323576778145,0.0020065435604941207,0.004823790100370169,,
selected_threshold_10bps,2025,48,0.5416666666666666,0.5333333333333333,0.625,0.5416666666666666,0.017600809667441684,0.05383701887142445,0.1519376052692525,0.00524015115326655,0.0047805077533201595,,
selected_threshold_10bps,2026,30,0.4666666666666667,0.48214285714285715,0.4666666666666667,0.7333333333333333,0.020048800543231864,-0.04103980218646286,-0.05804086277953217,-0.0027004170482563083,0.002588285684572299,,
selected_threshold_20bps,2021,50,0.46,0.4613526570048309,0.46,0.52,0.026176536355561286,-0.02545244232280175,0.043349303097628814,-0.004719825131252456,0.00021753565435521689,,
selected_threshold_20bps,2022,49,0.4897959183673469,0.4913793103448276,0.40816326530612246,0.5102040816326531,0.027772342130782786,-0.021573469101694664,0.048783537312409024,-0.004321769643102388,-0.002444825252759584,,
selected_threshold_20bps,2023,48,0.5625,0.5199637023593466,0.3958333333333333,0.2916666666666667,0.022846311637161512,-0.02087471037166644,0.01560684590218227,-0.006934322696755974,-0.002229905337577335,,
selected_threshold_20bps,2024,47,0.5531914893617021,0.5390909090909091,0.46808510638297873,0.2765957446808511,0.03787246437582614,0.0027858909398276177,0.003969323576778145,0.007248954442908638,0.0019078767647811913,,
selected_threshold_20bps,2025,48,0.5625,0.5944444444444444,0.625,0.3958333333333333,0.017600809667441684,0.05383701887142445,0.1519376052692525,0.006201751260445474,0.004261442296879648,,
selected_threshold_20bps,2026,30,0.4666666666666667,0.46875,0.4666666666666667,0.5333333333333333,0.020048800543231864,-0.04103980218646286,-0.05804086277953217,-0.005549212576084406,0.00357746511659215,,
selected_threshold_40bps,2021,50,0.48,0.45410628019323673,0.46,0.18,0.026176536355561286,-0.02545244232280175,0.043349303097628814,-0.004023347544897177,-0.001982548043999124,,
selected_threshold_40bps,2022,49,0.6122448979591837,0.5715517241379311,0.40816326530612246,0.2653061224489796,0.027772342130782786,-0.021573469101694664,0.048783537312409024,0.0020225373319631146,-0.005361473123869729,,
selected_threshold_40bps,2023,48,0.625,0.5263157894736842,0.3958333333333333,0.020833333333333332,0.022846311637161512,-0.02087471037166644,0.01560684590218227,5.0471402903706775e-06,-0.0036787733270745413,,
selected_threshold_40bps,2024,47,0.5319148936170213,0.5081818181818182,0.46808510638297873,0.1276595744680851,0.03787246437582614,0.0027858909398276177,0.003969323576778145,-0.00325353683913915,0.004356718019395309,,
selected_threshold_40bps,2025,48,0.4583333333333333,0.5444444444444444,0.625,0.16666666666666666,0.017600809667441684,0.05383701887142445,0.1519376052692525,0.005565136181718149,0.004922350277605713,,
selected_threshold_40bps,2026,30,0.6,0.5714285714285714,0.4666666666666667,0.06666666666666667,0.020048800543231864,-0.04103980218646286,-0.05804086277953217,0.022123716777004053,-0.002962511540681018,,
