method,cost_bps,start,end,total_return,cagr,sharpe_zero_cash,max_drawdown,exposure,one_way_turnover,observations
l_logit_5y_quarter,20,2021-01-11,2026-08-31,-0.406079281178496,-0.0883214179629811,-0.6359647411406867,-0.4481678903680849,0.4743777452415813,36,1366
always_up,0,2021-01-11,2026-08-31,-0.1711862128104904,-0.03277415065574596,-0.07801062709316563,-0.4666020496211638,1.0,2,1366
always_up,5,2021-01-11,2026-08-31,-0.17201481939423235,-0.032945839784627284,-0.07892757856497594,-0.46660204962116236,1.0,2,1366
always_up,10,2021-01-11,2026-08-31,-0.17284301157108228,-0.033117584323650195,-0.07984422904247555,-0.46660204962116425,1.0,2,1366
always_up,20,2021-01-11,2026-08-31,-0.17449815270409885,-0.033461239814696175,-0.08167660213886653,-0.4666020496211635,1.0,2,1366
cash,0,2021-01-11,2026-08-31,0.0,0.0,0.0,0.0,0.0,0,1366
cash,5,2021-01-11,2026-08-31,0.0,0.0,0.0,0.0,0.0,0,1366
cash,10,2021-01-11,2026-08-31,0.0,0.0,0.0,0.0,0.0,0,1366
cash,20,2021-01-11,2026-08-31,0.0,0.0,0.0,0.0,0.0,0,1366
v1_adaptive_normalized,0,2021-01-11,2026-08-31,-0.22395517353029026,-0.04400126821744832,-0.2814874777127042,-0.37211212961968076,0.5490483162518301,104,1366
v1_adaptive_normalized,5,2021-01-11,2026-08-31,-0.26328782478240975,-0.05278564850923129,-0.353277674036715,-0.38945341445277626,0.5490483162518301,104,1366
v1_adaptive_normalized,10,2021-01-11,2026-08-31,-0.30064516211352355,-0.06149364683185876,-0.4250463253533502,-0.4070306445603602,0.5490483162518301,104,1366
v1_adaptive_normalized,20,2021-01-11,2026-08-31,-0.3698221968217379,-0.07868299844300364,-0.5683056919461623,-0.4515887080460249,0.5490483162518301,104,1366
v1_fixed_10,0,2021-01-11,2026-08-31,-0.19023788092467753,-0.03675790771133869,-0.2130380922434408,-0.32414645210792625,0.5585651537335286,136,1366
v1_fixed_10,5,2021-01-11,2026-08-31,-0.24348412431560573,-0.04831581356961301,-0.3040867053999708,-0.3513027285529611,0.5585651537335286,136,1366
v1_fixed_10,10,2021-01-11,2026-08-31,-0.2932531927789963,-0.05974071600918296,-0.39508931678043135,-0.37738062309109943,0.5585651537335286,136,1366
v1_fixed_10,20,2021-01-11,2026-08-31,-0.38324728274209063,-0.0821973557115322,-0.5766322433675498,-0.43750078947489757,0.5585651537335286,136,1366
selected_threshold_10bps,0,2021-01-11,2026-08-31,-0.21457370928397557,-0.04196029529788636,-0.2267846096650851,-0.3824945312511375,0.6303074670571011,52,1366
selected_threshold_10bps,5,2021-01-11,2026-08-31,-0.2347365805412297,-0.04637202026862841,-0.2593196899522539,-0.39047213013909954,0.6303074670571011,52,1366
selected_threshold_10bps,10,2021-01-11,2026-08-31,-0.25439154845161616,-0.050765621749356504,-0.29184846507106493,-0.39835058048425454,0.6303074670571011,52,1366
selected_threshold_10bps,20,2021-01-11,2026-08-31,-0.2922276679994238,-0.05949871578446608,-0.35684574518677564,-0.4138147562139247,0.6303074670571011,52,1366
selected_threshold_20bps,0,2021-01-11,2026-08-31,-0.21090880361261155,-0.041168425321920554,-0.29369563088012224,-0.32576001133807253,0.41947291361639827,50,1366
selected_threshold_20bps,5,2021-01-11,2026-08-31,-0.23039634631090122,-0.045414351406563136,-0.3312204966271642,-0.3338045387786276,0.41947291361639827,50,1366
selected_threshold_20bps,10,2021-01-11,2026-08-31,-0.24941201283558545,-0.04964358601293217,-0.3686982037301457,-0.3417570383549181,0.41947291361639827,50,1366
selected_threshold_20bps,20,2021-01-11,2026-08-31,-0.2860722509535125,-0.058052209871631844,-0.443446228926831,-0.35738997341994727,0.41947291361639827,50,1366
selected_threshold_40bps,0,2021-01-11,2026-08-31,0.050425146993424264,0.008769260637731424,0.1534690032836541,-0.12109476133351982,0.14202049780380674,30,1366
selected_threshold_40bps,5,2021-01-11,2026-08-31,0.034782472227010475,0.006086645012886249,0.11881940683881631,-0.12372818335131308,0.14202049780380674,30,1366
selected_threshold_40bps,10,2021-01-11,2026-08-31,0.01936509143429599,0.0034098262934214585,0.08416312167315428,-0.12635502675186527,0.14202049780380674,30,1366
selected_threshold_40bps,20,2021-01-11,2026-08-31,-0.01080628403926387,-0.0019264589568405155,0.014918531682391089,-0.13233837137676563,0.14202049780380674,30,1366
