cutoff,row_index,date,actual_return,actual_up,training_frequency
2017-12-31,1837,2018-08-17,0.0312424727164923,1,0.5202622169249106
2017-12-31,1842,2018-08-24,-0.005599825117761,0,0.5202622169249106
2017-12-31,1847,2018-08-31,-0.0148493234839747,0,0.5202622169249106
2017-12-31,1852,2018-09-07,-0.0141989007697058,0,0.5202622169249106
2017-12-31,1857,2018-09-14,0.0468351251034906,1,0.5202622169249106
2017-12-31,1862,2018-09-21,-0.00426840285903,0,0.5202622169249106
2017-12-31,1866,2018-09-28,-0.055840145646664,0,0.5202622169249106
2017-12-31,1871,2018-10-12,-0.0045024181987176,0,0.5202622169249106
2017-12-31,1876,2018-10-19,-0.0006551545151857,0,0.5202622169249106
2017-12-31,1881,2018-10-26,0.0354648787486262,1,0.5202622169249106
2017-12-31,1886,2018-11-02,-0.0334060260531522,0,0.5202622169249106
2017-12-31,1891,2018-11-09,0.0311810774464045,1,0.5202622169249106
2017-12-31,1896,2018-11-16,-0.0337916834162372,0,0.5202622169249106
2017-12-31,1901,2018-11-23,0.0355769261307155,1,0.5202622169249106
2017-12-31,1906,2018-11-30,-0.0328672765580291,0,0.5202622169249106
2017-12-31,1911,2018-12-07,0.0015094243892539,1,0.5202622169249106
2017-12-31,1916,2018-12-14,-0.0452081512722115,0,0.5202622169249106
2017-12-31,1921,2018-12-21,0.0005206433427293,1,0.5202622169249106
2017-12-31,1926,2018-12-28,0.0126215169021599,1,0.5202622169249106
2018-12-31,1929,2019-01-04,0.0122252589889202,1,0.5111920874544508
2018-12-31,1934,2019-01-11,0.0253451899757477,1,0.5111920874544508
2018-12-31,1939,2019-01-18,0.0101675244727015,1,0.5111920874544508
2018-12-31,1944,2019-01-25,0.011454456904518,1,0.5111920874544508
2018-12-31,1949,2019-02-01,0.0390794521900976,1,0.5111920874544508
2018-12-31,1954,2019-02-15,0.0622114887625429,1,0.5111920874544508
2018-12-31,1959,2019-02-22,0.057941468462044,1,0.5111920874544508
2018-12-31,1964,2019-03-01,-0.0314720436474369,0,0.5111920874544508
2018-12-31,1969,2019-03-08,0.0244706575909257,1,0.5111920874544508
2018-12-31,1974,2019-03-15,0.0060741040696496,1,0.5111920874544508
2018-12-31,1979,2019-03-22,0.0330284606666595,1,0.5111920874544508
2018-12-31,1984,2019-03-29,0.0398136969165658,1,0.5111920874544508
2018-12-31,1993,2019-04-12,0.0171281082906651,1,0.5111920874544508
2018-12-31,1998,2019-04-19,-0.0555966233394814,0,0.5111920874544508
2018-12-31,2003,2019-04-26,-0.0566702082338871,0,0.5111920874544508
2018-12-31,2010,2019-05-10,-0.010887544344571,0,0.5111920874544508
2018-12-31,2015,2019-05-17,-0.011865534939242,0,0.5111920874544508
2018-12-31,2020,2019-05-24,0.013363580693648,1,0.5111920874544508
2018-12-31,2025,2019-05-31,0.0037988139350273,1,0.5111920874544508
2018-12-31,2034,2019-06-14,0.0497668589441884,1,0.5111920874544508
2018-12-31,2039,2019-06-21,0.0164272438880068,1,0.5111920874544508
2018-12-31,2044,2019-06-28,-0.0060471927228523,0,0.5111920874544508
2018-12-31,2049,2019-07-05,-0.0214435915629233,0,0.5111920874544508
2018-12-31,2054,2019-07-12,0.005500126560918,1,0.5111920874544508
2018-12-31,2059,2019-07-19,0.011653336829684,1,0.5111920874544508
2018-12-31,2064,2019-07-26,-0.0346117357968243,0,0.5111920874544508
2018-12-31,2069,2019-08-02,-0.0205509060495487,0,0.5111920874544508
2018-12-31,2074,2019-08-09,0.024167527899843,1,0.5111920874544508
2018-12-31,2079,2019-08-16,0.0054416051262971,1,0.5111920874544508
2018-12-31,2084,2019-08-23,0.0125999637947373,1,0.5111920874544508
2018-12-31,2089,2019-08-30,0.0466047443403643,1,0.5111920874544508
2018-12-31,2094,2019-09-06,-0.0140091837144809,0,0.5111920874544508
2018-12-31,2103,2019-09-20,-0.021176044981262,0,0.5111920874544508
2018-12-31,2108,2019-09-27,0.0267538071924768,1,0.5111920874544508
2018-12-31,2113,2019-10-11,-0.0201578763251421,0,0.5111920874544508
2018-12-31,2118,2019-10-18,0.0102552427470803,1,0.5111920874544508
2018-12-31,2123,2019-10-25,0.0151165947072713,1,0.5111920874544508
2018-12-31,2128,2019-11-01,-0.0038824321835717,0,0.5111920874544508
2018-12-31,2133,2019-11-08,-0.0187863101539271,0,0.5111920874544508
2018-12-31,2138,2019-11-15,-0.0060576496216228,0,0.5111920874544508
2018-12-31,2143,2019-11-22,-0.0040145729517496,0,0.5111920874544508
2018-12-31,2148,2019-11-29,0.0192986069649145,1,0.5111920874544508
2018-12-31,2153,2019-12-06,0.0156489398981463,1,0.5111920874544508
