h,method,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
1,mse_3y_e10.vol.W,897,440,0.49052396878483834,0.4898320422430167,0.48078778055110827,0.2566849482467164,0.7068538524673592,0.4938684503901895,0.443701226309922,0.4862793368087967,0.06518749972620347,0.28010244948947527,0.6541809209891478
1,mse_3y_e10.vol.I,897,445,0.496098104793757,0.49503783773033283,0.4856057517327791,0.2557404335298713,0.7049013205654475,0.4938684503901895,0.4136008918617614,0.48365394826646974,0.06096105860867658,0.30053668371769854,0.6502319449130023
1,mse_3y_e10.vol.S,897,442,0.4927536231884058,0.49200733882916836,0.48002207615278286,0.2566259855383484,0.706722198534673,0.4938684503901895,0.43924191750278707,0.4874144263897596,0.06423177605225182,0.28497932066317005,0.6594697798893058
1,mse_3y_e10.order_joint.U,897,445,0.496098104793757,0.49509253090164185,0.4884547687473275,0.2557927772346229,0.7050612660281426,0.4938684503901895,0.4180602006688963,0.4843781447252859,0.06193483566585199,0.3024523519749679,0.6566365524274825
1,mse_3y_e10.order_joint.W,897,437,0.48717948717948717,0.4865280774853074,0.4823092451347938,0.2567488505994236,0.706998087878318,0.4938684503901895,0.44704570791527315,0.48553717229199583,0.06581576470283526,0.2832937791164833,0.6728026365847203
1,mse_3y_e10.order_joint.I,897,447,0.4983277591973244,0.49734986724475694,0.4889917562474518,0.25577681467678987,0.70502477877929,0.4938684503901895,0.42028985507246375,0.48345539929680986,0.062222654189086235,0.298840913928955,0.6542464403808854
1,mse_3y_e10.order_joint.S,897,439,0.48940914158305465,0.48870337407145914,0.4813894054355068,0.25672899151322076,0.7069563418103251,0.4938684503901895,0.44258639910813824,0.48644372250525847,0.06523341538027923,0.2875563947018524,0.6772869686277089
1,mse_3y_e10.order_fixed.U,897,443,0.4938684503901895,0.49286254114418115,0.4882558844880222,0.25576316869959204,0.7049980275763178,0.4938684503901895,0.4180602006688963,0.4845760536905409,0.06170638212681821,0.3026636288760621,0.6560136206720221
1,mse_3y_e10.order_fixed.W,897,441,0.4916387959866221,0.49098805700022874,0.48215013772734955,0.25669150339304286,0.7068711472615558,0.4938684503901895,0.44704570791527315,0.48572824940152065,0.06574070810210558,0.27769281619853653,0.6724505107473538
1,mse_3y_e10.order_fixed.I,897,448,0.49944258639910816,0.49845118883066,0.4889370630761428,0.25574488697096487,0.704956328752898,0.4938684503901895,0.41917502787068006,0.4834181976708066,0.062001833147422344,0.2987501137008444,0.6536670855730735
1,mse_3y_e10.order_fixed.S,897,436,0.48606465997770343,0.4853447161424409,0.48150376388460736,0.2566681121584586,0.706821439236288,0.4938684503901895,0.4414715719063545,0.48686552800017263,0.0650950971411532,0.28254468094860596,0.6775301419797604
1,mse_3y_e10.scalar_probe.U,897,442,0.4927536231884058,0.48891717465021234,0.47246944640566424,0.2510563206267086,0.695263458486948,0.4938684503901895,0.18729096989966554,0.4846615391676943,0.016052898435799955,0.4488387728629844,0.5350047287574468
1,mse_3y_e20.add.U,897,437,0.48717948717948717,0.48595379918656334,0.4820656119171448,0.25586900611578345,0.7052132303090447,0.4938684503901895,0.40022296544035674,0.4849211544445394,0.06452874224854892,0.25026494514266445,0.6740458997337311
1,mse_3y_e20.add.W,897,443,0.4938684503901895,0.49294458090114457,0.48588418969580655,0.25651522145361466,0.7066928390218491,0.4938684503901895,0.42474916387959866,0.4856074282772961,0.06858602456711126,0.22116050455705183,0.6666367921019402
1,mse_3y_e20.add.I,897,441,0.4916387959866221,0.4904958184584481,0.4828959536997444,0.2558590674919236,0.7052112807254837,0.4938684503901895,0.4069119286510591,0.4836841142109756,0.06486817503949582,0.24591458178940528,0.6715678526477782
1,mse_3y_e20.add.S,897,438,0.4882943143812709,0.4872465468720478,0.4854168116864391,0.25648574555677806,0.7066021403304855,0.4938684503901895,0.41471571906354515,0.48682968081941497,0.06793082436421531,0.22532289956253929,0.6691497383192009
1,mse_3y_e20.vol.U,897,439,0.48940914158305465,0.48818378894402403,0.48054911943994194,0.25571917056516547,0.7049101449243256,0.4938684503901895,0.40022296544035674,0.4840584412588986,0.06312942715306352,0.24158882559084938,0.6812589109540731
1,mse_3y_e20.vol.W,897,450,0.5016722408026756,0.5007085251737751,0.4854665327512654,0.25657150940898493,0.7068030017580686,0.4938684503901895,0.4214046822742475,0.4848561598042722,0.06871965237111334,0.21748506221195232,0.6722120914013345
1,mse_3y_e20.vol.I,897,445,0.496098104793757,0.4949557979733694,0.4815982339077774,0.25571621112136317,0.7049201698246795,0.4938684503901895,0.4069119286510591,0.4828745404445895,0.06354044282876299,0.23959936048336505,0.6787344905651816
1,mse_3y_e20.vol.S,897,447,0.4983277591973244,0.49740456041606584,0.48481518680204055,0.2565300802250652,0.706689789597675,0.4938684503901895,0.42474916387959866,0.4860219919744677,0.06796997876606165,0.22153553365305412,0.6747690232558113
1,mse_3y_e20.order_joint.U,897,433,0.48272017837235226,0.4814664730859876,0.48032537464822345,0.25598872734057854,0.705424269410107,0.4938684503901895,0.3979933110367893,0.4848066410544168,0.06449803122130165,0.25465774961937154,0.6919541101368322
1,mse_3y_e20.order_joint.W,897,438,0.4882943143812709,0.48716450711508436,0.48307992163960184,0.2567456340585887,0.7070545253232855,0.4938684503901895,0.4080267558528428,0.4852538546104694,0.06864304229135063,0.25229954029940077,0.6828541184225124
1,mse_3y_e20.order_joint.I,897,441,0.4916387959866221,0.4904137787014847,0.4805441473334593,0.25595594614124734,0.705361220241015,0.4938684503901895,0.40022296544035674,0.48377260778645825,0.06462301403306353,0.25265423517735286,0.6896602505868424
1,mse_3y_e20.order_joint.S,897,438,0.4882943143812709,0.4871098139437754,0.48271198575988705,0.25674296619257164,0.7070368088477278,0.4938684503901895,0.4035674470457079,0.4862775468711354,0.06823780639422025,0.25630833318306295,0.6851750162484569
1,mse_3y_e20.order_fixed.U,897,433,0.48272017837235226,0.4814664730859876,0.4802706814769145,0.25595607278350874,0.7053543606292554,0.4938684503901895,0.3979933110367893,0.4849747447658624,0.06430954864060974,0.2550038357215999,0.6917322521348068
1,mse_3y_e20.order_fixed.W,897,437,0.48717948717948717,0.4860631855291813,0.48376110022772245,0.2566568030011238,0.7068734217972324,0.4938684503901895,0.40914158305462656,0.48542395465494753,0.06859946592834756,0.2525677020079922,0.6825810259572798
