h,method,bin_lower,bin_upper,n,mean_probability,actual_up_frequency
1,mse_5y_e10.order_joint.U,0.4,0.5,414,0.46255258011464623,0.46618357487922707
1,mse_5y_e10.order_joint.U,0.5,0.6,397,0.5344354912372923,0.5289672544080605
1,mse_5y_e10.order_joint.U,0.6,0.7,26,0.6284526759463263,0.38461538461538464
1,mse_5y_e10.order_joint.U,0.7,0.8,0,,
1,mse_5y_e10.order_joint.U,0.8,0.9,0,,
1,mse_5y_e10.order_joint.U,0.9,1.0,0,,
1,mse_5y_e10.order_joint.W,0.0,0.1,0,,
1,mse_5y_e10.order_joint.W,0.1,0.2,0,,
1,mse_5y_e10.order_joint.W,0.2,0.3,1,0.2603262711222855,0.0
1,mse_5y_e10.order_joint.W,0.3,0.4,93,0.36606017159131776,0.5161290322580645
1,mse_5y_e10.order_joint.W,0.4,0.5,408,0.46199005103975793,0.4681372549019608
1,mse_5y_e10.order_joint.W,0.5,0.6,365,0.5353344470588347,0.5205479452054794
1,mse_5y_e10.order_joint.W,0.6,0.7,30,0.6200689691641915,0.4666666666666667
1,mse_5y_e10.order_joint.W,0.7,0.8,0,,
1,mse_5y_e10.order_joint.W,0.8,0.9,0,,
1,mse_5y_e10.order_joint.W,0.9,1.0,0,,
1,mse_5y_e10.order_joint.I,0.0,0.1,0,,
1,mse_5y_e10.order_joint.I,0.1,0.2,0,,
1,mse_5y_e10.order_joint.I,0.2,0.3,0,,
1,mse_5y_e10.order_joint.I,0.3,0.4,68,0.3732536167866436,0.5
1,mse_5y_e10.order_joint.I,0.4,0.5,425,0.4622530769279188,0.4752941176470588
1,mse_5y_e10.order_joint.I,0.5,0.6,378,0.5338586891245201,0.5211640211640212
1,mse_5y_e10.order_joint.I,0.6,0.7,26,0.6245447285759617,0.38461538461538464
1,mse_5y_e10.order_joint.I,0.7,0.8,0,,
1,mse_5y_e10.order_joint.I,0.8,0.9,0,,
1,mse_5y_e10.order_joint.I,0.9,1.0,0,,
1,mse_5y_e10.order_joint.S,0.0,0.1,0,,
1,mse_5y_e10.order_joint.S,0.1,0.2,0,,
1,mse_5y_e10.order_joint.S,0.2,0.3,1,0.26224115515772556,0.0
1,mse_5y_e10.order_joint.S,0.3,0.4,84,0.365529225280615,0.5238095238095238
1,mse_5y_e10.order_joint.S,0.4,0.5,411,0.46297254544937333,0.4768856447688564
1,mse_5y_e10.order_joint.S,0.5,0.6,371,0.5372404601277733,0.5148247978436657
1,mse_5y_e10.order_joint.S,0.6,0.7,30,0.6243648660476939,0.4
1,mse_5y_e10.order_joint.S,0.7,0.8,0,,
1,mse_5y_e10.order_joint.S,0.8,0.9,0,,
1,mse_5y_e10.order_joint.S,0.9,1.0,0,,
1,mse_5y_e10.order_fixed.U,0.0,0.1,0,,
1,mse_5y_e10.order_fixed.U,0.1,0.2,0,,
1,mse_5y_e10.order_fixed.U,0.2,0.3,0,,
1,mse_5y_e10.order_fixed.U,0.3,0.4,60,0.37394413833459866,0.5
1,mse_5y_e10.order_fixed.U,0.4,0.5,414,0.4627841992874374,0.463768115942029
1,mse_5y_e10.order_fixed.U,0.5,0.6,397,0.534340008228334,0.5314861460957179
1,mse_5y_e10.order_fixed.U,0.6,0.7,26,0.6281535435962193,0.38461538461538464
1,mse_5y_e10.order_fixed.U,0.7,0.8,0,,
1,mse_5y_e10.order_fixed.U,0.8,0.9,0,,
1,mse_5y_e10.order_fixed.U,0.9,1.0,0,,
1,mse_5y_e10.order_fixed.W,0.0,0.1,0,,
1,mse_5y_e10.order_fixed.W,0.1,0.2,0,,
1,mse_5y_e10.order_fixed.W,0.2,0.3,2,0.2764222341952257,0.0
1,mse_5y_e10.order_fixed.W,0.3,0.4,94,0.36563187232346617,0.5212765957446809
1,mse_5y_e10.order_fixed.W,0.4,0.5,401,0.4620263603177545,0.4713216957605985
1,mse_5y_e10.order_fixed.W,0.5,0.6,371,0.5353415225428466,0.5202156334231806
1,mse_5y_e10.order_fixed.W,0.6,0.7,29,0.6210034260068681,0.41379310344827586
1,mse_5y_e10.order_fixed.W,0.7,0.8,0,,
1,mse_5y_e10.order_fixed.W,0.8,0.9,0,,
1,mse_5y_e10.order_fixed.W,0.9,1.0,0,,
1,mse_5y_e10.order_fixed.I,0.0,0.1,0,,
1,mse_5y_e10.order_fixed.I,0.1,0.2,0,,
1,mse_5y_e10.order_fixed.I,0.2,0.3,0,,
1,mse_5y_e10.order_fixed.I,0.3,0.4,65,0.37245531108726293,0.5076923076923077
1,mse_5y_e10.order_fixed.I,0.4,0.5,430,0.46184979782920416,0.4744186046511628
1,mse_5y_e10.order_fixed.I,0.5,0.6,376,0.5335219500233565,0.5212765957446809
1,mse_5y_e10.order_fixed.I,0.6,0.7,26,0.6239464576544685,0.38461538461538464
1,mse_5y_e10.order_fixed.I,0.7,0.8,0,,
1,mse_5y_e10.order_fixed.I,0.8,0.9,0,,
1,mse_5y_e10.order_fixed.I,0.9,1.0,0,,
1,mse_5y_e10.order_fixed.S,0.0,0.1,0,,
1,mse_5y_e10.order_fixed.S,0.1,0.2,0,,
1,mse_5y_e10.order_fixed.S,0.2,0.3,2,0.27885003245517803,0.0
1,mse_5y_e10.order_fixed.S,0.3,0.4,86,0.36597177615767695,0.5232558139534884
1,mse_5y_e10.order_fixed.S,0.4,0.5,391,0.4624327039816703,0.47570332480818417
1,mse_5y_e10.order_fixed.S,0.5,0.6,387,0.536093106379474,0.5142118863049095
1,mse_5y_e10.order_fixed.S,0.6,0.7,31,0.6241078882982106,0.41935483870967744
1,mse_5y_e10.order_fixed.S,0.7,0.8,0,,
1,mse_5y_e10.order_fixed.S,0.8,0.9,0,,
1,mse_5y_e10.order_fixed.S,0.9,1.0,0,,
1,mse_5y_e10.scalar_probe.U,0.0,0.1,0,,
1,mse_5y_e10.scalar_probe.U,0.1,0.2,0,,
1,mse_5y_e10.scalar_probe.U,0.2,0.3,0,,
1,mse_5y_e10.scalar_probe.U,0.3,0.4,0,,
1,mse_5y_e10.scalar_probe.U,0.4,0.5,819,0.4836084082201271,0.5006105006105006
1,mse_5y_e10.scalar_probe.U,0.5,0.6,78,0.5049168215232469,0.4230769230769231
1,mse_5y_e10.scalar_probe.U,0.6,0.7,0,,
1,mse_5y_e10.scalar_probe.U,0.7,0.8,0,,
1,mse_5y_e10.scalar_probe.U,0.8,0.9,0,,
1,mse_5y_e10.scalar_probe.U,0.9,1.0,0,,
1,mse_5y_e20.add.U,0.0,0.1,0,,
1,mse_5y_e20.add.U,0.1,0.2,0,,
1,mse_5y_e20.add.U,0.2,0.3,6,0.2708110242630624,0.5
1,mse_5y_e20.add.U,0.3,0.4,60,0.3639488747805002,0.5333333333333333
1,mse_5y_e20.add.U,0.4,0.5,382,0.4615272587172272,0.47643979057591623
1,mse_5y_e20.add.U,0.5,0.6,419,0.5371669438691715,0.5083532219570406
1,mse_5y_e20.add.U,0.6,0.7,30,0.6239978063352601,0.43333333333333335
1,mse_5y_e20.add.U,0.7,0.8,0,,
1,mse_5y_e20.add.U,0.8,0.9,0,,
1,mse_5y_e20.add.U,0.9,1.0,0,,
1,mse_5y_e20.add.W,0.0,0.1,0,,
1,mse_5y_e20.add.W,0.1,0.2,1,0.19068442320382348,1.0
1,mse_5y_e20.add.W,0.2,0.3,12,0.277132611409257,0.5
1,mse_5y_e20.add.W,0.3,0.4,72,0.36126484315054314,0.5138888888888888
1,mse_5y_e20.add.W,0.4,0.5,383,0.4601972114965972,0.4908616187989556
1,mse_5y_e20.add.W,0.5,0.6,407,0.535449351930652,0.4987714987714988
1,mse_5y_e20.add.W,0.6,0.7,22,0.6169007521239586,0.36363636363636365
1,mse_5y_e20.add.W,0.7,0.8,0,,
1,mse_5y_e20.add.W,0.8,0.9,0,,
1,mse_5y_e20.add.W,0.9,1.0,0,,
1,mse_5y_e20.add.I,0.0,0.1,0,,
1,mse_5y_e20.add.I,0.1,0.2,0,,
1,mse_5y_e20.add.I,0.2,0.3,6,0.268151341644992,0.5
1,mse_5y_e20.add.I,0.3,0.4,64,0.36312338404926015,0.53125
1,mse_5y_e20.add.I,0.4,0.5,400,0.4605515066655946,0.485
1,mse_5y_e20.add.I,0.5,0.6,399,0.5354817416071337,0.5037593984962406
1,mse_5y_e20.add.I,0.6,0.7,28,0.6204510388647678,0.39285714285714285
1,mse_5y_e20.add.I,0.7,0.8,0,,
1,mse_5y_e20.add.I,0.8,0.9,0,,
1,mse_5y_e20.add.I,0.9,1.0,0,,
1,mse_5y_e20.add.S,0.0,0.1,0,,
1,mse_5y_e20.add.S,0.1,0.2,1,0.19272517812437276,1.0
1,mse_5y_e20.add.S,0.2,0.3,9,0.27269947818367446,0.4444444444444444
1,mse_5y_e20.add.S,0.3,0.4,72,0.36022238076805935,0.5277777777777778
1,mse_5y_e20.add.S,0.4,0.5,368,0.46153763917783963,0.4891304347826087
1,mse_5y_e20.add.S,0.5,0.6,422,0.537490806431132,0.495260663507109
1,mse_5y_e20.add.S,0.6,0.7,25,0.6192884094994162,0.44
1,mse_5y_e20.add.S,0.7,0.8,0,,
1,mse_5y_e20.add.S,0.8,0.9,0,,
1,mse_5y_e20.add.S,0.9,1.0,0,,
1,mse_5y_e20.vol.U,0.0,0.1,0,,
1,mse_5y_e20.vol.U,0.1,0.2,0,,
1,mse_5y_e20.vol.U,0.2,0.3,5,0.2699483933697692,0.4
1,mse_5y_e20.vol.U,0.3,0.4,63,0.36559721925227767,0.5396825396825397
1,mse_5y_e20.vol.U,0.4,0.5,422,0.46564640045358546,0.490521327014218
1,mse_5y_e20.vol.U,0.5,0.6,387,0.5355209676755458,0.49870801033591733
1,mse_5y_e20.vol.U,0.6,0.7,20,0.6259445930652217,0.35
1,mse_5y_e20.vol.U,0.7,0.8,0,,
1,mse_5y_e20.vol.U,0.8,0.9,0,,
1,mse_5y_e20.vol.U,0.9,1.0,0,,
1,mse_5y_e20.vol.W,0.0,0.1,0,,
1,mse_5y_e20.vol.W,0.1,0.2,1,0.19160311772084657,1.0
1,mse_5y_e20.vol.W,0.2,0.3,11,0.2771540310489686,0.5454545454545454
1,mse_5y_e20.vol.W,0.3,0.4,76,0.36206357416840135,0.5
1,mse_5y_e20.vol.W,0.4,0.5,410,0.46224628239305554,0.5048780487804878
1,mse_5y_e20.vol.W,0.5,0.6,382,0.5350372423364256,0.4816753926701571
1,mse_5y_e20.vol.W,0.6,0.7,17,0.6205264497662017,0.4117647058823529
1,mse_5y_e20.vol.W,0.7,0.8,0,,
1,mse_5y_e20.vol.W,0.8,0.9,0,,
1,mse_5y_e20.vol.W,0.9,1.0,0,,
1,mse_5y_e20.vol.I,0.0,0.1,0,,
1,mse_5y_e20.vol.I,0.1,0.2,0,,
1,mse_5y_e20.vol.I,0.2,0.3,6,0.27257298464783525,0.5
1,mse_5y_e20.vol.I,0.3,0.4,65,0.36488646806512387,0.5076923076923077
1,mse_5y_e20.vol.I,0.4,0.5,445,0.46456171887923636,0.49213483146067416
1,mse_5y_e20.vol.I,0.5,0.6,362,0.5338776200646862,0.5
1,mse_5y_e20.vol.I,0.6,0.7,19,0.6223301646508292,0.3684210526315789
1,mse_5y_e20.vol.I,0.7,0.8,0,,
1,mse_5y_e20.vol.I,0.8,0.9,0,,
1,mse_5y_e20.vol.I,0.9,1.0,0,,
1,mse_5y_e20.vol.S,0.0,0.1,0,,
1,mse_5y_e20.vol.S,0.1,0.2,1,0.1936380787480065,1.0
1,mse_5y_e20.vol.S,0.2,0.3,7,0.26773559570859234,0.42857142857142855
1,mse_5y_e20.vol.S,0.3,0.4,75,0.3595203921535332,0.5333333333333333
1,mse_5y_e20.vol.S,0.4,0.5,396,0.46330482732583955,0.494949494949495
1,mse_5y_e20.vol.S,0.5,0.6,397,0.5368692631964742,0.491183879093199
1,mse_5y_e20.vol.S,0.6,0.7,21,0.6209203690084105,0.38095238095238093
1,mse_5y_e20.vol.S,0.7,0.8,0,,
1,mse_5y_e20.vol.S,0.8,0.9,0,,
1,mse_5y_e20.vol.S,0.9,1.0,0,,
1,mse_5y_e20.order_joint.U,0.0,0.1,0,,
1,mse_5y_e20.order_joint.U,0.1,0.2,0,,
1,mse_5y_e20.order_joint.U,0.2,0.3,1,0.25041069833957014,1.0
1,mse_5y_e20.order_joint.U,0.3,0.4,61,0.3664973930582284,0.5245901639344263
1,mse_5y_e20.order_joint.U,0.4,0.5,436,0.4653483283502723,0.5022935779816514
1,mse_5y_e20.order_joint.U,0.5,0.6,366,0.5358656380327897,0.48633879781420764
1,mse_5y_e20.order_joint.U,0.6,0.7,32,0.6220185326594061,0.40625
1,mse_5y_e20.order_joint.U,0.7,0.8,1,0.7084286000207588,0.0
1,mse_5y_e20.order_joint.U,0.8,0.9,0,,
1,mse_5y_e20.order_joint.U,0.9,1.0,0,,
1,mse_5y_e20.order_joint.W,0.0,0.1,0,,
1,mse_5y_e20.order_joint.W,0.1,0.2,0,,
1,mse_5y_e20.order_joint.W,0.2,0.3,5,0.27710340670710293,0.6
1,mse_5y_e20.order_joint.W,0.3,0.4,72,0.3611501232580727,0.5138888888888888
1,mse_5y_e20.order_joint.W,0.4,0.5,429,0.4602728909667269,0.5081585081585082
1,mse_5y_e20.order_joint.W,0.5,0.6,368,0.5360852512754708,0.48097826086956524
1,mse_5y_e20.order_joint.W,0.6,0.7,23,0.6265851102524855,0.34782608695652173
1,mse_5y_e20.order_joint.W,0.7,0.8,0,,
1,mse_5y_e20.order_joint.W,0.8,0.9,0,,
1,mse_5y_e20.order_joint.W,0.9,1.0,0,,
1,mse_5y_e20.order_joint.I,0.0,0.1,0,,
1,mse_5y_e20.order_joint.I,0.1,0.2,0,,
1,mse_5y_e20.order_joint.I,0.2,0.3,1,0.24807204784104678,1.0
1,mse_5y_e20.order_joint.I,0.3,0.4,64,0.3649919574017101,0.546875
1,mse_5y_e20.order_joint.I,0.4,0.5,459,0.46432258737516185,0.4989106753812636
1,mse_5y_e20.order_joint.I,0.5,0.6,343,0.5347842256567117,0.4868804664723032
1,mse_5y_e20.order_joint.I,0.6,0.7,29,0.619993152346759,0.3793103448275862
1,mse_5y_e20.order_joint.I,0.7,0.8,1,0.7058512582948383,0.0
1,mse_5y_e20.order_joint.I,0.8,0.9,0,,
1,mse_5y_e20.order_joint.I,0.9,1.0,0,,
1,mse_5y_e20.order_joint.S,0.0,0.1,0,,
1,mse_5y_e20.order_joint.S,0.1,0.2,0,,
1,mse_5y_e20.order_joint.S,0.2,0.3,4,0.27415414439219615,0.75
1,mse_5y_e20.order_joint.S,0.3,0.4,70,0.3617142584756319,0.5
1,mse_5y_e20.order_joint.S,0.4,0.5,413,0.4615570670176854,0.5108958837772397
1,mse_5y_e20.order_joint.S,0.5,0.6,384,0.537942327071237,0.484375
1,mse_5y_e20.order_joint.S,0.6,0.7,26,0.6271298303435671,0.3076923076923077
1,mse_5y_e20.order_joint.S,0.7,0.8,0,,
1,mse_5y_e20.order_joint.S,0.8,0.9,0,,
1,mse_5y_e20.order_joint.S,0.9,1.0,0,,
1,mse_5y_e20.order_fixed.U,0.0,0.1,0,,
1,mse_5y_e20.order_fixed.U,0.1,0.2,0,,
1,mse_5y_e20.order_fixed.U,0.2,0.3,1,0.2524676160260457,1.0
1,mse_5y_e20.order_fixed.U,0.3,0.4,58,0.3659368827177052,0.5
1,mse_5y_e20.order_fixed.U,0.4,0.5,438,0.46501268825864406,0.5045662100456622
1,mse_5y_e20.order_fixed.U,0.5,0.6,367,0.5357520927024317,0.4877384196185286
1,mse_5y_e20.order_fixed.U,0.6,0.7,32,0.621823982024415,0.40625
1,mse_5y_e20.order_fixed.U,0.7,0.8,1,0.7077013606444561,0.0
1,mse_5y_e20.order_fixed.U,0.8,0.9,0,,
1,mse_5y_e20.order_fixed.U,0.9,1.0,0,,
1,mse_5y_e20.order_fixed.W,0.0,0.1,0,,
1,mse_5y_e20.order_fixed.W,0.1,0.2,0,,
1,mse_5y_e20.order_fixed.W,0.2,0.3,7,0.2816275206090372,0.5714285714285714
1,mse_5y_e20.order_fixed.W,0.3,0.4,76,0.36460666930508145,0.5263157894736842
1,mse_5y_e20.order_fixed.W,0.4,0.5,422,0.46154349422828794,0.5071090047393365
1,mse_5y_e20.order_fixed.W,0.5,0.6,368,0.5361011260645704,0.48097826086956524
1,mse_5y_e20.order_fixed.W,0.6,0.7,24,0.6263858378762622,0.3333333333333333
1,mse_5y_e20.order_fixed.W,0.7,0.8,0,,
1,mse_5y_e20.order_fixed.W,0.8,0.9,0,,
1,mse_5y_e20.order_fixed.W,0.9,1.0,0,,
1,mse_5y_e20.order_fixed.I,0.0,0.1,0,,
1,mse_5y_e20.order_fixed.I,0.1,0.2,0,,
1,mse_5y_e20.order_fixed.I,0.2,0.3,1,0.24986029360609896,1.0
1,mse_5y_e20.order_fixed.I,0.3,0.4,63,0.36532173252318545,0.5396825396825397
1,mse_5y_e20.order_fixed.I,0.4,0.5,461,0.46433001186274075,0.5010845986984815
1,mse_5y_e20.order_fixed.I,0.5,0.6,342,0.5348112608822936,0.4853801169590643
1,mse_5y_e20.order_fixed.I,0.6,0.7,29,0.6196523852570005,0.3793103448275862
1,mse_5y_e20.order_fixed.I,0.7,0.8,1,0.7048686200658829,0.0
1,mse_5y_e20.order_fixed.I,0.8,0.9,0,,
1,mse_5y_e20.order_fixed.I,0.9,1.0,0,,
1,mse_5y_e20.order_fixed.S,0.0,0.1,0,,
1,mse_5y_e20.order_fixed.S,0.1,0.2,0,,
1,mse_5y_e20.order_fixed.S,0.2,0.3,5,0.2778881346746347,0.6
1,mse_5y_e20.order_fixed.S,0.3,0.4,69,0.36151051835840764,0.5072463768115942
1,mse_5y_e20.order_fixed.S,0.4,0.5,413,0.46212988710642733,0.513317191283293
1,mse_5y_e20.order_fixed.S,0.5,0.6,383,0.5381445617998746,0.4830287206266319
1,mse_5y_e20.order_fixed.S,0.6,0.7,27,0.6271240559032027,0.2962962962962963
1,mse_5y_e20.order_fixed.S,0.7,0.8,0,,
1,mse_5y_e20.order_fixed.S,0.8,0.9,0,,
1,mse_5y_e20.order_fixed.S,0.9,1.0,0,,
1,mse_5y_e20.scalar_probe.U,0.0,0.1,0,,
1,mse_5y_e20.scalar_probe.U,0.1,0.2,0,,
1,mse_5y_e20.scalar_probe.U,0.2,0.3,0,,
1,mse_5y_e20.scalar_probe.U,0.3,0.4,0,,
1,mse_5y_e20.scalar_probe.U,0.4,0.5,666,0.4718831914156497,0.4924924924924925
1,mse_5y_e20.scalar_probe.U,0.5,0.6,231,0.5146700017544016,0.49783549783549785
1,mse_5y_e20.scalar_probe.U,0.6,0.7,0,,
1,mse_5y_e20.scalar_probe.U,0.7,0.8,0,,
1,mse_5y_e20.scalar_probe.U,0.8,0.9,0,,
1,mse_5y_e20.scalar_probe.U,0.9,1.0,0,,
1,frequency_5y,0.0,0.1,0,,
1,frequency_5y,0.1,0.2,0,,
1,frequency_5y,0.2,0.3,0,,
1,frequency_5y,0.3,0.4,0,,
1,frequency_5y,0.4,0.5,897,0.490726617947957,0.4938684503901895
1,frequency_5y,0.5,0.6,0,,
1,frequency_5y,0.6,0.7,0,,
1,frequency_5y,0.7,0.8,0,,
1,frequency_5y,0.8,0.9,0,,
1,frequency_5y,0.9,1.0,0,,
1,market4_5y,0.0,0.1,0,,
1,market4_5y,0.1,0.2,0,,
1,market4_5y,0.2,0.3,0,,
1,market4_5y,0.3,0.4,0,,
1,market4_5y,0.4,0.5,633,0.4773687196139253,0.49447077409162715
1,market4_5y,0.5,0.6,264,0.5211974968188674,0.49242424242424243
1,market4_5y,0.6,0.7,0,,
1,market4_5y,0.7,0.8,0,,
1,market4_5y,0.8,0.9,0,,
1,market4_5y,0.9,1.0,0,,
1,bce_5y_e10.add.U,0.0,0.1,0,,
1,bce_5y_e10.add.U,0.1,0.2,0,,
1,bce_5y_e10.add.U,0.2,0.3,1,0.2845564354882096,0.0
1,bce_5y_e10.add.U,0.3,0.4,53,0.36477437698848053,0.5283018867924528
1,bce_5y_e10.add.U,0.4,0.5,353,0.46532472906432465,0.49008498583569404
1,bce_5y_e10.add.U,0.5,0.6,460,0.5377926904368645,0.4934782608695652
1,bce_5y_e10.add.U,0.6,0.7,30,0.6283024143110334,0.5
1,bce_5y_e10.add.U,0.7,0.8,0,,
1,bce_5y_e10.add.U,0.8,0.9,0,,
1,bce_5y_e10.add.U,0.9,1.0,0,,
1,bce_5y_e10.add.W,0.0,0.1,0,,
1,bce_5y_e10.add.W,0.1,0.2,0,,
1,bce_5y_e10.add.W,0.2,0.3,2,0.27420756597017404,0.0
1,bce_5y_e10.add.W,0.3,0.4,70,0.3545904659275199,0.5714285714285714
1,bce_5y_e10.add.W,0.4,0.5,384,0.46340916859656245,0.4739583333333333
1,bce_5y_e10.add.W,0.5,0.6,412,0.5393616727186321,0.4975728155339806
1,bce_5y_e10.add.W,0.6,0.7,29,0.6286925932362302,0.5517241379310345
1,bce_5y_e10.add.W,0.7,0.8,0,,
1,bce_5y_e10.add.W,0.8,0.9,0,,
1,bce_5y_e10.add.W,0.9,1.0,0,,
1,bce_5y_e10.add.I,0.0,0.1,0,,
1,bce_5y_e10.add.I,0.1,0.2,0,,
1,bce_5y_e10.add.I,0.2,0.3,1,0.28197205510213663,0.0
1,bce_5y_e10.add.I,0.3,0.4,54,0.36241222177712173,0.5370370370370371
1,bce_5y_e10.add.I,0.4,0.5,378,0.46459668310778274,0.4973544973544973
1,bce_5y_e10.add.I,0.5,0.6,438,0.5379073279822676,0.4908675799086758
1,bce_5y_e10.add.I,0.6,0.7,26,0.626926981862468,0.4230769230769231
1,bce_5y_e10.add.I,0.7,0.8,0,,
1,bce_5y_e10.add.I,0.8,0.9,0,,
1,bce_5y_e10.add.I,0.9,1.0,0,,
1,bce_5y_e10.add.S,0.0,0.1,0,,
1,bce_5y_e10.add.S,0.1,0.2,0,,
1,bce_5y_e10.add.S,0.2,0.3,2,0.2767410295807583,0.0
1,bce_5y_e10.add.S,0.3,0.4,68,0.35623020583441733,0.5588235294117647
