task,seed,epoch,method,scheme,gradient_inf,curvature_min
h1_mse_5y_2023-12-31,20260912,10,vol,W,6.4377880196891946e-12,0.01295759097058997
h1_mse_5y_2023-12-31,20260912,10,order_joint,U,7.519359657495728e-11,0.012969547657227005
h1_mse_5y_2023-12-31,20260912,10,order_joint,W,3.334639237916742e-11,0.012957421197420396
h1_mse_5y_2023-12-31,20260912,10,order_fixed,U,3.9896052932662796e-11,0.24762293853763115
h1_mse_5y_2023-12-31,20260912,10,order_fixed,W,7.37257477290143e-18,0.23953085605047247
h1_mse_5y_2023-12-31,20260912,20,add,U,9.659729830260866e-12,0.010561831618876394
h1_mse_5y_2023-12-31,20260912,20,add,W,1.3322234374696373e-11,0.010564117567134053
h1_mse_5y_2023-12-31,20260912,20,vol,U,6.632288110635515e-11,0.0105615491019756
h1_mse_5y_2023-12-31,20260912,20,vol,W,1.615303881321098e-11,0.01056308967051098
h1_mse_5y_2023-12-31,20260912,20,order_joint,U,5.521491922531874e-11,0.010561579558632753
h1_mse_5y_2023-12-31,20260912,20,order_joint,W,1.1223407890992992e-11,0.010562248354027566
h1_mse_5y_2023-12-31,20260912,20,order_fixed,U,3.136098152001221e-14,0.2459672370897376
h1_mse_5y_2023-12-31,20260912,20,order_fixed,W,8.467970790716761e-13,0.2575627305531028
h1_mse_5y_2024-12-31,20260910,10,add,U,6.272582279975847e-12,0.018189797207754408
h1_mse_5y_2024-12-31,20260910,10,add,W,1.3461014854859732e-11,0.017532533210722793
h1_mse_5y_2024-12-31,20260910,10,vol,U,1.5579603769187364e-11,0.01819044420112436
h1_mse_5y_2024-12-31,20260910,10,vol,W,6.459837355245364e-11,0.01752265815102202
h1_mse_5y_2024-12-31,20260910,10,order_joint,U,1.3184318992998968e-11,0.0181762954089458
h1_mse_5y_2024-12-31,20260910,10,order_joint,W,1.0119010040695112e-10,0.01750556708909038
h1_mse_5y_2024-12-31,20260910,10,order_fixed,U,3.657403313582844e-11,0.24263862757320948
h1_mse_5y_2024-12-31,20260910,10,order_fixed,W,5.908901840045999e-18,0.26853428141542457
h1_mse_5y_2024-12-31,20260910,20,add,U,3.046885660440424e-13,0.011645502423504987
h1_mse_5y_2024-12-31,20260910,20,add,W,1.6702828356529587e-13,0.011572538055043574
h1_mse_5y_2024-12-31,20260910,20,vol,U,9.443276022258473e-12,0.011644431477752418
h1_mse_5y_2024-12-31,20260910,20,vol,W,2.1048700976633583e-13,0.011568522738692836
h1_mse_5y_2024-12-31,20260910,20,order_joint,U,1.0608509621971851e-11,0.011644261203761492
h1_mse_5y_2024-12-31,20260910,20,order_joint,W,2.500799047011615e-13,0.011567719436549339
h1_mse_5y_2024-12-31,20260910,20,order_fixed,U,2.982301363328721e-15,0.2512911278343325
h1_mse_5y_2024-12-31,20260910,20,order_fixed,W,6.903928383844571e-15,0.2672958320762408
h1_mse_5y_2024-12-31,20260911,10,add,U,1.0478388989820786e-12,0.014465321125040462
h1_mse_5y_2024-12-31,20260911,10,add,W,2.75635154349356e-12,0.014448514778812897
h1_mse_5y_2024-12-31,20260911,10,vol,U,7.471639192763169e-12,0.014465848712998495
h1_mse_5y_2024-12-31,20260911,10,vol,W,4.035643618328227e-12,0.014441460102460153
h1_mse_5y_2024-12-31,20260911,10,order_joint,U,1.4585297401260855e-10,0.014441677038764597
h1_mse_5y_2024-12-31,20260911,10,order_joint,W,3.463321096922045e-10,0.014412007357838411
h1_mse_5y_2024-12-31,20260911,10,order_fixed,U,1.0297752234267321e-15,0.24315083220703446
h1_mse_5y_2024-12-31,20260911,10,order_fixed,W,9.063930161978817e-17,0.26367255148337954
h1_mse_5y_2024-12-31,20260911,20,add,U,2.711753347914292e-13,0.011103608120922412
h1_mse_5y_2024-12-31,20260911,20,add,W,8.911426284397006e-14,0.011099324466356125
h1_mse_5y_2024-12-31,20260911,20,vol,U,1.586788979292958e-11,0.011104660286701791
h1_mse_5y_2024-12-31,20260911,20,vol,W,8.439093607953696e-14,0.011099115746658566
h1_mse_5y_2024-12-31,20260911,20,order_joint,U,2.4758200589496127e-12,0.011102907967647735
h1_mse_5y_2024-12-31,20260911,20,order_joint,W,2.6734701692038287e-12,0.011095792118626381
h1_mse_5y_2024-12-31,20260911,20,order_fixed,U,1.0625181290357943e-17,0.24942903909529177
h1_mse_5y_2024-12-31,20260911,20,order_fixed,W,6.7220534694101275e-18,0.2886545853828565
h1_mse_5y_2024-12-31,20260912,10,add,U,3.861224708023858e-12,0.020144603444269743
h1_mse_5y_2024-12-31,20260912,10,add,W,2.4723834958495505e-11,0.019598846698283663
h1_mse_5y_2024-12-31,20260912,10,vol,U,5.566810250615117e-12,0.020143818882001657
h1_mse_5y_2024-12-31,20260912,10,vol,W,2.0194582551341655e-11,0.01957804399773479
h1_mse_5y_2024-12-31,20260912,10,order_joint,U,2.5522808692890475e-11,0.020158665019422022
h1_mse_5y_2024-12-31,20260912,10,order_joint,W,6.637295227318596e-11,0.019584023639493787
h1_mse_5y_2024-12-31,20260912,10,order_fixed,U,8.462717722770852e-12,0.24451144545225406
h1_mse_5y_2024-12-31,20260912,10,order_fixed,W,1.3784827554604029e-11,0.2599408462697858
h1_mse_5y_2024-12-31,20260912,20,add,U,1.2783771437263614e-12,0.012921474294599469
h1_mse_5y_2024-12-31,20260912,20,add,W,1.0683947216511003e-11,0.012737484160923334
h1_mse_5y_2024-12-31,20260912,20,vol,U,1.2719010415197796e-12,0.01292210173243851
h1_mse_5y_2024-12-31,20260912,20,vol,W,3.427603276686818e-11,0.01273754132248407
h1_mse_5y_2024-12-31,20260912,20,order_joint,U,1.4170266522672836e-12,0.01292342066015842
h1_mse_5y_2024-12-31,20260912,20,order_joint,W,3.5403650561742104e-11,0.012738013239534733
h1_mse_5y_2024-12-31,20260912,20,order_fixed,U,3.512771670766135e-14,0.24717121719493532
h1_mse_5y_2024-12-31,20260912,20,order_fixed,W,3.291314540788265e-12,0.2678096663076464
h1_mse_5y_2025-12-31,20260910,10,add,U,9.40400101540062e-14,0.016062566494112824
h1_mse_5y_2025-12-31,20260910,10,add,W,1.1302222178988242e-13,0.015378027592407272
h1_mse_5y_2025-12-31,20260910,10,vol,U,1.7015262896574734e-12,0.016054169351985677
h1_mse_5y_2025-12-31,20260910,10,vol,W,2.637740286609569e-12,0.015362309866047974
h1_mse_5y_2025-12-31,20260910,10,order_joint,U,3.1469872009953076e-12,0.016052674764989196
h1_mse_5y_2025-12-31,20260910,10,order_joint,W,5.160957585229574e-12,0.015361294608086475
h1_mse_5y_2025-12-31,20260910,10,order_fixed,U,1.6553335037330225e-12,0.24754662725761098
h1_mse_5y_2025-12-31,20260910,10,order_fixed,W,9.805684367779344e-14,0.22922424186721932
h1_mse_5y_2025-12-31,20260910,20,add,U,2.3172115268255133e-12,0.012204262317506312
h1_mse_5y_2025-12-31,20260910,20,add,W,1.1188952325422163e-12,0.012078921742008789
h1_mse_5y_2025-12-31,20260910,20,vol,U,5.457325953986403e-11,0.012201452275540802
h1_mse_5y_2025-12-31,20260910,20,vol,W,1.2639850212499415e-11,0.012077401902882099
h1_mse_5y_2025-12-31,20260910,20,order_joint,U,9.628722623909736e-11,0.012198793306212045
h1_mse_5y_2025-12-31,20260910,20,order_joint,W,4.592378235503125e-11,0.012075559233368116
h1_mse_5y_2025-12-31,20260910,20,order_fixed,U,4.336808689942018e-19,0.2422510866431759
h1_mse_5y_2025-12-31,20260910,20,order_fixed,W,3.2526065174565133e-19,0.23340472532064083
h1_mse_5y_2025-12-31,20260911,10,add,U,3.360038484424843e-13,0.015035053612300448
h1_mse_5y_2025-12-31,20260911,10,add,W,2.073873299653084e-13,0.014714384396069554
h1_mse_5y_2025-12-31,20260911,10,vol,U,5.606084606951667e-12,0.015025711006206222
h1_mse_5y_2025-12-31,20260911,10,vol,W,4.5023429429136286e-12,0.014696108082272466
h1_mse_5y_2025-12-31,20260911,10,order_joint,U,4.3623145026816523e-11,0.015020052058945188
h1_mse_5y_2025-12-31,20260911,10,order_joint,W,3.208210867106098e-11,0.014687360769284452
h1_mse_5y_2025-12-31,20260911,10,order_fixed,U,6.288372600415926e-18,0.24758605655757804
h1_mse_5y_2025-12-31,20260911,10,order_fixed,W,8.890457814381136e-18,0.23216443481615204
h1_mse_5y_2025-12-31,20260911,20,add,U,2.2861812269681092e-14,0.01182996711625159
h1_mse_5y_2025-12-31,20260911,20,add,W,1.0518387376368121e-14,0.011749146918066701
h1_mse_5y_2025-12-31,20260911,20,vol,U,6.480578877351983e-13,0.011825670730258673
h1_mse_5y_2025-12-31,20260911,20,vol,W,3.9178100867676147e-13,0.011742823766531138
h1_mse_5y_2025-12-31,20260911,20,order_joint,U,1.893042905591613e-12,0.011825843462699857
h1_mse_5y_2025-12-31,20260911,20,order_joint,W,1.1008216907471002e-12,0.011741105419175701
h1_mse_5y_2025-12-31,20260911,20,order_fixed,U,5.660798750323909e-11,0.25145663100584
h1_mse_5y_2025-12-31,20260911,20,order_fixed,W,7.50417541691209e-11,0.23298576932709103
h1_mse_5y_2025-12-31,20260912,10,add,U,1.7408166921861756e-12,0.016544058787436616
h1_mse_5y_2025-12-31,20260912,10,add,W,1.1292041520588603e-12,0.01634553333451335
h1_mse_5y_2025-12-31,20260912,10,vol,U,5.787558339477236e-12,0.016541634756206118
h1_mse_5y_2025-12-31,20260912,10,vol,W,5.773803906771596e-12,0.01633178428001723
h1_mse_5y_2025-12-31,20260912,10,order_joint,U,1.1310815348566927e-11,0.016543251407540028
h1_mse_5y_2025-12-31,20260912,10,order_joint,W,8.302719026621191e-12,0.016328038552133172
h1_mse_5y_2025-12-31,20260912,10,order_fixed,U,1.4394345741394754e-11,0.24612319767273508
h1_mse_5y_2025-12-31,20260912,10,order_fixed,W,5.475269489099016e-12,0.24507235592710475
h1_mse_5y_2025-12-31,20260912,20,add,U,6.26378072673961e-13,0.011452952792180022
h1_mse_5y_2025-12-31,20260912,20,add,W,2.6090436235082226e-13,0.011334888876135775
h1_mse_5y_2025-12-31,20260912,20,vol,U,2.635447405013175e-11,0.011450218906175612
h1_mse_5y_2025-12-31,20260912,20,vol,W,1.363400657563435e-11,0.011330817707053993
h1_mse_5y_2025-12-31,20260912,20,order_joint,U,1.7456264829896623e-10,0.011449388904239183
h1_mse_5y_2025-12-31,20260912,20,order_joint,W,9.585554355470705e-11,0.011329425742789796
h1_mse_5y_2025-12-31,20260912,20,order_fixed,U,7.047314121155779e-18,0.2423554310410768
h1_mse_5y_2025-12-31,20260912,20,order_fixed,W,8.890457814381136e-18,0.2363975354136282
h1_bce_5y_2022-12-31,20260910,10,add,U,2.868283605420019e-11,0.017135683257138275
h1_bce_5y_2022-12-31,20260910,10,add,W,2.1905980707778022e-10,0.017201178183564494
h1_bce_5y_2022-12-31,20260910,10,vol,U,6.963336320314067e-11,0.017148051632865816
h1_bce_5y_2022-12-31,20260910,10,vol,W,2.1921518691004477e-10,0.01720041364311189
h1_bce_5y_2022-12-31,20260910,10,order_joint,U,6.336752466067769e-11,0.017147275788911582
h1_bce_5y_2022-12-31,20260910,10,order_joint,W,1.686141365420113e-10,0.017195439496966496
h1_bce_5y_2022-12-31,20260910,10,order_fixed,U,8.753119756788053e-13,0.24436187561235564
h1_bce_5y_2022-12-31,20260910,10,order_fixed,W,2.3361846311631407e-15,0.26072798013626564
h1_bce_5y_2022-12-31,20260910,20,add,U,1.980005948695046e-11,0.012116613783424506
h1_bce_5y_2022-12-31,20260910,20,add,W,1.4088246238011526e-10,0.012102971342836192
h1_bce_5y_2022-12-31,20260910,20,vol,U,1.7473383525680453e-11,0.01211496120522722
h1_bce_5y_2022-12-31,20260910,20,vol,W,8.666604781916443e-11,0.01209965377805704
h1_bce_5y_2022-12-31,20260910,20,order_joint,U,2.204679299365464e-11,0.012114159227719929
h1_bce_5y_2022-12-31,20260910,20,order_joint,W,1.6088853638024023e-10,0.012099018190747348
h1_bce_5y_2022-12-31,20260910,20,order_fixed,U,9.306799580131864e-14,0.24375270194785922
h1_bce_5y_2022-12-31,20260910,20,order_fixed,W,2.8932379495666405e-13,0.24740424970794267
h1_bce_5y_2022-12-31,20260911,10,add,U,9.068245286625309e-13,0.018460221885415913
h1_bce_5y_2022-12-31,20260911,10,add,W,5.43990080845852e-12,0.018841283059751267
h1_bce_5y_2022-12-31,20260911,10,vol,U,9.238308902592696e-13,0.018459712850810193
h1_bce_5y_2022-12-31,20260911,10,vol,W,1.5338682282867513e-11,0.01883747311020768
h1_bce_5y_2022-12-31,20260911,10,order_joint,U,3.6006991789225284e-10,0.018410556321688507
h1_bce_5y_2022-12-31,20260911,10,order_joint,W,4.466912950640278e-17,0.01878298593949363
h1_bce_5y_2022-12-31,20260911,10,order_fixed,U,3.903127820947816e-18,0.2423877372173553
h1_bce_5y_2022-12-31,20260911,10,order_fixed,W,1.2542050731312315e-15,0.24633708584822311
h1_bce_5y_2022-12-31,20260911,20,add,U,1.9064025531811968e-12,0.015276257824304995
h1_bce_5y_2022-12-31,20260911,20,add,W,1.646077740259655e-11,0.015402378151270118
h1_bce_5y_2022-12-31,20260911,20,vol,U,3.771304232444428e-12,0.015271949977259766
h1_bce_5y_2022-12-31,20260911,20,vol,W,6.947714945677516e-11,0.015398497464853132
h1_bce_5y_2022-12-31,20260911,20,order_joint,U,1.7259480455077136e-10,0.015245975917675205
h1_bce_5y_2022-12-31,20260911,20,order_joint,W,1.702197410802242e-17,0.015364892287070234
