h,method,state,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
5,mse_5y_e20.vol.S,0,212,104,0.49056603773584906,0.4888215908078739,0.4670882693506725,0.2694009837003659,0.7348018582245371,0.4858490566037736,0.4386792452830189,0.49449245144512277,0.10702612803813123,0.25984292394493985,0.7467704592465557
5,mse_5y_e20.vol.S,1,113,54,0.4778761061946903,0.43144132653061223,0.22863520408163265,0.3197750538274556,0.8511568238433744,0.5663716814159292,0.8407079646017699,0.6091591084822795,0.13847989174766956,0.26999982428198005,0.8035756746281807
5,mse_5y_e20.vol.S,2,238,136,0.5714285714285714,0.5457830454578305,0.525908795259088,0.2584489551334701,0.7136901639458643,0.42436974789915966,0.3235294117647059,0.46883106375680356,0.12329322886288713,0.2391179428540061,0.8179134459008724
5,mse_5y_e20.vol.S,3,330,185,0.5606060606060606,0.5573308270676691,0.5989849624060151,0.24480906893686802,0.6838235192546067,0.5757575757575758,0.5303030303030303,0.50027039461791,0.11220328069016408,0.19081029798032678,0.774809473201696
5,mse_5y_e20.order_joint.U,0,212,108,0.5094339622641509,0.5071702146610849,0.48784180992250825,0.26508782596027247,0.725994586831282,0.4858490566037736,0.419811320754717,0.48847638379275127,0.10458600519675748,0.23073382957413271,0.7411333977611917
5,mse_5y_e20.order_joint.U,1,113,56,0.49557522123893805,0.44706632653061223,0.22385204081632654,0.3208207894538017,0.8582739796930202,0.5663716814159292,0.8584070796460177,0.6091194716982304,0.14049519894824122,0.2517048438135743,0.8488403981378029
5,mse_5y_e20.order_joint.U,2,238,126,0.5294117647058824,0.5105875551058756,0.47951145479511453,0.26679482697723733,0.7303216229344122,0.42436974789915966,0.3739495798319328,0.4838742981795662,0.11540757753558599,0.2480715172806939,0.8172217439256287
5,mse_5y_e20.order_joint.U,3,330,192,0.5818181818181818,0.5785714285714285,0.5970300751879699,0.248617089021976,0.6928763642512844,0.5757575757575758,0.5333333333333333,0.49305383677185527,0.11518774070027435,0.1767276409715829,0.7671111347529104
5,mse_5y_e20.order_joint.W,0,212,106,0.5,0.49772868976574325,0.46512870757994124,0.27089064494414616,0.7383793096029612,0.4858490566037736,0.419811320754717,0.4821941191096593,0.11094538871325292,0.2189608393299277,0.7361872615101479
5,mse_5y_e20.order_joint.W,1,113,54,0.4778761061946903,0.4338329081632653,0.2420280612244898,0.3227298456038785,0.8631538609908469,0.5663716814159292,0.8230088495575221,0.6182407529411127,0.14181331148821788,0.2850105116436117,0.8559379019295495
5,mse_5y_e20.order_joint.W,2,238,136,0.5714285714285714,0.5392787453927874,0.5021319650213196,0.2576881493941427,0.7109874282735031,0.42436974789915966,0.2815126050420168,0.4508831580525124,0.1137248558553303,0.2189256436071744,0.7843010661798088
5,mse_5y_e20.order_joint.W,3,330,182,0.5515151515151515,0.5362781954887218,0.5728947368421052,0.2482623220912134,0.6907942046862111,0.5757575757575758,0.6060606060606061,0.5117512973250088,0.11657466005070946,0.19192808808992443,0.7737565901927198
5,mse_5y_e20.order_joint.I,0,212,109,0.5141509433962265,0.5114901576556515,0.4976396187761646,0.26293260572420957,0.721406734161677,0.4858490566037736,0.4056603773584906,0.48333834386719104,0.10212019342006345,0.23015736581158855,0.7291939000331079
5,mse_5y_e20.order_joint.I,1,113,57,0.504424778761062,0.4596619897959184,0.21970663265306123,0.3250114333484561,0.869286535852602,0.5663716814159292,0.831858407079646,0.6045251444866192,0.14483391263998927,0.24041231848427028,0.8563321139459449
5,mse_5y_e20.order_joint.I,2,238,128,0.5378151260504201,0.5178868251788682,0.4752475247524752,0.2665300761010659,0.729535664966928,0.42436974789915966,0.36554621848739494,0.47813916681985874,0.11457083921584518,0.2464115712427725,0.807424644092392
