head_cutoff,encoder_cutoff,seed,method,group,dimensions,old_norm,new_norm,delta_norm,old_intercept,new_intercept
2020-12-31,2020-12-31,20260912,learned_vol_interaction,decoded,25,0.5644360262819591,0.5644360262819591,0.0,,
2020-12-31,2020-12-31,20260912,learned_vol_interaction,market,4,0.21499250571041734,0.21499250571041734,0.0,,
2020-12-31,2020-12-31,20260912,learned_vol_interaction,vol,1,0.02075074309395567,0.02075074309395567,0.0,,
2020-12-31,2020-12-31,20260912,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2020-12-31,2020-12-31,20260912,learned_order_extension,intercept,1,0.2592232336798335,0.2592232336798335,0.0,0.2592232336798335,0.2592232336798335
2020-12-31,2020-12-31,20260912,learned_order_extension,decoded,25,0.5642382785698037,0.5642382785698037,0.0,,
2020-12-31,2020-12-31,20260912,learned_order_extension,market,4,0.21505636015431318,0.21505636015431318,0.0,,
2020-12-31,2020-12-31,20260912,learned_order_extension,vol,1,0.020522439842365778,0.020522439842365778,0.0,,
2020-12-31,2020-12-31,20260912,learned_order_extension,order,1,0.01947783441144696,0.01947783441144696,0.0,,
2020-12-31,2020-12-31,20260912,learned_order_offset,intercept,1,0.25898153377762045,0.25898153377762045,0.0,0.25898153377762045,0.25898153377762045
2020-12-31,2020-12-31,20260912,learned_order_offset,decoded,25,0.5644360262819591,0.5644360262819591,0.0,,
2020-12-31,2020-12-31,20260912,learned_order_offset,market,4,0.21499250571041734,0.21499250571041734,0.0,,
2020-12-31,2020-12-31,20260912,learned_order_offset,vol,1,0.02075074309395567,0.02075074309395567,0.0,,
2020-12-31,2020-12-31,20260912,learned_order_offset,order,1,0.019384546386031345,0.019384546386031345,0.0,,
2021-03-31,2020-12-31,20260910,learned_market,intercept,1,0.2441796569335598,0.22967149804473888,0.014508158888820927,0.2441796569335598,0.22967149804473888
2021-03-31,2020-12-31,20260910,learned_market,decoded,25,0.6494616540667225,0.680326083604737,0.21155282775464218,,
2021-03-31,2020-12-31,20260910,learned_market,market,4,0.15676028662225575,0.09758936561580714,0.1637426442199708,,
2021-03-31,2020-12-31,20260910,learned_market,vol,0,0.0,0.0,0.0,,
2021-03-31,2020-12-31,20260910,learned_market,order,0,0.0,0.0,0.0,,
2021-03-31,2020-12-31,20260910,learned_vol_interaction,intercept,1,0.24896001932283235,0.23667772548960214,0.012282293833230207,0.24896001932283235,0.23667772548960214
2021-03-31,2020-12-31,20260910,learned_vol_interaction,decoded,25,0.6566333554645318,0.6935712470900217,0.21700924454345533,,
2021-03-31,2020-12-31,20260910,learned_vol_interaction,market,4,0.16110084946241343,0.10178045459964981,0.16054423299416823,,
2021-03-31,2020-12-31,20260910,learned_vol_interaction,vol,1,0.20601816816963212,0.2610187375050117,0.055000569335379584,,
2021-03-31,2020-12-31,20260910,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2021-03-31,2020-12-31,20260910,learned_order_extension,intercept,1,0.24881667360837004,0.23664369463332577,0.012172978975044269,0.24881667360837004,0.23664369463332577
2021-03-31,2020-12-31,20260910,learned_order_extension,decoded,25,0.6570134497258157,0.6935309396942315,0.21678684820796337,,
2021-03-31,2020-12-31,20260910,learned_order_extension,market,4,0.16074045750321755,0.1018016526416558,0.16003167135208196,,
2021-03-31,2020-12-31,20260910,learned_order_extension,vol,1,0.2072216487890492,0.2611753903842817,0.05395374159523253,,
2021-03-31,2020-12-31,20260910,learned_order_extension,order,1,0.053094720785684515,0.009433532513235811,0.043661188272448706,,
2021-03-31,2020-12-31,20260910,learned_order_offset,intercept,1,0.24896001932283235,0.23667772548960214,0.012282293833230207,0.24896001932283235,0.23667772548960214
2021-03-31,2020-12-31,20260910,learned_order_offset,decoded,25,0.6566333554645318,0.6935712470900217,0.21700924454345533,,
2021-03-31,2020-12-31,20260910,learned_order_offset,market,4,0.16110084946241343,0.10178045459964981,0.16054423299416823,,
2021-03-31,2020-12-31,20260910,learned_order_offset,vol,1,0.20601816816963212,0.2610187375050117,0.055000569335379584,,
2021-03-31,2020-12-31,20260910,learned_order_offset,order,1,0.05302811275205938,0.009422245430629347,0.043605867321430035,,
2021-03-31,2020-12-31,20260911,learned_market,intercept,1,0.25431711722375144,0.23638411948363897,0.017932997740112477,0.25431711722375144,0.23638411948363897
2021-03-31,2020-12-31,20260911,learned_market,decoded,25,0.932890435662049,0.8562580202939981,0.2482247265093617,,
2021-03-31,2020-12-31,20260911,learned_market,market,4,0.14795604307093205,0.14942865112428175,0.08079680734522145,,
2021-03-31,2020-12-31,20260911,learned_market,vol,0,0.0,0.0,0.0,,
2021-03-31,2020-12-31,20260911,learned_market,order,0,0.0,0.0,0.0,,
2021-03-31,2020-12-31,20260911,learned_vol_interaction,intercept,1,0.25278606547503246,0.2370962948246511,0.01568977065038135,0.25278606547503246,0.2370962948246511
2021-03-31,2020-12-31,20260911,learned_vol_interaction,decoded,25,0.9359901816201128,0.8567116987358387,0.2533292310888364,,
2021-03-31,2020-12-31,20260911,learned_vol_interaction,market,4,0.15001357396465248,0.14892232359176738,0.08431039268813857,,
2021-03-31,2020-12-31,20260911,learned_vol_interaction,vol,1,0.0914085027319914,0.03341882818421972,0.12482733091621112,,
2021-03-31,2020-12-31,20260911,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2021-03-31,2020-12-31,20260911,learned_order_extension,intercept,1,0.2542483366469297,0.2374936544436385,0.016754682203291182,0.2542483366469297,0.2374936544436385
2021-03-31,2020-12-31,20260911,learned_order_extension,decoded,25,0.93606909322087,0.8581842210773567,0.2541953650273104,,
2021-03-31,2020-12-31,20260911,learned_order_extension,market,4,0.15013012992898517,0.14896306807334173,0.08715513454579984,,
2021-03-31,2020-12-31,20260911,learned_order_extension,vol,1,0.09111907227551733,0.035153111313446596,0.12627218358896392,,
2021-03-31,2020-12-31,20260911,learned_order_extension,order,1,0.11573346269501528,0.09995752263623507,0.015775940058780205,,
2021-03-31,2020-12-31,20260911,learned_order_offset,intercept,1,0.25278606547503246,0.2370962948246511,0.01568977065038135,0.25278606547503246,0.2370962948246511
2021-03-31,2020-12-31,20260911,learned_order_offset,decoded,25,0.9359901816201128,0.8567116987358387,0.2533292310888364,,
2021-03-31,2020-12-31,20260911,learned_order_offset,market,4,0.15001357396465248,0.14892232359176738,0.08431039268813857,,
2021-03-31,2020-12-31,20260911,learned_order_offset,vol,1,0.0914085027319914,0.03341882818421972,0.12482733091621112,,
2021-03-31,2020-12-31,20260911,learned_order_offset,order,1,0.11526961063687999,0.09948565498626082,0.015783955650619172,,
2021-03-31,2020-12-31,20260912,learned_market,intercept,1,0.25854603623394196,0.24573578759303372,0.01281024864090824,0.25854603623394196,0.24573578759303372
2021-03-31,2020-12-31,20260912,learned_market,decoded,25,0.5640461822485379,0.6425873151876718,0.32999302627544275,,
2021-03-31,2020-12-31,20260912,learned_market,market,4,0.21436137078172365,0.2234165703804593,0.08717426940612832,,
2021-03-31,2020-12-31,20260912,learned_market,vol,0,0.0,0.0,0.0,,
2021-03-31,2020-12-31,20260912,learned_market,order,0,0.0,0.0,0.0,,
2021-03-31,2020-12-31,20260912,learned_vol_interaction,intercept,1,0.25898153377762045,0.24494744949958847,0.014034084278031989,0.25898153377762045,0.24494744949958847
2021-03-31,2020-12-31,20260912,learned_vol_interaction,decoded,25,0.5644360262819591,0.6418706450319361,0.32929989288356254,,
2021-03-31,2020-12-31,20260912,learned_vol_interaction,market,4,0.21499250571041734,0.22272338640114372,0.08568489534577615,,
2021-03-31,2020-12-31,20260912,learned_vol_interaction,vol,1,0.02075074309395567,0.01992150290743995,0.04067224600139562,,
2021-03-31,2020-12-31,20260912,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2021-03-31,2020-12-31,20260912,learned_order_extension,intercept,1,0.2592232336798335,0.2457330705483516,0.013490163131481908,0.2592232336798335,0.2457330705483516
2021-03-31,2020-12-31,20260912,learned_order_extension,decoded,25,0.5642382785698037,0.640799853319229,0.3281855119851909,,
2021-03-31,2020-12-31,20260912,learned_order_extension,market,4,0.21505636015431318,0.2233274594193828,0.08813581169151954,,
2021-03-31,2020-12-31,20260912,learned_order_extension,vol,1,0.020522439842365778,0.021021046042461487,0.041543485884827265,,
2021-03-31,2020-12-31,20260912,learned_order_extension,order,1,0.01947783441144696,0.059770940332369175,0.040293105920922216,,
2021-03-31,2020-12-31,20260912,learned_order_offset,intercept,1,0.25898153377762045,0.24494744949958847,0.014034084278031989,0.25898153377762045,0.24494744949958847
2021-03-31,2020-12-31,20260912,learned_order_offset,decoded,25,0.5644360262819591,0.6418706450319361,0.32929989288356254,,
2021-03-31,2020-12-31,20260912,learned_order_offset,market,4,0.21499250571041734,0.22272338640114372,0.08568489534577615,,
2021-03-31,2020-12-31,20260912,learned_order_offset,vol,1,0.02075074309395567,0.01992150290743995,0.04067224600139562,,
2021-03-31,2020-12-31,20260912,learned_order_offset,order,1,0.019384546386031345,0.059349330469859206,0.039964784083827865,,
2021-06-30,2020-12-31,20260910,learned_market,intercept,1,0.2441796569335598,0.22792583266432614,0.016253824269233663,0.2441796569335598,0.22792583266432614
2021-06-30,2020-12-31,20260910,learned_market,decoded,25,0.6494616540667225,0.7161625526981574,0.32979775931345895,,
2021-06-30,2020-12-31,20260910,learned_market,market,4,0.15676028662225575,0.11669813133440049,0.18949613234489937,,
2021-06-30,2020-12-31,20260910,learned_market,vol,0,0.0,0.0,0.0,,
2021-06-30,2020-12-31,20260910,learned_market,order,0,0.0,0.0,0.0,,
2021-06-30,2020-12-31,20260910,learned_vol_interaction,intercept,1,0.24896001932283235,0.2353590916936299,0.013600927629202453,0.24896001932283235,0.2353590916936299
2021-06-30,2020-12-31,20260910,learned_vol_interaction,decoded,25,0.6566333554645318,0.728249832857211,0.33702539405765375,,
2021-06-30,2020-12-31,20260910,learned_vol_interaction,market,4,0.16110084946241343,0.11982813709584736,0.1873831037336051,,
2021-06-30,2020-12-31,20260910,learned_vol_interaction,vol,1,0.20601816816963212,0.2569368574942577,0.05091868932462559,,
2021-06-30,2020-12-31,20260910,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2021-06-30,2020-12-31,20260910,learned_order_extension,intercept,1,0.24881667360837004,0.2352425175793669,0.013574156029003137,0.24881667360837004,0.2352425175793669
2021-06-30,2020-12-31,20260910,learned_order_extension,decoded,25,0.6570134497258157,0.7281056583347898,0.33684354892521323,,
2021-06-30,2020-12-31,20260910,learned_order_extension,market,4,0.16074045750321755,0.11982193068365438,0.1868852673076458,,
2021-06-30,2020-12-31,20260910,learned_order_extension,vol,1,0.2072216487890492,0.2571572240495771,0.04993557526052789,,
2021-06-30,2020-12-31,20260910,learned_order_extension,order,1,0.053094720785684515,0.015649602029386228,0.03744511875629829,,
2021-06-30,2020-12-31,20260910,learned_order_offset,intercept,1,0.24896001932283235,0.2353590916936299,0.013600927629202453,0.24896001932283235,0.2353590916936299
2021-06-30,2020-12-31,20260910,learned_order_offset,decoded,25,0.6566333554645318,0.728249832857211,0.33702539405765375,,
2021-06-30,2020-12-31,20260910,learned_order_offset,market,4,0.16110084946241343,0.11982813709584736,0.1873831037336051,,
2021-06-30,2020-12-31,20260910,learned_order_offset,vol,1,0.20601816816963212,0.2569368574942577,0.05091868932462559,,
2021-06-30,2020-12-31,20260910,learned_order_offset,order,1,0.05302811275205938,0.0156311346675692,0.03739697808449018,,
2021-06-30,2020-12-31,20260911,learned_market,intercept,1,0.25431711722375144,0.23029066206236978,0.02402645516138166,0.25431711722375144,0.23029066206236978
2021-06-30,2020-12-31,20260911,learned_market,decoded,25,0.932890435662049,0.8510628831707883,0.3785956618442094,,
2021-06-30,2020-12-31,20260911,learned_market,market,4,0.14795604307093205,0.18873968941994845,0.11537956318983043,,
2021-06-30,2020-12-31,20260911,learned_market,vol,0,0.0,0.0,0.0,,
2021-06-30,2020-12-31,20260911,learned_market,order,0,0.0,0.0,0.0,,
2021-06-30,2020-12-31,20260911,learned_vol_interaction,intercept,1,0.25278606547503246,0.23116217548713186,0.021623889987900602,0.25278606547503246,0.23116217548713186
2021-06-30,2020-12-31,20260911,learned_vol_interaction,decoded,25,0.9359901816201128,0.8517004603395449,0.38163821600382564,,
2021-06-30,2020-12-31,20260911,learned_vol_interaction,market,4,0.15001357396465248,0.18795073604527804,0.11801013048720682,,
2021-06-30,2020-12-31,20260911,learned_vol_interaction,vol,1,0.0914085027319914,0.03791193023363173,0.12932043296562312,,
2021-06-30,2020-12-31,20260911,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2021-06-30,2020-12-31,20260911,learned_order_extension,intercept,1,0.2542483366469297,0.2309703736360682,0.02327796301086149,0.2542483366469297,0.2309703736360682
2021-06-30,2020-12-31,20260911,learned_order_extension,decoded,25,0.93606909322087,0.8543363697507906,0.3817360624910302,,
2021-06-30,2020-12-31,20260911,learned_order_extension,market,4,0.15013012992898517,0.1886215144704703,0.12161596060647943,,
2021-06-30,2020-12-31,20260911,learned_order_extension,vol,1,0.09111907227551733,0.03986410463646497,0.1309831769119823,,
2021-06-30,2020-12-31,20260911,learned_order_extension,order,1,0.11573346269501528,0.10215813067192538,0.0135753320230899,,
2021-06-30,2020-12-31,20260911,learned_order_offset,intercept,1,0.25278606547503246,0.23116217548713186,0.021623889987900602,0.25278606547503246,0.23116217548713186
2021-06-30,2020-12-31,20260911,learned_order_offset,decoded,25,0.9359901816201128,0.8517004603395449,0.38163821600382564,,
2021-06-30,2020-12-31,20260911,learned_order_offset,market,4,0.15001357396465248,0.18795073604527804,0.11801013048720682,,
2021-06-30,2020-12-31,20260911,learned_order_offset,vol,1,0.0914085027319914,0.03791193023363173,0.12932043296562312,,
2021-06-30,2020-12-31,20260911,learned_order_offset,order,1,0.11526961063687999,0.10177221671935911,0.013497393917520875,,
2021-06-30,2020-12-31,20260912,learned_market,intercept,1,0.25854603623394196,0.24277359154804107,0.015772444685900888,0.25854603623394196,0.24277359154804107
2021-06-30,2020-12-31,20260912,learned_market,decoded,25,0.5640461822485379,0.6671721543409924,0.41160538006075537,,
2021-06-30,2020-12-31,20260912,learned_market,market,4,0.21436137078172365,0.2468719553788972,0.0743151633192544,,
2021-06-30,2020-12-31,20260912,learned_market,vol,0,0.0,0.0,0.0,,
2021-06-30,2020-12-31,20260912,learned_market,order,0,0.0,0.0,0.0,,
2021-06-30,2020-12-31,20260912,learned_vol_interaction,intercept,1,0.25898153377762045,0.24102796163883514,0.017953572138785318,0.25898153377762045,0.24102796163883514
2021-06-30,2020-12-31,20260912,learned_vol_interaction,decoded,25,0.5644360262819591,0.664554380141821,0.40833681716051917,,
2021-06-30,2020-12-31,20260912,learned_vol_interaction,market,4,0.21499250571041734,0.24534864100023784,0.07155191356609945,,
2021-06-30,2020-12-31,20260912,learned_vol_interaction,vol,1,0.02075074309395567,0.04474037462147375,0.06549111771542943,,
2021-06-30,2020-12-31,20260912,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2021-06-30,2020-12-31,20260912,learned_order_extension,intercept,1,0.2592232336798335,0.2410187479941646,0.01820448568566893,0.2592232336798335,0.2410187479941646
2021-06-30,2020-12-31,20260912,learned_order_extension,decoded,25,0.5642382785698037,0.6638241877557503,0.4077836322376367,,
2021-06-30,2020-12-31,20260912,learned_order_extension,market,4,0.21505636015431318,0.24512597644617487,0.07224602661182564,,
2021-06-30,2020-12-31,20260912,learned_order_extension,vol,1,0.020522439842365778,0.045395029417204476,0.06591746925957026,,
2021-06-30,2020-12-31,20260912,learned_order_extension,order,1,0.01947783441144696,0.0333934724787531,0.01391563806730614,,
2021-06-30,2020-12-31,20260912,learned_order_offset,intercept,1,0.25898153377762045,0.24102796163883514,0.017953572138785318,0.25898153377762045,0.24102796163883514
2021-06-30,2020-12-31,20260912,learned_order_offset,decoded,25,0.5644360262819591,0.664554380141821,0.40833681716051917,,
2021-06-30,2020-12-31,20260912,learned_order_offset,market,4,0.21499250571041734,0.24534864100023784,0.07155191356609945,,
2021-06-30,2020-12-31,20260912,learned_order_offset,vol,1,0.02075074309395567,0.04474037462147375,0.06549111771542943,,
2021-06-30,2020-12-31,20260912,learned_order_offset,order,1,0.019384546386031345,0.033229140775052,0.013844594389020654,,
2021-09-30,2020-12-31,20260910,learned_market,intercept,1,0.2441796569335598,0.21693834053755975,0.027241316396000054,0.2441796569335598,0.21693834053755975
2021-09-30,2020-12-31,20260910,learned_market,decoded,25,0.6494616540667225,0.6836087531614998,0.43590446973216657,,
2021-09-30,2020-12-31,20260910,learned_market,market,4,0.15676028662225575,0.09306250762280062,0.17502247173660368,,
2021-09-30,2020-12-31,20260910,learned_market,vol,0,0.0,0.0,0.0,,
2021-09-30,2020-12-31,20260910,learned_market,order,0,0.0,0.0,0.0,,
2021-09-30,2020-12-31,20260910,learned_vol_interaction,intercept,1,0.24896001932283235,0.22363719013676756,0.025322829186064794,0.24896001932283235,0.22363719013676756
2021-09-30,2020-12-31,20260910,learned_vol_interaction,decoded,25,0.6566333554645318,0.694087031438263,0.4426096260935051,,
2021-09-30,2020-12-31,20260910,learned_vol_interaction,market,4,0.16110084946241343,0.09657502837154341,0.17357570036994732,,
2021-09-30,2020-12-31,20260910,learned_vol_interaction,vol,1,0.20601816816963212,0.2485636615363257,0.04254549336669358,,
2021-09-30,2020-12-31,20260910,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2021-09-30,2020-12-31,20260910,learned_order_extension,intercept,1,0.24881667360837004,0.2236248947652883,0.02519177884308174,0.24881667360837004,0.2236248947652883
2021-09-30,2020-12-31,20260910,learned_order_extension,decoded,25,0.6570134497258157,0.6940596140186533,0.44278791075836005,,
2021-09-30,2020-12-31,20260910,learned_order_extension,market,4,0.16074045750321755,0.09657590486800824,0.17306344947959287,,
2021-09-30,2020-12-31,20260910,learned_order_extension,vol,1,0.2072216487890492,0.24857289067440919,0.04135124188535999,,
2021-09-30,2020-12-31,20260910,learned_order_extension,order,1,0.053094720785684515,0.0013923428184279166,0.0517023779672566,,
2021-09-30,2020-12-31,20260910,learned_order_offset,intercept,1,0.24896001932283235,0.22363719013676756,0.025322829186064794,0.24896001932283235,0.22363719013676756
2021-09-30,2020-12-31,20260910,learned_order_offset,decoded,25,0.6566333554645318,0.694087031438263,0.4426096260935051,,
2021-09-30,2020-12-31,20260910,learned_order_offset,market,4,0.16110084946241343,0.09657502837154341,0.17357570036994732,,
2021-09-30,2020-12-31,20260910,learned_order_offset,vol,1,0.20601816816963212,0.2485636615363257,0.04254549336669358,,
2021-09-30,2020-12-31,20260910,learned_order_offset,order,1,0.05302811275205938,0.001391040580727144,0.05163707217133224,,
2021-09-30,2020-12-31,20260911,learned_market,intercept,1,0.25431711722375144,0.21758480870749794,0.0367323085162535,0.25431711722375144,0.21758480870749794
2021-09-30,2020-12-31,20260911,learned_market,decoded,25,0.932890435662049,0.8721355191493786,0.5352339405579665,,
2021-09-30,2020-12-31,20260911,learned_market,market,4,0.14795604307093205,0.2141944521864573,0.16101438648291877,,
2021-09-30,2020-12-31,20260911,learned_market,vol,0,0.0,0.0,0.0,,
2021-09-30,2020-12-31,20260911,learned_market,order,0,0.0,0.0,0.0,,
2021-09-30,2020-12-31,20260911,learned_vol_interaction,intercept,1,0.25278606547503246,0.2187744111342361,0.034011654340796366,0.25278606547503246,0.2187744111342361
2021-09-30,2020-12-31,20260911,learned_vol_interaction,decoded,25,0.9359901816201128,0.8729385587735821,0.5357389025601444,,
2021-09-30,2020-12-31,20260911,learned_vol_interaction,market,4,0.15001357396465248,0.21315718728238714,0.16376793299941572,,
2021-09-30,2020-12-31,20260911,learned_vol_interaction,vol,1,0.0914085027319914,0.0502909679471347,0.1416994706791261,,
2021-09-30,2020-12-31,20260911,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2021-09-30,2020-12-31,20260911,learned_order_extension,intercept,1,0.2542483366469297,0.2184069317803834,0.0358414048665463,0.2542483366469297,0.2184069317803834
2021-09-30,2020-12-31,20260911,learned_order_extension,decoded,25,0.93606909322087,0.8738928811316741,0.53655642197113,,
2021-09-30,2020-12-31,20260911,learned_order_extension,market,4,0.15013012992898517,0.21348736569739274,0.1666228530181437,,
2021-09-30,2020-12-31,20260911,learned_order_extension,vol,1,0.09111907227551733,0.05096858870177068,0.142087660977288,,
2021-09-30,2020-12-31,20260911,learned_order_extension,order,1,0.11573346269501528,0.05872851449510819,0.057004948199907084,,
2021-09-30,2020-12-31,20260911,learned_order_offset,intercept,1,0.25278606547503246,0.2187744111342361,0.034011654340796366,0.25278606547503246,0.2187744111342361
2021-09-30,2020-12-31,20260911,learned_order_offset,decoded,25,0.9359901816201128,0.8729385587735821,0.5357389025601444,,
2021-09-30,2020-12-31,20260911,learned_order_offset,market,4,0.15001357396465248,0.21315718728238714,0.16376793299941572,,
2021-09-30,2020-12-31,20260911,learned_order_offset,vol,1,0.0914085027319914,0.0502909679471347,0.1416994706791261,,
2021-09-30,2020-12-31,20260911,learned_order_offset,order,1,0.11526961063687999,0.05862075486537955,0.05664885577150044,,
2021-09-30,2020-12-31,20260912,learned_market,intercept,1,0.25854603623394196,0.23147593516369103,0.02707010107025093,0.25854603623394196,0.23147593516369103
2021-09-30,2020-12-31,20260912,learned_market,decoded,25,0.5640461822485379,0.6228300082524542,0.48335278407997423,,
2021-09-30,2020-12-31,20260912,learned_market,market,4,0.21436137078172365,0.22561364002708537,0.07081703568283393,,
2021-09-30,2020-12-31,20260912,learned_market,vol,0,0.0,0.0,0.0,,
2021-09-30,2020-12-31,20260912,learned_market,order,0,0.0,0.0,0.0,,
2021-09-30,2020-12-31,20260912,learned_vol_interaction,intercept,1,0.25898153377762045,0.23127611760848305,0.02770541616913741,0.25898153377762045,0.23127611760848305
2021-09-30,2020-12-31,20260912,learned_vol_interaction,decoded,25,0.5644360262819591,0.622569705090248,0.4825964181378687,,
2021-09-30,2020-12-31,20260912,learned_vol_interaction,market,4,0.21499250571041734,0.2254614027397784,0.06916994039148176,,
2021-09-30,2020-12-31,20260912,learned_vol_interaction,vol,1,0.02075074309395567,0.004471213137222916,0.025221956231178587,,
2021-09-30,2020-12-31,20260912,learned_vol_interaction,order,0,0.0,0.0,0.0,,
2021-09-30,2020-12-31,20260912,learned_order_extension,intercept,1,0.2592232336798335,0.23146409100604315,0.02775914267379037,0.2592232336798335,0.23146409100604315
2021-09-30,2020-12-31,20260912,learned_order_extension,decoded,25,0.5642382785698037,0.6238586275366222,0.48335726581692967,,
2021-09-30,2020-12-31,20260912,learned_order_extension,market,4,0.21505636015431318,0.22576188681609283,0.0676353685202804,,
