period,method,case,group,n,mean_probability_contribution,mean_signed_contribution,mean_signed_coefficient,mean_signed_transform
extension_2021_2023,learned_market,stable_correct,vol,59,0.0,0.0,0.0,0.0
extension_2021_2023,learned_market,stable_correct,order,59,0.0,0.0,0.0,0.0
extension_2021_2023,learned_market,stable_wrong,intercept,73,-0.006580456367128273,0.0020549982802861703,0.0020549982802861703,0.0
extension_2021_2023,learned_market,stable_wrong,decoded,73,-0.0027288552577348648,0.010839040509442361,0.011083436507170944,-0.00024439599772858693
extension_2021_2023,learned_market,stable_wrong,market,73,0.001482588859527711,0.0011259681929744131,0.001300551332366762,-0.00017458313939234816
extension_2021_2023,learned_market,stable_wrong,vol,73,0.0,0.0,0.0,0.0
extension_2021_2023,learned_market,stable_wrong,order,73,0.0,0.0,0.0,0.0
extension_2021_2023,learned_order_extension,all,intercept,147,-0.005646639185908763,6.728627438255721e-05,6.728627438255721e-05,0.0
extension_2021_2023,learned_order_extension,all,decoded,147,0.00188412440565496,0.0014845254849376402,0.0012950643645785495,0.00018946112035909287
extension_2021_2023,learned_order_extension,all,market,147,0.0006965175321989011,-0.0032145651389055047,-0.003050751860722761,-0.00016381327818274435
extension_2021_2023,learned_order_extension,all,vol,147,0.0018833600663786764,0.0007227458037218684,0.0006661275134584964,5.661829026337211e-05
extension_2021_2023,learned_order_extension,all,order,147,-0.00314294942585167,0.0024274585966307573,0.002140684165408213,0.00028677443122254373
extension_2021_2023,learned_order_extension,regression,intercept,12,-0.009726405379633629,-0.009681759242634385,-0.009681759242634385,0.0
extension_2021_2023,learned_order_extension,regression,decoded,12,0.025987708590865393,-0.01512816508217043,-0.016283254209986223,0.0011550891278157972
extension_2021_2023,learned_order_extension,regression,market,12,-0.006121803207218543,-0.021182406030865047,-0.019333591881228556,-0.0018488141496364955
extension_2021_2023,learned_order_extension,regression,vol,12,0.0025465215221475374,-0.003274445693842725,-0.0015434160023486884,-0.001731029691494036
extension_2021_2023,learned_order_extension,regression,order,12,0.001492497543127473,-0.0039366802637531015,-0.005802191776199302,0.0018655115124462012
extension_2021_2023,learned_order_extension,recovery,intercept,9,0.001030622761300117,0.008585023779462252,0.008585023779462252,0.0
extension_2021_2023,learned_order_extension,recovery,decoded,9,-0.014854418159693504,0.03101021275780281,0.03318953586382723,-0.0021793231060244253
extension_2021_2023,learned_order_extension,recovery,market,9,0.01572925189621505,0.02791786131768169,0.025211835836446282,0.0027060254812354082
extension_2021_2023,learned_order_extension,recovery,vol,9,0.0009449716960428573,0.003893036122725404,0.002961440921385514,0.00093159520133989
extension_2021_2023,learned_order_extension,recovery,order,9,-0.011468719557165184,0.02581567745745256,0.026248307543026497,-0.0004326300855739282
extension_2021_2023,learned_order_extension,stable_correct,intercept,56,-0.004053475366898831,-0.0022226076103334645,-0.0022226076103334645,0.0
extension_2021_2023,learned_order_extension,stable_correct,decoded,56,0.003764320376368621,-0.008173633085858318,-0.008905538943551101,0.0007319058576927849
extension_2021_2023,learned_order_extension,stable_correct,market,56,-0.00033745443744485903,-0.007014856651708701,-0.006901865420676302,-0.00011299123103239885
extension_2021_2023,learned_order_extension,stable_correct,vol,56,0.0030062258443742137,0.0016858382209103283,0.0006110627872124773,0.0010747754336978513
extension_2021_2023,learned_order_extension,stable_correct,order,56,-0.001778670916442551,-0.00475553625623483,-0.005783646301017491,0.0010281100447826614
extension_2021_2023,learned_order_extension,stable_wrong,intercept,70,-0.007080286858262161,0.002475328648705174,0.002475328648705174,0.0
extension_2021_2023,learned_order_extension,stable_wrong,decoded,70,-0.0015999770442643843,0.008262782360853125,0.008368255288247113,-0.00010547292739398644
extension_2021_2023,learned_order_extension,stable_wrong,market,70,0.0007597699592976783,-0.0010968711773168074,-0.0008122782845949534,-0.00028459289272185446
extension_2021_2023,learned_order_extension,stable_wrong,vol,70,0.0009920325563221898,0.00022989594282457601,0.0007938464590030698,-0.0005639505161784935
extension_2021_2023,learned_order_extension,stable_wrong,order,70,-0.00395856412546365,0.006257793001454798,0.006742232837130572,-0.0004844398356757736
extension_2021_2023,learned_order_offset,all,intercept,147,-0.0055986041840528885,5.951685972209898e-05,5.951685972209898e-05,0.0
extension_2021_2023,learned_order_offset,all,decoded,147,0.0018451919101535711,0.001469934473177541,0.0012795837708443794,0.00019035070233316316
extension_2021_2023,learned_order_offset,all,market,147,0.0008252392836384664,-0.00325111324498339,-0.003088037541179589,-0.00016307570380379995
extension_2021_2023,learned_order_offset,all,vol,147,0.001888477718882282,0.0007158780050002533,0.0006542469377884841,6.163106721176928e-05
extension_2021_2023,learned_order_offset,all,order,147,-0.003161723226008768,0.0024255500333432893,0.0021419700473634265,0.0002835799859798632
