method,date,year,row_index,joint_completed,head_cutoff,encoder_cutoff,actual_up,actual,old_probability,new_probability,probability_change,old_up,new_up,old_correct,new_correct,case,old_margin,new_margin,brier_change,p_intercept,coef_intercept,transform_intercept,signed_intercept,p_decoded,coef_decoded,transform_decoded,signed_decoded,p_market,coef_market,transform_market,signed_market,p_vol,coef_vol,transform_vol,signed_vol,p_order,coef_order,transform_order,signed_order,signed_probability_change,dominant_adverse_group,dominant_ties
learned_market,2021-07-30,2021,2553,2021-08-09,2021-06-30,2020-12-31,1,0.019904813945049,0.5072936624303037,0.5737758045650462,0.06648214213474246,1,1,True,True,stable_correct,0.007293662430303716,0.07377580456504618,-0.0610924703071698,-0.004604174477962765,-0.004604174477962765,0.0,-0.004604174477962765,0.07471344579227766,0.0753660774730419,-0.0006526316807642231,0.07471344579227766,-0.0036271291795724916,-0.003145820707424555,-0.00048130847214793523,-0.0036271291795724916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06648214213474246,intercept,1
learned_market,2021-08-06,2021,2558,2021-08-16,2021-06-30,2020-12-31,1,0.0093369268709639,0.5095724467322627,0.5550439832089752,0.04547153647671254,1,1,True,True,stable_correct,0.009572446732262652,0.05504398320897519,-0.04253332812564459,-0.004526677621797625,-0.004526677621797625,0.0,-0.004526677621797625,0.049345504717679074,0.051706214317441546,-0.0023607095997624514,0.049345504717679074,0.0006527093808312267,0.0014529929366252443,-0.0008002835557940165,0.0006527093808312267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04547153647671254,intercept,1
learned_market,2021-08-13,2021,2563,2021-08-23,2021-06-30,2020-12-31,0,-0.032048736608373,0.6139457232358976,0.6016003212287745,-0.012345402007123085,1,1,False,False,stable_wrong,0.11394572323589758,0.10160032122877449,-0.015006404577084687,-0.004024259205936093,-0.004024259205936093,0.0,0.004024259205936093,-0.0022846027505149004,0.0004426657635048653,-0.0027272685140197366,0.0022846027505149004,-0.006036540050672134,-0.004958334599112599,-0.0010782054515595366,0.006036540050672134,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.012345402007123085,none,0
learned_market,2021-08-20,2021,2568,2021-08-30,2021-06-30,2020-12-31,1,0.0145047962107527,0.5835100895664648,0.5276268783889596,-0.055883211177505165,1,1,True,True,stable_correct,0.08351008956646477,0.027626878388959608,0.04967252052762455,-0.004523244993939737,-0.004523244993939737,0.0,-0.004523244993939737,-0.038365916298613835,-0.03470982549896345,-0.003656090799650392,-0.038365916298613835,-0.012994049884951486,-0.011161684643663851,-0.0018323652412876406,-0.012994049884951486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055883211177505165,decoded,1
learned_market,2021-08-27,2021,2573,2021-09-06,2021-06-30,2020-12-31,0,-0.0012316820816045,0.6715925244985614,0.6465261913090344,-0.025066333189527,1,1,False,False,stable_wrong,0.17159252449856144,0.14652619130903444,-0.03304040291378468,-0.0039095804523139625,-0.0039095804523139625,0.0,0.0039095804523139625,-0.0102916508651618,-0.007282481962062065,-0.0030091689030997248,0.0102916508651618,-0.010865101872051239,-0.010828442632634085,-3.665923941715098e-05,0.010865101872051239,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.025066333189527,none,0
learned_market,2021-09-03,2021,2578,2021-09-13,2021-06-30,2020-12-31,1,0.0342301066295398,0.6966987792511191,0.6192981134088412,-0.0774006658422779,1,1,True,True,stable_correct,0.19669877925111912,0.11929811340884122,0.05294229594630616,-0.003996894881975661,-0.003996894881975661,0.0,-0.003996894881975661,-0.059558837151172606,-0.06354753060250705,0.003988693451334439,-0.059558837151172606,-0.013844933809129515,-0.014074169144159222,0.00022923533502970718,-0.013844933809129515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0774006658422779,decoded,1
learned_market,2021-09-10,2021,2583,2021-09-22,2021-06-30,2020-12-31,0,-0.0471441667981554,0.6843989292101661,0.6438739501846035,-0.040524979025562624,1,1,False,False,stable_wrong,0.1843989292101661,0.14387395018460347,-0.0538282305776967,-0.003999293099385323,-0.003999293099385323,0.0,0.003999293099385323,-0.02613918459406167,-0.029941023648905506,0.0038018390548438473,0.02613918459406167,-0.010386501332115718,-0.010488326571431394,0.00010182523931567568,0.010386501332115718,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.040524979025562624,none,0
learned_market,2021-09-17,2021,2588,2021-09-28,2021-06-30,2020-12-31,1,0.0209863060789441,0.6693378717763291,0.6500793399585084,-0.019258531817820668,1,1,True,True,stable_correct,0.16933787177632909,0.15007933995850842,0.01310702528246574,-0.003936313161388663,-0.003936313161388663,0.0,-0.003936313161388663,-0.006279518266329484,-0.008662666002232736,0.002383147735903251,-0.006279518266329484,-0.009042700390102366,-0.01002114446598584,0.000978444075883473,-0.009042700390102366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019258531817820668,market,1
learned_market,2021-09-24,2021,2591,2021-10-11,2021-06-30,2020-12-31,1,0.0144615416200457,0.6100899207166376,0.5856016629506475,-0.024488257765990062,1,1,True,True,stable_correct,0.11008992071663759,0.08560166295064753,0.01969611182251077,-0.004185095744177278,-0.004185095744177278,0.0,-0.004185095744177278,-0.011075440315028376,-0.013398841166384809,0.00232340085135647,-0.011075440315028376,-0.009227721706784446,-0.010490983721106831,0.0012632620143223862,-0.009227721706784446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024488257765990062,decoded,1
learned_market,2021-10-08,2021,2596,2021-10-18,2021-09-30,2020-12-31,0,-0.0038006269617851,0.762888147896703,0.7209615175055922,-0.041926630391110775,1,1,False,False,stable_wrong,0.262888147896703,0.22096151750559223,-0.062212816477295374,-0.005434791741472254,-0.005434791741472254,0.0,0.005434791741472254,-0.027118603890661744,-0.03018342805715775,0.003064824166496012,0.027118603890661744,-0.009373234758976669,-0.011041700824508269,0.001668466065531598,0.009373234758976669,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.041926630391110775,none,0
