head_cutoff,encoder_cutoff,seed,group,parameter,dimensions,old_norm,new_norm,delta_norm,maximum_absolute_change,maximum_abs_log_ratio
2021-03-31,2020-12-31,20260912,market,mean,4,0.31883295672664425,0.41993306048880447,0.10138164926181163,0.10121112143985572,
2021-03-31,2020-12-31,20260912,market,sd,4,1.0005765385727114,0.982783573942136,0.01836926343160972,0.018067708214271616,0.1497895682044664
2021-03-31,2020-12-31,20260912,vol,ray,25,0.5640461822485379,0.6425873151876718,0.32999302627544275,0.1304766279893306,
2021-03-31,2020-12-31,20260912,vol,projection,30,1.3396915136521625,1.7200556197047636,0.8537602352715943,0.4558871767856561,
2021-03-31,2020-12-31,20260912,vol,residual_mean,1,2.286399892297352e-16,1.3348346192025004e-16,9.515652730948517e-17,9.515652730948517e-17,
2021-03-31,2020-12-31,20260912,vol,residual_sd,1,0.6084710998661973,0.5848481379352722,0.023622961930925057,0.023622961930925057,0.039597196983857594
2021-03-31,2020-12-31,20260912,order,ray,25,0.5640461822485379,0.6425873151876718,0.32999302627544275,0.1304766279893306,
2021-03-31,2020-12-31,20260912,order,projection,31,0.09317797457923405,0.10093711980950784,0.089496143551481,0.04029245699262886,
2021-03-31,2020-12-31,20260912,order,residual_mean,1,0.0,1.7968927566187505e-17,1.7968927566187505e-17,1.7968927566187505e-17,
2021-03-31,2020-12-31,20260912,order,residual_sd,1,0.0512530499144099,0.051556955038161115,0.00030390512375121775,0.00030390512375121775,0.005911992885451325
2021-06-30,2020-12-31,20260910,rep,lower,25,3.699362534258915,3.6804971787986074,0.07731576683574255,0.04395849287509912,
2021-06-30,2020-12-31,20260910,rep,upper,25,4.450433432246732,4.4461216774306,0.015156610609937811,0.012246627807617205,
2021-06-30,2020-12-31,20260910,rep,mean,25,2.511178814824568,2.4904008038684986,0.05203456520055883,0.027993744640735382,
2021-06-30,2020-12-31,20260910,rep,sd,25,2.102431151479999,2.077129961581626,0.037802866248756346,0.020645035720056493,0.11998984248843603
2021-06-30,2020-12-31,20260910,market,lower,4,1.7581780932364166,1.7105181803891967,0.05086018004735654,0.03964194739361637,
2021-06-30,2020-12-31,20260910,market,upper,4,2.8590215426351118,2.860835668656163,0.007973741797878738,0.0057047768746665214,
2021-06-30,2020-12-31,20260910,market,mean,4,0.31883295672664425,0.3977875268486084,0.07939219083642787,0.07900968190429747,
2021-06-30,2020-12-31,20260910,market,sd,4,1.0005765385727114,0.9943308020876142,0.009983930258976408,0.009594126366031241,0.1434708777953645
2021-06-30,2020-12-31,20260910,vol,ray,25,0.6494616540667225,0.7161625526981574,0.32979775931345895,0.1334654697487941,
2021-06-30,2020-12-31,20260910,vol,projection,30,1.7050950983180369,1.9123205607565295,0.7928277941750959,0.34621311653911063,
2021-06-30,2020-12-31,20260910,vol,residual_mean,1,3.136471647125855e-16,1.7969097284511626e-15,2.1105568931637482e-15,2.1105568931637482e-15,
