cutoff,year,method,seed,source,target,source_n,target_n,status,overall_delta,composition,within_state
2021-03-31,2021,learned_order_offset,-1,friday,future,11,13,target_state_absent_in_source,-0.13552991753619315,,
2021-03-31,2021,learned_order_offset,-1,daily,future,58,13,target_state_absent_in_source,-0.13854662615674762,,
2021-06-30,2021,learned_market,20260910,daily,friday,118,24,defined,-0.03609109808829862,0.010320543807285323,-0.046411641895583944
2021-06-30,2021,learned_market,20260910,friday,future,24,13,defined,0.09263957791965347,-0.041102859098556585,0.13374243701821004
2021-06-30,2021,learned_market,20260910,daily,future,118,13,defined,0.05654847983135485,0.001329740852526476,0.055218738978828376
2021-06-30,2021,learned_market,20260911,daily,friday,118,24,defined,-0.033623132814590215,0.012002567625184264,-0.04562570043977448
2021-06-30,2021,learned_market,20260911,friday,future,24,13,defined,-0.009513094572161474,-0.02803657112129699,0.018523476549135512
2021-06-30,2021,learned_market,20260911,daily,future,118,13,defined,-0.04313622738675169,0.02461904312929997,-0.06775527051605165
2021-06-30,2021,learned_market,20260912,daily,friday,118,24,defined,-0.043333526797882396,0.011194970980090953,-0.05452849777797335
2021-06-30,2021,learned_market,20260912,friday,future,24,13,defined,0.005236308322720561,-0.02209119405916815,0.027327502381888677
2021-06-30,2021,learned_market,20260912,daily,future,118,13,defined,-0.038097218475161836,0.009101135140078633,-0.04719835361524048
2021-06-30,2021,learned_market,-1,daily,friday,118,24,defined,-0.037682585900257075,0.01117269413752018,-0.048855280037777254
2021-06-30,2021,learned_market,-1,friday,future,24,13,defined,0.02945426389007085,-0.03041020809300724,0.059864471983078094
2021-06-30,2021,learned_market,-1,daily,future,118,13,defined,-0.008228322010186225,0.01168330637396835,-0.019911628384154598
2021-06-30,2021,learned_vol_interaction,20260910,daily,friday,118,24,defined,-0.0360295519350163,0.010473900456878217,-0.046503452391894504
2021-06-30,2021,learned_vol_interaction,20260910,friday,future,24,13,defined,0.08787531724080072,-0.04908290779028835,0.13695822503108906
2021-06-30,2021,learned_vol_interaction,20260910,daily,future,118,13,defined,0.05184576530578443,-0.007077127132880522,0.058922892438664935
2021-06-30,2021,learned_vol_interaction,20260911,daily,friday,118,24,defined,-0.03303256698020242,0.011900490379362898,-0.04493305735956531
2021-06-30,2021,learned_vol_interaction,20260911,friday,future,24,13,defined,-0.016136825296472028,-0.029446950946248017,0.013310125649775989
2021-06-30,2021,learned_vol_interaction,20260911,daily,future,118,13,defined,-0.049169392276674447,0.02538816738859536,-0.07455755966526979
2021-06-30,2021,learned_vol_interaction,20260912,daily,friday,118,24,defined,-0.043420688621437706,0.01118844782118971,-0.05460913644262741
2021-06-30,2021,learned_vol_interaction,20260912,friday,future,24,13,defined,0.007043414983618497,-0.02242284110397384,0.029466256087592332
