cutoff,year,method,seed,state,daily_n,friday_n,future_n,daily_residual,friday_residual,future_residual,daily_friday,daily_future,friday_future,r37_eligible,weekly_count_flag,daily_auroc,friday_auroc,future_auroc
2021-03-31,2021,learned_market,-1,nonnegative_low,12,2,3,0.27615166826519616,-0.06608700653392463,-0.03506422316866594,opposite,opposite,same,False,False,0.95,1.0,1.0
2021-03-31,2021,learned_market,-1,nonnegative_high,42,8,1,-0.13781750613219865,-0.054706680331044366,-0.420707971879259,same,same,same,True,False,0.3129973474801061,0.5333333333333333,
2021-03-31,2021,learned_vol_interaction,20260910,negative_low,0,0,2,,,-0.16553876022920733,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_vol_interaction,20260910,negative_high,4,1,7,0.4553918132800724,0.4127259833333733,-0.2273064484303182,same,opposite,opposite,False,False,,,0.6666666666666666
2021-03-31,2021,learned_vol_interaction,20260910,nonnegative_low,12,2,3,0.23551684086978794,-0.09648784879964861,0.01580194829056991,opposite,same,opposite,False,False,0.9,1.0,0.0
2021-03-31,2021,learned_vol_interaction,20260910,nonnegative_high,42,8,1,-0.14622134070052434,-0.07483954625335765,-0.4714551199386704,same,same,same,True,False,0.2917771883289125,0.26666666666666666,
2021-03-31,2021,learned_vol_interaction,20260911,negative_low,0,0,2,,,-0.14624174430769765,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_vol_interaction,20260911,negative_high,4,1,7,0.5976888034532937,0.45825408480255725,-0.13102957805872048,same,opposite,opposite,False,False,,,0.3333333333333333
2021-03-31,2021,learned_vol_interaction,20260911,nonnegative_low,12,2,3,0.2749662412556216,-0.02487581172030323,-0.03508617075636006,opposite,opposite,same,False,False,0.9,1.0,1.0
2021-03-31,2021,learned_vol_interaction,20260911,nonnegative_high,42,8,1,-0.11936801858085735,-0.018358225861034666,-0.4338741634973696,same,same,same,True,False,0.3050397877984085,0.4666666666666667,
2021-03-31,2021,learned_vol_interaction,20260912,negative_low,0,0,2,,,-0.057277309345414695,undefined,undefined,undefined,False,False,,,1.0
2021-03-31,2021,learned_vol_interaction,20260912,negative_high,4,1,7,0.4607961003728516,0.5082880921774182,-0.16778846911946826,same,opposite,opposite,False,False,,,0.4166666666666667
2021-03-31,2021,learned_vol_interaction,20260912,nonnegative_low,12,2,3,0.33121715680972247,-0.06691797760782248,-0.04140232501043054,opposite,opposite,same,False,False,0.7,1.0,0.5
2021-03-31,2021,learned_vol_interaction,20260912,nonnegative_high,42,8,1,-0.14342118761191244,-0.06962725168169503,-0.32963442443266894,same,same,same,True,False,0.46419098143236076,0.4666666666666667,
2021-03-31,2021,learned_vol_interaction,-1,negative_low,0,0,2,,,-0.12301927129410661,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_vol_interaction,-1,negative_high,4,1,7,0.5046255723687392,0.4597560534377829,-0.1753748318695023,same,opposite,opposite,False,False,,,0.4166666666666667
2021-03-31,2021,learned_vol_interaction,-1,nonnegative_low,12,2,3,0.2805667463117107,-0.06276054604259146,-0.02022884915874022,opposite,opposite,same,False,False,0.95,1.0,1.0
2021-03-31,2021,learned_vol_interaction,-1,nonnegative_high,42,8,1,-0.13633684896443135,-0.05427500793202911,-0.41165456928956967,same,same,same,True,False,0.3050397877984085,0.4,
2021-03-31,2021,learned_order_extension,20260910,negative_low,0,0,2,,,-0.17259305125526464,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_order_extension,20260910,negative_high,4,1,7,0.45548312118674034,0.41013013134618315,-0.23052947807699598,same,opposite,opposite,False,False,,,0.6666666666666666
2021-03-31,2021,learned_order_extension,20260910,nonnegative_low,12,2,3,0.2349077871354989,-0.09714524130971341,0.03698865657020748,opposite,same,opposite,False,False,0.9,1.0,0.0
2021-03-31,2021,learned_order_extension,20260910,nonnegative_high,42,8,1,-0.1450763927491185,-0.07346824617231204,-0.45708512700896387,same,same,same,True,False,0.3050397877984085,0.4,
2021-03-31,2021,learned_order_extension,20260911,negative_low,0,0,2,,,-0.15663154977441585,undefined,undefined,undefined,False,False,,,0.0
2021-03-31,2021,learned_order_extension,20260911,negative_high,4,1,7,0.5967605852036406,0.467001032984791,-0.12198532435959815,same,opposite,opposite,False,False,,,0.3333333333333333
