row_index,date,head_cutoff,encoder_cutoff,state,trend60,volatility20,range20,volume_change20,order60,market5_outside_any,market5_outside_fraction,market5_mean_squared_raw_z,outside_trend60,outside_volatility20,outside_range20,outside_volume_change20,outside_order60,decoded25_outside_any,decoded25_outside_fraction,decoded25_mean_squared_raw_z,annual_state_n,added_state_n,annual_state_up_rate,added_state_up_rate,conditional_up_rate_delta,training_support
3243,2024-06-07,2024-03-31,2023-12-31,nonnegative_low,0.1348419878379427,0.006203057313385817,0.00978843652217547,-0.13944389397184054,0.02937853107344633,0.0,0.0,0.6806093555688084,0,0,0,0,0,0.6666666666666666,0.12,2.069595479826646,317,7,0.5331230283911672,0.2857142857142857,-0.2474087426768815,False
3247,2024-06-14,2024-03-31,2023-12-31,negative_low,-0.0969947260684984,0.006299485015441057,0.009871472408911685,0.10364362885378497,-0.004519774011299434,0.0,0.0,0.580168944636175,0,0,0,0,0,0.3333333333333333,0.05333333333333334,1.0911329121023192,287,19,0.45993031358885017,0.3157894736842105,-0.14414083990463966,False
3252,2024-06-21,2024-03-31,2023-12-31,negative_low,-0.4062091054115398,0.005300740704076953,0.009420866970239227,-0.2667955944172924,-0.01807909604519774,1.0,0.2,0.8845295368869219,0,1,0,0,0,0.0,0.0,0.7257963129856185,287,19,0.45993031358885017,0.3157894736842105,-0.14414083990463966,False
3257,2024-06-28,2024-03-31,2023-12-31,negative_low,-0.2920150438160412,0.004691711623753861,0.009466950929948047,0.09934950488536742,-0.01807909604519774,1.0,0.2,0.8518085833048774,0,1,0,0,0,0.0,0.0,0.9491166248813109,287,19,0.45993031358885017,0.3157894736842105,-0.14414083990463966,False
3262,2024-07-05,2024-06-30,2023-12-31,negative_low,-0.5473683462390181,0.004299731532645755,0.00948045371137276,-0.1676496607922644,-0.02824858757062147,1.0,0.2,0.988780416129794,0,1,0,0,0,0.0,0.0,0.9135282706762778,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3267,2024-07-12,2024-06-30,2023-12-31,negative_low,-0.4106381235911069,0.005683248607015063,0.009468146454583248,-0.2704425183036747,-0.0440677966101695,1.0,0.2,0.8191322188650952,0,1,0,0,0,0.0,0.0,0.8868872173778545,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3272,2024-07-19,2024-06-30,2023-12-31,nonnegative_low,0.0458376559033851,0.005775926635388453,0.01035225076752031,0.19313144266646987,0.03389830508474576,1.0,0.2,0.7037444053092232,0,1,0,0,0,0.3333333333333333,0.04,1.0050405348085507,317,58,0.5331230283911672,0.43103448275862066,-0.10208854563254655,True
3277,2024-07-26,2024-06-30,2023-12-31,negative_low,-1.1937523706981978,0.007392937956689179,0.01096452198389226,-0.08644355326673647,0.023728813559322035,0.0,0.0,0.7296051406490321,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.835277183992242,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3282,2024-08-02,2024-06-30,2023-12-31,negative_low,-1.4899500794420242,0.009202852042156604,0.011332441972901019,4.798801171901346e-05,0.005649717514124294,0.0,0.0,0.7015532364751067,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.490449563757237,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3287,2024-08-09,2024-06-30,2023-12-31,negative_low,-1.6478357212011163,0.008487063911768499,0.012250608402299879,-0.3577735011786416,-0.006779661016949153,0.0,0.0,0.9727106244772241,0,0,0,0,0,0.0,0.0,0.3851336083587306,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3292,2024-08-16,2024-06-30,2023-12-31,negative_low,-1.6048975536182195,0.008469159145018263,0.011823021634111353,-0.31644918391240395,-0.006779661016949153,0.0,0.0,0.9251897243444553,0,0,0,0,0,0.0,0.0,0.9315879834817823,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3297,2024-08-23,2024-06-30,2023-12-31,negative_low,-1.5097190572972785,0.007315915704374081,0.010950762214405252,-0.3273308393694805,0.06101694915254237,0.0,0.0,1.1891813668351485,0,0,0,0,0,0.0,0.0,1.043683110283261,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3302,2024-08-30,2024-06-30,2023-12-31,negative_low,-1.4946202772052102,0.005730347742488005,0.010734201308925152,0.48125420210109127,0.0463276836158192,1.0,0.2,1.5006278668896553,0,1,0,0,0,0.0,0.0,0.9782391115756437,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3307,2024-09-06,2024-06-30,2023-12-31,negative_low,-1.6799274711199017,0.006627933348162898,0.009521105425945997,-0.034589337107679086,0.012429378531073447,0.0,0.0,1.2298157376743375,0,0,0,0,0,0.0,0.0,0.5812898125951879,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3312,2024-09-13,2024-06-30,2023-12-31,negative_low,-1.833274496873196,0.006264422900412441,0.009792980845080379,-0.08858534969848364,0.012429378531073447,0.0,0.0,1.368079099637868,0,0,0,0,0,0.0,0.0,0.5626919312831508,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3315,2024-09-20,2024-06-30,2023-12-31,negative_low,-1.5074810177516496,0.0066471504507749565,0.010321803029813115,0.27192090049315354,0.07344632768361581,0.0,0.0,1.3003000950468415,0,0,0,0,0,0.0,0.0,0.765974813444882,287,27,0.45993031358885017,0.25925925925925924,-0.20067105432959093,True
3320,2024-09-27,2024-06-30,2023-12-31,nonnegative_high,0.7200771894938413,0.01702708298193635,0.015629860205585544,1.0522364497972774,0.1649717514124294,1.0,0.4,2.918909648606718,0,0,0,1,1,0.0,0.0,0.7560175252376139,282,8,0.475177304964539,0.875,0.399822695035461,False
3325,2024-10-11,2024-09-30,2023-12-31,nonnegative_high,0.8024273215055125,0.03208505309899299,0.027200333517624832,0.9611165799032015,0.16949152542372883,1.0,0.6,9.678914448900366,0,1,1,0,1,0.3333333333333333,0.013333333333333334,0.7060820790566426,282,8,0.475177304964539,0.875,0.399822695035461,False
3330,2024-10-18,2024-09-30,2023-12-31,nonnegative_high,0.6974117410590871,0.03338977550084557,0.032701193081995594,1.116383407801461,0.0576271186440678,1.0,0.6,12.4224183977155,0,1,1,1,0,0.0,0.0,0.7742784304837583,282,8,0.475177304964539,0.875,0.399822695035461,False
3335,2024-10-25,2024-09-30,2023-12-31,nonnegative_high,0.9017216031529465,0.033425176466420514,0.03371981331011557,0.5791833601956391,0.0327683615819209,1.0,0.4,11.567184221928361,0,1,1,0,0,0.3333333333333333,0.04,0.9933395648174607,282,8,0.475177304964539,0.875,0.399822695035461,False
3340,2024-11-01,2024-09-30,2023-12-31,nonnegative_high,0.7583084231516826,0.030824804922095564,0.030236179315160074,0.1484870979758668,0.06666666666666667,1.0,0.4,8.267283912064565,0,1,1,0,0,0.6666666666666666,0.04,1.0257894735381292,282,8,0.475177304964539,0.875,0.399822695035461,False
3345,2024-11-08,2024-09-30,2023-12-31,nonnegative_high,1.2485656492606623,0.015188950238326152,0.02242605278815555,0.19270953585819228,-0.0384180790960452,0.0,0.0,1.4102865151946524,0,0,0,0,0,0.3333333333333333,0.013333333333333334,1.080437164036319,282,8,0.475177304964539,0.875,0.399822695035461,False
3350,2024-11-15,2024-09-30,2023-12-31,nonnegative_high,1.0861584888650382,0.012370923539925542,0.019679163619423522,-0.2350673708949671,-0.0384180790960452,0.0,0.0,0.7125988211410341,0,0,0,0,0,0.0,0.0,0.7941936764258796,282,8,0.475177304964539,0.875,0.399822695035461,False
3355,2024-11-22,2024-09-30,2023-12-31,nonnegative_high,0.889832248076447,0.01391633899238577,0.02051817481988305,0.02618967843875808,-0.07231638418079095,0.0,0.0,0.7584450827897741,0,0,0,0,0,0.6666666666666666,0.08,1.4303097748997817,282,8,0.475177304964539,0.875,0.399822695035461,False
3360,2024-11-29,2024-09-30,2023-12-31,nonnegative_high,1.0234906218044995,0.01456326326014304,0.02116880167664359,-0.49544158808254224,-0.11186440677966102,0.0,0.0,1.4106200339678474,0,0,0,0,0,0.0,0.0,1.0343460157953086,282,8,0.475177304964539,0.875,0.399822695035461,False
3365,2024-12-06,2024-09-30,2023-12-31,nonnegative_high,1.176746094503453,0.011466551317807142,0.017520975505315305,-0.5483928611920668,-0.01807909604519774,0.0,0.0,0.8848956065650825,0,0,0,0,0,0.0,0.0,0.8053384308943837,282,8,0.475177304964539,0.875,0.399822695035461,False
3370,2024-12-13,2024-09-30,2023-12-31,nonnegative_high,1.2286495881525403,0.01137326504155842,0.016046096893876084,-0.07139103117433265,-0.08587570621468926,0.0,0.0,0.3819703000298039,0,0,0,0,0,0.0,0.0,0.9020440865268089,282,8,0.475177304964539,0.875,0.399822695035461,False
3375,2024-12-20,2024-09-30,2023-12-31,nonnegative_low,1.1931048246693237,0.008940429246430485,0.013671391570652336,-0.33326273048292876,-0.11977401129943503,0.0,0.0,0.6208053629846889,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.8345639673208347,317,60,0.5331230283911672,0.4166666666666667,-0.11645636172450052,True
3380,2024-12-27,2024-09-30,2023-12-31,nonnegative_low,0.46108854224682505,0.007855259905235565,0.011619980152364739,-0.10312710614008225,-0.17966101694915254,0.0,0.0,0.5935004021146314,0,0,0,0,0,0.3333333333333333,0.04,0.8731090795716588,317,60,0.5331230283911672,0.4166666666666667,-0.11645636172450052,True
3384,2025-01-03,2024-12-31,2024-12-31,negative_high,-0.5604876777729013,0.010892448700430423,0.013507262317163083,0.23562614913999624,-0.1367231638418079,0.0,0.0,0.31059629506657255,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.76977153738571,319,0,0.542319749216301,,,False
3389,2025-01-10,2024-12-31,2024-12-31,negative_high,-0.15907044421747185,0.010122822244830455,0.013062593747486062,-0.27813395534002794,-0.10282485875706215,0.0,0.0,0.23712867781565755,0,0,0,0,0,0.0,0.0,0.6960469896944055,319,0,0.542319749216301,,,False
3394,2025-01-17,2024-12-31,2024-12-31,negative_high,-0.3372476778411431,0.010911239851022946,0.0139152124877576,-0.2407016284112693,-0.13559322033898305,0.0,0.0,0.2830031189434171,0,0,0,0,0,0.0,0.0,0.4697640306959308,319,0,0.542319749216301,,,False
3399,2025-01-24,2024-12-31,2024-12-31,negative_high,-0.16937398665987244,0.010835338191659839,0.014514082336285839,0.03794225787997263,-0.10282485875706215,0.0,0.0,0.0800516248906548,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.6533537252203482,319,0,0.542319749216301,,,False
