job,method,cutoff,seed,reused,train_n,iterations,objective,gradient_inf,hessian_min_eigenvalue,log_loss,brier,accuracy,auroc,mean_probability,probability_std,constant_log_loss,constant_brier,constant_accuracy
raw_2015-12-31_-1,raw25_probe,2015-12-31,-1,False,1190,4,0.6662583792364667,1.0776969594505914e-15,0.010475694163791013,0.6632957648943438,0.23545237574648292,0.5890756302521009,0.6349725571948736,0.5033613445378148,0.1080260566769457,0.693124583115526,0.24998870136289814,0.5033613445378151
raw_2016-12-31_-1,raw25_probe,2016-12-31,-1,False,1434,4,0.6710622448982021,3.8163916471489756e-17,0.011170599019193806,0.6679741183240491,0.23766346754604664,0.5906555090655509,0.6274706268032973,0.50697350069735,0.09612756797596334,0.6930499179826164,0.24995137028802408,0.50697350069735
raw_2017-12-31_-1,raw25_probe,2017-12-31,-1,False,1678,3,0.6789841371093205,1.6737170026662196e-10,0.010889496636644836,0.6765826373867906,0.2418616036308939,0.5643623361144219,0.6004880721151452,0.5202622168784506,0.07332182623565815,0.6923258407995493,0.2495894425652879,0.5202622169249106
raw_2018-12-31_-1,raw25_probe,2018-12-31,-1,False,1921,3,0.6786078187215656,5.969421875209879e-10,0.010949409896416675,0.6761327621495967,0.24161721060363703,0.5752212389380531,0.6049996854998059,0.5111920872967599,0.07610949030007208,0.6928966339915423,0.2498747371784119,0.5111920874544508
raw_2019-12-31_-1,raw25_probe,2019-12-31,-1,False,2165,3,0.6816668826737182,2.3450627659356293e-10,0.011034488013341575,0.6795593047633195,0.2432937501694017,0.5741339491916859,0.59540937242443,0.5214780599910293,0.06440297510588854,0.6922242824846752,0.24953869293665232,0.5214780600461894
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,True,1678,4,0.6526771369156245,4.5194663983449956e-13,0.010753903026163568,0.6504952749080873,0.22984823853004724,0.597735399284863,0.6558067063669932,0.5202622169250343,0.13401133613242283,0.6923258407995493,0.2495894425652879,0.5202622169249106
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,True,1678,4,0.6530483737224275,9.236420395570432e-17,0.010275020303170982,0.6506077436223562,0.2294833579429711,0.6215733015494637,0.6632458930083314,0.5202622169249106,0.13360208985776859,0.6923258407995493,0.2495894425652879,0.5202622169249106
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,True,1678,4,0.6443906281330936,7.739306157744652e-15,0.010062944924974056,0.6418990270937903,0.22545322937005538,0.6269368295589988,0.6785625351290973,0.5202622169249068,0.1477752536854124,0.6923258407995493,0.2495894425652879,0.5202622169249106
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,True,1921,4,0.6326169794077264,2.0173272774481887e-13,0.010084196646909543,0.6308492209325068,0.220899486470312,0.6304008328995315,0.6925587085103753,0.5111920874544432,0.16688718516871512,0.6928966339915423,0.2498747371784119,0.5111920874544508
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,True,1921,4,0.6480139923063678,7.489668607529865e-16,0.010066037615540094,0.6468869502126775,0.22786346712838973,0.6179073399271213,0.6685070350439974,0.5111920874544505,0.14533925257221444,0.6928966339915423,0.2498747371784119,0.5111920874544508
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,True,1921,4,0.6505415372753223,8.053453737222327e-16,0.010198320316453938,0.6482299985358626,0.22833687195470018,0.6241540864133264,0.66931172174758,0.5111920874544505,0.1390630389647335,0.6928966339915423,0.2498747371784119,0.5111920874544508
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,True,2165,4,0.6522226668790686,3.176712365382528e-16,0.010130214379298935,0.650733474474716,0.22962717493430454,0.6143187066974596,0.6616902236919951,0.5214780600461891,0.13641618782020865,0.6922242824846752,0.24953869293665232,0.5214780600461894
learned_2019-12-31_20260911,learned_probe,2019-12-31,20260911,True,2165,4,0.6404744074598938,3.190904571820363e-14,0.010068870556927116,0.6390281308648902,0.22399953895724536,0.6355658198614319,0.6849537124116398,0.5214780600461728,0.15526714555454738,0.6922242824846752,0.24953869293665232,0.5214780600461894
learned_2019-12-31_20260912,learned_probe,2019-12-31,20260912,True,2165,4,0.6582563662881753,8.52291327790855e-16,0.010060219994059936,0.6569810513010389,0.2325815872852238,0.6166281755196305,0.6499362199096477,0.5214780600461889,0.12556374152442773,0.6922242824846752,0.24953869293665232,0.5214780600461894
