cutoff,row_index,date,year,joint_completed,actual_return,actual_up,training_frequency,method,seed,score,probability,logit,direction_up
2018-12-31,1959,2019-02-22,2019,2019-03-04,0.057941468462044,1,0.5111920874544508,learned_probe,20260911,0.6349448858430535,0.6349448858430535,0.5534898613041798,True
2018-12-31,1964,2019-03-01,2019,2019-03-11,-0.0314720436474369,0,0.5111920874544508,learned_probe,20260911,0.3998002173300358,0.3998002173300358,-0.4062976052471333,False
2018-12-31,1969,2019-03-08,2019,2019-03-18,0.0244706575909257,1,0.5111920874544508,learned_probe,20260911,0.4592607698338213,0.4592607698338213,-0.1633189734222189,False
2018-12-31,1974,2019-03-15,2019,2019-03-25,0.0060741040696496,1,0.5111920874544508,learned_probe,20260911,0.5732164445924509,0.5732164445924509,0.2949863959307104,True
2018-12-31,1979,2019-03-22,2019,2019-04-01,0.0330284606666595,1,0.5111920874544508,learned_probe,20260911,0.586838406891456,0.586838406891456,0.3509107125010502,True
2018-12-31,1984,2019-03-29,2019,2019-04-15,0.0398136969165658,1,0.5111920874544508,learned_probe,20260911,0.5278806138892472,0.5278806138892472,0.1116382578034932,True
2018-12-31,1993,2019-04-12,2019,2019-04-22,0.0171281082906651,1,0.5111920874544508,learned_probe,20260911,0.5124968993387534,0.5124968993387534,0.0499980101750991,True
2018-12-31,1998,2019-04-19,2019,2019-04-29,-0.0555966233394814,0,0.5111920874544508,learned_probe,20260911,0.5148163478785279,0.5148163478785279,0.0592827475732795,True
2018-12-31,2003,2019-04-26,2019,2019-05-13,-0.0566702082338871,0,0.5111920874544508,learned_probe,20260911,0.4504464512747804,0.4504464512747804,-0.1988670141165995,False
2018-12-31,2010,2019-05-10,2019,2019-05-20,-0.010887544344571,0,0.5111920874544508,learned_probe,20260911,0.5784585755232442,0.5784585755232442,0.316448886044418,True
2018-12-31,2015,2019-05-17,2019,2019-05-27,-0.011865534939242,0,0.5111920874544508,learned_probe,20260911,0.6439722536507747,0.6439722536507747,0.5926469737848401,True
2018-12-31,2020,2019-05-24,2019,2019-06-03,0.013363580693648,1,0.5111920874544508,learned_probe,20260911,0.6809598499201261,0.6809598499201261,0.758186389694393,True
2018-12-31,2025,2019-05-31,2019,2019-06-17,0.0037988139350273,1,0.5111920874544508,learned_probe,20260911,0.6176577087547412,0.6176577087547412,0.4796181769131701,True
2018-12-31,2034,2019-06-14,2019,2019-06-24,0.0497668589441884,1,0.5111920874544508,learned_probe,20260911,0.4949556783769542,0.4949556783769542,-0.0201779710869238,False
2018-12-31,2039,2019-06-21,2019,2019-07-01,0.0164272438880068,1,0.5111920874544508,learned_probe,20260911,0.3782735216408043,0.3782735216408043,-0.4968827144495199,False
2018-12-31,2044,2019-06-28,2019,2019-07-08,-0.0060471927228523,0,0.5111920874544508,learned_probe,20260911,0.3573067246524363,0.3573067246524363,-0.587073003596442,False
2018-12-31,2049,2019-07-05,2019,2019-07-15,-0.0214435915629233,0,0.5111920874544508,learned_probe,20260911,0.5257978086162532,0.5257978086162532,0.1032829497304117,True
2018-12-31,2054,2019-07-12,2019,2019-07-22,0.005500126560918,1,0.5111920874544508,learned_probe,20260911,0.314779528816889,0.314779528816889,-0.77786815696204,False
2018-12-31,2059,2019-07-19,2019,2019-07-29,0.011653336829684,1,0.5111920874544508,learned_probe,20260911,0.5027937641653923,0.5027937641653923,0.0111751729605989,True
2018-12-31,2064,2019-07-26,2019,2019-08-05,-0.0346117357968243,0,0.5111920874544508,learned_probe,20260911,0.6250418693828369,0.6250418693828369,0.5110042704558109,True
2018-12-31,2069,2019-08-02,2019,2019-08-12,-0.0205509060495487,0,0.5111920874544508,learned_probe,20260911,0.613698539479241,0.613698539479241,0.4628857790719325,True
2018-12-31,2074,2019-08-09,2019,2019-08-19,0.024167527899843,1,0.5111920874544508,learned_probe,20260911,0.3944811015446869,0.3944811015446869,-0.4285145395190581,False
2018-12-31,2079,2019-08-16,2019,2019-08-26,0.0054416051262971,1,0.5111920874544508,learned_probe,20260911,0.3225818738947469,0.3225818738947469,-0.7419317218166446,False
2018-12-31,2084,2019-08-23,2019,2019-09-02,0.0125999637947373,1,0.5111920874544508,learned_probe,20260911,0.1911475490196685,0.1911475490196685,-1.4425708782025783,False
2018-12-31,2089,2019-08-30,2019,2019-09-09,0.0466047443403643,1,0.5111920874544508,learned_probe,20260911,0.5312542338009776,0.5312542338009776,0.1251801445795142,True
2018-12-31,2094,2019-09-06,2019,2019-09-23,-0.0140091837144809,0,0.5111920874544508,learned_probe,20260911,0.266984500107935,0.266984500107935,-1.0099762428063146,False
2018-12-31,2103,2019-09-20,2019,2019-09-30,-0.021176044981262,0,0.5111920874544508,learned_probe,20260911,0.3963529585043506,0.3963529585043506,-0.4206845351117875,False
2018-12-31,2108,2019-09-27,2019,2019-10-14,0.0267538071924768,1,0.5111920874544508,learned_probe,20260911,0.1724319506072258,0.1724319506072258,-1.5684886693792583,False
2018-12-31,2113,2019-10-11,2019,2019-10-21,-0.0201578763251421,0,0.5111920874544508,learned_probe,20260911,0.3915649897733808,0.3915649897733808,-0.4407385998511998,False
2018-12-31,2118,2019-10-18,2019,2019-10-28,0.0102552427470803,1,0.5111920874544508,learned_probe,20260911,0.4350209666104639,0.4350209666104639,-0.261394392381155,False
2018-12-31,2123,2019-10-25,2019,2019-11-04,0.0151165947072713,1,0.5111920874544508,learned_probe,20260911,0.3850397197448926,0.3850397197448926,-0.4682111836349084,False
2018-12-31,2128,2019-11-01,2019,2019-11-11,-0.0038824321835717,0,0.5111920874544508,learned_probe,20260911,0.6688315437961662,0.6688315437961662,0.7029050483803183,True
2018-12-31,2133,2019-11-08,2019,2019-11-18,-0.0187863101539271,0,0.5111920874544508,learned_probe,20260911,0.3574777160476389,0.3574777160476389,-0.5863284719048433,False
2018-12-31,2138,2019-11-15,2019,2019-11-25,-0.0060576496216228,0,0.5111920874544508,learned_probe,20260911,0.4439133592595514,0.4439133592595514,-0.2252947041926782,False
2018-12-31,2143,2019-11-22,2019,2019-12-02,-0.0040145729517496,0,0.5111920874544508,learned_probe,20260911,0.4440708159499822,0.4440708159499822,-0.2246568742251945,False
2018-12-31,2148,2019-11-29,2019,2019-12-09,0.0192986069649145,1,0.5111920874544508,learned_probe,20260911,0.5544286477826383,0.5544286477826383,0.218580723839922,True
2018-12-31,2153,2019-12-06,2019,2019-12-16,0.0156489398981463,1,0.5111920874544508,learned_probe,20260911,0.4865665350846079,0.4865665350846079,-0.0537467942023058,False
