job,method,cutoff,seed,feature,feature_name,coefficient,validation_standardized_mean,validation_standardized_sd,mean_logit_contribution,outside_training_range_fraction
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,19,decoded_19,0.14330222244893792,-0.4568547747719602,0.8193012707364496,-0.06546830456123086,0.0
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,20,decoded_20,0.23209320002441752,-0.40387671952517934,0.218024296819082,-0.09373704024996302,0.0
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,21,decoded_21,-0.0060830909116608,0.16996938880585324,0.9570224159246675,-0.0010339392443054272,0.04081632653061224
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,22,decoded_22,-0.047805880186422164,-0.005453002173310237,1.290114931563594,0.0002606855685535693,0.0
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,23,decoded_23,0.06413550357035602,-0.5957192800424408,0.8037306970681011,-0.03820675601209188,0.0
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,24,decoded_24,0.04830797836392277,-0.4503157944786508,0.7608450439565937,-0.021753845656607353,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,0,decoded_0,-0.10777097525432483,0.043957133474087404,0.9178654746228014,-0.004737303143886934,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,1,decoded_1,0.1998718019135608,-0.23596045201581267,0.9616981696331157,-0.04716184072473877,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,2,decoded_2,-0.16348501782197833,-0.3642082345557819,0.6665169887770785,0.059542589717263235,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,3,decoded_3,-0.12885110152583565,-0.15386661976223664,0.8443138880570449,0.019825883444421096,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,4,decoded_4,0.1842051195885757,-0.23360200829358896,0.7881407949419894,-0.04303068587385201,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,5,decoded_5,0.021772450253312117,0.16226052508104566,0.8786022094333569,0.003532809210403372,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,6,decoded_6,-0.15816110104164094,-0.2629494497495963,0.9469158609575541,0.04158837449068979,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,7,decoded_7,0.1769778944841284,-0.3057595416037467,0.7436868520354946,-0.05411267989146336,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,8,decoded_8,-0.14951028181709453,-0.27420655408697714,0.9323329291928933,0.040996699177638325,0.02040816326530612
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,9,decoded_9,-0.11729958044754506,-0.22124528575498995,0.968687631164103,0.02595197919505755,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,10,decoded_10,0.059452882293279274,0.11695697983129948,0.8867364384186753,0.006953429555287682,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,11,decoded_11,0.0066161890228518825,-0.253635633926545,0.956148176189057,-0.0016781012969888853,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,12,decoded_12,-0.22885420302704088,-0.36273408187362105,0.654080029008908,0.08301321921793292,0.0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,13,decoded_13,-0.02588173088827497,-0.13704389106996742,0.8479165236239476,0.0035469331085549644,0.0
