role,history,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,reassigned_mse,reassignment_mse_increase
combined10,drop_middle,2018,0.0009827664641385294,0.03134910627336176,0.42857142857142855,0.09969139941846342,0.0009605976859183416,49,0.5,1.0,-0.0010889177965334174,0.0009605976859183416,0.0,0.000978571430928114,-4.195033210415344e-06
combined10,drop_middle,2019,0.0007323836140553886,0.02706258698009835,0.34782608695652173,-0.12623020965165105,0.000456914335172187,46,0.5,0.0,-0.00575554233498865,0.000456914335172187,0.0,0.0007304133998679315,-1.9702141874571684e-06
combined10,drop_middle,2020,0.0011342507387655124,0.03367863920596425,0.6086956521739131,0.288242615307492,0.00014443341871358558,46,0.5198412698412699,0.9130434782608695,-0.0001592262888485685,0.00014443341871358558,0.0,0.0011361892508266324,1.9385120611200082e-06
candidate20,drop_middle,2018,0.0009249974307925946,0.03041377041395221,0.5918367346938775,0.22410044588417238,0.004572533951576136,49,0.6071428571428572,0.5918367346938775,0.05775714704668222,0.004572533951576136,0.0,0.0009134013824797172,-1.1596048312877464e-05
candidate20,drop_middle,2019,0.0007340154668930204,0.027092719813503783,0.45652173913043476,0.16016937752027469,0.005657384135662296,46,0.5104166666666666,0.32608695652173914,-0.007996505956000544,0.005657384135662296,1.1102230246251565e-16,0.0007466943473928625,1.2678880499842108e-05
candidate20,drop_middle,2020,0.0010630109947980392,0.03260384938620038,0.6086956521739131,0.2842036237694471,0.006458601479210382,46,0.6190476190476191,0.4782608695652174,0.0626585306429841,0.006458601479210382,0.0,0.001194453898439187,0.00013144290364114786
combined10,drop_recent,2018,0.000967699402574311,0.03110786721352512,0.42857142857142855,0.05389229857132497,3.430179859291549e-05,49,0.5,1.0,0.0008493823548811896,3.430179859291549e-05,0.0,0.0009677101592346877,1.075666037665679e-08
combined10,drop_recent,2019,0.000695186465906982,0.02636638894325467,0.6521739130434783,0.018075610731902864,0.001422978905446552,46,0.5,1.0,0.002205528982300753,0.001422978905446552,0.0,0.0006896999170933046,-5.486548813677414e-06
combined10,drop_recent,2020,0.0011242565860655604,0.03352993567046558,0.6086956521739131,-0.12761977835337174,0.00023222787044026639,46,0.5,1.0,-0.0014869158663342041,0.00023222787044026639,0.0,0.0011243256007991732,6.901473361287797e-08
candidate20,drop_recent,2018,0.000967128019535728,0.03109868195817514,0.5714285714285714,-0.01832540694645451,0.004863943691368095,49,0.5535714285714286,0.3673469387755102,0.0014393359235136405,0.004863943691368095,0.0,0.0008826659479965077,-8.446207153922029e-05
candidate20,drop_recent,2019,0.0006811707560164225,0.02609924818872035,0.6521739130434783,0.2913991223683803,0.007043448906897482,46,0.6895833333333333,0.43478260869565216,0.022322143044893328,0.007043448906897482,0.0,0.0007051861560234809,2.401540000705846e-05
candidate20,drop_recent,2020,0.0012542662831645825,0.035415622021426965,0.43478260869565216,-0.14893848822738442,0.007223586589285586,46,0.4265873015873016,0.5217391304347826,-0.11729945563189914,0.007223586589285586,0.0,0.0012421935855847787,-1.2072697579803724e-05
