role,history,seed,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,reassigned_mse,reassignment_mse_increase
baseline20,drop_middle,20260910,0.001209261348414925,0.03477443527097061,0.5319148936170213,0.013017993619790525,0.017090438364556385,141,0.5302164148632095,0.5177304964539007,-0.27464562829135764,0.01701214018652444,0.009141815865579273,0.00103331969218666,-0.00017594165622826508
baseline10,drop_middle,20260911,0.0009678161211507781,0.03110974318683422,0.5815602836879432,0.1218229879915564,0.010833570553475856,141,0.5762556145365455,0.5531914893617021,-0.020145553673525995,0.010828673285980585,0.0009038867799094907,0.0011010842837850833,0.0001332681626343052
baseline20,drop_middle,20260911,0.0011742647755102443,0.03426754697246718,0.5035460992907801,0.0608951482584995,0.017549364834991747,141,0.49795835034708047,0.5460992907801419,-0.23775680461680415,0.017080680187428237,0.052700044107891864,0.0013708746330962885,0.0001966098575860442
baseline10,drop_middle,20260912,0.0010290037653579885,0.032078088555242634,0.5319148936170213,-0.030754261931211915,0.009016778987775467,141,0.5250102082482646,0.5602836879432624,-0.08464158945305278,0.008674530687577803,0.07447292902941083,0.0010568647424222656,2.7860977064277136e-05
baseline20,drop_middle,20260912,0.0012149304832706196,0.03485585292702819,0.6099290780141844,0.024525229534247985,0.017612172034090986,141,0.6102490812576562,0.5106382978723404,-0.28062129101263555,0.0167756878525937,0.0927335836398413,0.0011975362060582207,-1.7394277212398872e-05
baseline10,drop_recent,20260910,0.0010521920196348445,0.032437509454870984,0.5035460992907801,-0.01960532992382633,0.009014725355094554,141,0.5309309922417313,0.2765957446808511,-0.13125241519262731,0.008709625967821698,0.06654366020862257,0.0010765677699992432,2.4375750364398745e-05
baseline20,drop_recent,20260910,0.0013019541067014443,0.03608260116318451,0.5035460992907801,0.1228950041710325,0.022767204660772464,141,0.5118415679869335,0.4326241134751773,-0.3997813138585733,0.02257788052924689,0.01656215223775659,0.001367088531204832,6.513442450338785e-05
baseline10,drop_recent,20260911,0.000999778283777625,0.0316192707660633,0.5815602836879432,0.09146280999081711,0.01153862726435352,141,0.5779910167415272,0.5390070921985816,-0.0749003766185985,0.01119193440902077,0.059189786056850435,0.0010894995672098048,8.972128343217971e-05
baseline20,drop_recent,20260911,0.0011351378811482033,0.0336918073297976,0.5602836879432624,0.11605958192154098,0.018267775670304572,141,0.5590036749693752,0.5177304964539007,-0.22043072525031437,0.017967098398594252,0.03264795758853145,0.0013553182202442466,0.0002201803390960433
baseline10,drop_recent,20260912,0.001005674422255191,0.03171237017719097,0.5177304964539007,-0.15001974926250095,0.00500402127269092,141,0.4776439363005308,0.8297872340425532,-0.08123954358488228,0.004695911260957016,0.11935379420806991,0.001027447900523349,2.1773478268158038e-05
baseline20,drop_recent,20260912,0.0011389002258673647,0.0337475958531473,0.5390070921985816,0.04441188149840204,0.015700558921085555,141,0.5348101265822784,0.5390070921985816,-0.22447576785747625,0.01567129035164965,0.0037248723098070036,0.0011383874104022988,-5.128154650659543e-07
combined10,drop_early,20260910,0.000935655939293158,0.030588493576721918,0.5602836879432624,-0.17458681407326096,0.0004649436172205464,141,0.5,1.0,0.0011463615043600939,0.00018662989282122988,0.8388754070576158,0.0009356022567180687,-5.368257508929931e-08
candidate20,drop_early,20260910,0.0010214089715549267,0.03195948953839731,0.49645390070921985,0.01276769727131829,0.009932348328875913,141,0.4916292364230298,0.5390070921985816,-0.09039875106277617,0.009581502059732764,0.06939943739986021,0.0009737557339991494,-4.765323755577728e-05
combined10,drop_early,20260911,0.0009459774626666888,0.030756746620322,0.5602836879432624,-0.1749939985892235,0.001250887950446915,141,0.5,1.0,-0.009872316135048242,0.0006702863462378354,0.7128664584516163,0.0009465823744815226,6.049118148337843e-07
candidate20,drop_early,20260911,0.0010646136777873085,0.03262841825444973,0.4326241134751773,-0.1202555891303608,0.008415772462638535,141,0.41731318905675785,0.6170212765957447,-0.13652166463392423,0.007790304754191718,0.14311818728641523,0.0010394105416705755,-2.520313611673302e-05
combined10,drop_early,20260912,0.0009375398235637964,0.03061927209395737,0.5602836879432624,-0.14872825402153125,0.0007212395371594005,141,0.5,1.0,-0.0008647673510324694,0.00017593737267927026,0.9404944940079829,0.0009374840795584466,-5.5744005349840295e-08
candidate20,drop_early,20260912,0.0009965021798314262,0.031567422761946,0.5390070921985816,-0.03668334708712032,0.006739679417580423,141,0.5226623111474071,0.6382978723404256,-0.06380966153584389,0.006029610536810024,0.199612967079292,0.0010065307013356474,1.0028521504221134e-05
combined10,drop_middle,20260910,0.0009489484496902507,0.030805006893202452,0.46099290780141844,-0.17238036959302808,0.0014394692818084657,141,0.4391588403429971,0.6737588652482269,-0.0002577147256239698,6.153454535698202e-05,0.9981726018142612,0.000949227730025461,2.7928033521028815e-07
candidate20,drop_middle,20260910,0.0009426334267242486,0.03070233585127113,0.5177304964539007,0.10234629681821697,0.007185264453749506,141,0.514087382605145,0.5319148936170213,0.006398759019050959,0.007123826089722971,0.017028098771849964,0.0009818347394662422,3.9201312741993536e-05
combined10,drop_middle,20260911,0.0009549708605162357,0.030902602811352892,0.475177304964539,-0.10028787358156938,0.0026989297394811127,141,0.48305430788076764,0.4326241134751773,-0.006605754908317607,0.001829159306564172,0.5406751896314672,0.0009497975590962855,-5.173301419950224e-06
candidate20,drop_middle,20260911,0.0009461357954654702,0.030759320464949648,0.5319148936170213,0.12140738451731281,0.00896124123433224,141,0.5302164148632095,0.5177304964539007,0.002707018593778865,0.008674111214786496,0.0630559984701643,0.0009817327172100565,3.55969217445863e-05
combined10,drop_middle,20260912,0.0009504178607557217,0.030828847866174333,0.46099290780141844,-0.17276918164417923,0.0015646064945096121,141,0.4391588403429971,0.6737588652482269,-0.001806576262644688,7.875420161849857e-05,0.997466404908144,0.0009509073089655287,4.894482098069444e-07
candidate20,drop_middle,20260912,0.0009317674004256263,0.030524865281039756,0.524822695035461,0.14322728576732285,0.008079081559857558,141,0.5342997141690486,0.425531914893617,0.017852307035443493,0.007914648143293894,0.040291723761266995,0.0009859350319636106,5.416763153798438e-05
combined10,drop_recent,20260910,0.0009281220805789843,0.03046509610322909,0.5177304964539007,0.05692635321997475,0.0024973203071678982,141,0.4741731318905676,0.8581560283687943,0.002139984284469043,0.002399566415821118,0.07675481249656624,0.0009229294221527885,-5.192658426195836e-06
candidate20,drop_recent,20260910,0.0009966296930888137,0.03156944239432831,0.5390070921985816,0.03567613817105969,0.00906322774141822,141,0.5452225398121683,0.45390070921985815,-0.07151520475385942,0.008731495619053715,0.07186426395455503,0.0009739523093184199,-2.2677383770393854e-05
combined10,drop_recent,20260911,0.0009335075015437696,0.03055335499652648,0.5602836879432624,-0.13137770412108332,0.00036421656482553026,141,0.5,1.0,-0.003650090492335112,0.000341798455004369,0.11931458770403902,0.0009332756746392709,-2.3182690449870952e-07
