job,method,cutoff,seed,split,n,offset_gamma,joint_gamma,gamma_difference,frozen_original_interaction_coefficient,parent_coefficient_l2_drift,parent_intercept_drift,order_logit_sd,parent_constraint_rms,order_coefficient_change_rms,total_logit_difference_rms,rms_probability_change_vs_parent,rms_probability_change_vs_joint
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,training,1434,-0.018876096548087678,-0.018949158806688612,7.306225860093454e-05,0.12621846453196875,0.0,0.0,0.018876096548087674,0.001158223047911492,7.306225860093453e-05,0.0011605251924647155,0.003859776077348355,0.0002350337873561267
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,validation,50,-0.018876096548087678,-0.018949158806688612,7.306225860093454e-05,0.12621846453196875,0.0,0.0,0.01779572082547955,0.0020857951270936517,8.248865081338742e-05,0.0020665121307242035,0.004581962437922801,0.00047716668111839265
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,training,1434,0.20428619533495096,0.20661107064277992,-0.002324875307828961,0.1024999460335946,0.0,0.0,0.20428619533495096,0.016960978218854603,0.002324875307828961,0.017119574391246208,0.04289815900969446,0.0034432444589149146
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,validation,50,0.20428619533495096,0.20661107064277992,-0.002324875307828961,0.1024999460335946,0.0,0.0,0.22849271681835118,0.021921947010179608,0.002857063020567226,0.021838963562138908,0.057830233186540306,0.004906485110246255
learned_order_offset_2016-12-31_20260912,learned_order_offset,2016-12-31,20260912,training,1434,0.05996719477831129,0.060011892498656884,-4.4697720345591996e-05,-0.0054868749323299625,0.0,0.0,0.0599671947783113,0.0014324841636754653,4.4697720345592e-05,0.0014331813442077345,0.013493751738149611,0.0003315244597135755
learned_order_offset_2016-12-31_20260912,learned_order_offset,2016-12-31,20260912,validation,50,0.05996719477831129,0.060011892498656884,-4.4697720345591996e-05,-0.0054868749323299625,0.0,0.0,0.07018211628398116,0.0015919330193532905,5.652924687368324e-05,0.001563559180982247,0.01674295974179798,0.0003432667011465078
learned_order_offset_2017-12-31_20260910,learned_order_offset,2017-12-31,20260910,training,1678,0.06803375587726432,0.06843257958223693,-0.00039882370497261455,0.08877134508215194,0.0,0.0,0.06803375587726432,0.004531333478414192,0.00039882370497261455,0.004548850782367495,0.013585981021904907,0.0008973389798530397
learned_order_offset_2017-12-31_20260910,learned_order_offset,2017-12-31,20260910,validation,49,0.06803375587726432,0.06843257958223693,-0.00039882370497261455,0.08877134508215194,0.0,0.0,0.03579628681900727,0.002594103365038868,0.00021023046003621558,0.002605190479512692,0.007881450407682946,0.0006285463075916055
learned_order_offset_2017-12-31_20260911,learned_order_offset,2017-12-31,20260911,training,1678,0.1816775942013204,0.18269893460466147,-0.0010213404033410645,0.07414985634509583,0.0,0.0,0.1816775942013204,0.00991176841495313,0.0010213404033410645,0.009964250565454452,0.037619228321862125,0.002074814749369413
learned_order_offset_2017-12-31_20260911,learned_order_offset,2017-12-31,20260911,validation,49,0.1816775942013204,0.18269893460466147,-0.0010213404033410645,0.07414985634509583,0.0,0.0,0.09897386741036783,0.008162325168093265,0.0005620644680778627,0.00804459213955821,0.023104687757607028,0.001845071163799821
