job,method,cutoff,seed,coordinate,coefficient,trainable,block
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,21,-0.10142522368473766,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,22,-0.14953729049205666,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,23,0.27547046414825527,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,24,0.27896741064153097,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,25,-0.01876207209665371,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,26,0.16401039603888098,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,27,-0.009349078535208173,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,28,0.07990660782951681,False,parent
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,29,0.12621846453196875,False,original_interaction
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,30,-0.018876096548087678,True,order_interaction
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,31,0.03656779527876426,False,intercept
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,0,0.019126357422332728,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,1,0.04660740079682095,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,2,0.04888767043285298,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,3,0.34793961409667346,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,4,0.1642197108098239,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,5,0.0810856227700272,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,6,0.032537941575577586,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,7,-0.0018892965538433453,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,8,-0.23941176868572148,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,9,-0.08464310335235038,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,10,0.07084410794897432,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,11,0.049407250612443165,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,12,-0.06979374006055405,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,13,-0.10996687705072913,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,14,0.02407692443284779,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,15,0.060458235174812934,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,16,-0.10512971766103188,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,17,0.027288690290024113,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,18,-0.055800746874361165,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,19,-0.014090732513585254,False,parent
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,20,0.05117112139420592,False,parent
