job,method,cutoff,seed,row_index,date,order_feature,refitted_base_logit,original_interaction_logit,order_interaction_logit,logit
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2118,2019-10-18,-0.4333422475939153,-0.33150181181376376,-0.028917037234490687,-0.05374765000900845,-0.41416649905726294
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2123,2019-10-25,0.5309365133486187,-0.4642020781894922,-0.013545546652930198,0.06585231431948084,-0.4118953105229417
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2128,2019-11-01,-0.10813335656020064,0.633779720852416,0.015914506757346084,-0.013411832875670413,0.6362823947340916
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2133,2019-11-08,-0.395452384258108,-0.8032618521826562,-0.028661891960085034,-0.04904815180690717,-0.8809718959496484
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2138,2019-11-15,0.11468523105607102,-0.379486484042453,-0.0070827862491324904,0.014224465060190275,-0.37234480523139535
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2143,2019-11-22,0.1863985467257302,-0.2469771935052591,-0.0074898537118858865,0.02311910252745693,-0.23134794468968817
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2148,2019-11-29,0.19664295637417498,0.21972635833701962,-0.001140402069949665,0.024389721645234477,0.24297567791230462
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2153,2019-12-06,0.7948720580120185,-0.017668198555252347,0.0010785454863485888,0.0985883684620694,0.08199871539316578
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2158,2019-12-13,0.14099449365682334,0.03819996567757305,0.003837020808651363,0.017487615713309715,0.05952460219953415
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2163,2019-12-20,-0.12102007278547229,-0.04975277765392195,-0.006741850702154041,-0.015010178564988883,-0.07150480692106498
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,2168,2019-12-27,1.646459677552369,-1.0291572769822193,-0.04696448335802279,0.20421119564127216,-0.8719105646989702
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1929,2019-01-04,-0.23373364258326068,0.22628092777751227,-0.041357182702709355,-0.01970410196552693,0.1652196431092759
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1934,2019-01-11,-0.18236793750845437,-0.24273249979946093,-0.009205879144791066,-0.01537389481546024,-0.2673122737597123
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1939,2019-01-18,0.00861847031969789,0.27082854870845713,0.0009637318010144977,0.000726550170909614,0.2725188306803813
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1944,2019-01-25,-0.14939258547029347,0.1438225410846709,0.04708021026549064,-0.012594022428550363,0.1783087289216111
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1949,2019-02-01,-0.4337182818237211,0.5587357788491287,0.04544277673995043,-0.036563111561158664,0.5676154440279205
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1954,2019-02-15,1.072297739759929,0.9752858328558636,0.016548793880163087,0.09039633220154536,1.082230958937572
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1959,2019-02-22,-0.1815075927189387,0.8575930598012497,-0.034998152221083836,-0.01530136643969556,0.8072935411404705
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1964,2019-03-01,0.0007650081542708803,-0.1663195044986394,0.05769753601347771,6.449135224871784e-05,-0.10855747713291306
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1969,2019-03-08,-0.5578711529300117,-0.06924123048859768,0.030753200809874617,-0.04702938763743999,-0.08551741731616297
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1974,2019-03-15,-0.6495708346433073,-0.05594741536850129,0.03195264826762624,-0.05475981043287263,-0.07875457753374765
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1979,2019-03-22,0.6409673708222453,-0.6266160903909375,0.11060736561107191,0.05403452533264774,-0.4619741994472178
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1984,2019-03-29,0.25833381741031075,-0.23051847674046488,0.058705429711568266,0.02177793416103261,-0.15003511286786403
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1993,2019-04-12,-0.37771444097650525,-0.030053082941799834,0.008508428274942624,-0.031841902503196066,-0.05338655717005336
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1998,2019-04-19,-1.4569724673505302,0.29001081272967993,-0.01685145227541784,-0.12282499746442667,0.15033436298983552
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,2003,2019-04-26,0.8778436060622542,-0.8673313653441654,0.11584894335085816,0.07400355264422376,-0.6774788693490835
