job,method,source_method,cutoff,seed,multiplier,split,n,order_coefficient,original_interaction_coefficient,order_logit_sd,parent_coefficient_l2_drift,rms_probability_change_vs_parent,rms_probability_change_vs_weak
learned_order_shrink4_2018-12-31_20260910,learned_order_shrink4,learned_order_extension,2018-12-31,20260910,4,training,1921,0.10243138659947419,0.030268024483744046,0.10243138659947419,0.00929399020862797,0.019952550161159776,0.0029862169420036312
learned_order_shrink4_2018-12-31_20260910,learned_order_shrink4,learned_order_extension,2018-12-31,20260910,4,validation,46,0.10243138659947419,0.030268024483744046,0.07970513825025041,0.00929399020862797,0.014413615184958374,0.002203617901983937
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,learned_order_extension,2018-12-31,20260911,4,training,1921,0.12403048700521656,-0.021464698914625855,0.12403048700521654,0.008547394447337079,0.025345144278794533,0.003624473450101263
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,learned_order_extension,2018-12-31,20260911,4,validation,46,0.12403048700521656,-0.021464698914625855,0.09067937178570369,0.008547394447337079,0.019109288068412507,0.0027792883216727965
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,learned_order_extension,2018-12-31,20260912,4,training,1921,0.08430152265525032,-0.07473604501176938,0.0843015226552503,0.004361261015036495,0.017581794423412928,0.002436690934229504
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,learned_order_extension,2018-12-31,20260912,4,validation,46,0.08430152265525032,-0.07473604501176938,0.09107774676604667,0.004361261015036495,0.020039236140336546,0.0028547997653016323
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,learned_order_extension,2019-12-31,20260910,4,training,2165,0.03414287429032865,-0.04856573274920922,0.03414287429032865,0.0023520451787549016,0.007242649837920329,0.0009872644429952556
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,learned_order_extension,2019-12-31,20260910,4,validation,46,0.03414287429032865,-0.04856573274920922,0.04471197641460958,0.0023520451787549016,0.008579214729840277,0.0011893823313289791
learned_order_shrink4_2019-12-31_20260911,learned_order_shrink4,learned_order_extension,2019-12-31,20260911,4,training,2165,0.070340491049057,-0.04276873489365554,0.070340491049057,0.007285891096812519,0.014174261821476693,0.002043477790875836
learned_order_shrink4_2019-12-31_20260911,learned_order_shrink4,learned_order_extension,2019-12-31,20260911,4,validation,46,0.070340491049057,-0.04276873489365554,0.06757347565882771,0.007285891096812519,0.013872396647456485,0.001999389923552688
learned_order_shrink4_2019-12-31_20260912,learned_order_shrink4,learned_order_extension,2019-12-31,20260912,4,training,2165,0.03796255653426501,0.018713637319751175,0.03796255653426501,0.0028593816472788003,0.008075087136650129,0.0010999208631924762
learned_order_shrink4_2019-12-31_20260912,learned_order_shrink4,learned_order_extension,2019-12-31,20260912,4,validation,46,0.03796255653426501,0.018713637319751175,0.043519690324671595,0.0028593816472788003,0.009911005195516197,0.0013461278867476442
learned_order_shrink16_2014-12-31_20260910,learned_order_shrink16,learned_order_extension,2014-12-31,20260910,16,training,1077,0.045547070582703596,-0.003933178967475672,0.045547070582703596,0.0032622168953290597,0.009561126464009839,0.0066463730060681995
learned_order_shrink16_2014-12-31_20260910,learned_order_shrink16,learned_order_extension,2014-12-31,20260910,16,validation,22,0.045547070582703596,-0.003933178967475672,0.026075092807624985,0.0032622168953290597,0.009724438074023185,0.006782202242443701
learned_order_shrink16_2014-12-31_20260911,learned_order_shrink16,learned_order_extension,2014-12-31,20260911,16,training,1077,0.08688101027480036,-0.027974794395981082,0.08688101027480036,0.00913893495653681,0.017895642735107842,0.01262041999214803
learned_order_shrink16_2014-12-31_20260911,learned_order_shrink16,learned_order_extension,2014-12-31,20260911,16,validation,22,0.08688101027480036,-0.027974794395981082,0.07261085871021715,0.00913893495653681,0.016715328441613497,0.011827110285471787
learned_order_shrink16_2014-12-31_20260912,learned_order_shrink16,learned_order_extension,2014-12-31,20260912,16,training,1077,0.07132694337317066,-0.029121060800120984,0.07132694337317066,0.007336884560197062,0.014285714270725336,0.010382499719245094
learned_order_shrink16_2014-12-31_20260912,learned_order_shrink16,learned_order_extension,2014-12-31,20260912,16,validation,22,0.07132694337317066,-0.029121060800120984,0.07458380048666359,0.007336884560197062,0.01732853221191779,0.012625350170550196
learned_order_shrink16_2015-12-31_20260910,learned_order_shrink16,learned_order_extension,2015-12-31,20260910,16,training,1190,0.1301872399896807,-0.07190011718874166,0.1301872399896807,0.010737441945956756,0.026599159422734504,0.01892948386903037
learned_order_shrink16_2015-12-31_20260910,learned_order_shrink16,learned_order_extension,2015-12-31,20260910,16,validation,48,0.1301872399896807,-0.07190011718874166,0.1852217870846132,0.010737441945956756,0.04028723719734847,0.027884587830683285
learned_order_shrink16_2015-12-31_20260911,learned_order_shrink16,learned_order_extension,2015-12-31,20260911,16,training,1190,0.1365675578176825,-0.14836094716216996,0.13656755781768248,0.013121853097454818,0.02935965491191282,0.02003950826424043
learned_order_shrink16_2015-12-31_20260911,learned_order_shrink16,learned_order_extension,2015-12-31,20260911,16,validation,48,0.1365675578176825,-0.14836094716216996,0.21595846573903604,0.013121853097454818,0.03975301667290718,0.024201502935731017
learned_order_shrink16_2015-12-31_20260912,learned_order_shrink16,learned_order_extension,2015-12-31,20260912,16,training,1190,0.1017431335711659,-0.19213237189216012,0.10174313357116589,0.011036588591408852,0.021695551170483017,0.014886727158826878
learned_order_shrink16_2015-12-31_20260912,learned_order_shrink16,learned_order_extension,2015-12-31,20260912,16,validation,48,0.1017431335711659,-0.19213237189216012,0.2003933458605072,0.011036588591408852,0.041108028395038354,0.025671550903555343
learned_order_shrink16_2016-12-31_20260910,learned_order_shrink16,learned_order_extension,2016-12-31,20260910,16,training,1434,-0.011075202745294313,0.1266672792855041,0.011075202745294313,0.001073040052517566,0.0022499854218466105,0.0016029202680770131
learned_order_shrink16_2016-12-31_20260910,learned_order_shrink16,learned_order_extension,2016-12-31,20260910,16,validation,50,-0.011075202745294313,0.1266672792855041,0.010441312145164328,0.001073040052517566,0.0026646237652212575,0.0018862244838292038
learned_order_shrink16_2016-12-31_20260911,learned_order_shrink16,learned_order_extension,2016-12-31,20260911,16,training,1434,0.11992584205594542,0.10093125514424883,0.11992584205594542,0.011343990267875161,0.025284354326443763,0.01754746026222606
learned_order_shrink16_2016-12-31_20260911,learned_order_shrink16,learned_order_extension,2016-12-31,20260911,16,validation,50,0.11992584205594542,0.10093125514424883,0.13413623677881115,0.011343990267875161,0.03377456515784098,0.024266559925837615
learned_order_shrink16_2016-12-31_20260912,learned_order_shrink16,learned_order_extension,2016-12-31,20260912,16,training,1434,0.03652522675023607,-0.0055640198299073676,0.03652522675023607,0.0015369149385850921,0.0082252198134817,0.005264329045491945
learned_order_shrink16_2016-12-31_20260912,learned_order_shrink16,learned_order_extension,2016-12-31,20260912,16,validation,50,0.03652522675023607,-0.0055640198299073676,0.042747000598583516,0.0015369149385850921,0.010047723237295766,0.006539599348441975
learned_order_shrink16_2017-12-31_20260910,learned_order_shrink16,learned_order_extension,2017-12-31,20260910,16,training,1678,0.03929608882229899,0.08705064492812374,0.03929608882229899,0.004419229724025903,0.007818573058834488,0.005754235832348249
learned_order_shrink16_2017-12-31_20260910,learned_order_shrink16,learned_order_extension,2017-12-31,20260910,16,validation,49,0.03929608882229899,0.08705064492812374,0.02067582552528574,0.004419229724025903,0.004584662623949662,0.00339456404840196
learned_order_shrink16_2017-12-31_20260911,learned_order_shrink16,learned_order_extension,2017-12-31,20260911,16,training,1678,0.10622441678771888,0.07375183171813349,0.10622441678771888,0.008122800992260128,0.02217070584472954,0.015423469402550878
learned_order_shrink16_2017-12-31_20260911,learned_order_shrink16,learned_order_extension,2017-12-31,20260911,16,validation,49,0.10622441678771888,0.07375183171813349,0.057868673289680365,0.008122800992260128,0.013166621483229836,0.009586549679462686
learned_order_shrink16_2017-12-31_20260912,learned_order_shrink16,learned_order_extension,2017-12-31,20260912,16,training,1678,0.030335349104493013,0.18994521739201561,0.030335349104493013,0.003273740165378252,0.006384726962687532,0.004407719539373825
learned_order_shrink16_2017-12-31_20260912,learned_order_shrink16,learned_order_extension,2017-12-31,20260912,16,validation,49,0.030335349104493013,0.18994521739201561,0.017321021102643823,0.003273740165378252,0.0038213570612897294,0.0026460160773933276
learned_order_shrink16_2018-12-31_20260910,learned_order_shrink16,learned_order_extension,2018-12-31,20260910,16,training,1921,0.0672631797922889,0.03025871405271309,0.0672631797922889,0.005819722951048844,0.013152659073257026,0.009789532915753563
learned_order_shrink16_2018-12-31_20260910,learned_order_shrink16,learned_order_extension,2018-12-31,20260910,16,validation,46,0.0672631797922889,0.03025871405271309,0.052339631654692034,0.005819722951048844,0.00944404097558262,0.007176223216585392
learned_order_shrink16_2018-12-31_20260911,learned_order_shrink16,learned_order_extension,2018-12-31,20260911,16,training,1921,0.08250883557290087,-0.021285092518506587,0.08250883557290085,0.005318880627627905,0.01695430463724976,0.012023929118005696
learned_order_shrink16_2018-12-31_20260911,learned_order_shrink16,learned_order_extension,2018-12-31,20260911,16,validation,46,0.08250883557290087,-0.021285092518506587,0.060322663864134436,0.005318880627627905,0.012714797254770972,0.009176124239058071
learned_order_shrink16_2018-12-31_20260912,learned_order_shrink16,learned_order_extension,2018-12-31,20260912,16,training,1921,0.05659830582898972,-0.0751122804748413,0.05659830582898972,0.002899734068406784,0.011843487492818399,0.008176860909077684
learned_order_shrink16_2018-12-31_20260912,learned_order_shrink16,learned_order_extension,2018-12-31,20260912,16,validation,46,0.05659830582898972,-0.0751122804748413,0.06114772311718079,0.002899734068406784,0.013389316464715188,0.009506258674155256
learned_order_shrink16_2019-12-31_20260910,learned_order_shrink16,learned_order_extension,2019-12-31,20260910,16,training,2165,0.023071207550685303,-0.04874073240307542,0.023071207550685303,0.0015898185043235744,0.004894684195313808,0.0033353563867764384
learned_order_shrink16_2019-12-31_20260910,learned_order_shrink16,learned_order_extension,2019-12-31,20260910,16,validation,46,0.023071207550685303,-0.04874073240307542,0.030213018361931073,0.0015898185043235744,0.005770550512548006,0.003998607108187544
learned_order_shrink16_2019-12-31_20260911,learned_order_shrink16,learned_order_extension,2019-12-31,20260911,16,training,2165,0.04671631235058405,-0.04252689043817392,0.04671631235058405,0.004756004752599255,0.009439230970698579,0.006779916736663189
learned_order_shrink16_2019-12-31_20260911,learned_order_shrink16,learned_order_extension,2019-12-31,20260911,16,validation,46,0.04671631235058405,-0.04252689043817392,0.04487861185516566,0.004756004752599255,0.009237737738513047,0.006634713402698393
learned_order_shrink16_2019-12-31_20260912,learned_order_shrink16,learned_order_extension,2019-12-31,20260912,16,training,2165,0.025652646505279618,0.018658019647401953,0.025652646505279614,0.0019065535934393578,0.005459248718500552,0.003715916120972014
learned_order_shrink16_2019-12-31_20260912,learned_order_shrink16,learned_order_extension,2019-12-31,20260912,16,validation,46,0.025652646505279618,0.018658019647401953,0.0294077989955808,0.0019065535934393578,0.006705827267269852,0.004551452535044135
raw_order_shrink4_2014-12-31_-1,raw_order_shrink4,raw_order_extension,2014-12-31,-1,4,training,1077,0.04889237430142404,0.03418233269579608,0.04889237430142404,0.005835702322801763,0.010654674602928633,0.001414914215581044
raw_order_shrink4_2014-12-31_-1,raw_order_shrink4,raw_order_extension,2014-12-31,-1,4,validation,22,0.04889237430142404,0.03418233269579608,0.07709157802948809,0.005835702322801763,0.015958540561892883,0.002111527806457433
raw_order_shrink4_2015-12-31_-1,raw_order_shrink4,raw_order_extension,2015-12-31,-1,4,training,1190,0.03649658140706932,0.07179245445962867,0.03649658140706932,0.002572305263004874,0.008253659191920608,0.0010546510025666092
raw_order_shrink4_2015-12-31_-1,raw_order_shrink4,raw_order_extension,2015-12-31,-1,4,validation,48,0.03649658140706932,0.07179245445962867,0.10407883328750665,0.002572305263004874,0.024851883445539236,0.0033168441216513142
raw_order_shrink4_2016-12-31_-1,raw_order_shrink4,raw_order_extension,2016-12-31,-1,4,training,1434,0.044095095470123025,0.042152115492414106,0.04409509547012302,0.0022981082248149,0.010207464237425311,0.0012726343241849778
raw_order_shrink4_2016-12-31_-1,raw_order_shrink4,raw_order_extension,2016-12-31,-1,4,validation,50,0.044095095470123025,0.042152115492414106,0.037508028385613394,0.0022981082248149,0.009092789510552833,0.0011374679147185816
raw_order_shrink4_2017-12-31_-1,raw_order_shrink4,raw_order_extension,2017-12-31,-1,4,training,1678,0.08461168276314493,0.06265420150458575,0.08461168276314493,0.005048740068078498,0.01995165626046378,0.0024429881648795858
raw_order_shrink4_2017-12-31_-1,raw_order_shrink4,raw_order_extension,2017-12-31,-1,4,validation,49,0.08461168276314493,0.06265420150458575,0.05816912777833196,0.005048740068078498,0.014097470034537235,0.0017434218096576807
raw_order_shrink4_2018-12-31_-1,raw_order_shrink4,raw_order_extension,2018-12-31,-1,4,training,1921,0.06886971347284922,0.008497207007052521,0.06886971347284922,0.003167783532919516,0.01620905871903459,0.0019867291233775126
raw_order_shrink4_2018-12-31_-1,raw_order_shrink4,raw_order_extension,2018-12-31,-1,4,validation,46,0.06886971347284922,0.008497207007052521,0.07599933001742581,0.003167783532919516,0.01742225230592809,0.0021987619650658797
raw_order_shrink4_2019-12-31_-1,raw_order_shrink4,raw_order_extension,2019-12-31,-1,4,training,2165,0.02244073850090627,-0.033921173973567725,0.02244073850090627,0.0005134173488152557,0.005357546952010703,0.0006468436070124576
raw_order_shrink4_2019-12-31_-1,raw_order_shrink4,raw_order_extension,2019-12-31,-1,4,validation,46,0.02244073850090627,-0.033921173973567725,0.025834683867344364,0.0005134173488152557,0.006283311057533268,0.0007590401822282485
raw_order_shrink16_2014-12-31_-1,raw_order_shrink16,raw_order_extension,2014-12-31,-1,16,training,1077,0.03326784870940168,0.03367039775907475,0.03326784870940168,0.0038429470359215745,0.007256983091557985,0.004812846144377534
raw_order_shrink16_2014-12-31_-1,raw_order_shrink16,raw_order_extension,2014-12-31,-1,16,validation,22,0.03326784870940168,0.03367039775907475,0.052455438937015285,0.0038429470359215745,0.010880864772685904,0.007189859998248773
raw_order_shrink16_2015-12-31_-1,raw_order_shrink16,raw_order_extension,2015-12-31,-1,16,training,1190,0.02509651633621286,0.0716200091220888,0.02509651633621286,0.0017134937702714872,0.00568268401350348,0.0036257193743748544
raw_order_shrink16_2015-12-31_-1,raw_order_shrink16,raw_order_extension,2015-12-31,-1,16,validation,48,0.02509651633621286,0.0716200091220888,0.07156878916193347,0.0017134937702714872,0.016904392528699904,0.011268979507484922
raw_order_shrink16_2016-12-31_-1,raw_order_shrink16,raw_order_extension,2016-12-31,-1,16,training,1434,0.030524505263355605,0.04211923916413671,0.0305245052633556,0.0015498435146064236,0.0070757280342489395,0.004404525449724087
raw_order_shrink16_2016-12-31_-1,raw_order_shrink16,raw_order_extension,2016-12-31,-1,16,validation,50,0.030524505263355605,0.04211923916413671,0.025964656560285546,0.0015498435146064236,0.006297496694451264,0.003932820324989888
raw_order_shrink16_2017-12-31_-1,raw_order_shrink16,raw_order_extension,2017-12-31,-1,16,training,1678,0.05880576476688195,0.06212701833331532,0.05880576476688196,0.003173352465561971,0.013908451468792587,0.00848727957323983
raw_order_shrink16_2017-12-31_-1,raw_order_shrink16,raw_order_extension,2017-12-31,-1,16,validation,49,0.05880576476688195,0.06212701833331532,0.04042798740219908,0.003173352465561971,0.009802684023465706,0.0060387333417236105
raw_order_shrink16_2018-12-31_-1,raw_order_shrink16,raw_order_extension,2018-12-31,-1,16,training,1921,0.04786662185521777,0.008273748509975387,0.04786662185521777,0.001936469603562239,0.011293627348819455,0.006902884734911159
raw_order_shrink16_2018-12-31_-1,raw_order_shrink16,raw_order_extension,2018-12-31,-1,16,validation,46,0.04786662185521777,0.008273748509975387,0.05282193010180272,0.001936469603562239,0.012040440303838615,0.007581329439022012
raw_order_shrink16_2019-12-31_-1,raw_order_shrink16,raw_order_extension,2019-12-31,-1,16,training,2165,0.015678200503845625,-0.03393119172779411,0.015678200503845625,0.00033367732526966835,0.0037448710298189536,0.00225954027745747
raw_order_shrink16_2019-12-31_-1,raw_order_shrink16,raw_order_extension,2019-12-31,-1,16,validation,46,0.015678200503845625,-0.03393119172779411,0.01804937719003023,0.00033367732526966835,0.004391360284789439,0.0026510014455418214
