job,method,cutoff,seed,gate,gate_linear_r2,product_linear_r2,residual_raw_sd,orthogonality_inf
raw_relativevol_interaction_2015-12-31_-1,raw_relativevol_interaction,2015-12-31,-1,relative_volatility,0.9563594074685147,0.29936154209524934,0.05542067704161138,9.07583998617943e-16
raw_relativevol_interaction_2016-12-31_-1,raw_relativevol_interaction,2016-12-31,-1,relative_volatility,0.9504231409735798,0.34562930436796324,0.06347619966717363,5.890220900521751e-16
raw_relativevol_interaction_2017-12-31_-1,raw_relativevol_interaction,2017-12-31,-1,relative_volatility,0.9056280720159541,0.30647791290665616,0.045404435767319694,5.380413370829424e-16
raw_relativevol_interaction_2018-12-31_-1,raw_relativevol_interaction,2018-12-31,-1,relative_volatility,0.9084342516703298,0.224338355056509,0.04845888714263281,9.227247920566941e-16
raw_relativevol_interaction_2019-12-31_-1,raw_relativevol_interaction,2019-12-31,-1,relative_volatility,0.9163692931613143,0.16108331878104487,0.04140250524661593,6.260997622329668e-16
learned_persistence_interaction_2014-12-31_20260910,learned_persistence_interaction,2014-12-31,20260910,persistence,0.4597797048814709,0.9579085975989123,0.09824891302248523,6.296418044949356e-15
learned_persistence_interaction_2014-12-31_20260911,learned_persistence_interaction,2014-12-31,20260911,persistence,0.39147649769831494,0.9522650043158851,0.10167616045168185,2.8484384973484055e-15
learned_persistence_interaction_2014-12-31_20260912,learned_persistence_interaction,2014-12-31,20260912,persistence,0.47564902209257365,0.9474107550433111,0.1035727316615938,4.918380775386766e-15
learned_persistence_interaction_2015-12-31_20260910,learned_persistence_interaction,2015-12-31,20260910,persistence,0.4076800544195266,0.9374556236829282,0.12432628825042663,6.456553312536467e-15
learned_persistence_interaction_2015-12-31_20260911,learned_persistence_interaction,2015-12-31,20260911,persistence,0.5438806154120737,0.9518657150758612,0.08014030854656347,4.414396019593606e-15
learned_persistence_interaction_2015-12-31_20260912,learned_persistence_interaction,2015-12-31,20260912,persistence,0.5667291438322548,0.9523519249662044,0.0888885216331856,9.011279117856691e-15
learned_persistence_interaction_2016-12-31_20260910,learned_persistence_interaction,2016-12-31,20260910,persistence,0.423234103377652,0.9428140182178065,0.11427520390243695,3.793339422212982e-15
learned_persistence_interaction_2016-12-31_20260911,learned_persistence_interaction,2016-12-31,20260911,persistence,0.42921359071235177,0.9368848924046176,0.08898072934235893,4.879097281162996e-15
learned_persistence_interaction_2016-12-31_20260912,learned_persistence_interaction,2016-12-31,20260912,persistence,0.5569278188846204,0.9548658944368792,0.06563937587157131,2.5842540953906654e-15
learned_persistence_interaction_2017-12-31_20260910,learned_persistence_interaction,2017-12-31,20260910,persistence,0.44948263182949766,0.9523289659587666,0.10058930787836717,4.380154033148666e-15
learned_persistence_interaction_2017-12-31_20260911,learned_persistence_interaction,2017-12-31,20260911,persistence,0.4497006866911596,0.9533213203143291,0.092186725858522,2.833649088119559e-15
learned_persistence_interaction_2017-12-31_20260912,learned_persistence_interaction,2017-12-31,20260912,persistence,0.43652951203028123,0.9377820536980184,0.11713103913221914,3.885218196694048e-15
learned_persistence_interaction_2018-12-31_20260910,learned_persistence_interaction,2018-12-31,20260910,persistence,0.5137721402947528,0.9378437348998474,0.14023598260507908,2.610680493364074e-15
learned_persistence_interaction_2018-12-31_20260911,learned_persistence_interaction,2018-12-31,20260911,persistence,0.42036264416010305,0.9463412470098518,0.10884029189747034,3.2240680135464168e-15
learned_persistence_interaction_2018-12-31_20260912,learned_persistence_interaction,2018-12-31,20260912,persistence,0.42285767659409634,0.9233607926611663,0.11921904639014234,5.422811507201649e-15
learned_persistence_interaction_2019-12-31_20260910,learned_persistence_interaction,2019-12-31,20260910,persistence,0.4141248368466268,0.9415693163449372,0.10790370197023234,4.270320304705733e-15
learned_persistence_interaction_2019-12-31_20260911,learned_persistence_interaction,2019-12-31,20260911,persistence,0.47518223881773536,0.9446055179903089,0.1233183516533727,2.9985764961631132e-15
learned_persistence_interaction_2019-12-31_20260912,learned_persistence_interaction,2019-12-31,20260912,persistence,0.38458503541460165,0.9337777672878664,0.10683255058654263,3.1197972098968683e-15
raw_persistence_interaction_2014-12-31_-1,raw_persistence_interaction,2014-12-31,-1,persistence,0.5031146828472814,0.9346136504754357,0.1021323575976284,2.951110933051902e-15
raw_persistence_interaction_2015-12-31_-1,raw_persistence_interaction,2015-12-31,-1,persistence,0.4936733751235314,0.9259895820325053,0.09116655627976616,1.021031998445186e-15
raw_persistence_interaction_2016-12-31_-1,raw_persistence_interaction,2016-12-31,-1,persistence,0.45090524225817263,0.9319911229798594,0.08551251907986411,2.3856633389678922e-15
raw_persistence_interaction_2017-12-31_-1,raw_persistence_interaction,2017-12-31,-1,persistence,0.47658707017086244,0.9232194799745295,0.06439815089029027,2.9725262114025273e-15
raw_persistence_interaction_2018-12-31_-1,raw_persistence_interaction,2018-12-31,-1,persistence,0.4423877589846381,0.9197436655862276,0.06918512736848707,3.890779768469676e-15
raw_persistence_interaction_2019-12-31_-1,raw_persistence_interaction,2019-12-31,-1,persistence,0.45379310596034816,0.9079862979338968,0.06265543347519109,2.267380535314432e-15
