job,training_fitted_value_gap,training_residual_gap,validation_residual_gap,rank
learned_persistence_interaction_2018-12-31_20260910,2.6645352591003757e-15,1.9734214262712158e-14,9.103828801926284e-15,30
learned_persistence_interaction_2018-12-31_20260911,1.7763568394002505e-15,1.6431300764452317e-14,1.6986412276764895e-14,30
learned_persistence_interaction_2018-12-31_20260912,5.870304242705515e-15,4.907185768843192e-14,2.958744360626042e-14,30
learned_persistence_interaction_2019-12-31_20260910,1.9984014443252818e-15,1.9317880628477724e-14,1.504352198367087e-14,30
learned_persistence_interaction_2019-12-31_20260911,2.831068712794149e-15,1.942890293094024e-14,1.1102230246251565e-14,30
learned_persistence_interaction_2019-12-31_20260912,2.220446049250313e-15,1.965094753586527e-14,1.554312234475219e-14,30
raw_persistence_interaction_2014-12-31_-1,3.3306690738754696e-15,3.2862601528904634e-14,1.7763568394002505e-14,27
raw_persistence_interaction_2015-12-31_-1,1.5543122344752192e-15,1.6653345369377348e-14,1.454392162258955e-14,27
raw_persistence_interaction_2016-12-31_-1,1.5543122344752192e-15,1.865174681370263e-14,1.2878587085651816e-14,27
raw_persistence_interaction_2017-12-31_-1,1.3877787807814457e-15,2.1538326677728037e-14,1.609823385706477e-14,27
raw_persistence_interaction_2018-12-31_-1,2.3314683517128287e-15,3.2862601528904634e-14,1.554312234475219e-14,27
raw_persistence_interaction_2019-12-31_-1,1.3322676295501878e-15,2.0761170560490427e-14,2.133015986061082e-14,27
