history,method,row_index,date,year,cutoff,state,action,original_accepted,original_reason,retention_reason,source_cutoff,expiry,source_age_days,used_retained_source,probability,annual_probability,monthly_probability,quarterly_probability,actual_up,changed_vs_annual,changed_vs_monthly,changed_vs_quarterly,case_vs_annual,case_vs_monthly,case_vs_quarterly,brier_vs_annual,brier_vs_monthly,brier_vs_quarterly
monthly_state_retained,learned_order_offset,3669,2026-03-13,2026,2026-02-28,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.4690269999633661,0.4690269999633661,0.4690269999633661,0.4690269999633661,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3674,2026-03-20,2026,2026-02-28,nonnegative_low,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.4480713028510294,0.4480713028510294,0.4480713028510294,0.4480713028510294,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_order_offset,3679,2026-03-27,2026,2026-02-28,negative_high,fallback,False,q1_guard,cleared_q1_guard,,,,False,0.4438325262332026,0.4438325262332026,0.4438325262332026,0.4438325262332026,0,False,False,False,stable_correct,stable_correct,stable_correct,0.0,0.0,0.0
monthly_state_retained,learned_market,3684,2026-04-03,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.4764559743529441,0.4764559743529441,0.4764559743529441,0.4764559743529441,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_market,3688,2026-04-10,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.4497645036249702,0.4497645036249702,0.4497645036249702,0.4497645036249702,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_market,3693,2026-04-17,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.4763881806082888,0.4763881806082888,0.4763881806082888,0.4763881806082888,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_market,3698,2026-04-24,2026,2026-03-31,nonnegative_high,fallback,False,insufficient_validation,no_valid_saved_acceptance,,,,False,0.46275428395762463,0.46275428395762463,0.46275428395762463,0.46275428395762463,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3684,2026-04-03,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.4838858042773609,0.4838858042773609,0.4838858042773609,0.4838858042773609,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3688,2026-04-10,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.4525740654594063,0.4525740654594063,0.4525740654594063,0.4525740654594063,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3693,2026-04-17,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.49264418119242176,0.49264418119242176,0.49264418119242176,0.49264418119242176,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_vol_interaction,3698,2026-04-24,2026,2026-03-31,nonnegative_high,fallback,False,insufficient_validation,no_valid_saved_acceptance,,,,False,0.4652698782079913,0.4652698782079913,0.4652698782079913,0.4652698782079913,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
monthly_state_retained,learned_order_extension,3684,2026-04-03,2026,2026-03-31,negative_high,fallback,False,insufficient_state_train,cleared_insufficient_state_train,,,,False,0.4721422509610274,0.4721422509610274,0.4721422509610274,0.4721422509610274,1,False,False,False,stable_wrong,stable_wrong,stable_wrong,0.0,0.0,0.0
