cutoff,seed,mode,draw,audit_seed,log_loss,brier,accuracy,auxiliary_mse,joint_loss,mean_probability,probability_std
2018-12-31,20260910,eval,-1,-1,0.6926577322182166,0.24975535179343208,0.5111920874544508,1.001172437858591,0.7927749760040756,0.5118983481656086,0.0011659800339913144
2018-12-31,20260910,dropout,0,20261400,0.6928223068716176,0.24983759096265531,0.5111920874544508,1.0034039993050476,0.7931627068021224,0.5117343391278326,0.002228194624160595
2018-12-31,20260910,dropout,1,20261401,0.6924833731544636,0.2496682236063059,0.5111920874544508,1.0041788417743185,0.7929012573318954,0.5117825013287723,0.0022201427237429024
2018-12-31,20260910,dropout,2,20261402,0.6925863029096347,0.2497196593454114,0.5111920874544508,1.0040142097855098,0.7929877238881857,0.5117415257440217,0.002279685116651677
2018-12-31,20260910,dropout,3,20261403,0.692845175315006,0.24984899853369544,0.5111920874544508,1.0047153124080574,0.7933167065558118,0.5116871779906558,0.002325789984051452
2018-12-31,20260910,dropout,4,20261404,0.6927432625823544,0.24979809237320108,0.5111920874544508,1.0043000892398104,0.7931732715063354,0.511676838899056,0.0023152586042556197
2018-12-31,20260910,dropout,5,20261405,0.6927608426921041,0.24980687360360043,0.5111920874544508,1.0040760907785213,0.7931684517699563,0.5117619107811778,0.0022836335948672524
2018-12-31,20260910,dropout,6,20261406,0.6927848937720326,0.24981889644022237,0.5111920874544508,1.0046554709154916,0.7932504408635818,0.5117745503914389,0.0022682988306081215
2018-12-31,20260910,dropout,7,20261407,0.692658346678671,0.24975566798434612,0.5111920874544508,1.0042645882161596,0.7930848055002869,0.5116957222745151,0.0022724348351229723
2018-12-31,20260911,eval,-1,-1,0.6924693458974894,0.2496617195446256,0.5111920874544508,0.997091127391798,0.7921784586366692,0.5236851517715153,0.002818580207316254
2018-12-31,20260911,dropout,0,20261400,0.6925315897472791,0.24969277727149608,0.5111920874544508,1.001445304976659,0.792676120244945,0.5229316881600181,0.0036076593120659335
2018-12-31,20260911,dropout,1,20261401,0.6925445927827293,0.24969915895200623,0.5111920874544508,1.00183802531845,0.7927283953145743,0.522901168486492,0.003649102040014201
2018-12-31,20260911,dropout,2,20261402,0.6926346011047458,0.24974406560199638,0.5111920874544508,1.0033614165433244,0.7929707427590783,0.5229577193765023,0.0036260838922903007
2018-12-31,20260911,dropout,3,20261403,0.6925797572659615,0.2497167663665074,0.5111920874544508,1.0030337420332438,0.7928831314692859,0.523059304446524,0.0036391854951864544
2018-12-31,20260911,dropout,4,20261404,0.692691436979152,0.24977252809416559,0.5111920874544508,1.0021031955892161,0.7929017565380736,0.5229732590557546,0.0035504481269579237
2018-12-31,20260911,dropout,5,20261405,0.6923022642987037,0.2495783476054868,0.5111920874544508,1.000798545985297,0.7923821188972334,0.5228875524690516,0.003542064661843867
2018-12-31,20260911,dropout,6,20261406,0.6927153782100277,0.2497843897260051,0.5111920874544508,1.0024397468707296,0.7929593528971006,0.5229121186526723,0.003609986811099287
2018-12-31,20260911,dropout,7,20261407,0.6926129929272912,0.2497332625997159,0.5111920874544508,1.0020101883529624,0.7928140117625875,0.5230051362409092,0.003629445214300225
2018-12-31,20260912,eval,-1,-1,0.6928598786085802,0.2498563715832399,0.5111920874544508,1.0039456775436204,0.7932544463629423,0.5127840153608362,0.0001771246626743882
2018-12-31,20260912,dropout,0,20261400,0.6928865143031715,0.2498696816601131,0.5111920874544508,1.0086421984568323,0.7937507341488548,0.512705221858038,0.0009855199318608793
2018-12-31,20260912,dropout,1,20261401,0.6929110734004555,0.24988195371955468,0.5111920874544508,1.0088032082999236,0.793791394230448,0.512695004137909,0.0009839518450107118
2018-12-31,20260912,dropout,2,20261402,0.6929081503242882,0.24988049436939175,0.5111920874544508,1.0093119290794543,0.7938393432322337,0.5127047696015684,0.0009722305717973366
2018-12-31,20260912,dropout,3,20261403,0.692891943035631,0.24987239342704987,0.5111920874544508,1.0078916758985366,0.7936811106254846,0.5127410634658203,0.000981439745420818
2018-12-31,20260912,dropout,4,20261404,0.6928674705352891,0.24986016739777384,0.5111920874544508,1.0085686532114397,0.7937243358564331,0.5127034685752084,0.0009921761334837226
2018-12-31,20260912,dropout,5,20261405,0.6928785791224488,0.24986571530519144,0.5111920874544508,1.0078600083498641,0.7936645799574352,0.5126746908745519,0.0009459398949722285
2018-12-31,20260912,dropout,6,20261406,0.6928048998442347,0.24982890442290948,0.5111920874544508,1.0087205084183295,0.7936769506860676,0.5126881392575119,0.0009677851412563197
2018-12-31,20260912,dropout,7,20261407,0.6928791137082428,0.2498659816981092,0.5111920874544508,1.0081931839521077,0.7936984321034536,0.5126581637744736,0.0009760826145454469
2019-12-31,20260910,eval,-1,-1,0.6738652275270647,0.24050644424643636,0.5722863741339492,1.0010529578609637,0.7739705233131611,0.538441300373037,0.06486973543694972
2019-12-31,20260910,dropout,0,20261400,0.6789995611372406,0.2430068380832774,0.5648960739030023,1.006766521491919,0.7796762132864326,0.5328578934152917,0.05761170547571164
2019-12-31,20260910,dropout,1,20261401,0.6748762989666798,0.24096576630668815,0.5750577367205543,1.004998609347927,0.7753761599014725,0.5320942666318231,0.05746884942806558
2019-12-31,20260910,dropout,2,20261402,0.6768825116607201,0.2419584372389951,0.5709006928406467,1.0077408465670796,0.7776565963174281,0.5319122574874293,0.05747625371097729
2019-12-31,20260910,dropout,3,20261403,0.6755824319353212,0.24130880029116075,0.5773672055427251,1.007819211851229,0.776364353120444,0.532617929847307,0.05814341402646692
2019-12-31,20260910,dropout,4,20261404,0.6777276464591181,0.24237797003732595,0.5685912240184757,1.0082523260205365,0.7785528790611718,0.5320506542762844,0.05725989096150159
2019-12-31,20260910,dropout,5,20261405,0.6763566604823175,0.24170744648633474,0.5782909930715935,1.0076361936557927,0.7771202798478968,0.5329943230287866,0.057505494995499874
2019-12-31,20260910,dropout,6,20261406,0.6766361735195338,0.2418559394246602,0.5653579676674365,1.0056316753526757,0.7771993410548014,0.5328530547590424,0.05823730651982417
2019-12-31,20260910,dropout,7,20261407,0.6777338747205098,0.2423765453383531,0.5621247113163972,1.0058177653984026,0.7783156512603501,0.5326132289180832,0.05709470627200516
2019-12-31,20260911,eval,-1,-1,0.6558051475339152,0.23192811067414035,0.6055427251732102,0.9854831130620239,0.7543534588401175,0.5317480669458863,0.09887114105136702
