window,history,method,bin_index,n,mean_probability,observed_up
recent_2024_2026,rolling5_annual20,learned_order_extension,1,21,0.35073437557987575,0.5238095238095238
recent_2024_2026,rolling5_annual20,learned_order_extension,2,94,0.48589616778298744,0.48936170212765956
recent_2024_2026,rolling5_annual20,learned_order_extension,3,10,0.6204086159394115,0.9
recent_2024_2026,rolling5_annual20,learned_order_extension,4,0,,
recent_2024_2026,rolling5_annual20,learned_order_offset,0,0,,
recent_2024_2026,rolling5_annual20,learned_order_offset,1,21,0.35192437145029387,0.5238095238095238
recent_2024_2026,rolling5_annual20,learned_order_offset,2,94,0.485592406595003,0.48936170212765956
recent_2024_2026,rolling5_annual20,learned_order_offset,3,10,0.6195111948878894,0.9
recent_2024_2026,rolling5_annual20,learned_order_offset,4,0,,
recent_2024_2026,rolling5_annual20,learned_vol_interaction,0,0,,
recent_2024_2026,rolling5_annual20,learned_vol_interaction,1,22,0.3402805552534557,0.5
recent_2024_2026,rolling5_annual20,learned_vol_interaction,2,95,0.49452960513839783,0.49473684210526314
recent_2024_2026,rolling5_annual20,learned_vol_interaction,3,8,0.6154556758601403,1.0
recent_2024_2026,rolling5_annual20,learned_vol_interaction,4,0,,
recent_2024_2026,rolling5_annual20,training_frequency,0,0,,
recent_2024_2026,rolling5_annual20,training_frequency,1,0,,
recent_2024_2026,rolling5_annual20,training_frequency,2,125,0.4854511877697606,0.528
recent_2024_2026,rolling5_annual20,training_frequency,3,0,,
recent_2024_2026,rolling5_annual20,training_frequency,4,0,,
recent_2024_2026,rolling5_matched,learned_market,0,8,0.15161714648689975,0.25
recent_2024_2026,rolling5_matched,learned_market,1,38,0.3054309963619348,0.5526315789473685
recent_2024_2026,rolling5_matched,learned_market,2,44,0.49934157264363627,0.4772727272727273
recent_2024_2026,rolling5_matched,learned_market,3,31,0.6747538001125933,0.5806451612903226
recent_2024_2026,rolling5_matched,learned_market,4,4,0.8795332881283815,1.0
recent_2024_2026,rolling5_matched,learned_order_extension,0,6,0.1409329401489032,0.3333333333333333
recent_2024_2026,rolling5_matched,learned_order_extension,1,40,0.2984843975139578,0.5
recent_2024_2026,rolling5_matched,learned_order_extension,2,45,0.5015686334356008,0.5555555555555556
recent_2024_2026,rolling5_matched,learned_order_extension,3,28,0.6753970337880054,0.5
recent_2024_2026,rolling5_matched,learned_order_extension,4,6,0.8588830128428656,0.8333333333333334
recent_2024_2026,rolling5_matched,learned_order_offset,0,6,0.14207526178160343,0.3333333333333333
recent_2024_2026,rolling5_matched,learned_order_offset,1,41,0.3021386328092206,0.4878048780487805
recent_2024_2026,rolling5_matched,learned_order_offset,2,45,0.5050154927033511,0.5555555555555556
recent_2024_2026,rolling5_matched,learned_order_offset,3,28,0.6808168104980101,0.5
recent_2024_2026,rolling5_matched,learned_order_offset,4,5,0.8691811980205548,1.0
recent_2024_2026,rolling5_matched,learned_vol_interaction,0,8,0.14801293535844576,0.25
recent_2024_2026,rolling5_matched,learned_vol_interaction,1,38,0.3056462962360144,0.5526315789473685
recent_2024_2026,rolling5_matched,learned_vol_interaction,2,45,0.5017411677938909,0.4666666666666667
recent_2024_2026,rolling5_matched,learned_vol_interaction,3,29,0.674414560105545,0.5862068965517241
recent_2024_2026,rolling5_matched,learned_vol_interaction,4,5,0.8672524753173052,1.0
recent_2024_2026,rolling5_matched,training_frequency,0,0,,
recent_2024_2026,rolling5_matched,training_frequency,1,0,,
recent_2024_2026,rolling5_matched,training_frequency,2,125,0.4854511877697606,0.528
recent_2024_2026,rolling5_matched,training_frequency,3,0,,
recent_2024_2026,rolling5_matched,training_frequency,4,0,,
recent_2024_2026,rolling5_quarterly20,learned_market,0,0,,
recent_2024_2026,rolling5_quarterly20,learned_market,1,21,0.34588656912747834,0.5238095238095238
recent_2024_2026,rolling5_quarterly20,learned_market,2,90,0.49432793444594947,0.5111111111111111
recent_2024_2026,rolling5_quarterly20,learned_market,3,14,0.6303815125043563,0.6428571428571429
recent_2024_2026,rolling5_quarterly20,learned_market,4,0,,
recent_2024_2026,rolling5_quarterly20,learned_order_extension,0,0,,
recent_2024_2026,rolling5_quarterly20,learned_order_extension,1,19,0.34895953915769434,0.47368421052631576
recent_2024_2026,rolling5_quarterly20,learned_order_extension,2,89,0.4885875656693172,0.5393258426966292
recent_2024_2026,rolling5_quarterly20,learned_order_extension,3,17,0.6296634240693301,0.5294117647058824
recent_2024_2026,rolling5_quarterly20,learned_order_extension,4,0,,
recent_2024_2026,rolling5_quarterly20,learned_order_offset,0,0,,
recent_2024_2026,rolling5_quarterly20,learned_order_offset,1,19,0.34975895525047934,0.47368421052631576
recent_2024_2026,rolling5_quarterly20,learned_order_offset,2,89,0.4884740982167521,0.5393258426966292
recent_2024_2026,rolling5_quarterly20,learned_order_offset,3,17,0.6291214520155783,0.5294117647058824
recent_2024_2026,rolling5_quarterly20,learned_order_offset,4,0,,
recent_2024_2026,rolling5_quarterly20,learned_vol_interaction,0,0,,
recent_2024_2026,rolling5_quarterly20,learned_vol_interaction,1,19,0.33783998618017125,0.47368421052631576
recent_2024_2026,rolling5_quarterly20,learned_vol_interaction,2,92,0.49444965049530226,0.5108695652173914
recent_2024_2026,rolling5_quarterly20,learned_vol_interaction,3,14,0.6268797143845187,0.7142857142857143
recent_2024_2026,rolling5_quarterly20,learned_vol_interaction,4,0,,
recent_2024_2026,rolling5_quarterly20,training_frequency,0,0,,
recent_2024_2026,rolling5_quarterly20,training_frequency,1,0,,
recent_2024_2026,rolling5_quarterly20,training_frequency,2,125,0.481097733931936,0.528
recent_2024_2026,rolling5_quarterly20,training_frequency,3,0,,
recent_2024_2026,rolling5_quarterly20,training_frequency,4,0,,
recent_2024_2026,state90,learned_market,0,0,,
recent_2024_2026,state90,learned_market,1,19,0.3530887976724416,0.5263157894736842
recent_2024_2026,state90,learned_market,2,97,0.4967200670489501,0.4845360824742268
recent_2024_2026,state90,learned_market,3,9,0.6140027163022607,1.0
recent_2024_2026,state90,learned_market,4,0,,
recent_2024_2026,state90,learned_order_extension,0,0,,
recent_2024_2026,state90,learned_order_extension,1,16,0.3437838713198473,0.5
recent_2024_2026,state90,learned_order_extension,2,101,0.4931893332170101,0.504950495049505
recent_2024_2026,state90,learned_order_extension,3,8,0.6233491005967838,0.875
recent_2024_2026,state90,learned_order_extension,4,0,,
recent_2024_2026,state90,learned_order_offset,0,0,,
recent_2024_2026,state90,learned_order_offset,1,16,0.3448963251147358,0.5
recent_2024_2026,state90,learned_order_offset,2,101,0.4928992908833188,0.504950495049505
recent_2024_2026,state90,learned_order_offset,3,8,0.6229130889384764,0.875
recent_2024_2026,state90,learned_order_offset,4,0,,
recent_2024_2026,state90,learned_vol_interaction,0,0,,
recent_2024_2026,state90,learned_vol_interaction,1,19,0.33666796552756995,0.5263157894736842
recent_2024_2026,state90,learned_vol_interaction,2,98,0.5001431037385552,0.4897959183673469
recent_2024_2026,state90,learned_vol_interaction,3,8,0.6187863665696325,1.0
recent_2024_2026,state90,learned_vol_interaction,4,0,,
recent_2024_2026,state90,training_frequency,0,0,,
recent_2024_2026,state90,training_frequency,1,0,,
recent_2024_2026,state90,training_frequency,2,125,0.4866410558567116,0.528
recent_2024_2026,state90,training_frequency,3,0,,
recent_2024_2026,state90,training_frequency,4,0,,
