history,method,cutoff,date,row_index,state,year,probability,actual_up,annual_probability,changed_vs_annual,case_vs_annual,brier_vs_annual,quarter4_probability,changed_vs_quarter4,case_vs_quarter4,brier_vs_quarter4
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-03-06,3664,nonnegative_high,2026,0.5718932391772387,1,0.5168188456275143,True,stable_correct,-0.050188629278570845,0.5168188456275143,True,stable_correct,-0.050188629278570845
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-03-13,3669,nonnegative_low,2026,0.47527288855411864,0,0.46907630660420546,True,stable_correct,0.005851737177133137,0.46907630660420546,True,stable_correct,0.005851737177133137
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-03-20,3674,nonnegative_low,2026,0.45233060934982444,0,0.44840943987820253,True,stable_correct,0.00353195438290016,0.44840943987820253,True,stable_correct,0.00353195438290016
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-03-27,3679,negative_high,2026,0.48644814064042224,0,0.44382804359759526,True,stable_correct,0.03964846124885513,0.44382804359759526,True,stable_correct,0.03964846124885513
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-04-03,3684,negative_high,2026,0.5336795917601496,1,0.4721422509610274,True,recovery,-0.061179080079510256,0.4721422509610274,True,recovery,-0.061179080079510256
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-04-10,3688,negative_high,2026,0.46764602295306634,1,0.44375946503679303,True,stable_wrong,-0.026002775858467442,0.44375946503679303,True,stable_wrong,-0.026002775858467442
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-04-17,3693,negative_high,2026,0.5221923084438168,1,0.46054365813436954,True,recovery,-0.0627129546687992,0.46054365813436954,True,recovery,-0.0627129546687992
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-04-24,3698,nonnegative_high,2026,0.5038549556509601,1,0.4343183639133092,True,recovery,-0.07383580837360446,0.4343183639133092,True,recovery,-0.07383580837360446
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-05-08,3705,nonnegative_high,2026,0.5526613484567026,0,0.49801198787078843,True,regression,0.05741862601496647,0.49801198787078843,True,regression,0.05741862601496647
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-05-15,3710,nonnegative_low,2026,0.6032289097135485,1,0.5637090142568929,True,stable_correct,-0.03292252615359262,0.5637090142568929,True,stable_correct,-0.03292252615359262
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-05-22,3715,nonnegative_low,2026,0.4905060386276105,1,0.5050517409494192,True,regression,0.014610317537729012,0.5050517409494192,True,regression,0.014610317537729012
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-05-29,3720,nonnegative_high,2026,0.5042000699528346,0,0.48909615917761434,True,regression,0.015002657618149062,0.48909615917761434,True,regression,0.015002657618149062
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-06-05,3725,nonnegative_high,2026,0.45890941645705324,1,0.4137812365783611,True,stable_wrong,-0.05087341898874892,0.4137812365783611,True,stable_wrong,-0.05087341898874892
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-06-12,3730,nonnegative_high,2026,0.4233197981875632,1,0.361384412795672,True,stable_wrong,-0.07526981305789576,0.361384412795672,True,stable_wrong,-0.07526981305789576
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-06-26,3739,nonnegative_high,2026,0.5097056194479422,1,0.48578238498545306,True,recovery,-0.02403117599032281,0.48578238498545306,True,recovery,-0.02403117599032281
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-07-03,3744,nonnegative_high,2026,0.5013069239658791,0,0.49019228952696475,True,regression,0.011020151304443976,0.49019228952696475,True,regression,0.011020151304443976
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-07-10,3749,nonnegative_high,2026,0.5048804721079576,0,0.4838752558028981,True,regression,0.020769027937634077,0.4838752558028981,True,regression,0.020769027937634077
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-07-17,3754,negative_high,2026,0.48873362277039356,1,0.48324475733931876,True,stable_wrong,-0.005642672331813259,0.48324475733931876,True,stable_wrong,-0.005642672331813259
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-07-24,3759,negative_high,2026,0.5229543766850218,0,0.486574276555423,True,regression,0.03672675348858634,0.486574276555423,True,regression,0.03672675348858634
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-07-31,3764,negative_high,2026,0.38610693644938815,1,0.42545717214675055,True,stable_wrong,0.04676523243794706,0.42545717214675055,True,stable_wrong,0.04676523243794706
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-08-07,3769,negative_high,2026,0.4198398488454982,0,0.4240773181549858,True,stable_correct,-0.003576073094914256,0.4240773181549858,True,stable_correct,-0.003576073094914256
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-08-14,3774,negative_high,2026,0.5252562532816847,0,0.47911008879014627,True,regression,0.04634765443101144,0.47911008879014627,True,regression,0.04634765443101144
annual_head_timeweight2y,learned_order_extension,2025-12-31,2026-08-21,3779,negative_high,2026,0.510978357662217,0,0.5012573968171736,True,stable_wrong,0.009839904135247102,0.5012573968171736,True,stable_wrong,0.009839904135247102
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-01-09,3630,nonnegative_low,2026,0.561944051315209,0,0.5267078351488758,True,stable_wrong,0.03835997320133494,0.5267078351488758,True,stable_wrong,0.03835997320133494
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-01-16,3635,nonnegative_low,2026,0.5676941141427725,0,0.5424641653115964,True,stable_wrong,0.028009236585140262,0.5424641653115964,True,stable_wrong,0.028009236585140262
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-01-23,3640,negative_low,2026,0.4335056144854552,0,0.4340846412987052,True,stable_correct,-0.0005023580210134493,0.4340846412987052,True,stable_correct,-0.0005023580210134493
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-01-30,3645,nonnegative_low,2026,0.4900450239647767,1,0.4613341944484573,True,stable_wrong,-0.030106772487407285,0.4613341944484573,True,stable_wrong,-0.030106772487407285
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-02-06,3650,negative_low,2026,0.5640902915170304,1,0.5032737294444041,True,stable_correct,-0.05671971391036354,0.5032737294444041,True,stable_correct,-0.05671971391036354
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-02-13,3655,nonnegative_low,2026,0.5478782066902674,0,0.45173679144500495,True,regression,0.09610440062111553,0.45173679144500495,True,regression,0.09610440062111553
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-02-27,3659,nonnegative_low,2026,0.5818804391924033,0,0.5045975896385605,True,stable_wrong,0.08396611804569909,0.5045975896385605,True,stable_wrong,0.08396611804569909
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-03-06,3664,nonnegative_high,2026,0.5713713331953131,1,0.5167794130590537,True,stable_correct,-0.04977960163678932,0.5167794130590537,True,stable_correct,-0.04977960163678932
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-03-13,3669,nonnegative_low,2026,0.47555296155453197,0,0.4690269999633661,True,stable_correct,0.006164292548650724,0.4690269999633661,True,stable_correct,0.006164292548650724
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-03-20,3674,nonnegative_low,2026,0.45287118314971697,0,0.4480713028510294,True,stable_correct,0.004324416088805572,0.4480713028510294,True,stable_correct,0.004324416088805572
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-03-27,3679,negative_high,2026,0.4869951331326381,0,0.4438325262332026,True,stable_correct,0.040176948352329434,0.4438325262332026,True,stable_correct,0.040176948352329434
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-04-03,3684,negative_high,2026,0.5344345853248864,1,0.4717773274837606,True,recovery,-0.062268036418587774,0.4717773274837606,True,recovery,-0.062268036418587774
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-04-10,3688,negative_high,2026,0.4677756740927479,1,0.4438002968884842,True,stable_wrong,-0.02609537665390943,0.4438002968884842,True,stable_wrong,-0.02609537665390943
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-04-17,3693,negative_high,2026,0.5222871549081001,1,0.4602669164556108,True,recovery,-0.063102239106537,0.4602669164556108,True,recovery,-0.063102239106537
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-04-24,3698,nonnegative_high,2026,0.5036335543454317,1,0.4343448920363467,True,recovery,-0.07358605279362285,0.4343448920363467,True,recovery,-0.07358605279362285
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-05-08,3705,nonnegative_high,2026,0.5536598002254739,0,0.49762210857388967,True,regression,0.05891141144418763,0.49762210857388967,True,regression,0.05891141144418763
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-05-15,3710,nonnegative_low,2026,0.6040393436844046,1,0.5630259037073972,True,stable_correct,-0.034161519480859825,0.5630259037073972,True,stable_correct,-0.034161519480859825
annual_head_timeweight2y,learned_order_offset,2025-12-31,2026-05-22,3715,nonnegative_low,2026,0.488257151990499,1,0.5050438655177666,True,regression,0.01689916742728048,0.5050438655177666,True,regression,0.01689916742728048
