period,history,method,reference_history,n,changed_probability_weeks,recoveries,regressions,brier_difference
pooled_2021_2026,annual_head_timeweight2y,learned_market,weekly_state_validated,272,272,16,13,-0.0004052683595641504
pooled_2021_2026,annual_head_timeweight2y,learned_order_extension,rolling5_annual20,272,272,14,19,-0.000616345521101082
pooled_2021_2026,annual_head_timeweight2y,learned_order_extension,weekly_state_validated,272,272,13,20,0.00010723467689067766
pooled_2021_2026,annual_head_timeweight2y,learned_order_offset,rolling5_annual20,272,272,14,18,-0.00041373822765013044
pooled_2021_2026,annual_head_timeweight2y,learned_order_offset,weekly_state_validated,272,272,13,19,0.0003155934274215994
pooled_2021_2026,annual_head_timeweight2y,learned_vol_interaction,rolling5_annual20,272,272,12,15,-0.0003004704044689832
pooled_2021_2026,annual_head_timeweight2y,learned_vol_interaction,weekly_state_validated,272,272,11,16,0.00031259870991510763
year_2021,annual_head_timeweight2y,learned_market,rolling5_annual20,50,50,1,2,-0.0006775010381657797
year_2021,annual_head_timeweight2y,learned_market,weekly_state_validated,50,50,1,2,-0.0006775010381657797
year_2021,annual_head_timeweight2y,learned_order_extension,rolling5_annual20,50,50,0,0,-0.0017043542740828093
year_2021,annual_head_timeweight2y,learned_order_extension,weekly_state_validated,50,50,0,0,-0.0017043542740828093
year_2021,annual_head_timeweight2y,learned_order_offset,rolling5_annual20,50,50,0,0,-0.0015889428801568544
year_2021,annual_head_timeweight2y,learned_order_offset,weekly_state_validated,50,50,0,0,-0.0015889428801568544
year_2021,annual_head_timeweight2y,learned_vol_interaction,rolling5_annual20,50,50,0,0,-0.0013299473757631256
year_2021,annual_head_timeweight2y,learned_vol_interaction,weekly_state_validated,50,50,0,0,-0.0013299473757631256
year_2022,annual_head_timeweight2y,learned_market,rolling5_annual20,49,49,3,1,-0.006341261865280946
year_2022,annual_head_timeweight2y,learned_market,weekly_state_validated,49,49,3,1,-0.006341261865280946
year_2022,annual_head_timeweight2y,learned_order_extension,rolling5_annual20,49,49,2,1,-0.007856942919748878
year_2022,annual_head_timeweight2y,learned_order_extension,weekly_state_validated,49,49,2,1,-0.007856942919748878
year_2022,annual_head_timeweight2y,learned_order_offset,rolling5_annual20,49,49,2,1,-0.008122656520667883
year_2022,annual_head_timeweight2y,learned_order_offset,weekly_state_validated,49,49,2,1,-0.008122656520667883
year_2022,annual_head_timeweight2y,learned_vol_interaction,rolling5_annual20,49,49,1,2,-0.006291578698159657
year_2022,annual_head_timeweight2y,learned_vol_interaction,weekly_state_validated,49,49,1,2,-0.006291578698159657
year_2023,annual_head_timeweight2y,learned_market,rolling5_annual20,48,48,5,3,-0.009188212812493228
year_2023,annual_head_timeweight2y,learned_market,weekly_state_validated,48,48,3,3,-0.007604643631436943
year_2023,annual_head_timeweight2y,learned_order_extension,rolling5_annual20,48,48,5,3,-0.009238074448109335
year_2023,annual_head_timeweight2y,learned_order_extension,weekly_state_validated,48,48,4,3,-0.007448880323858559
year_2023,annual_head_timeweight2y,learned_order_offset,rolling5_annual20,48,48,4,3,-0.008074900459980536
year_2023,annual_head_timeweight2y,learned_order_offset,weekly_state_validated,48,48,3,3,-0.006263967870670826
year_2023,annual_head_timeweight2y,learned_vol_interaction,rolling5_annual20,48,48,4,4,-0.00749981457566045
year_2023,annual_head_timeweight2y,learned_vol_interaction,weekly_state_validated,48,48,3,4,-0.0058135354788769284
year_2024,annual_head_timeweight2y,learned_market,rolling5_annual20,47,47,1,3,-0.0005839734257689384
year_2024,annual_head_timeweight2y,learned_market,weekly_state_validated,47,47,1,3,0.0019398592722668043
year_2024,annual_head_timeweight2y,learned_order_extension,rolling5_annual20,47,47,0,4,0.0038203860829577703
