job,method,cutoff,seed,objective,gradient_inf,hessian_min,reduced_objective
learned_order_offset_2024-12-31_20260911,learned_order_offset,2024-12-31,20260911,0.651268905417663,1.5178830414797062e-18,0.2210625912967916,0.6466179875657697
learned_market_2024-12-31_20260912,learned_market,2024-12-31,20260912,0.6317429704733292,1.351473186833596e-13,0.010152372058020035,
learned_vol_interaction_2024-12-31_20260912,learned_vol_interaction,2024-12-31,20260912,0.6316713529579725,1.666152025375789e-13,0.010151936998110392,
learned_order_extension_2024-12-31_20260912,learned_order_extension,2024-12-31,20260912,0.629996061128107,1.0948892834039547e-11,0.010151028468363589,
learned_order_offset_2024-12-31_20260912,learned_order_offset,2024-12-31,20260912,0.6300860335112277,9.465084965798454e-16,0.2054288044265856,0.626838897292736
learned_market_2025-12-31_20260910,learned_market,2025-12-31,20260910,0.6478294476758394,2.8449465006019636e-16,0.010119332531393119,
learned_vol_interaction_2025-12-31_20260910,learned_vol_interaction,2025-12-31,20260910,0.6477953075892151,2.7625471354930653e-16,0.010119398031202882,
learned_order_extension_2025-12-31_20260910,learned_order_extension,2025-12-31,20260910,0.6475242823322663,1.834144815193728e-15,0.01011941575369897,
learned_order_offset_2025-12-31_20260910,learned_order_offset,2025-12-31,20260910,0.6475293140562344,3.68430199543246e-12,0.1968274219690479,0.6443471182219529
learned_market_2025-12-31_20260911,learned_market,2025-12-31,20260911,0.673987753581104,2.2478098375688926e-11,0.010493306317210052,
learned_vol_interaction_2025-12-31_20260911,learned_vol_interaction,2025-12-31,20260911,0.6735347808051092,4.919842658268614e-11,0.010492123746621668,
learned_order_extension_2025-12-31_20260911,learned_order_extension,2025-12-31,20260911,0.6730837955395154,8.222611263750124e-11,0.010492010903560455,
learned_order_offset_2025-12-31_20260911,learned_order_offset,2025-12-31,20260911,0.673096181035732,1.9899126183636762e-11,0.24132157064210427,0.6699609454392002
learned_market_2025-12-31_20260912,learned_market,2025-12-31,20260912,0.6792748282326204,1.456927981036138e-11,0.010200775189594984,
learned_vol_interaction_2025-12-31_20260912,learned_vol_interaction,2025-12-31,20260912,0.6778407942049436,1.1501833751918766e-10,0.010199706120798582,
learned_order_extension_2025-12-31_20260912,learned_order_extension,2025-12-31,20260912,0.6778395519588929,1.2847765754921137e-10,0.01019966863303381,
learned_order_offset_2025-12-31_20260912,learned_order_offset,2025-12-31,20260912,0.6778396011925192,8.395790573184625e-18,0.2241490144097946,0.6751934763196811
