period,state,arm,history,method,seed,supported,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
year_2022,nonnegative_low,both,fixed_transform_step100,learned_order_offset,20260911,False,8,0.375,0.625,3,0.3666666666666667,0.5,0.375,1,2,3,2,0.4,0.3229442139524935,0.856291447364744,0.5232508919511372,0.17819864943766314,0.14825089195113716,0.0
year_2022,nonnegative_low,both,fixed_transform_step100,learned_order_offset,20260912,False,8,0.25,0.75,2,0.2,0.375,0.375,0,2,3,3,0.2,0.280169788538233,0.7538351248506633,0.5064564868845527,0.04744879489856054,0.1314564868845527,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_market,20260910,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.30612796069088605,0.8075557409395666,0.5429268529548481,0.06082739565354752,0.3429268529548481,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_market,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.3134448969717121,0.8282525293811508,0.4821640787180582,0.15756901910667437,0.2821640787180582,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_market,20260912,False,5,0.4,0.6,2,0.25,0.4,0.2,0,2,2,1,0.0,0.28955169700435324,0.7764920529703642,0.4569895298216454,0.09597468302605307,0.2569895298216454,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_vol_interaction,20260910,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.30288392347784604,0.8011055653883377,0.5404349480560358,0.06192452858403302,0.34043494805603575,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_vol_interaction,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.3166383888795978,0.8353168807434557,0.48743411449260066,0.15667495335989914,0.28743411449260065,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_vol_interaction,20260912,False,5,0.6,0.4,3,0.375,0.2,0.2,0,3,1,1,0.0,0.2840428728891416,0.7673316844464191,0.4370098702002808,0.10474105208589356,0.2370098702002808,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_order_extension,20260910,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.2978811795804132,0.7901590534646676,0.5381596489641826,0.0513370889444798,0.33815964896418255,0.0
year_2022,nonnegative_high,annual,rolling5_annual20,learned_order_extension,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.3413694898138867,0.9105585704755464,0.4897792368711798,0.19162580170302163,0.2897792368711798,0.0
