cutoff,encoder_cutoff,target_role,annual_n,target_n,annual_up_rate,target_up_rate,supported_states,status,overall_delta,composition,within_state
2024-12-31,2024-12-31,both,1206,1206,0.472636815920398,0.472636815920398,4,defined,0.0,0.0,0.0
2025-03-31,2024-12-31,added,1206,57,0.472636815920398,0.5789473684210527,1,defined,0.10631055250065463,0.0022347331798261844,0.10407581932082834
2025-03-31,2024-12-31,removed,1206,58,0.472636815920398,0.5517241379310345,2,defined,0.07908732201063645,0.02672022284730216,0.05236709916333432
2025-03-31,2024-12-31,both,1206,1205,0.472636815920398,0.4738589211618257,4,defined,0.0012221052414276845,-0.0011804092397455744,0.0024025144811732953
2025-06-30,2024-12-31,added,1206,117,0.472636815920398,0.5811965811965812,2,defined,0.10855976527618322,-0.015885435811899093,0.12444520108808224
2025-06-30,2024-12-31,removed,1206,117,0.472636815920398,0.6068376068376068,4,defined,0.13420079091720877,0.01568301179121813,0.11851777912599068
2025-06-30,2024-12-31,both,1206,1206,0.472636815920398,0.4701492537313433,4,defined,-0.002487562189054715,-0.003062610588362113,0.0005750483993073757
2025-09-30,2024-12-31,added,1206,183,0.472636815920398,0.6502732240437158,3,defined,0.17763640812331777,0.0021080637369411126,0.17552834438637668
2025-09-30,2024-12-31,removed,1206,183,0.472636815920398,0.5846994535519126,4,defined,0.11206263763151453,0.0025681839822507546,0.1094944536492638
2025-09-30,2024-12-31,both,1206,1206,0.472636815920398,0.48258706467661694,4,defined,0.009950248756218916,-6.981924120371547e-05,0.010020067997422607
2025-12-31,2025-12-31,added,1206,0,0.4792703150912106,,0,empty_target,,,
2025-12-31,2025-12-31,removed,1206,0,0.4792703150912106,,0,empty_target,,,
2025-12-31,2025-12-31,both,1206,1206,0.4792703150912106,0.4792703150912106,4,defined,0.0,0.0,0.0
2026-03-31,2025-12-31,added,1206,56,0.4792703150912106,0.44642857142857145,1,defined,-0.032841743662639145,0.020700059005360573,-0.05354180266799977
2026-03-31,2025-12-31,removed,1206,58,0.4792703150912106,0.4482758620689655,1,defined,-0.030994453022245072,-0.009929673211273582,-0.021064779810971532
2026-03-31,2025-12-31,both,1206,1204,0.4792703150912106,0.4792358803986711,4,defined,-3.4434692539497824e-05,0.0014411331815232624,-0.001475567874062834
2026-06-30,2025-12-31,added,1206,116,0.4792703150912106,0.5862068965517241,2,defined,0.10693658146051349,0.018305502086814113,0.08863107937369942
2026-06-30,2025-12-31,removed,1206,118,0.4792703150912106,0.4661016949152542,2,defined,-0.01316862017595638,0.016085052585021242,-0.029253672760977612
2026-06-30,2025-12-31,both,1206,1204,0.4792703150912106,0.4908637873754153,4,defined,0.011593472284204709,0.00018721099421753137,0.011406261289987132
