job,method,cutoff,seed,train_n,objective,source_on_recent_objective,nested_recent_additive_objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std,constant_brier,constant_log_loss
learned_recent_additive_2018-12-31_20260910,learned_recent_additive,2018-12-31,20260910,725,0.6209000187079179,0.6371156639990035,,0.6165797603688397,0.21444961393711898,0.6537931034482759,0.713389217168247,0.5282758620607833,0.1766064493872975,0.24920047562425685,0.6915472783972978
learned_recent_additive_2018-12-31_20260911,learned_recent_additive,2018-12-31,20260911,725,0.6262581499513735,0.6525000635505163,,0.6213540113345176,0.21572950645616687,0.6551724137931034,0.7121371749652634,0.5282758620686664,0.16911324509401907,0.24920047562425685,0.6915472783972978
learned_recent_additive_2018-12-31_20260912,learned_recent_additive,2018-12-31,20260912,725,0.6383686914119124,0.6575358201999043,,0.6339308817521185,0.22213103611122184,0.6427586206896552,0.68754676072252,0.5282758620689505,0.15285808912936208,0.24920047562425685,0.6915472783972978
learned_recent_additive_2019-12-31_20260910,learned_recent_additive,2019-12-31,20260910,725,0.6335220496997661,0.647389127676683,,0.6294827877509972,0.22043291245573327,0.6303448275862069,0.6867228516164686,0.5462068965517094,0.1564466138624712,0.2478649227110583,0.6888709270497345
learned_recent_additive_2019-12-31_20260911,learned_recent_additive,2019-12-31,20260911,725,0.6034900121739392,0.6258947961035917,,0.5975473566943157,0.2058395323137363,0.6786206896551724,0.7376347057198122,0.5462068965431609,0.19243312825814265,0.2478649227110583,0.6888709270497345
learned_recent_additive_2019-12-31_20260912,learned_recent_additive,2019-12-31,20260912,725,0.641025194839085,0.6580042993739619,,0.6371053455488511,0.22294590661167552,0.6413793103448275,0.6892250775229498,0.5462068965517126,0.1446995955168891,0.2478649227110583,0.6888709270497345
raw_recent_additive_2014-12-31_-1,raw_recent_additive,2014-12-31,-1,720,0.6498041223881541,0.6621789640633668,,0.6428568083242223,0.22605998574109518,0.6138888888888889,0.6745226177233964,0.5166666666666658,0.13185215474961173,0.2497222222222222,0.6925915220779792
raw_recent_additive_2015-12-31_-1,raw_recent_additive,2015-12-31,-1,590,0.6686339665481666,0.6910929738738439,,0.6642600840615878,0.2361806276039459,0.5813559322033899,0.6182584627500028,0.5440677964886346,0.08896982701049948,0.24805802930192475,0.6892581951410703
raw_recent_additive_2016-12-31_-1,raw_recent_additive,2016-12-31,-1,596,0.6479880659159206,0.6880460441839206,,0.6417601203752265,0.2259145257871067,0.6157718120805369,0.6638349375991962,0.5587248322147649,0.12375307373392411,0.2465513940813477,0.686234023397162
raw_recent_additive_2017-12-31_-1,raw_recent_additive,2017-12-31,-1,595,0.6138846979700147,0.68564013719758,,0.605858825173974,0.20985658997586232,0.6605042016806723,0.7273020035424287,0.5663865546206501,0.170272342449423,0.2455928253654403,0.6843067493464309
raw_recent_additive_2018-12-31_-1,raw_recent_additive,2018-12-31,-1,725,0.6387644581927093,0.6797605544667805,,0.6297476029414292,0.21993933913882324,0.6413793103448275,0.6998534194494068,0.528275862068967,0.14479262346600125,0.24920047562425685,0.6915472783972978
raw_recent_additive_2019-12-31_-1,raw_recent_additive,2019-12-31,-1,725,0.6558977555542068,0.6868179695895236,,0.6469944565141723,0.2275691356521986,0.64,0.6794541156243283,0.5462068963956817,0.1082037975420256,0.2478649227110583,0.6888709270497345
learned_recent_interaction_2014-12-31_20260910,learned_recent_interaction,2014-12-31,20260910,720,0.6222613148107299,0.6295153834628738,0.6223577487438039,0.614405297970829,0.21244610169622355,0.6625,0.7264321468298109,0.5166666666671007,0.17195257131601968,0.2497222222222222,0.6925915220779792
learned_recent_interaction_2014-12-31_20260911,learned_recent_interaction,2014-12-31,20260911,720,0.6148002893774042,0.6270057699325667,0.6149284910180005,0.6077706393956681,0.21006481889500936,0.6708333333333333,0.7291666666666666,0.5166666666664608,0.18306899733971924,0.2497222222222222,0.6925915220779792
learned_recent_interaction_2014-12-31_20260912,learned_recent_interaction,2014-12-31,20260912,720,0.6096218377406817,0.6235090800093563,0.6106207754393653,0.601318244653501,0.20722676694579417,0.6791666666666667,0.7387606599925843,0.5166666666269525,0.18709628194088118,0.2497222222222222,0.6925915220779792
learned_recent_interaction_2015-12-31_20260910,learned_recent_interaction,2015-12-31,20260910,590,0.6061633769399621,0.6208853044082315,0.607310553092592,0.6009014510481208,0.20675716260850868,0.6745762711864407,0.7322146174246372,0.5440677966101385,0.19168537721222909,0.24805802930192475,0.6892581951410703
learned_recent_interaction_2015-12-31_20260911,learned_recent_interaction,2015-12-31,20260911,590,0.6302194777500395,0.6526767780771585,0.6327062653442344,0.6173962605096808,0.21410124418095813,0.652542372881356,0.726192544210124,0.5440677966101723,0.14883189316209514,0.24805802930192475,0.6892581951410703
learned_recent_interaction_2015-12-31_20260912,learned_recent_interaction,2015-12-31,20260912,590,0.6195790336288692,0.6421569362278898,0.629901344148584,0.6112027306746691,0.21158403234264866,0.6847457627118644,0.7201125664454713,0.544067796609929,0.17017722438723948,0.24805802930192475,0.6892581951410703
learned_recent_interaction_2016-12-31_20260910,learned_recent_interaction,2016-12-31,20260910,596,0.6279766534307684,0.6529288893909747,0.6318432324617279,0.6213269168924922,0.21705102079858266,0.6459731543624161,0.6960915287911486,0.5587248322165057,0.1555784369928548,0.2465513940813477,0.686234023397162
learned_recent_interaction_2016-12-31_20260911,learned_recent_interaction,2016-12-31,20260911,596,0.6527836008916275,0.6797279992180989,0.6534914902166438,0.6494899066355857,0.22946672409315266,0.6023489932885906,0.6565957592573562,0.5587248322147649,0.12053446632044343,0.2465513940813477,0.686234023397162
learned_recent_interaction_2016-12-31_20260912,learned_recent_interaction,2016-12-31,20260912,596,0.6351435482224539,0.6794812142798884,0.6353488494926509,0.6282209306981553,0.21901828312787563,0.6342281879194631,0.6958289087566654,0.5587248322147632,0.14518430822553346,0.2465513940813477,0.686234023397162
learned_recent_interaction_2017-12-31_20260910,learned_recent_interaction,2017-12-31,20260910,595,0.5917604111786466,0.6540474433769545,0.5950808711063429,0.576111763359688,0.196777816367854,0.6941176470588235,0.7572976330135947,0.5663865546218501,0.1883258564622157,0.2455928253654403,0.6843067493464309
learned_recent_interaction_2017-12-31_20260911,learned_recent_interaction,2017-12-31,20260911,595,0.5857189117949473,0.6534293409124249,0.5862599937713223,0.5806190463928277,0.19862074351792555,0.6823529411764706,0.7510408759459895,0.5663865545992673,0.2076264826726491,0.2455928253654403,0.6843067493464309
learned_recent_interaction_2017-12-31_20260912,learned_recent_interaction,2017-12-31,20260912,595,0.5943836108462608,0.6431239761869293,0.6000908946271396,0.5890251603767388,0.20242401241388477,0.6873949579831933,0.7406896234444368,0.5663865546218486,0.1973186728393259,0.2455928253654403,0.6843067493464309
learned_recent_interaction_2018-12-31_20260910,learned_recent_interaction,2018-12-31,20260910,725,0.6208656439266915,0.6370475041047015,0.6209000187079179,0.6165392673258551,0.21444987564899967,0.6551724137931034,0.712908249736613,0.5282758620605734,0.17666393416566903,0.24920047562425685,0.6915472783972978
learned_recent_interaction_2018-12-31_20260911,learned_recent_interaction,2018-12-31,20260911,725,0.6222707777217923,0.6518542999955036,0.6262581499513735,0.6173096497548315,0.2139844529714138,0.6496551724137931,0.7170002901073397,0.5282758620631255,0.17403266843948942,0.24920047562425685,0.6915472783972978
learned_recent_interaction_2018-12-31_20260912,learned_recent_interaction,2018-12-31,20260912,725,0.6358143874105763,0.6566451507660068,0.6383686914119124,0.6311935351185004,0.220876822732378,0.6537931034482759,0.6930206281587346,0.5282758620688414,0.15600690048983087,0.24920047562425685,0.6915472783972978
learned_recent_interaction_2019-12-31_20260910,learned_recent_interaction,2019-12-31,20260910,725,0.6312881537389469,0.6462828383305669,0.6335220496997661,0.6273206965816098,0.21968294986832781,0.6344827586206897,0.6895935034232906,0.5462068965515225,0.15941203810265378,0.2478649227110583,0.6888709270497345
learned_recent_interaction_2019-12-31_20260911,learned_recent_interaction,2019-12-31,20260911,725,0.6022431543893666,0.6245110243252774,0.6034900121739392,0.596233051254253,0.20494659454413539,0.6758620689655173,0.740344171195235,0.5462068964649648,0.1933177872150968,0.2478649227110583,0.6888709270497345
learned_recent_interaction_2019-12-31_20260912,learned_recent_interaction,2019-12-31,20260912,725,0.6396330581654778,0.6577265529499492,0.641025194839085,0.6354611111585473,0.2220085492647738,0.6441379310344828,0.6947591415676522,0.5462068965517226,0.14648391093404473,0.2478649227110583,0.6888709270497345
raw_recent_interaction_2014-12-31_-1,raw_recent_interaction,2014-12-31,-1,720,0.6494803229613615,0.6618484834134737,0.6498041223881541,0.6424861315413947,0.225910017816962,0.6180555555555556,0.6745535162526264,0.5166666666666418,0.13216767543360175,0.2497222222222222,0.6925915220779792
raw_recent_interaction_2015-12-31_-1,raw_recent_interaction,2015-12-31,-1,590,0.6673110674828892,0.6893795555651757,0.6686339665481666,0.6630481350904998,0.23573591457309007,0.5644067796610169,0.6160117662045883,0.5440677966101695,0.09246182714941881,0.24805802930192475,0.6892581951410703
raw_recent_interaction_2016-12-31_-1,raw_recent_interaction,2016-12-31,-1,596,0.6473850096901193,0.687467767335073,0.6479880659159206,0.6409371616273332,0.22552402360978938,0.6140939597315436,0.6651480377716119,0.5587248322147643,0.12439103636273749,0.2465513940813477,0.686234023397162
raw_recent_interaction_2017-12-31_-1,raw_recent_interaction,2017-12-31,-1,595,0.6128600902498268,0.6852989565132697,0.6138846979700147,0.6047209519096056,0.20930974683103173,0.6621848739495798,0.7284176385342627,0.5663865546209156,0.17158379878391303,0.2455928253654403,0.6843067493464309
raw_recent_interaction_2018-12-31_-1,raw_recent_interaction,2018-12-31,-1,725,0.6386829916008331,0.6797764853003481,0.6387644581927093,0.6295217674054543,0.21987189514067182,0.6386206896551724,0.6995251400913075,0.5282758620689669,0.14470322915495534,0.24920047562425685,0.6915472783972978
raw_recent_interaction_2019-12-31_-1,raw_recent_interaction,2019-12-31,-1,725,0.655178726644394,0.6864217450210334,0.6558977555542068,0.6464535154657913,0.22737264674062083,0.6275862068965518,0.6777501458352522,0.5462068961188116,0.11010714274887545,0.2478649227110583,0.6888709270497345
