cutoff,history,method,family,component,accepted,training_n,validation_n,n,changed_probability_weeks,recoveries,regressions,brier_difference
2022-09-30,quarter_volatility2_validated,learned_order_extension,volatility,low,True,21,9,2,2,0,0,0.00019835957851249697
2022-09-30,quarter_volatility2_validated,learned_order_extension,volatility,high,False,31,4,10,0,0,0,0.0
2022-09-30,quarter_trend2_validated,learned_order_offset,trend,negative,False,39,3,10,0,0,0,0.0
2022-09-30,quarter_trend2_validated,learned_order_offset,trend,nonnegative,True,13,10,2,2,0,0,0.00041329955284483133
2022-09-30,quarter_volatility2_validated,learned_order_offset,volatility,low,True,21,9,2,2,0,0,0.0001928428664469406
2022-09-30,quarter_volatility2_validated,learned_order_offset,volatility,high,False,31,4,10,0,0,0,0.0
2022-12-31,quarter_trend2_validated,learned_market,trend,negative,False,35,12,0,0,0,0,
2022-12-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,17,1,12,0,0,0,0.0
2022-12-31,quarter_volatility2_validated,learned_market,volatility,low,False,25,4,12,0,0,0,0.0
2022-12-31,quarter_volatility2_validated,learned_market,volatility,high,False,27,9,0,0,0,0,
2022-12-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,35,12,0,0,0,0,
2022-12-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,17,1,12,0,0,0,0.0
2022-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,25,4,12,0,0,0,0.0
2022-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,27,9,0,0,0,0,
2022-12-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,35,12,0,0,0,0,
2022-12-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,17,1,12,0,0,0,0.0
2022-12-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,25,4,12,0,0,0,0.0
2022-12-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,27,9,0,0,0,0,
2022-12-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,35,12,0,0,0,0,
2022-12-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,17,1,12,0,0,0,0.0
2022-12-31,quarter_volatility2_validated,learned_order_offset,volatility,low,False,25,4,12,0,0,0,0.0
2022-12-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,27,9,0,0,0,0,
2023-03-31,quarter_trend2_validated,learned_market,trend,negative,False,36,1,9,0,0,0,0.0
2023-03-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,16,12,3,0,0,0,0.0
2023-03-31,quarter_volatility2_validated,learned_market,volatility,low,False,22,12,12,0,0,0,0.0
2023-03-31,quarter_volatility2_validated,learned_market,volatility,high,False,30,1,0,0,0,0,
2023-03-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,36,1,9,0,0,0,0.0
2023-03-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,16,12,3,0,0,0,0.0
2023-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,22,12,12,0,0,0,0.0
2023-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,30,1,0,0,0,0,
2023-03-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,36,1,9,0,0,0,0.0
2023-03-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,16,12,3,0,0,0,0.0
2023-03-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,22,12,12,0,0,0,0.0
2023-03-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,30,1,0,0,0,0,
2023-03-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,36,1,9,0,0,0,0.0
2023-03-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,16,12,3,0,0,0,0.0
2023-03-31,quarter_volatility2_validated,learned_order_offset,volatility,low,False,22,12,12,0,0,0,0.0
2023-03-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,30,1,0,0,0,0,
2023-06-30,quarter_trend2_validated,learned_market,trend,negative,True,31,8,10,10,0,0,-0.005620731181158578
2023-06-30,quarter_trend2_validated,learned_market,trend,nonnegative,False,21,5,2,0,0,0,0.0
2023-06-30,quarter_volatility2_validated,learned_market,volatility,low,False,22,13,11,0,0,0,0.0
2023-06-30,quarter_volatility2_validated,learned_market,volatility,high,False,30,0,1,0,0,0,0.0
2023-06-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,True,31,8,10,10,0,1,-0.005538377759613853
2023-06-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,21,5,2,0,0,0,0.0
2023-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,22,13,11,0,0,0,0.0
2023-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,30,0,1,0,0,0,0.0
2023-06-30,quarter_trend2_validated,learned_order_extension,trend,negative,True,31,8,10,10,0,0,-0.005296878984038045
2023-06-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,21,5,2,0,0,0,0.0
2023-06-30,quarter_volatility2_validated,learned_order_extension,volatility,low,False,22,13,11,0,0,0,0.0
2023-06-30,quarter_volatility2_validated,learned_order_extension,volatility,high,False,30,0,1,0,0,0,0.0
2023-06-30,quarter_trend2_validated,learned_order_offset,trend,negative,True,31,8,10,10,0,0,-0.005306408723178627
2023-06-30,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,21,5,2,0,0,0,0.0
2023-06-30,quarter_volatility2_validated,learned_order_offset,volatility,low,False,22,13,11,0,0,0,0.0
2023-06-30,quarter_volatility2_validated,learned_order_offset,volatility,high,False,30,0,1,0,0,0,0.0
2023-09-30,quarter_trend2_validated,learned_market,trend,negative,True,25,10,12,12,2,0,-0.005152775812270226
2023-09-30,quarter_trend2_validated,learned_market,trend,nonnegative,False,27,3,0,0,0,0,
2023-09-30,quarter_volatility2_validated,learned_market,volatility,low,True,34,12,12,12,2,0,-0.006091632389031533
2023-09-30,quarter_volatility2_validated,learned_market,volatility,high,False,18,1,0,0,0,0,
2023-09-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,True,25,10,12,12,1,0,-0.005421382579524285
2023-09-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,27,3,0,0,0,0,
2023-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,True,34,12,12,12,1,0,-0.006387274063870543
2023-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,18,1,0,0,0,0,
2023-09-30,quarter_trend2_validated,learned_order_extension,trend,negative,True,25,10,12,12,1,0,-0.005648820473786319
2023-09-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,27,3,0,0,0,0,
2023-09-30,quarter_volatility2_validated,learned_order_extension,volatility,low,True,34,12,12,12,1,0,-0.006693565154931765
2023-09-30,quarter_volatility2_validated,learned_order_extension,volatility,high,False,18,1,0,0,0,0,
2023-09-30,quarter_trend2_validated,learned_order_offset,trend,negative,True,25,10,12,12,1,0,-0.005705852509010997
2023-09-30,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,27,3,0,0,0,0,
2023-09-30,quarter_volatility2_validated,learned_order_offset,volatility,low,True,34,12,12,12,1,0,-0.006775429173061229
2023-09-30,quarter_volatility2_validated,learned_order_offset,volatility,high,False,18,1,0,0,0,0,
2023-12-31,quarter_trend2_validated,learned_market,trend,negative,False,31,13,6,0,0,0,0.0
2023-12-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,21,0,5,0,0,0,0.0
2023-12-31,quarter_volatility2_validated,learned_market,volatility,low,False,40,13,6,0,0,0,0.0
2023-12-31,quarter_volatility2_validated,learned_market,volatility,high,False,12,0,5,0,0,0,0.0
2023-12-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,31,13,6,0,0,0,0.0
2023-12-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,21,0,5,0,0,0,0.0
2023-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,40,13,6,0,0,0,0.0
2023-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,12,0,5,0,0,0,0.0
2023-12-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,31,13,6,0,0,0,0.0
2023-12-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,21,0,5,0,0,0,0.0
2023-12-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,40,13,6,0,0,0,0.0
2023-12-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,12,0,5,0,0,0,0.0
2023-12-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,31,13,6,0,0,0,0.0
2023-12-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,21,0,5,0,0,0,0.0
2023-12-31,quarter_volatility2_validated,learned_order_offset,volatility,low,False,40,13,6,0,0,0,0.0
2023-12-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,12,0,5,0,0,0,0.0
2024-03-31,quarter_trend2_validated,learned_market,trend,negative,False,33,10,3,0,0,0,0.0
2024-03-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,19,3,8,0,0,0,0.0
2024-03-31,quarter_volatility2_validated,learned_market,volatility,low,True,44,8,11,11,0,0,-0.0051183803211267784
2024-03-31,quarter_volatility2_validated,learned_market,volatility,high,False,8,5,0,0,0,0,
2024-03-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,33,10,3,0,0,0,0.0
2024-03-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,19,3,8,0,0,0,0.0
2024-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,True,44,8,11,11,1,0,-0.005134109897045755
2024-03-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,8,5,0,0,0,0,
2024-03-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,33,10,3,0,0,0,0.0
2024-03-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,19,3,8,0,0,0,0.0
2024-03-31,quarter_volatility2_validated,learned_order_extension,volatility,low,True,44,8,11,11,1,0,-0.004832585987095312
2024-03-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,8,5,0,0,0,0,
2024-03-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,33,10,3,0,0,0,0.0
2024-03-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,19,3,8,0,0,0,0.0
2024-03-31,quarter_volatility2_validated,learned_order_offset,volatility,low,True,44,8,11,11,1,0,-0.004853057957147206
2024-03-31,quarter_volatility2_validated,learned_order_offset,volatility,high,False,8,5,0,0,0,0,
2024-06-30,quarter_trend2_validated,learned_market,trend,negative,False,37,1,11,0,0,0,0.0
2024-06-30,quarter_trend2_validated,learned_market,trend,nonnegative,False,15,12,2,0,0,0,0.0
2024-06-30,quarter_volatility2_validated,learned_market,volatility,low,True,48,12,12,12,1,2,0.0014889009692081456
2024-06-30,quarter_volatility2_validated,learned_market,volatility,high,False,4,1,1,0,0,0,0.0
2024-06-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,37,1,11,0,0,0,0.0
2024-06-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,15,12,2,0,0,0,0.0
2024-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,True,48,12,12,12,2,2,0.0018420792553255697
2024-06-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,4,1,1,0,0,0,0.0
2024-06-30,quarter_trend2_validated,learned_order_extension,trend,negative,False,37,1,11,0,0,0,0.0
2024-06-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,15,12,2,0,0,0,0.0
2024-06-30,quarter_volatility2_validated,learned_order_extension,volatility,low,True,48,12,12,12,1,2,-0.001335150318838338
2024-06-30,quarter_volatility2_validated,learned_order_extension,volatility,high,False,4,1,1,0,0,0,0.0
2024-06-30,quarter_trend2_validated,learned_order_offset,trend,negative,False,37,1,11,0,0,0,0.0
2024-06-30,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,15,12,2,0,0,0,0.0
2024-06-30,quarter_volatility2_validated,learned_order_offset,volatility,low,True,48,12,12,12,1,2,-0.0014618875672450238
2024-06-30,quarter_volatility2_validated,learned_order_offset,volatility,high,False,4,1,1,0,0,0,0.0
2024-09-30,quarter_trend2_validated,learned_market,trend,negative,False,36,12,0,0,0,0,
2024-09-30,quarter_trend2_validated,learned_market,trend,nonnegative,False,16,1,12,0,0,0,0.0
2024-09-30,quarter_volatility2_validated,learned_market,volatility,low,False,46,13,2,0,0,0,0.0
2024-09-30,quarter_volatility2_validated,learned_market,volatility,high,False,6,0,10,0,0,0,0.0
2024-09-30,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,36,12,0,0,0,0,
2024-09-30,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,16,1,12,0,0,0,0.0
2024-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,low,True,46,13,2,2,0,0,0.013828759205309446
2024-09-30,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,6,0,10,0,0,0,0.0
2024-09-30,quarter_trend2_validated,learned_order_extension,trend,negative,True,36,12,0,0,0,0,
2024-09-30,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,16,1,12,0,0,0,0.0
2024-09-30,quarter_volatility2_validated,learned_order_extension,volatility,low,True,46,13,2,2,0,0,0.015075875715627005
2024-09-30,quarter_volatility2_validated,learned_order_extension,volatility,high,False,6,0,10,0,0,0,0.0
2024-09-30,quarter_trend2_validated,learned_order_offset,trend,negative,True,36,12,0,0,0,0,
2024-09-30,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,16,1,12,0,0,0,0.0
2024-09-30,quarter_volatility2_validated,learned_order_offset,volatility,low,True,46,13,2,2,0,0,0.015081187080947592
2024-09-30,quarter_volatility2_validated,learned_order_offset,volatility,high,False,6,0,10,0,0,0,0.0
2024-12-31,quarter_trend2_validated,learned_market,trend,negative,False,36,1,10,0,0,0,0.0
2024-12-31,quarter_trend2_validated,learned_market,trend,nonnegative,False,16,12,2,0,0,0,0.0
2024-12-31,quarter_volatility2_validated,learned_market,volatility,low,False,46,2,8,0,0,0,0.0
2024-12-31,quarter_volatility2_validated,learned_market,volatility,high,False,6,11,4,0,0,0,0.0
2024-12-31,quarter_trend2_validated,learned_vol_interaction,trend,negative,False,36,1,10,0,0,0,0.0
2024-12-31,quarter_trend2_validated,learned_vol_interaction,trend,nonnegative,False,16,12,2,0,0,0,0.0
2024-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,low,False,46,2,8,0,0,0,0.0
2024-12-31,quarter_volatility2_validated,learned_vol_interaction,volatility,high,False,6,11,4,0,0,0,0.0
2024-12-31,quarter_trend2_validated,learned_order_extension,trend,negative,False,36,1,10,0,0,0,0.0
2024-12-31,quarter_trend2_validated,learned_order_extension,trend,nonnegative,False,16,12,2,0,0,0,0.0
2024-12-31,quarter_volatility2_validated,learned_order_extension,volatility,low,False,46,2,8,0,0,0,0.0
2024-12-31,quarter_volatility2_validated,learned_order_extension,volatility,high,False,6,11,4,0,0,0,0.0
2024-12-31,quarter_trend2_validated,learned_order_offset,trend,negative,False,36,1,10,0,0,0,0.0
2024-12-31,quarter_trend2_validated,learned_order_offset,trend,nonnegative,False,16,12,2,0,0,0,0.0
